accession	monosaccharide
G00062MO	HexNAc
G00062MO	NeuAc
G00062MO	Sia
G00063MO	Gal
G00063MO	GalNAc
G00063MO	Hex
G00063MO	HexNAc
G00063MO	NeuAc
G00063MO	Sia
G00064MO	Gal
G00064MO	GalNAc
G00064MO	Glc
G00064MO	GlcNAc
G00064MO	Hex
G00064MO	HexNAc
G00065MO	Gal
G00065MO	GlcNAc
G00065MO	Hex
G00065MO	HexNAc
G00065MO	NeuAc
G00065MO	Sia
G00066MO	Fuc
G00066MO	Gal
G00066MO	GalNAc
G00066MO	Hex
G00066MO	HexNAc
G00066MO	dHex
G00066WY	Gal
G00066WY	Glc
G00066WY	GlcNAc
G00066WY	Hex
G00066WY	HexNAc
G00067MO	Fuc
G00067MO	Gal
G00067MO	Hex
G00067MO	dHex
G00068MO	Fuc
G00068MO	Gal
G00068MO	Hex
G00068MO	dHex
G00069MO	Gal
G00069MO	Glc
G00069MO	GlcNAc
G00069MO	Hex
G00069MO	HexNAc
G00070MO	Gal
G00070MO	Glc
G00070MO	GlcNAc
G00070MO	Hex
G00070MO	HexNAc
G00071MO	Gal
G00071MO	GalNAc
G00071MO	Glc
G00071MO	Hex
G00071MO	HexNAc
G00072MO	Gal
G00072MO	GalNAc
G00072MO	Glc
G00072MO	Hex
G00072MO	HexNAc
G00076PK	Gal
G00076PK	GlcNAc
G00076PK	Hex
G00076PK	HexNAc
G00082CQ	Hex
G00082CQ	Pent
G00082CQ	Xxx
G00087BY	Fuc
G00087BY	Gal
G00087BY	GalNAc
G00087BY	GlcNAc
G00087BY	Hex
G00087BY	HexNAc
G00087BY	Man
G00087BY	NeuAc
G00087BY	S
G00087BY	Sia
G00087BY	dHex
G00089VH	Gal
G00089VH	GlcNAc
G00089VH	Hex
G00089VH	HexNAc
G00089VH	Man
G00089VH	NeuAc
G00089VH	Sia
G00090SL	Hex
G00090SL	Hex+aldi
G00090SL	Man
G00090SL	Man+aldi
G00090SL	aldi
G00091RT	Hex
G00091RT	Man
G00094SE	Fuc
G00094SE	Gal
G00094SE	GalNAc
G00094SE	GlcNAc
G00094SE	Hex
G00094SE	HexNAc
G00094SE	dHex
G00097DN	Glc
G00097DN	Hex
G00097DN	Pent
G00097DN	Xyl
G00104PH	Fuc
G00104PH	Gal
G00104PH	GlcNAc
G00104PH	Hex
G00104PH	HexNAc
G00104PH	Man
G00104PH	NeuAc
G00104PH	Sia
G00104PH	dHex
G00105XF	Gal
G00105XF	GlcNAc
G00105XF	Hex
G00105XF	HexNAc
G00105XF	Man
G00105XF	NeuAc
G00105XF	Sia
G00106LE	Fuc
G00106LE	Gal
G00106LE	GlcNAc
G00106LE	Hex
G00106LE	HexNAc
G00106LE	NeuAc
G00106LE	S
G00106LE	Sia
G00106LE	dHex
G00106LK	Hex
G00106LK	HexNAc
G00106LK	NeuAc
G00106LK	S
G00106LK	Sia
G00109SL	Fuc
G00109SL	Gal
G00109SL	GalNAc
G00109SL	GlcNAc
G00109SL	Hex
G00109SL	HexNAc
G00109SL	NeuAc
G00109SL	S
G00109SL	Sia
G00109SL	dHex
G00112IO	Gal
G00112IO	GalNAc
G00112IO	GalNAc+aldi
G00112IO	GlcNAc
G00112IO	Hex
G00112IO	HexNAc
G00112IO	HexNAc+aldi
G00112IO	aldi
G00116QX	Gal
G00116QX	GalNAc
G00116QX	GalNAc+aldi
G00116QX	GlcNAc
G00116QX	Hex
G00116QX	HexNAc
G00116QX	HexNAc+aldi
G00116QX	NeuAc
G00116QX	Sia
G00116QX	aldi
G00120OY	Hex
G00120OY	HexNAc
G00120OY	dHex
G00120QS	GlcNAc
G00120QS	Hex
G00120QS	HexNAc
G00120QS	Man
G00123JF	Pent
G00123JF	Xyl
G00133UK	Gal
G00133UK	Hex
G00133UK	NeuGc
G00133UK	Sia
G00140XB	Gal
G00140XB	Hex
G00140XB	Man
G00140YZ	Fuc
G00140YZ	Gal
G00140YZ	GalNAc
G00140YZ	GalNAc+aldi
G00140YZ	GlcNAc
G00140YZ	Hex
G00140YZ	HexNAc
G00140YZ	HexNAc+aldi
G00140YZ	aldi
G00140YZ	dHex
G00141ZD	Gal
G00141ZD	Glc
G00141ZD	Hex
G00152LK	Glc
G00152LK	Hex
G00153LJ	Gal
G00153LJ	Hex
G00155YT	Fuc
G00155YT	Gal
G00155YT	GlcNAc
G00155YT	Hex
G00155YT	HexNAc
G00155YT	Man
G00155YT	NeuAc
G00155YT	Sia
G00155YT	dHex
G00157WT	Fuc
G00157WT	Gal
G00157WT	Glc
G00157WT	GlcNAc
G00157WT	Hex
G00157WT	HexNAc
G00157WT	NeuAc
G00157WT	Sia
G00157WT	dHex
G00167VE	Fuc
G00167VE	Gal
G00167VE	GalNAc
G00167VE	GlcNAc
G00167VE	Hex
