HexNAc(6)Hex(4)dHex(1)NeuAc(1) % 2303.840855, G79941IJ
HexNAc(5)Hex(8) % 2311.819451, G83014KM
HexNAc(9)Hex(3) % 2313.872824, G31028YV
HexNAc(4)Hex(7)NeuAc(1)Phospho(1) % 2317.749002, G21658QF
HexNAc(6)Hex(5)dHex(2) % 2320.856171, G61613II
HexNAc(6)Hex(6)dHex(1) % 2336.851085, G80735OA
HexNAc(2)Hex(12) % 2350.792627, G59324HL
HexNAc(4)Hex(5)dHex(1)NeuAc(2) % 2350.830350, G88374WZ
HexNAc(4)Hex(5)dHex(3)NeuAc(1) % 2351.850751, G07799LX
HexNAc(6)Hex(7) % 2352.846000, G43669FQ
HexNAc(4)Hex(5)dHex(5) % 2352.871152, G70333IQ
HexNAc(5)Hex(6)NeuAc(1)Sulpho(1) % 2358.766035, G48642OF
HexNAc(7)Hex(4)dHex(2) % 2361.882720, G43560PI
HexNAc(4)Hex(6)NeuAc(2) % 2366.825265, G40834TG
HexNAc(5)Hex(6)dHex(1)Sulpho(3) % 2373.642157, G57269FM
HexNAc(7)Hex(5)dHex(1) % 2377.877635, G14440NQ
HexNAc(6)Hex(4)dHex(1)NeuAc(1)Sulpho(1) % 2383.797670, G83131MV
HexNAc(5)Hex(4)dHex(1)NeuAc(2) % 2391.856899, G95835XS
HexNAc(7)Hex(6) % 2393.872549, G43734MM
HexNAc(5)Hex(5)NeuAc(2) % 2407.851814, G98611JV
HexNAc(5)Hex(5)dHex(2)NeuAc(1) % 2408.872215, G84492TS
HexNAc(5)Hex(5)dHex(4) % 2409.892616, G61605LI
HexNAc(5)Hex(6)dHex(1)NeuAc(1) % 2424.867130, G86752LQ
HexNAc(5)Hex(6)dHex(3) % 2425.887531, G41126SR
HexNAc(4)Hex(5)dHex(1)NeuAc(2)Sulpho(1) % 2430.787165, G21586TD
HexNAc(8)Hex(5) % 2434.899098, G04854VP
HexNAc(5)Hex(6)NeuAc(1)Sulpho(2) % 2438.722850, G32762BU
HexNAc(5)Hex(7)NeuAc(1) % 2440.862044, G17023GV
HexNAc(6)Hex(4)NeuAc(2) % 2448.878363, G63980BQ
HexNAc(5)Hex(8)dHex(1) % 2457.877360, G60743GT
HexNAc(9)Hex(3)dHex(1) % 2459.930733, G05926FW
HexNAc(6)Hex(5)dHex(1)NeuAc(1) % 2465.893679, G43638QT
HexNAc(9)Hex(4) % 2475.925647, G40206WX
HexNAc(6)Hex(6)NeuAc(1) % 2481.888593, G85282JO
HexNAc(4)Hex(5)NeuAc(3) % 2495.867858, G67031OU
HexNAc(4)Hex(5)dHex(2)NeuAc(2) % 2496.888259, G84291SQ
HexNAc(6)Hex(7)dHex(1) % 2498.903909, G49739MP
HexNAc(4)Hex(6)dHex(3)NeuAc(1) % 2513.903575, G61466PB
HexNAc(7)Hex(6)dHex(1) % 2539.930458, G89009DQ
HexNAc(5)Hex(5)dHex(1)NeuAc(2) % 2553.909723, G36670VW
HexNAc(5)Hex(5)dHex(3)NeuAc(1) % 2554.930124, G88198IB
HexNAc(7)Hex(7) % 2555.925373, G28622IK
HexNAc(5)Hex(6)NeuAc(2) % 2569.904637, G27947YN
HexNAc(5)Hex(6)dHex(2)NeuAc(1) % 2570.925038, G03596YS
HexNAc(5)Hex(6)dHex(4) % 2571.945440, G26271XI
HexNAc(8)Hex(5)dHex(1) % 2580.957007, G30630UO
HexNAc(5)Hex(6)dHex(1)NeuAc(1)Sulpho(2) % 2584.780759, G66876TK
HexNAc(6)Hex(5)NeuAc(2) % 2610.931186, G09406IK
HexNAc(6)Hex(5)dHex(2)NeuAc(1) % 2611.951588, G64916EE
HexNAc(6)Hex(5)dHex(4) % 2612.971989, G18123SG
HexNAc(5)Hex(9)dHex(1) % 2619.930183, G16462LS
HexNAc(9)Hex(4)dHex(1) % 2621.983556, G37659EV
HexNAc(6)Hex(6)dHex(1)NeuAc(1) % 2627.946502, G54417MJ
HexNAc(6)Hex(6)dHex(3) % 2628.966903, G34852SB
HexNAc(4)Hex(5)dHex(1)NeuAc(3) % 2641.925767, G57077XE
HexNAc(4)Hex(5)dHex(3)NeuAc(2) % 2642.946168, G43005HM
HexNAc(6)Hex(7)NeuAc(1) % 2643.941417, G44753VC
HexNAc(6)Hex(7)dHex(2) % 2644.961818, G02287BL
HexNAc(5)Hex(6)NeuAc(2)Sulpho(1) % 2649.861452, G04612UW
HexNAc(4)Hex(6)NeuAc(3) % 2657.920681, G98457BU
HexNAc(5)Hex(5)dHex(2)NeuAc(2) % 2699.967632, G32812YZ
HexNAc(7)Hex(7)dHex(1) % 2701.983282, G17650MH
HexNAc(5)Hex(6)dHex(1)NeuAc(2) % 2715.962546, G85144OK
HexNAc(5)Hex(6)dHex(3)NeuAc(1) % 2716.982947, G04784US
HexNAc(7)Hex(8) % 2717.978196, G75568BH
HexNAc(5)Hex(7)NeuAc(2) % 2731.957461, G05609XV
HexNAc(5)Hex(8)dHex(1)NeuAc(1) % 2748.972777, G58014BV
HexNAc(6)Hex(5)dHex(1)NeuAc(2) % 2756.989095, G19517GM
HexNAc(6)Hex(6)NeuAc(2) % 2772.984010, G49755GI
HexNAc(6)Hex(6)dHex(4) % 2775.024812, G46177TS
HexNAc(4)Hex(5)NeuAc(4) % 2786.963274, G85677PP
HexNAc(6)Hex(6)dHex(1)NeuAc(1)Sulpho(2) % 2787.860131, G11206IW
HexNAc(6)Hex(7)dHex(1)NeuAc(1) % 2789.999326, G73686WG
HexNAc(6)Hex(7)dHex(3) % 2791.019727, G42789YX
HexNAc(5)Hex(6)dHex(1)NeuAc(2)Sulpho(1) % 2795.919361, G86200WT
HexNAc(6)Hex(8)NeuAc(1) % 2805.994240, G87208AT
HexNAc(7)Hex(6)dHex(1)NeuAc(1) % 2831.025875, G54378KA
HexNAc(7)Hex(6)dHex(3) % 2832.046276, G33635AG
HexNAc(5)Hex(5)dHex(3)NeuAc(2) % 2846.025540, G70974BY
HexNAc(7)Hex(7)dHex(2) % 2848.041190, G96002QE
HexNAc(5)Hex(6)NeuAc(3) % 2861.000054, G06247RL
HexNAc(5)Hex(6)dHex(2)NeuAc(2) % 2862.020455, G84320LV
HexNAc(7)Hex(8)dHex(1) % 2864.036105, G55216FT
HexNAc(5)Hex(7)dHex(1)NeuAc(2) % 2878.015370, G77338BR
HexNAc(7)Hex(9) % 2880.031020, G81124ET
HexNAc(5)Hex(8)dHex(4) % 2896.051087, G51412NQ
HexNAc(8)Hex(7)dHex(1) % 2905.062654, G65957XL
HexNAc(6)Hex(6)dHex(1)NeuAc(2) % 2919.041919, G98596OT
HexNAc(6)Hex(6)dHex(3)NeuAc(1) % 2920.062320, G48149UR
HexNAc(6)Hex(6)dHex(5) % 2921.082721, G13635UJ
HexNAc(6)Hex(7)NeuAc(2) % 2935.036833, G37818NZ
HexNAc(6)Hex(7)dHex(2)NeuAc(1) % 2936.057235, G02447BS
HexNAc(6)Hex(7)dHex(4) % 2937.077636, G22589VJ
HexNAc(9)Hex(6)dHex(1) % 2946.089203, G12772RI
HexNAc(6)Hex(8)dHex(1)NeuAc(1) % 2952.052149, G05664AS
HexNAc(7)Hex(5)dHex(1)NeuAc(2) % 2960.068468, G65225MN
HexNAc(4)Hex(7)dHex(1)NeuAc(3) % 2966.031414, G13492FY
HexNAc(7)Hex(7)dHex(1)NeuAc(1) % 2993.078698, G18760WR
HexNAc(6)Hex(6)dHex(1)NeuAc(2)Sulpho(1) % 2998.998733, G92113CH
HexNAc(5)Hex(6)dHex(1)NeuAc(3) % 3007.057963, G94917XT
HexNAc(7)Hex(8)NeuAc(1) % 3009.073613, G12341GU
HexNAc(7)Hex(8)dHex(2) % 3010.094014, G27378DU
HexNAc(5)Hex(6)dHex(7) % 3010.119166, G53384JS
HexNAc(7)Hex(9)dHex(1) % 3026.088929, G84664JR
HexNAc(6)Hex(5)dHex(1)NeuAc(3) % 3048.084512, G21976AG
HexNAc(6)Hex(6)dHex(2)NeuAc(2) % 3065.099828, G98544EX
HexNAc(8)Hex(8)dHex(1) % 3067.115478, G24481HY
