GlyTouCanAccession	Name	Domain
G03574QJ	HexNAc(3)Hex(6)dHex(1)	Byonic
G03574QJ	HexNAc3Hex6dHex1	ShortUniCarbKB
G03574QJ	HexNAc3Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G03592GE	HexNAc(4)Hex(4)Fuc(1)NeuGc(1)	Byonic
G03596YS	HexNAc(5)Hex(6)dHex(2)NeuAc(1)	Byonic
G03596YS	HexNAc5Hex6dHex2NeuAc1	ShortUniCarbKB
G03596YS	HexNAc5Hex6dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G03599PQ	HexNAc(2)Hex(3)NeuAc(2)Sulpho(1)	Byonic
G03599PQ	HexNAc2Hex3NeuAc2S1	ShortUniCarbKB
G03599PQ	HexNAc2Hex3dHex0NeuAc2NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G03644CB	H8N7F	ShortComp
G03644CB	HexNAc(7)Hex(8)Fuc(1)	Byonic
G03856AM	HexNAc(4)Hex(3)Fuc(1)Sulpho(1)	Byonic
G03930BU	HexNAc(3)Hex(4)dHex(3)	Byonic
G03930BU	HexNAc3Hex4dHex3	ShortUniCarbKB
G03930BU	HexNAc3Hex4dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G03962UW	HexNAc(6)Hex(9)dHex(1)NeuAc(1)NeuGc(1)	Byonic
G03962UW	HexNAc6Hex9dHex1NeuAc1NeuGc1	ShortUniCarbKB
G03962UW	HexNAc6Hex9dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G03964PW	HexNAc(4)Hex(6)dHex(1)NeuGc(1)	Byonic
G03964PW	HexNAc4Hex6dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G03964PW	HexNAc4Hex6dHex1NeuGc1	ShortUniCarbKB
G04055MU	HexNAc(9)Hex(7)dHex(1)NeuAc(1)	Byonic
G04055MU	HexNAc9Hex7dHex1NeuAc1	ShortUniCarbKB
G04055MU	HexNAc9Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G04203ZT	HexNAc(3)Sulpho(1)	Byonic
G04203ZT	HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G04203ZT	HexNAc3S1	ShortUniCarbKB
G04599VH	H4NFS	ShortComp
G04599VH	HexNAc(1)Hex(4)Fuc(1)NeuAc(1)	Byonic
G04612UW	HexNAc(5)Hex(6)NeuAc(2)Sulpho(1)	Byonic
G04612UW	HexNAc5Hex6NeuAc2S1	ShortUniCarbKB
G04612UW	HexNAc5Hex6dHex0NeuAc2NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G04657PL	H5N4F3	ShortComp
G04657PL	HexNAc(4)Hex(5)Fuc(3)	Byonic
G04681UD	H10N	ShortComp
G04681UD	HexNAc(1)Hex(10)	Byonic
G04681UD	HexNAc1Hex10	ShortUniCarbKB
G04681UD	HexNAc1Hex10dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G04784US	HexNAc(5)Hex(6)dHex(3)NeuAc(1)	Byonic
G04784US	HexNAc5Hex6dHex3NeuAc1	ShortUniCarbKB
G04784US	HexNAc5Hex6dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G04797TI	H6N4F3S	ShortComp
G04797TI	HexNAc(4)Hex(6)Fuc(3)NeuAc(1)	Byonic
G04840WZ	HexNAc(4)Hex(5)Fuc(1)NeuAc(1)Sulpho(1)	Byonic
G04854VP	H5N8	ShortComp
G04854VP	HexNAc(8)Hex(5)	Byonic
G04854VP	HexNAc8Hex5	ShortUniCarbKB
G04854VP	HexNAc8Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05049IC	HexNAc(6)Hex(6)dHex(2)	Byonic
G05049IC	HexNAc6Hex6dHex2	ShortUniCarbKB
G05049IC	HexNAc6Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05049YU	H4N4F	ShortComp
G05049YU	HexNAc(4)Hex(4)Fuc(1)	Byonic
G05051WF	HexNAc(6)Hex(7)NeuAc(1)NeuGc(1)	Byonic
G05051WF	HexNAc6Hex7NeuAc1NeuGc1	ShortUniCarbKB
G05051WF	HexNAc6Hex7dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G05243OF	HexNAc(3)Hex(4)NeuGc(1)	Byonic
G05243OF	HexNAc3Hex4NeuGc1	ShortUniCarbKB
G05243OF	HexNAc3Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G05289OX	H2N4S3	ShortComp
G05289OX	HexNAc(4)Hex(2)NeuAc(3)	Byonic
G05289OX	HexNAc4Hex2NeuAc3	ShortUniCarbKB
G05289OX	HexNAc4Hex2dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05297EK	Mono-sulfated globotetraosylceramide	SemanticName
G05394UY	H2N	ShortComp
G05394UY	HexNAc(1)Hex(2)	Byonic
G05394UY	HexNAc1Hex2	ShortUniCarbKB
G05394UY	HexNAc1Hex2dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05460KC	HexNAc(2)Hex(1)dHex(2)	Byonic
G05460KC	HexNAc2Hex1dHex2	ShortUniCarbKB
G05460KC	HexNAc2Hex1dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05528SJ	H11N11S	ShortComp
G05528SJ	HexNAc(11)Hex(11)NeuAc(1)	Byonic
G05528SJ	HexNAc11Hex11NeuAc1	ShortUniCarbKB
G05528SJ	HexNAc11Hex11dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05609XV	H7N5S2	ShortComp
G05609XV	HexNAc(5)Hex(7)NeuAc(2)	Byonic
G05609XV	HexNAc5Hex7NeuAc2	ShortUniCarbKB
G05609XV	HexNAc5Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05645NK	H6N	ShortComp
G05645NK	HexNAc(1)Hex(6)	Byonic
G05645NK	HexNAc1Hex6	ShortUniCarbKB
G05645NK	HexNAc1Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05664AS	HexNAc(6)Hex(8)dHex(1)NeuAc(1)	Byonic
G05664AS	HexNAc6Hex8dHex1NeuAc1	ShortUniCarbKB
G05664AS	HexNAc6Hex8dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05761AI	HexNAc(1)Hex(1)dHex(1)NeuAc(1)Sulpho(1)	Byonic
G05761AI	HexNAc1Hex1dHex1NeuAc1NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G05761AI	HexNAc1Hex1dHex1NeuAc1S1	ShortUniCarbKB
G05926FW	HexNAc(9)Hex(3)dHex(1)	Byonic
G05926FW	HexNAc9Hex3dHex1	ShortUniCarbKB
G05926FW	HexNAc9Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05931YV	HexNAc1Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA1	UniCarbKB
G05931YV	HexNAc1HexA1	ShortUniCarbKB
G05933EN	HexNAc(4)Hex(5)dHex(4)	Byonic
G05933EN	HexNAc4Hex5dHex4	ShortUniCarbKB
G05933EN	HexNAc4Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G05962QB	H7N6FS2	ShortComp
G05962QB	HexNAc(6)Hex(7)Fuc(1)NeuAc(2)	Byonic
G06042JP	HexNAc(2)dHex(1)	Byonic
G06042JP	HexNAc2Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06042JP	HexNAc2dHex1	ShortUniCarbKB
G06045JZ	HexNAc(4)Hex(3)dHex(1)NeuGc(5)	Byonic
G06045JZ	HexNAc4Hex3dHex1NeuAc0NeuGc5Pent0S0P0KDN0HexA0	UniCarbKB
G06045JZ	HexNAc4Hex3dHex1NeuGc5	ShortUniCarbKB
G06046KU	HexNAc(2)Hex(4)dHex(2)NeuAc(1)	Byonic
G06046KU	HexNAc2Hex4dHex2NeuAc1	ShortUniCarbKB
G06046KU	HexNAc2Hex4dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06048QL	HexNAc(2)Hex(2)NeuGc(1)	Byonic
G06048QL	HexNAc2Hex2NeuGc1	ShortUniCarbKB
G06048QL	HexNAc2Hex2dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G06231AO	HexNAc(3)Hex(5)dHex(3)	Byonic
G06231AO	HexNAc3Hex5dHex3	ShortUniCarbKB
G06231AO	HexNAc3Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06239NA	Lactotriaosylceramide	SemanticName
G06247RL	H6N5S3	ShortComp
G06247RL	HexNAc(5)Hex(6)NeuAc(3)	Byonic
G06247RL	HexNAc5Hex6NeuAc3	ShortUniCarbKB
G06247RL	HexNAc5Hex6dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06461TM	HexNAc(1)Hex(1)Sulpho(1)	Byonic
G06461TM	HexNAc1Hex1S1	ShortUniCarbKB
G06461TM	HexNAc1Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G06704MH	HexNAc(5)Hex(6)dHex(2)NeuAc(3)	Byonic
G06704MH	HexNAc5Hex6dHex2NeuAc3	ShortUniCarbKB
G06704MH	HexNAc5Hex6dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06818RT	HexNAc(7)Hex(8)dHex(1)NeuAc(3)NeuGc(1)	Byonic
G06818RT	HexNAc7Hex8dHex1NeuAc3NeuGc1	ShortUniCarbKB
G06818RT	HexNAc7Hex8dHex1NeuAc3NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G06829PV	Hex(1)Phospho(1)	Byonic
G06829PV	Hex1P1	ShortUniCarbKB
G06829PV	HexNAc0Hex1dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0	UniCarbKB
G06853GH	HexNAc(7)Hex(4)dHex(1)	Byonic
G06853GH	HexNAc7Hex4dHex1	ShortUniCarbKB
G06853GH	HexNAc7Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G06898ZN	HNK-1 on O-mannose	SemanticName
G06932DR	HexNAc(1)Hex(2)Sulpho(1)	Byonic
G06932DR	HexNAc1Hex2S1	ShortUniCarbKB
