GlyTouCanAccession	Name	Domain
G11235SR	HexNAc1Hex2dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11239ZB	H4NS	ShortComp
G11239ZB	HexNAc(1)Hex(4)NeuAc(1)	Byonic
G11239ZB	HexNAc1Hex4NeuAc1	ShortUniCarbKB
G11239ZB	HexNAc1Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11314AS	H4N3F	ShortComp
G11314AS	HexNAc(3)Hex(4)Fuc(1)	Byonic
G11357FA	H2N2S2	ShortComp
G11357FA	HexNAc(2)Hex(2)NeuAc(2)	Byonic
G11357FA	HexNAc2Hex2NeuAc2	ShortUniCarbKB
G11357FA	HexNAc2Hex2dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11485ID	B-GM1	SemanticName
G11541NC	H11N10	ShortComp
G11541NC	HexNAc(10)Hex(11)	Byonic
G11541NC	HexNAc10Hex11	ShortUniCarbKB
G11541NC	HexNAc10Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11719TC	H11N6	ShortComp
G11719TC	HexNAc(6)Hex(11)	Byonic
G11719TC	HexNAc6Hex11	ShortUniCarbKB
G11719TC	HexNAc6Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G11738SE	H8N7FS3	ShortComp
G11738SE	HexNAc(7)Hex(8)Fuc(1)NeuAc(3)	Byonic
G11805YU	HexNAc(4)Hex(5)Fuc(1)NeuGc(2)	Byonic
G12047XR	HexNAc(4)Hex(1)dHex(1)	Byonic
G12047XR	HexNAc4Hex1dHex1	ShortUniCarbKB
G12047XR	HexNAc4Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12131LM	H6N7FS3	ShortComp
G12131LM	HexNAc(7)Hex(6)Fuc(1)NeuAc(3)	Byonic
G12340GZ	H6N7S4	ShortComp
G12340GZ	HexNAc(7)Hex(6)NeuAc(4)	Byonic
G12340GZ	HexNAc7Hex6NeuAc4	ShortUniCarbKB
G12340GZ	HexNAc7Hex6dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12341GU	H8N7S	ShortComp
G12341GU	HexNAc(7)Hex(8)NeuAc(1)	Byonic
G12341GU	HexNAc7Hex8NeuAc1	ShortUniCarbKB
G12341GU	HexNAc7Hex8dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12460DL	P1 antigen	SemanticName
G12520SZ	HN2S2	ShortComp
G12520SZ	HexNAc(2)Hex(1)NeuAc(2)	Byonic
G12520SZ	HexNAc2Hex1NeuAc2	ShortUniCarbKB
G12520SZ	HexNAc2Hex1dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12580WI	HexNAc(5)Hex(5)dHex(1)NeuAc(1)	Byonic
G12580WI	HexNAc5Hex5dHex1NeuAc1	ShortUniCarbKB
G12580WI	HexNAc5Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12713BB	H3NF2	ShortComp
G12713BB	HexNAc(1)Hex(3)Fuc(2)	Byonic
G12745LE	H10N9F	ShortComp
G12745LE	HexNAc(9)Hex(10)Fuc(1)	Byonic
G12772RI	HexNAc(9)Hex(6)dHex(1)	Byonic
G12772RI	HexNAc9Hex6dHex1	ShortUniCarbKB
G12772RI	HexNAc9Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12872WY	HexNAc(10)Hex(10)dHex(1)	Byonic
G12872WY	HexNAc10Hex10dHex1	ShortUniCarbKB
G12872WY	HexNAc10Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G12959FT	H13N2	ShortComp
G12959FT	HexNAc(2)Hex(13)	Byonic
G12959FT	HexNAc2Hex13	ShortUniCarbKB
G12959FT	HexNAc2Hex13dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13024PC	HN2F2S	ShortComp
G13024PC	HexNAc(2)Hex(1)Fuc(2)NeuAc(1)	Byonic
G13047GL	H10N10F	ShortComp
G13047GL	HexNAc(10)Hex(10)Fuc(1)	Byonic
G13131HA	H6N6F4	ShortComp
G13131HA	HexNAc(6)Hex(6)Fuc(4)	Byonic
G13144LI	H7N3	ShortComp
G13144LI	HexNAc(3)Hex(7)	Byonic
G13144LI	HexNAc3Hex7	ShortUniCarbKB
G13144LI	HexNAc3Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13191RB	H8N7F3S2	ShortComp
G13191RB	HexNAc(7)Hex(8)Fuc(3)NeuAc(2)	Byonic
G13193DT	H7N8	ShortComp
G13193DT	HexNAc(8)Hex(7)	Byonic
G13193DT	HexNAc8Hex7	ShortUniCarbKB
G13193DT	HexNAc8Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13224CR	Sialopentaosylceramide	SemanticName
G13381VV	H6N2S	ShortComp
G13381VV	HexNAc(2)Hex(6)NeuAc(1)	Byonic
G13381VV	HexNAc2Hex6NeuAc1	ShortUniCarbKB
G13381VV	HexNAc2Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13436HZ	HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA2	UniCarbKB
G13436HZ	HexNAc3HexA2	ShortUniCarbKB
G13492FY	HexNAc(4)Hex(7)dHex(1)NeuAc(3)	Byonic
G13492FY	HexNAc4Hex7dHex1NeuAc3	ShortUniCarbKB
G13492FY	HexNAc4Hex7dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13716SG	HexNAc(9)Hex(10)dHex(1)	Byonic
G13716SG	HexNAc9Hex10dHex1	ShortUniCarbKB
G13716SG	HexNAc9Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G13910DJ	H7N6F2S4	ShortComp
G13910DJ	HexNAc(6)Hex(7)Fuc(2)NeuAc(4)	Byonic
G13973YO	HexNAc(4)Hex(9)dHex(1)	Byonic
G13973YO	HexNAc4Hex9dHex1	ShortUniCarbKB
G13973YO	HexNAc4Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14091MR	GH1ca	SemanticName
G14140AC	HexNAc(4)Hex(4)Fuc(1)Phospho(1)	Byonic
G14191MJ	HexNAc(2)Hex(7)dHex(1)	Byonic
G14191MJ	HexNAc2Hex7dHex1	ShortUniCarbKB
G14191MJ	HexNAc2Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14305YT	H8N6	ShortComp
G14305YT	HexNAc(6)Hex(8)	Byonic
G14305YT	HexNAc6Hex8	ShortUniCarbKB
G14305YT	HexNAc6Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14307WQ	H3NF	ShortComp
G14307WQ	HexNAc(1)Hex(3)Fuc(1)	Byonic
G14366OZ	HexNAc(6)Hex(7)NeuAc(3)Sulpho(1)	Byonic
G14366OZ	HexNAc6Hex7NeuAc3S1	ShortUniCarbKB
G14366OZ	HexNAc6Hex7dHex0NeuAc3NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G14368ET	H7N5	ShortComp
G14368ET	HexNAc(5)Hex(7)	Byonic
G14368ET	HexNAc5Hex7	ShortUniCarbKB
G14368ET	HexNAc5Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14440NQ	HexNAc(7)Hex(5)dHex(1)	Byonic
G14440NQ	HexNAc7Hex5dHex1	ShortUniCarbKB
G14440NQ	HexNAc7Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14547CB	H8N5F4	ShortComp
G14547CB	HexNAc(5)Hex(8)Fuc(4)	Byonic
G14926RK	HexNAc(7)Hex(6)dHex(1)NeuAc(4)	Byonic
G14926RK	HexNAc7Hex6dHex1NeuAc4	ShortUniCarbKB
G14926RK	HexNAc7Hex6dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G14972EH	H5N5F3	ShortComp
G14972EH	HexNAc(5)Hex(5)Fuc(3)	Byonic
G15038BD	HexNAc(4)Hex(6)dHex(1)NeuAc(1)	Byonic
G15038BD	HexNAc4Hex6dHex1NeuAc1	ShortUniCarbKB
G15038BD	HexNAc4Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15064OQ	HexNAc(6)Hex(1)dHex(1)	Byonic
G15064OQ	HexNAc6Hex1dHex1	ShortUniCarbKB
G15064OQ	HexNAc6Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15127JD	H10N9	ShortComp
G15127JD	HexNAc(9)Hex(10)	Byonic
G15127JD	HexNAc9Hex10	ShortUniCarbKB
G15127JD	HexNAc9Hex10dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15145JC	HexNAc(5)Hex(8)dHex(3)	Byonic
G15145JC	HexNAc5Hex8dHex3	ShortUniCarbKB
G15145JC	HexNAc5Hex8dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15205QB	HexNAc(3)Hex(6)Phospho(1)	Byonic
G15205QB	HexNAc3Hex6P1	ShortUniCarbKB
G15205QB	HexNAc3Hex6dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0	UniCarbKB
G15344SG	H5N7FS2	ShortComp
G15344SG	HexNAc(7)Hex(5)Fuc(1)NeuAc(2)	Byonic
G15486FH	HexNAc(3)Hex(5)dHex(1)	Byonic
G15486FH	HexNAc3Hex5dHex1	ShortUniCarbKB
G15486FH	HexNAc3Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15602PX	HNFS	ShortComp
G15602PX	HexNAc(1)Hex(1)Fuc(1)NeuAc(1)	Byonic
G15664MX	H7N4F	ShortComp
G15664MX	HexNAc(4)Hex(7)Fuc(1)	Byonic
G15666IG	H4N	ShortComp
G15666IG	HexNAc(1)Hex(4)	Byonic
G15666IG	HexNAc1Hex4	ShortUniCarbKB
G15666IG	HexNAc1Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15750OF	HexNAc(6)Hex(5)dHex(2)NeuAc(2)	Byonic
G15750OF	HexNAc6Hex5dHex2NeuAc2	ShortUniCarbKB
G15750OF	HexNAc6Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15765EV	HexNAc(3)Hex(1)dHex(1)Sulpho(1)	Byonic
G15765EV	HexNAc3Hex1dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G15765EV	HexNAc3Hex1dHex1S1	ShortUniCarbKB
G15881BW	HexNAc(8)Hex(8)dHex(2)	Byonic
G15881BW	HexNAc8Hex8dHex2	ShortUniCarbKB
G15881BW	HexNAc8Hex8dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G15919RU	Hex(2)NeuGc(1)	Byonic
G15919RU	Hex2NeuGc1	ShortUniCarbKB
G15919RU	HexNAc0Hex2dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G15968KS	HexNAc(8)Hex(7)NeuAc(2)Sulpho(2)	Byonic
G15968KS	HexNAc8Hex7NeuAc2S2	ShortUniCarbKB
G15968KS	HexNAc8Hex7dHex0NeuAc2NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G16125XL	H7N7F	ShortComp
G16125XL	HexNAc(7)Hex(7)Fuc(1)	Byonic
G16136AD	HN2F	ShortComp
G16136AD	HexNAc(2)Hex(1)Fuc(1)	Byonic
G16175ZV	HexNAc(4)Hex(6)dHex(2)	Byonic
G16175ZV	HexNAc4Hex6dHex2	ShortUniCarbKB
G16175ZV	HexNAc4Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G16222XJ	H6N7F3	ShortComp
G16222XJ	HexNAc(7)Hex(6)Fuc(3)	Byonic
G16260WC	H4F2	ShortComp
G16260WC	Hex(4)Fuc(2)	Byonic
G16407EV	HexNAc(2)Hex(5)dHex(1)	Byonic
G16407EV	HexNAc2Hex5dHex1	ShortUniCarbKB
G16407EV	HexNAc2Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G16455YH	HexNAc(8)Hex(7)dHex(1)NeuAc(2)Sulpho(2)	Byonic
G16455YH	HexNAc8Hex7dHex1NeuAc2NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G16455YH	HexNAc8Hex7dHex1NeuAc2S2	ShortUniCarbKB
G16462LS	HexNAc(5)Hex(9)dHex(1)	Byonic
G16462LS	HexNAc5Hex9dHex1	ShortUniCarbKB
G16462LS	HexNAc5Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G16546FJ	HexNAc(5)Hex(6)NeuAc(1)NeuGc(2)	Byonic
G16546FJ	HexNAc5Hex6NeuAc1NeuGc2	ShortUniCarbKB
G16546FJ	HexNAc5Hex6dHex0NeuAc1NeuGc2Pent0S0P0KDN0HexA0	UniCarbKB
G16607BW	HexNAc(2)Hex(2)Fuc(1)NeuGc(1)	Byonic
G16691WC	HexNAc(1)Hex(4)dHex(1)NeuGc(1)	Byonic
G16691WC	HexNAc1Hex4dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G16691WC	HexNAc1Hex4dHex1NeuGc1	ShortUniCarbKB
G16915GU	HexNAc(3)Hex(2)dHex(3)	Byonic
G16915GU	HexNAc3Hex2dHex3	ShortUniCarbKB
G16915GU	HexNAc3Hex2dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G16993HQ	HexNAc(3)Hex(1)dHex(1)NeuAc(1)	Byonic
G16993HQ	HexNAc3Hex1dHex1NeuAc1	ShortUniCarbKB
G16993HQ	HexNAc3Hex1dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G17015OC	HNS	ShortComp
G17015OC	HexNAc(1)Hex(1)NeuAc(1)	Byonic
G17015OC	HexNAc1Hex1NeuAc1	ShortUniCarbKB
G17015OC	HexNAc1Hex1dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G17023GV	H7N5S	ShortComp
G17023GV	HexNAc(5)Hex(7)NeuAc(1)	Byonic
G17023GV	HexNAc5Hex7NeuAc1	ShortUniCarbKB
G17023GV	HexNAc5Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G17182UH	H8N9F	ShortComp
G17182UH	HexNAc(9)Hex(8)Fuc(1)	Byonic
G17208MA	H4N5F3	ShortComp
G17208MA	HexNAc(5)Hex(4)Fuc(3)	Byonic
G17497UW	HexNAc(6)Hex(3)Fuc(1)Sulpho(1)	Byonic
G17650MH	HexNAc(7)Hex(7)dHex(1)	Byonic
G17650MH	HexNAc7Hex7dHex1	ShortUniCarbKB
G17650MH	HexNAc7Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G17899TT	HexNAc(6)Hex(7)dHex(2)NeuAc(2)	Byonic
G17899TT	HexNAc6Hex7dHex2NeuAc2	ShortUniCarbKB
G17899TT	HexNAc6Hex7dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18081CC	HexNAc0Hex0dHex0NeuAc0NeuGc0Pent1S1P0KDN0HexA1	UniCarbKB
G18081CC	Pent1S1HexA1	ShortUniCarbKB
G18081HD	HexNAc(2)Hex(3)dHex(3)	Byonic
G18081HD	HexNAc2Hex3dHex3	ShortUniCarbKB
G18081HD	HexNAc2Hex3dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18096WT	HexNAc(4)Hex(5)Fuc(1)Sulpho(2)	Byonic
G18123SG	HexNAc(6)Hex(5)dHex(4)	Byonic
G18123SG	HexNAc6Hex5dHex4	ShortUniCarbKB
G18123SG	HexNAc6Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18227ZU	H12N12F	ShortComp
G18227ZU	HexNAc(12)Hex(12)Fuc(1)	Byonic
G18307ZZ	HexNAc(4)Hex(6)dHex(1)NeuAc(2)	Byonic
G18307ZZ	HexNAc4Hex6dHex1NeuAc2	ShortUniCarbKB
G18307ZZ	HexNAc4Hex6dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18442LT	H2N4S	ShortComp
G18442LT	HexNAc(4)Hex(2)NeuAc(1)	Byonic
G18442LT	HexNAc4Hex2NeuAc1	ShortUniCarbKB
G18442LT	HexNAc4Hex2dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18625KA	GQ1b	SemanticName
G18629WM	HexNAc(4)Hex(5)Fuc(1)Sulpho(1)	Byonic
G18632GW	H4NF	ShortComp
G18632GW	HexNAc(1)Hex(4)Fuc(1)	Byonic
G18647XP	H5N3F	ShortComp
G18647XP	HexNAc(3)Hex(5)Fuc(1)	Byonic
G18883TH	HexNAc(6)Hex(7)dHex(4)NeuGc(1)	Byonic
G18883TH	HexNAc6Hex7dHex4NeuAc0NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G18883TH	HexNAc6Hex7dHex4NeuGc1	ShortUniCarbKB
G18950SY	HexNAc(6)Hex(5)dHex(1)NeuAc(2)NeuGc(1)	Byonic
G18950SY	HexNAc6Hex5dHex1NeuAc2NeuGc1	ShortUniCarbKB
G18950SY	HexNAc6Hex5dHex1NeuAc2NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G18981TN	HexNAc(2)Hex(2)Sulpho(2)	Byonic
G18981TN	HexNAc2Hex2S2	ShortUniCarbKB
G18981TN	HexNAc2Hex2dHex0NeuAc0NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G18995MT	HexNAc(4)Hex(4)dHex(3)NeuAc(1)	Byonic
G18995MT	HexNAc4Hex4dHex3NeuAc1	ShortUniCarbKB
G18995MT	HexNAc4Hex4dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G18999EB	HexNAc(2)Hex(2)Pent(1)	Byonic
G18999EB	HexNAc2Hex2Pent1	ShortUniCarbKB
G18999EB	HexNAc2Hex2dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0	UniCarbKB
G18999ZC	HexNAc(4)Hex(5)NeuAc(1)NeuGc(1)	Byonic
G18999ZC	HexNAc4Hex5NeuAc1NeuGc1	ShortUniCarbKB
G18999ZC	HexNAc4Hex5dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G19379ID	HexNAc(5)Hex(4)dHex(2)	Byonic
G19379ID	HexNAc5Hex4dHex2	ShortUniCarbKB
G19379ID	HexNAc5Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G19512II	HexNAc(6)Hex(11)dHex(1)	Byonic
G19512II	HexNAc6Hex11dHex1	ShortUniCarbKB
G19512II	HexNAc6Hex11dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G19517GM	HexNAc(6)Hex(5)dHex(1)NeuAc(2)	Byonic
G19517GM	HexNAc6Hex5dHex1NeuAc2	ShortUniCarbKB
G19517GM	HexNAc6Hex5dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G19784PR	HexNAc(6)Hex(3)dHex(2)NeuAc(1)	Byonic
G19784PR	HexNAc6Hex3dHex2NeuAc1	ShortUniCarbKB
G19784PR	HexNAc6Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G19865KY	Hex(4)dHex(1)	Byonic
G19865KY	Hex4dHex1	ShortUniCarbKB
G19865KY	HexNAc0Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G19973ZD	H4N6FS	ShortComp
G19973ZD	HexNAc(6)Hex(4)Fuc(1)NeuAc(1)	Byonic
G20159XY	H2FS	ShortComp
G20159XY	Hex(2)Fuc(1)NeuAc(1)	Byonic
G20528HD	H5N6FS	ShortComp
G20528HD	HexNAc(6)Hex(5)Fuc(1)NeuAc(1)	Byonic
G20606AK	HexNAc(6)Hex(6)dHex(1)NeuAc(4)	Byonic
G20606AK	HexNAc6Hex6dHex1NeuAc4	ShortUniCarbKB
G20606AK	HexNAc6Hex6dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G20698EO	HexNAc(6)Hex(4)dHex(2)	Byonic
G20698EO	HexNAc6Hex4dHex2	ShortUniCarbKB
G20698EO	HexNAc6Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G20706XG	H3N6F2S	ShortComp
G20706XG	HexNAc(6)Hex(3)Fuc(2)NeuAc(1)	Byonic
G20899EQ	HexNAc(3)Hex(5)dHex(2)NeuAc(2)	Byonic
G20899EQ	HexNAc3Hex5dHex2NeuAc2	ShortUniCarbKB
G20899EQ	HexNAc3Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G20956ZV	HexNAc(2)Hex(3)dHex(1)	Byonic
G20956ZV	HexNAc2Hex3dHex1	ShortUniCarbKB
G20956ZV	HexNAc2Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G20980JF	HexNAc1Hex2Pent1HexA1	ShortUniCarbKB
G20980JF	HexNAc1Hex2dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA1	UniCarbKB
G21100WO	HN2FS	ShortComp
G21100WO	HexNAc(2)Hex(1)Fuc(1)NeuAc(1)	Byonic
G21259PI	HexNAc(3)Hex(1)dHex(1)	Byonic
G21259PI	HexNAc3Hex1dHex1	ShortUniCarbKB
G21259PI	HexNAc3Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G21349JZ	H2N2F3	ShortComp
G21349JZ	HexNAc(2)Hex(2)Fuc(3)	Byonic
G21586TD	HexNAc(4)Hex(5)dHex(1)NeuAc(2)Sulpho(1)	Byonic
G21586TD	HexNAc4Hex5dHex1NeuAc2NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G21586TD	HexNAc4Hex5dHex1NeuAc2S1	ShortUniCarbKB
G21658QF	HexNAc(4)Hex(7)NeuAc(1)Phospho(1)	Byonic
G21658QF	HexNAc4Hex7NeuAc1P1	ShortUniCarbKB
G21658QF	HexNAc4Hex7dHex0NeuAc1NeuGc0Pent0S0P1KDN0HexA0	UniCarbKB
G21670TV	HexNAc(6)Hex(5)NeuAc(2)NeuGc(1)	Byonic
G21670TV	HexNAc6Hex5NeuAc2NeuGc1	ShortUniCarbKB
G21670TV	HexNAc6Hex5dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G21726WW	HexNAc(2)Hex(3)dHex(2)	Byonic
G21726WW	HexNAc2Hex3dHex2	ShortUniCarbKB
G21726WW	HexNAc2Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G21856LC	Asialo-GM1	SemanticName
G21976AG	HexNAc(6)Hex(5)dHex(1)NeuAc(3)	Byonic
G21976AG	HexNAc6Hex5dHex1NeuAc3	ShortUniCarbKB
G21976AG	HexNAc6Hex5dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22165DU	H3N3S2	ShortComp
G22165DU	HexNAc(3)Hex(3)NeuAc(2)	Byonic
G22165DU	HexNAc3Hex3NeuAc2	ShortUniCarbKB
G22165DU	HexNAc3Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22172OT	HexNAc(3)Hex(2)Sulpho(1)	Byonic
G22172OT	HexNAc3Hex2S1	ShortUniCarbKB
G22172OT	HexNAc3Hex2dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G22314RO	Hex(2)NeuAc(1)NeuGc(1)	Byonic
G22314RO	Hex2NeuAc1NeuGc1	ShortUniCarbKB
G22314RO	HexNAc0Hex2dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0	UniCarbKB
G22452XH	HexNAc(7)Hex(5)dHex(2)NeuAc(2)	Byonic
G22452XH	HexNAc7Hex5dHex2NeuAc2	ShortUniCarbKB
G22452XH	HexNAc7Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22572EH	H3N3F2	ShortComp
G22572EH	HexNAc(3)Hex(3)Fuc(2)	Byonic
G22589VJ	HexNAc(6)Hex(7)dHex(4)	Byonic
G22589VJ	HexNAc6Hex7dHex4	ShortUniCarbKB
G22589VJ	HexNAc6Hex7dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22622ZG	HexNAc(5)Hex(3)dHex(3)NeuAc(1)	Byonic
G22622ZG	HexNAc5Hex3dHex3NeuAc1	ShortUniCarbKB
G22622ZG	HexNAc5Hex3dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22729NQ	H7N8F	ShortComp
G22729NQ	HexNAc(8)Hex(7)Fuc(1)	Byonic
G22862WY	HexNAc(4)Hex(6)dHex(2)NeuAc(3)	Byonic
G22862WY	HexNAc4Hex6dHex2NeuAc3	ShortUniCarbKB
G22862WY	HexNAc4Hex6dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22913YS	HexNAc(5)Hex(6)dHex(1)Sulpho(2)	Byonic
G22913YS	HexNAc5Hex6dHex1NeuAc0NeuGc0Pent0S2P0KDN0HexA0	UniCarbKB
G22913YS	HexNAc5Hex6dHex1S2	ShortUniCarbKB
G22917YC	HexNAc0Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN1HexA0	UniCarbKB
G22917YC	KDN1	ShortUniCarbKB
G22955WV	HexNAc(1)Hex(3)dHex(2)	Byonic
G22955WV	HexNAc1Hex3dHex2	ShortUniCarbKB
G22955WV	HexNAc1Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G22974QT	H4N7F2	ShortComp
G22974QT	HexNAc(7)Hex(4)Fuc(2)	Byonic
G23193VZ	HexNAc4Hex5dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA1	UniCarbKB
G23193VZ	HexNAc4Hex5dHex1S1HexA1	ShortUniCarbKB
G23461QN	HN3FS	ShortComp
G23461QN	HexNAc(3)Hex(1)Fuc(1)NeuAc(1)	Byonic
G23505EP	H4N6S	ShortComp
G23505EP	HexNAc(6)Hex(4)NeuAc(1)	Byonic
G23505EP	HexNAc6Hex4NeuAc1	ShortUniCarbKB
G23505EP	HexNAc6Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G23505FB	H3N2F2S	ShortComp
G23505FB	HexNAc(2)Hex(3)Fuc(2)NeuAc(1)	Byonic
G23666EW	HexNAc(2)Hex(3)dHex(2)NeuAc(1)	Byonic
G23666EW	HexNAc2Hex3dHex2NeuAc1	ShortUniCarbKB
G23666EW	HexNAc2Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G23666EZ	H9N8FS3	ShortComp
G23666EZ	HexNAc(8)Hex(9)Fuc(1)NeuAc(3)	Byonic
G23719VF	H3N4F	ShortComp
G23719VF	HexNAc(4)Hex(3)Fuc(1)	Byonic
G23729WG	HNS2	ShortComp
G23729WG	HexNAc(1)Hex(1)NeuAc(2)	Byonic
