GlyTouCanAccession	CFGAccession
G03195HW	carbNlink_21429_P
G03207XQ	carbNlink_21229_D000
G03247RO	carbNlink_42816_D000
G03250GT	carbNlink_21188_D000
G03277UZ	carbNlink_44932_D000
G03277YI	carbGlipid_20578_D000
G03414KZ	carbNlink_40444_D000
G03499BP	carbSynthe_0121_D000
G03499BP	carbSynthe_0609_D000
G03542LT	carbNlink_42868_D000
G03603IS	carbOlink_20536_D000
G03605AV	carbNlink_42502_D000
G03652TR	carbNlink_20482_D000
G03652TR	carbNlink_21123_D000
G03652TR	carbNlink_40157_D000
G03652TR	carbNlink_40253_D000
G03652TR	carbNlink_40637_D000
G03652TR	carbNlink_40989_D000
G03652TR	carbNlink_41198_D000
G03652TR	carbNlink_45102_D000
G03681UF	carbNlink_42163_D000
G03740OH	carbNlink_21028_D000
G03740OH	carbNlink_40326_D000
G03740OH	carbNlink_42045_D000
G03764XL	carbNlink_20438_D000
G03820FM	carbNlink_21004_D000
G03820FM	carbNlink_42105_D000
G03834RX	carbNlink_20659_D000
G03834RX	carbNlink_43219_D000
G03951MJ	carbNlink_47046_D000
G04048YA	carbNlink_20929_D000
G04220HB	carbNlink_40166_D000
G04220HB	carbNlink_40432_D000
G04423CA	carbNlink_44789_D000
G04445KN	carbNlink_21290_D000
G04445KN	carbNlink_43301_D000
G04445KN	carbNlink_44120_D000
G04535LS	carbNlink_20935_D000
G04616ST	carbNlink_46631_D000
G04616ST	carbOlink_21304_D000
G04622LK	carbNlink_20916_D000
G04624DG	carbSynthe_0841_D000
G04624DG	carbSynthe_493_D000
G04662JQ	carbNlink_42599_D000
G04751OE	carbNlink_43408_D000
G04817LD	carbNlink_41932_D000
G04820ZT	carbNlink_40097_D000
G04820ZT	carbNlink_40351_D000
G04964UA	carbNlink_44612_D000
G05102JZ	carbNlink_42961_D000
G05108UT	carbNlink_20501_D000
G05108UT	carbNlink_20950_D000
G05108UT	carbNlink_40398_D000
G05128BK	carbOlink_20156_D000
G05188BU	carbNlink_40577_D000
G05319BS	carbNlink_20611_D000
G05319BS	carbNlink_44613_D000
G05384WR	carbNlink_46696_D000
G05402FG	carbOlink_20010_D000
G05421KO	carbNlink_20702_D000
G05478GN	carbNlink_44175_D000
G05611SB	carbNlink_20690_D000
G05724WC	carbOlink_20376_D000
G05890XZ	carbNlink_20497_D000
G05890XZ	carbNlink_40951_D000
G05890XZ	carbNlink_44510_D000
