accession	monosaccharide	count
G00050MO	Hex	3
G00050MO	HexNAc	1
G00050MO	dHex	1
G00051MO	*	3
G00051MO	Fuc	1
G00051MO	Gal	1
G00051MO	GlcNAc	1
G00051MO	Hex	1
G00051MO	HexNAc	1
G00051MO	dHex	1
G00052MO	*	4
G00052MO	Fuc	2
G00052MO	Gal	1
G00052MO	GlcNAc	1
G00052MO	Hex	1
G00052MO	HexNAc	1
G00052MO	dHex	2
G00053MO	*	4
G00053MO	Fuc	1
G00053MO	Gal	1
G00053MO	GlcNAc	1
G00053MO	Hex	1
G00053MO	HexNAc	1
G00053MO	NeuAc	1
G00053MO	Sia	1
G00053MO	dHex	1
G00054MO	*	4
G00054MO	Fuc	1
G00054MO	Gal	1
G00054MO	GlcNAc	1
G00054MO	Hex	1
G00054MO	HexNAc	1
G00054MO	NeuAc	1
G00054MO	Sia	1
G00054MO	dHex	1
G00055MO	*	2
G00055MO	Gal	1
G00055MO	GlcNAc	1
G00055MO	Hex	1
G00055MO	HexNAc	1
G00056HH	*	12
G00056HH	Fuc	1
G00056HH	Gal	3
G00056HH	GlcNAc	5
G00056HH	Hex	6
G00056HH	HexNAc	5
G00056HH	Man	3
G00056HH	dHex	1
G00056MO	*	2
G00056MO	Gal	1
G00056MO	GlcNAc	1
G00056MO	Hex	1
G00056MO	HexNAc	1
G00057LF	*	10
G00057LF	Gal	2
G00057LF	GlcNAc	2
G00057LF	Hex	5
G00057LF	HexNAc	4
G00057LF	Man	3
G00057LF	NeuAc	1
G00057LF	Sia	1
G00057MO	*	2
G00057MO	GalNAc	1
G00057MO	GlcNAc	1
G00057MO	HexNAc	2
G00058MO	*	4
G00058MO	Gal	2
G00058MO	GlcNAc	2
G00058MO	Hex	2
G00058MO	HexNAc	2
G00058XR	*	3
G00058XR	Hex	2
G00058XR	HexNAc	1
G00058XR	S	1
G00059MO	*	3
G00059MO	Gal	2
G00059MO	Glc	1
G00059MO	Hex	3
G00060BT	*	5
G00060BT	GlcNAc	1
G00060BT	Hex	4
G00060BT	HexNAc	1
G00060BT	Man	4
G00060MO	*	5
G00060MO	Gal	3
G00060MO	GalNAc	1
G00060MO	Glc	1
G00060MO	Hex	4
G00060MO	HexNAc	1
G00061MO	*	4
G00061MO	Gal	2
G00061MO	GalNAc	1
G00061MO	Glc	1
G00061MO	Hex	3
G00061MO	HexNAc	1
G00062MO	*	5
G00062MO	Gal	2
G00062MO	GalNAc	1
G00062MO	GlcNAc	1
G00062MO	Hex	2
G00062MO	HexNAc	2
G00062MO	NeuAc	1
G00062MO	Sia	1
G00063MO	*	5
G00063MO	Gal	1
G00063MO	GalNAc	2
G00063MO	Hex	1
G00063MO	HexNAc	2
G00063MO	NeuAc	2
G00063MO	Sia	2
G00064MO	*	5
G00064MO	Gal	2
G00064MO	GalNAc	1
G00064MO	Glc	1
G00064MO	GlcNAc	1
G00064MO	Hex	3
G00064MO	HexNAc	2
G00065MO	*	3
G00065MO	Gal	1
G00065MO	GlcNAc	1
G00065MO	Hex	1
G00065MO	HexNAc	1
G00065MO	NeuAc	1
G00065MO	Sia	1
G00066MO	*	3
G00066MO	Fuc	1
G00066MO	Gal	1
G00066MO	GalNAc	1
G00066MO	Hex	1
G00066MO	HexNAc	1
G00066MO	dHex	1
G00066WY	*	5
G00066WY	Gal	2
G00066WY	Glc	1
G00066WY	GlcNAc	2
G00066WY	Hex	3
G00066WY	HexNAc	2
G00067MO	*	3
G00067MO	Fuc	1
G00067MO	Gal	2
G00067MO	Hex	2
G00067MO	dHex	1
G00068MO	*	2
G00068MO	Fuc	1
G00068MO	Gal	1
G00068MO	Hex	1
G00068MO	dHex	1
G00069MO	*	4
G00069MO	Gal	2
G00069MO	Glc	1
G00069MO	GlcNAc	1
G00069MO	Hex	3
G00069MO	HexNAc	1
G00070MO	*	4
G00070MO	Gal	2
G00070MO	Glc	1
G00070MO	GlcNAc	1
G00070MO	Hex	3
G00070MO	HexNAc	1
G00071MO	*	4
G00071MO	Gal	2
G00071MO	GalNAc	1
G00071MO	Glc	1
G00071MO	Hex	3
G00071MO	HexNAc	1
G00072MO	*	4
G00072MO	Gal	2
G00072MO	GalNAc	1
G00072MO	Glc	1
G00072MO	Hex	3
G00072MO	HexNAc	1
G00076PK	*	3
G00076PK	Gal	2
G00076PK	GlcNAc	1
G00076PK	Hex	2
G00076PK	HexNAc	1
G00082CQ	*	4
G00082CQ	Hex	2
G00082CQ	Pent	1
G00082CQ	Xxx	1
G00087BY	*	11
G00087BY	Fuc	1
G00087BY	Gal	1
G00087BY	GalNAc	1
G00087BY	GlcNAc	4
G00087BY	Hex	4
G00087BY	HexNAc	5
G00087BY	Man	3
G00087BY	NeuAc	1
G00087BY	S	1
G00087BY	Sia	1
G00087BY	dHex	1
G00089VH	*	10
G00089VH	Gal	2
G00089VH	GlcNAc	3
G00089VH	Hex	5
G00089VH	HexNAc	3
G00089VH	Man	3
G00089VH	NeuAc	2
G00089VH	Sia	2
G00090SL	*	2
G00090SL	Hex	2
G00090SL	Hex+aldi	1
G00090SL	Man	2
G00090SL	Man+aldi	1
G00090SL	aldi	1
G00091RT	*	5
G00091RT	Hex	5
G00091RT	Man	5
G00094SE	*	7
G00094SE	Fuc	1
G00094SE	Gal	2
G00094SE	GalNAc	2
G00094SE	GlcNAc	2
G00094SE	Hex	2
G00094SE	HexNAc	4
G00094SE	dHex	1
G00097DN	*	2
G00097DN	Glc	1
G00097DN	Hex	1
G00097DN	Pent	1
G00097DN	Xyl	1
G00104PH	*	13
G00104PH	Fuc	1
G00104PH	Gal	2
G00104PH	GlcNAc	6
G00104PH	Hex	5
G00104PH	HexNAc	6
G00104PH	Man	3
G00104PH	NeuAc	1
