GlyTouCanAccession	ChEBIAccession
G01299ER	CHEBI:146471
G01300OI	CHEBI:146473
G01308XT	CHEBI:146475
G01310VF	CHEBI:156742
G01316HN	CHEBI:146477
G01323LL	CHEBI:146480
G01325OU	CHEBI:146481
G01342FO	CHEBI:146484
G01354KL	CHEBI:146486
G01361CV	CHEBI:146488
G01361SX	CHEBI:146489
G01364ZC	CHEBI:146492
G01369KU	CHEBI:156756
G01378OV	CHEBI:157353
G01406RR	CHEBI:146496
G01414CL	CHEBI:146497
G01416HI	CHEBI:146500
G01437WY	CHEBI:157448
G01447WV	CHEBI:146502
G01450RG	CHEBI:146503
G01457KB	CHEBI:146505
G01464ES	CHEBI:146507
G01476WA	CHEBI:146511
G01521YU	CHEBI:146514
G01534TU	CHEBI:61243
G01540PE	CHEBI:146515
G01542OM	CHEBI:146517
G01545QB	CHEBI:78883
G01545QB	CHEBI:78889
G01546PE	CHEBI:146522
G01577DB	CHEBI:156929
G01580PZ	CHEBI:146523
G01590HD	CHEBI:146526
G01595DT	CHEBI:150385
G01595SM	CHEBI:146527
G01599BJ	CHEBI:146529
G01602LO	CHEBI:156807
G01612MY	CHEBI:146532
G01613KN	CHEBI:146533
G01614ZM	CHEBI:71602
G01625GQ	CHEBI:146535
G01629YL	CHEBI:146538
G01643LM	CHEBI:146541
G01650PH	CHEBI:61357
G01657UH	CHEBI:146543
G01665LU	CHEBI:146545
G01669LU	CHEBI:146547
G01670UQ	CHEBI:156629
G01685IB	CHEBI:146549
G01690DX	CHEBI:146551
G01707KB	CHEBI:146553
G01708UF	CHEBI:146555
G01713HS	CHEBI:146558
G01722HI	CHEBI:146559
G01727PW	CHEBI:146562
G01744JD	CHEBI:146564
G01747FB	CHEBI:146565
G01748MD	CHEBI:156822
G01749YL	CHEBI:146568
G01753LJ	CHEBI:154584
G01759NM	CHEBI:68587
G01760ZU	CHEBI:146569
G01767JJ	CHEBI:146572
G01778PX	CHEBI:146573
G01784XC	CHEBI:146576
G01789AQ	CHEBI:146577
G01801SZ	CHEBI:87520
G01822KD	CHEBI:157570
G01825JS	CHEBI:146580
G01846YN	CHEBI:146582
G01854VF	CHEBI:146583
G01856RL	CHEBI:156792
G01859LC	CHEBI:146586
G01866TT	CHEBI:77418
G01877VI	CHEBI:234104
G01923FT	CHEBI:146590
G01923XE	CHEBI:157129
G01935FK	CHEBI:70962
G01945QJ	CHEBI:146591
G01968NV	CHEBI:146594
G01986HE	CHEBI:146596
G01999JH	CHEBI:146598
G02020YO	CHEBI:146599
G02021XC	CHEBI:146602
G02025MF	CHEBI:156765
G02029PW	CHEBI:146604
G02032MW	CHEBI:146605
G02038LQ	CHEBI:146607
G02045OB	CHEBI:146609
G02081QK	CHEBI:146612
G02086TB	CHEBI:146613
G02122FK	CHEBI:146615
G02126PG	CHEBI:146618
G02145PB	CHEBI:146620
G02149VR	CHEBI:156678
G02152MS	CHEBI:146621
G02161CI	CHEBI:146623
G02162KR	CHEBI:146626
G02174FQ	CHEBI:146628
G02182MJ	CHEBI:146629
G02187VY	CHEBI:62484
G02193CV	CHEBI:146632
