GlyTouCanAccession	ChEBIAccession
G23726CO	CHEBI:148722
G23739FM	CHEBI:156904
G23747ZO	CHEBI:148725
G23755RZ	CHEBI:157494
G23765TI	CHEBI:148728
G23769RG	CHEBI:148731
G23770JR	CHEBI:148734
G23778GQ	CHEBI:148738
G23782GU	CHEBI:148740
G23782KP	CHEBI:148744
G23795SX	CHEBI:148746
G23799GS	CHEBI:148750
G23805AC	CHEBI:148753
G23817OE	CHEBI:148756
G23824AT	CHEBI:157196
G23824XF	CHEBI:148759
G23870PO	CHEBI:148762
G23887LS	CHEBI:59497
G23897ET	CHEBI:148768
G23901NY	CHEBI:157581
G23905VO	CHEBI:148771
G23909UE	CHEBI:148774
G23909XW	CHEBI:148777
G23925XC	CHEBI:148780
G23934WD	CHEBI:148782
G23935WM	CHEBI:148785
G23936WL	CHEBI:157075
G23997SS	CHEBI:148788
G24010VW	CHEBI:148791
G24030QV	CHEBI:148794
G24034CH	CHEBI:145595
G24034CH	CHEBI:60323
G24043SH	CHEBI:148797
G24065XI	CHEBI:148800
G24095BS	CHEBI:68544
G24106LF	CHEBI:157426
G24111IY	CHEBI:148806
G24112WF	CHEBI:61175
G24122ZI	CHEBI:148807
G24125FE	CHEBI:148811
G24142JB	CHEBI:178089
G24146KP	CHEBI:148814
G24151NT	CHEBI:148817
G24155DW	CHEBI:148820
G24199JF	CHEBI:148823
G24199RH	CHEBI:148826
G24229GD	CHEBI:148829
G24249UG	CHEBI:148835
G24256XU	CHEBI:148837
G24259NZ	CHEBI:148840
G24270KX	CHEBI:65183
G24274RK	CHEBI:157140
G24283IO	CHEBI:148843
G24284HU	CHEBI:148846
G24285GM	CHEBI:148849
G24292VT	CHEBI:148852
G24324FL	CHEBI:137168
G24324FL	CHEBI:138020
G24324FL	CHEBI:145596
G24327OK	CHEBI:148855
G24336IA	CHEBI:148857
G24346JZ	CHEBI:148861
G24355OK	CHEBI:148864
G24359EO	CHEBI:148866
G24363HJ	CHEBI:148874
G24364HL	CHEBI:148876
G24373DO	CHEBI:148878
G24381FI	CHEBI:68428
G24384AP	CHEBI:148882
G24399RI	CHEBI:148885
G24413UY	CHEBI:148888
G24418EH	CHEBI:148891
G24420RT	CHEBI:148894
G24432YB	CHEBI:62330
G24435DN	CHEBI:148897
G24436CD	CHEBI:148900
G24464VD	CHEBI:192715
G24464VD	CHEBI:76821
G24465EF	CHEBI:148903
G24499XE	CHEBI:63013
G24504JY	CHEBI:148906
G24516WB	CHEBI:156840
G24517QL	CHEBI:148909
G24529NQ	CHEBI:148912
G24547WU	CHEBI:148915
G24552KE	CHEBI:148918
G24553WE	CHEBI:148921
G24568RE	CHEBI:148922
G24585JV	CHEBI:148926
G24593RG	CHEBI:148929
G24596ML	CHEBI:148932
G24599MW	CHEBI:145887
G24599MW	CHEBI:61901
G24599MW	CHEBI:61942
G24604HV	CHEBI:70853
G24606EO	CHEBI:148937
G24614TR	CHEBI:148941
G24620AI	CHEBI:132521
G24620AI	CHEBI:134003
G24620AI	CHEBI:145597
G24621KS	CHEBI:148945
G24635ZS	CHEBI:148951
G24658ID	CHEBI:148953
G24668UI	CHEBI:148956
G24673RP	CHEBI:148961
G24674CB	CHEBI:148964
G24705DL	CHEBI:148967
G24720OO	CHEBI:148969
G24739SA	CHEBI:148972
G24748QU	CHEBI:148976
G24752UA	CHEBI:148978
G24757TB	CHEBI:167485
G24758NZ	CHEBI:148982
G24766QM	CHEBI:148984
G24768CX	CHEBI:148987
G24769QK	CHEBI:148990
G24771HE	CHEBI:148993
G24790LX	CHEBI:148996
G24791UN	CHEBI:148999
G24797UH	CHEBI:149005
G24798BT	CHEBI:149008
G24812WY	CHEBI:149011
G24816DA	CHEBI:149014
G24830VD	CHEBI:149017
G24833OQ	CHEBI:149020
G24841EW	CHEBI:149023
G24856YP	CHEBI:156721
G24862OS	CHEBI:149026
G24875YE	CHEBI:149029
G24888ZY	CHEBI:149032
G24920KE	CHEBI:149037
G24936MG	CHEBI:149039
G24946XU	CHEBI:157058
G24970IL	CHEBI:157449
G24978QU	CHEBI:149042
G24984RR	CHEBI:157230
G24987DS	CHEBI:149044
G24994OK	CHEBI:149049
G25009PP	CHEBI:149053
G25038UO	CHEBI:149057
G25052RV	CHEBI:149059
G25084TN	CHEBI:149062
G25096GQ	CHEBI:149065
G25097RR	CHEBI:149068
G25127JU	CHEBI:156725
G25129BT	CHEBI:149071
G25132GJ	CHEBI:149074
G25140TA	CHEBI:149077
G25141CV	CHEBI:149080
G25144YW	CHEBI:149086
G25146DY	CHEBI:149088
G25155KV	CHEBI:149092
G25162JS	CHEBI:149094
G25178FO	CHEBI:149097
G25216QA	CHEBI:157492
G25224QY	CHEBI:149100
G25267WV	CHEBI:149103
G25268QT	CHEBI:149105
G25280VW	CHEBI:149109
G25285RC	CHEBI:149112
G25319CA	CHEBI:149117
G25322NY	CHEBI:156722
G25323VU	CHEBI:149118
G25325YE	CHEBI:149121
G25326BM	CHEBI:149123
G25328BM	CHEBI:149125
G25340RJ	CHEBI:156878
G25340ZY	CHEBI:149128
G25350TT	CHEBI:149131
G25382JX	CHEBI:149136
G25392ZR	CHEBI:149139
G25406HP	CHEBI:149142
G25407RZ	CHEBI:67165
G25421NH	CHEBI:149144
G25429RR	CHEBI:149147
G25435RM	CHEBI:149149
G25457IZ	CHEBI:149152
G25459WN	CHEBI:149155
G25460BQ	CHEBI:149157
G25463XU	CHEBI:148441
G25471IM	CHEBI:148443
G25471TG	CHEBI:148446
G25495SR	CHEBI:148452
G25497SH	CHEBI:157250
G25498HI	CHEBI:148455
G25505UF	CHEBI:148459
G25520XG	CHEBI:148462
G25529RM	CHEBI:148465
G25538MM	CHEBI:148466
G25559RS	CHEBI:148470
G25566KR	CHEBI:148472
G25571LJ	CHEBI:148475
G25577BM	CHEBI:91284
G25582HX	CHEBI:148478
G25615CH	CHEBI:65145
G25615DN	CHEBI:148481
G25632TA	CHEBI:148483
G25640AW	CHEBI:148486
G25651TK	CHEBI:62099
G25654KH	CHEBI:148489
G25674WK	CHEBI:148491
G25702YU	CHEBI:156494
G25705WX	CHEBI:148503
G25708EF	CHEBI:148506
G25731WL	CHEBI:148509
G25744PP	CHEBI:156824
G25757VW	CHEBI:148511
G25757VY	CHEBI:148513
G25764DO	CHEBI:148516
G25776XU	CHEBI:148519
G25778VW	CHEBI:157277
G25787HL	CHEBI:87557
G25796EC	CHEBI:148522
G25799AL	CHEBI:148525
G25833JG	CHEBI:148529
G25835MT	CHEBI:148531
G25835YC	CHEBI:148534
G25845BH	CHEBI:156589
G25846VM	CHEBI:148537
G25853OY	CHEBI:148540
G25865TC	CHEBI:156901
G25869EQ	CHEBI:148543
G25869ML	CHEBI:148546
G25873ET	CHEBI:148549
G25886YT	CHEBI:148552
G25890BU	CHEBI:148555
G25891YZ	CHEBI:148558
G25894QG	CHEBI:148561
G25900SO	CHEBI:148563
G25900WY	CHEBI:148566
G25902AL	CHEBI:148569
G25937FN	CHEBI:148573
G25938VQ	CHEBI:148574
G25944NG	CHEBI:148579
G25953KD	CHEBI:148581
G25955UH	CHEBI:148584
G25958ES	CHEBI:148587
G25984CA	CHEBI:156714
G25984EB	CHEBI:148590
G26018HD	CHEBI:148592
G26021BY	CHEBI:148597
G26036PN	CHEBI:148600
G26039ES	CHEBI:34810
G26039ES	CHEBI:75323
G26047BG	CHEBI:148603
G26068PU	CHEBI:148607
G26069FK	CHEBI:148610
G26080SE	CHEBI:157167
G26097PL	CHEBI:138714
G26099QK	CHEBI:148615
G26099QT	CHEBI:148619
G26121MN	CHEBI:148621
G26123AX	CHEBI:148624
G26148PQ	CHEBI:148627
G26150FI	CHEBI:148630
G26156WV	CHEBI:148633
G26160AS	CHEBI:148636
G26166QH	CHEBI:68439
G26176JA	CHEBI:148639
G26177RQ	CHEBI:156759
G26179TW	CHEBI:148641
G26182BM	CHEBI:148644
G26185YJ	CHEBI:148647
G26199BG	CHEBI:157428
G26203DP	CHEBI:148650
G26206DX	CHEBI:148653
G26206FJ	CHEBI:148656
G26215AL	CHEBI:148659
G26238GL	CHEBI:90508
G26264SQ	CHEBI:148665
G26269WV	CHEBI:148668
G26295XE	CHEBI:59034
G26298YO	CHEBI:148671
G26320VF	CHEBI:62795
G26320VO	CHEBI:157594
G26325MG	CHEBI:156696
G26326KX	CHEBI:148675
G26340RK	CHEBI:148677
G26358SO	CHEBI:148680
G26375KY	CHEBI:66584
G26383OK	CHEBI:148682
G26391HA	CHEBI:148685
G26394UA	CHEBI:148688
G26441FH	CHEBI:148690
G26452XA	CHEBI:148693
G26453HS	CHEBI:148696
G26459QM	CHEBI:145598
G26459QM	CHEBI:2897
G26471XA	CHEBI:156796
G26472EX	CHEBI:148699
G26473JD	CHEBI:148703
G26474XX	CHEBI:157045
G26493OD	CHEBI:148706
G26497EU	CHEBI:148709
G26508HK	CHEBI:148712
G26527XD	CHEBI:148715
G26537DD	CHEBI:148718
G26551VB	CHEBI:148721
G26555CS	CHEBI:65176
G26570RB	CHEBI:148724
G26596ON	CHEBI:148727
G26602MZ	CHEBI:148730
G26640MK	CHEBI:148735
G26644CA	CHEBI:148737
G26653MA	CHEBI:148741
G26664GH	CHEBI:156797
G26678XQ	CHEBI:148743
G26690QG	CHEBI:157400
G26703BH	CHEBI:148747
G26705YO	CHEBI:148749
G26709HU	CHEBI:148752
G26713RV	CHEBI:148755
G26714ZK	CHEBI:148758
G26719SL	CHEBI:148761
G26724PP	CHEBI:157301
G26725PG	CHEBI:148763
G26730QM	CHEBI:148766
G26756SJ	CHEBI:148769
G26756UI	CHEBI:148772
G26768BK	CHEBI:148775
G26777KI	CHEBI:156875
G26795PW	CHEBI:148781
G26830YK	CHEBI:148784
G26835MN	CHEBI:148787
G26877ST	CHEBI:148793
G26881SV	CHEBI:148796
G26885EH	CHEBI:148799
G26892SG	CHEBI:148804
G26897XI	CHEBI:148808
G26899ZP	CHEBI:148810
G26915TH	CHEBI:148813
G26929DQ	CHEBI:62506
G26934CO	CHEBI:64630
G26939ZY	CHEBI:148816
G26949IX	CHEBI:148819
G26983UO	CHEBI:148822
G26985TZ	CHEBI:148825
G27000YJ	CHEBI:148828
G27025MB	CHEBI:28037
G27025MB	CHEBI:55404
G27030ZC	CHEBI:157588
G27040MJ	CHEBI:148834
G27041VC	CHEBI:148838
G27048LG	CHEBI:148841
G27067YD	CHEBI:148844
G27071PO	CHEBI:148847
G27110FB	CHEBI:148850
G27119UQ	CHEBI:148853
G27139SJ	CHEBI:148856
G27148YF	CHEBI:148859
G27149SR	CHEBI:148862
G27162RL	CHEBI:148865
G27170NH	CHEBI:148871
G27171ZS	CHEBI:148873
G27179AJ	CHEBI:148875
G27180BG	CHEBI:148881
G27188NC	CHEBI:148884
G27223TE	CHEBI:148887
G27236KE	CHEBI:148890
G27243GN	CHEBI:148892
G27243WR	CHEBI:148895
G27248RA	CHEBI:148898
G27253QP	CHEBI:148902
G27263RW	CHEBI:148904
G27273FD	CHEBI:148908
G27289CV	CHEBI:27527
G27290NP	CHEBI:157082
G27293OK	CHEBI:157005
G27314YB	CHEBI:148913
G27316ME	CHEBI:148916
G27338ID	CHEBI:148919
G27345TX	CHEBI:157385
G27384IP	CHEBI:148923
G27385LP	CHEBI:148925
G27389SR	CHEBI:148928
G27396TN	CHEBI:156606
G27403GX	CHEBI:148931
G27419MQ	CHEBI:148934
G27431EQ	CHEBI:148936
G27456PF	CHEBI:157307
G27473KH	CHEBI:148942
G27478HS	CHEBI:148944
G27491ZO	CHEBI:148948
G27516AE	CHEBI:148950
G27535EB	CHEBI:148954
G27560AI	CHEBI:148957
G27565SZ	CHEBI:148959
G27571QK	CHEBI:148962
G27587OB	CHEBI:148965
G27589TC	CHEBI:148968
G27603XJ	CHEBI:148971
G27606SJ	CHEBI:148974
G27609YZ	CHEBI:148977
G27626TX	CHEBI:148980
G27628XK	CHEBI:148983
G27655DO	CHEBI:148986
G27669AF	CHEBI:148992
G27676JU	CHEBI:148995
G27688CW	CHEBI:148998
G27692UI	CHEBI:149001
G27699QO	CHEBI:149004
G27720WY	CHEBI:149007
G27749HZ	CHEBI:149010
G27751YT	CHEBI:149013
G27775IZ	CHEBI:145599
G27775IZ	CHEBI:31632
G27775IZ	CHEBI:61033
G27775IZ	CHEBI:61038
G27776KI	CHEBI:149016
G27776PG	CHEBI:149019
G27780SA	CHEBI:149022
G27781JL	CHEBI:149024
G27783HI	CHEBI:149027
G27786ED	CHEBI:60477
G27798EJ	CHEBI:18217
G27798EJ	CHEBI:82651
G27809HS	CHEBI:149030
G27817KG	CHEBI:149034
G27818GJ	CHEBI:84943
G27839GC	CHEBI:149035
G27844UM	CHEBI:149038
G27870HB	CHEBI:149043
G27872PV	CHEBI:149046
G27874QL	CHEBI:149048
G27875ET	CHEBI:149050
G27888XB	CHEBI:149054
G27889FI	CHEBI:149056
G27911BB	CHEBI:149060
G27919IH	CHEBI:149063
G27929ZE	CHEBI:149066
G27941QU	CHEBI:149072
G27946NT	CHEBI:149075
G27960EQ	CHEBI:149078
G27967WE	CHEBI:157537
G27974HN	CHEBI:149081
G27995KI	CHEBI:149087
G28052FT	CHEBI:85792
G28056PS	CHEBI:149090
G28072NK	CHEBI:149093
G28073DK	CHEBI:149096
G28086YG	CHEBI:149099
G28106CM	CHEBI:157573
G28114SX	CHEBI:156958
G28116PK	CHEBI:149102
G28132XE	CHEBI:149107
G28146GV	CHEBI:149110
G28148HG	CHEBI:68541
G28165JK	CHEBI:142494
G28174GA	CHEBI:149115
G28218GE	CHEBI:149120
G28226YW	CHEBI:157121
G28233ME	CHEBI:91280
G28247OU	CHEBI:157107
G28248WK	CHEBI:149129
G28261RX	CHEBI:149132
G28270TZ	CHEBI:149137
G28274SP	CHEBI:149140
G28281DE	CHEBI:53020
G28288SL	CHEBI:149145
G28298VW	CHEBI:149148
G28326EU	CHEBI:149154
G28327SH	CHEBI:149158
G28330DZ	CHEBI:149161
G28330EF	CHEBI:149164
G28331VY	CHEBI:149166
G28337WM	CHEBI:157551
G28355WG	CHEBI:149169
G28371PC	CHEBI:149172
G28405NV	CHEBI:148440
G28420BK	CHEBI:78271
G28436PZ	CHEBI:148444
G28436VD	CHEBI:148447
G28449NP	CHEBI:148451
G28454KX	CHEBI:148454
G28459KM	CHEBI:148457
G28466RE	CHEBI:148460
G28477UY	CHEBI:148463
G28505XN	CHEBI:148468
G28528AG	CHEBI:148471
G28550OD	CHEBI:148474
G28553JC	CHEBI:131593
G28553JC	CHEBI:90988
G28558PZ	CHEBI:148477
G28562FF	CHEBI:148480
G28566CQ	CHEBI:148484
G28615QI	CHEBI:157027
G28637OT	CHEBI:148492
G28651UO	CHEBI:157450
G28654UV	CHEBI:148495
G28659UB	CHEBI:87558
G28663KH	CHEBI:71485
G28678TH	CHEBI:148498
G28694FA	CHEBI:148501
G28707FT	CHEBI:148504
G28720MP	CHEBI:148508
G28723UT	CHEBI:157259
G28736DK	CHEBI:148512
G28747XN	CHEBI:148515
G28754WB	CHEBI:156754
G28800UK	CHEBI:148518
G28801XY	CHEBI:148521
G28817KG	CHEBI:148524
G28855FB	CHEBI:148530
G28868PL	CHEBI:148533
G28868ZC	CHEBI:15679
G28868ZC	CHEBI:71943
G28868ZC	CHEBI:85039
G28878FC	CHEBI:148536
G28882QV	CHEBI:148539
G28896CL	CHEBI:148541
G28911EK	CHEBI:148545
G28947UJ	CHEBI:148548
G28948UC	CHEBI:148551
G28960YA	CHEBI:148554
G28962GO	CHEBI:148557
G28987BJ	CHEBI:148560
G28998FZ	CHEBI:148564
G29011DA	CHEBI:148567
G29011JC	CHEBI:148570
G29014XV	CHEBI:68608
G29024OJ	CHEBI:148572
G29025YS	CHEBI:148575
G29039FY	CHEBI:157023
G29042WW	CHEBI:148582
G29046MX	CHEBI:156806
G29055YG	CHEBI:148585
G29056SI	CHEBI:148588
G29057GU	CHEBI:138712
G29063PN	CHEBI:148593
G29064GI	CHEBI:148596
G29065KQ	CHEBI:156941
G29070AW	CHEBI:148598
G29074HW	CHEBI:148601
G29078QN	CHEBI:148605
G29084XK	CHEBI:145601
G29084XK	CHEBI:6405
G29091RS	CHEBI:148608
G29130SY	CHEBI:148613
G29138OW	CHEBI:148616
G29142KQ	CHEBI:148618
G29144HY	CHEBI:148622
G29147GG	CHEBI:148625
G29157QS	CHEBI:148628
G29159BL	CHEBI:148631
G29159YJ	CHEBI:148635
G29159ZA	CHEBI:148638
G29191ST	CHEBI:148642
G29213NK	CHEBI:148645
G29231AT	CHEBI:148649
G29237TW	CHEBI:156691
G29247YS	CHEBI:148655
G29248WR	CHEBI:148658
G29288DT	CHEBI:148660
G29290EB	CHEBI:148663
G29298GZ	CHEBI:148666
G29301NP	CHEBI:91278
G29313LW	CHEBI:59584
G29316WB	CHEBI:148669
G29326OK	CHEBI:148672
G29348FH	CHEBI:148674
G29352IK	CHEBI:173278
G29369RY	CHEBI:148678
G29377XJ	CHEBI:148681
G29386CS	CHEBI:148684
G29391VY	CHEBI:148687
G29393FW	CHEBI:157064
G29406SZ	CHEBI:148691
G29432PD	CHEBI:157346
G29434RB	CHEBI:148694
G29434SO	CHEBI:156884
G29440SE	CHEBI:72465
G29443MC	CHEBI:148697
G29445ZK	CHEBI:148700
G29449JO	CHEBI:148704
G29461HI	CHEBI:148707
G29470MA	CHEBI:148710
G29481IZ	CHEBI:148713
G29483FZ	CHEBI:148717
G29487JS	CHEBI:71355
G29489PN	CHEBI:148719
G29492IF	CHEBI:148723
G29495CE	CHEBI:148726
G29519AS	CHEBI:148729
G29548YX	CHEBI:68442
G29570QA	CHEBI:61765
G29584FT	CHEBI:148733
G29584RP	CHEBI:76035
G29584RP	CHEBI:76041
G29587NV	CHEBI:156770
G29616NS	CHEBI:148736
G29617QF	CHEBI:148739
G29619BL	CHEBI:148742
G29622NE	CHEBI:148745
G29628IK	CHEBI:148748
G29633ZY	CHEBI:148751
G29644TC	CHEBI:148754
G29665AE	CHEBI:148757
G29676WX	CHEBI:148760
G29695SR	CHEBI:156708
G29703NT	CHEBI:85054
G29705AO	CHEBI:148764
G29729BX	CHEBI:148767
G29729DB	CHEBI:148770
G29751MN	CHEBI:61851
G29764SO	CHEBI:148776
G29777ZC	CHEBI:148779
G29783MB	CHEBI:148783
G29787UO	CHEBI:148786
G29797YX	CHEBI:148789
G29799SM	CHEBI:148792
G29803MG	CHEBI:148795
G29849JL	CHEBI:148798
G29849KU	CHEBI:148803
G29850BY	CHEBI:148805
G29857PJ	CHEBI:148809
G29857RC	CHEBI:148812
G29867LB	CHEBI:148815
G29870RM	CHEBI:148818
G29884LW	CHEBI:148821
G29895LZ	CHEBI:148824
G29905OR	CHEBI:148827
G29907JM	CHEBI:148830
G29911XO	CHEBI:148833
G29914BX	CHEBI:148836
G29949IO	CHEBI:148839
G29965VW	CHEBI:148845
G29966LR	CHEBI:64166
G29966WK	CHEBI:157321
G29971IY	CHEBI:148848
G29972ZX	CHEBI:156737
G29995RP	CHEBI:148851
G30011VO	CHEBI:148858
G30035MO	CHEBI:148860
G30060ZO	CHEBI:148863
G30062BR	CHEBI:148867
G30085SO	CHEBI:148870
G30109UP	CHEBI:148872
G30115SP	CHEBI:148877
G30131YB	CHEBI:148880
G30159WR	CHEBI:148883
G30187JM	CHEBI:148886
G30192OA	CHEBI:148889
G30207PZ	CHEBI:27499
G30207PZ	CHEBI:63155
G30233OG	CHEBI:148893
G30239EK	CHEBI:148896
G30241UB	CHEBI:148899
G30255XL	CHEBI:148901
G30284BK	CHEBI:148905
G30285SX	CHEBI:148907
G30292OP	CHEBI:148911
G30293NE	CHEBI:148914
G30294CC	CHEBI:148917
G30295SC	CHEBI:148920
G30299SS	CHEBI:157030
G30302VM	CHEBI:148924
G30304IT	CHEBI:157376
G30308ZS	CHEBI:148927
G30309UU	CHEBI:63234
G30314VR	CHEBI:148933
G30319FW	CHEBI:148935
G30347FC	CHEBI:148943
G30350VC	CHEBI:148946
G30352SX	CHEBI:148949
G30352TK	CHEBI:148952
G30372CO	CHEBI:148955
G30372WK	CHEBI:148958
G30377PI	CHEBI:148960
G30392XP	CHEBI:157060
G30395OK	CHEBI:148963
G30416OM	CHEBI:148970
G30434QC	CHEBI:148973
G30437YI	CHEBI:148975
G30447NS	CHEBI:148979
G30458QX	CHEBI:62479
G30458QX	CHEBI:62482
G30460NZ	CHEBI:148981
G30483FB	CHEBI:148985
G30505TQ	CHEBI:148988
G30514JJ	CHEBI:157065
G30519DD	CHEBI:148991
G30524AR	CHEBI:148994
G30524IG	CHEBI:156718
G30529FG	CHEBI:148997
G30542PN	CHEBI:149000
G30553WH	CHEBI:149003
G30558XQ	CHEBI:71042
G30567WW	CHEBI:145602
G30567WW	CHEBI:7739
G30569KZ	CHEBI:149006
G30586ZX	CHEBI:87993
G30590EC	CHEBI:149009
G30590KA	CHEBI:149012
G30609WQ	CHEBI:156957
G30618VC	CHEBI:149015
G30627OI	CHEBI:157418
G30647NK	CHEBI:157164
G30651IU	CHEBI:149018
G30666MK	CHEBI:149021
G30673AC	CHEBI:149025
G30681ZA	CHEBI:149028
G30687DL	CHEBI:157526
G30691VK	CHEBI:149031
G30694RX	CHEBI:171663
G30697FM	CHEBI:149033
G30702UA	CHEBI:149036
G30704AF	CHEBI:149040
G30727EY	CHEBI:149041
G30737ZF	CHEBI:157233
G30739AG	CHEBI:149045
G30762QR	CHEBI:149047
G30781KG	CHEBI:149052
G30807YB	CHEBI:62662
G30816RB	CHEBI:149055
G30816RQ	CHEBI:62274
G30816RQ	CHEBI:62275
G30857WQ	CHEBI:149058
G30862PA	CHEBI:149061
G30868KJ	CHEBI:149064
G30871VQ	CHEBI:149067
G30880PX	CHEBI:149070
G30880RA	CHEBI:149073
G30880YI	CHEBI:149076
G30897RJ	CHEBI:149079
G30901GC	CHEBI:149082
G30913DJ	CHEBI:149085
G30915AU	CHEBI:149089
G30917DM	CHEBI:149091
G30925QW	CHEBI:149095
G30941LW	CHEBI:149098
G30966TU	CHEBI:149101
G30969JI	CHEBI:149104
G30975WS	CHEBI:157541
G30982YZ	CHEBI:149106
G30996QM	CHEBI:149108
G30998FW	CHEBI:149111
G31019WF	CHEBI:149119
G31032XG	CHEBI:149122
G31037WG	CHEBI:149124
G31040SL	CHEBI:149127
G31041QW	CHEBI:149130
G31042LK	CHEBI:149133
G31060JS	CHEBI:149135
G31116GS	CHEBI:149138
G31119YY	CHEBI:71651
G31156QG	CHEBI:149143
G31175IC	CHEBI:149150
G31183DQ	CHEBI:149151
G31186LT	CHEBI:149153
G31196DF	CHEBI:149156
G31209FL	CHEBI:149159
G31213GU	CHEBI:149160
G31220IW	CHEBI:149162
G31224UP	CHEBI:149163
G31249PS	CHEBI:149167
G31265VL	CHEBI:149168
G31294RU	CHEBI:157462
G31323MO	CHEBI:149170
G31331FO	CHEBI:149171
G31331MX	CHEBI:149173
G31337GK	CHEBI:149175
G31360PH	CHEBI:149176
G31377ER	CHEBI:157079
G31379FM	CHEBI:149177
G31385PY	CHEBI:149178
G31404TK	CHEBI:149179
G31411GR	CHEBI:149180
G31416KB	CHEBI:149181
G31421EZ	CHEBI:149182
G31423NL	CHEBI:149183
G31432OQ	CHEBI:149184
G31457FJ	CHEBI:149185
G31470NX	CHEBI:149186
G31490MN	CHEBI:149187
G31493NN	CHEBI:149188
G31516NT	CHEBI:149189
G31520YP	CHEBI:157314
G31531YC	CHEBI:149190
G31540AF	CHEBI:149191
G31540HC	CHEBI:149192
G31555TF	CHEBI:157519
G31559RO	CHEBI:149193
G31564ST	CHEBI:149194
G31567WT	CHEBI:149195
G31587OK	CHEBI:149196
G31601FB	CHEBI:151527
G31604HF	CHEBI:149197
G31606TH	CHEBI:149198
G31616YD	CHEBI:149199
G31627MW	CHEBI:149200
G31637BB	CHEBI:149201
G31649CJ	CHEBI:149202
G31662BR	CHEBI:149203
G31668AP	CHEBI:149204
G31674LC	CHEBI:62350
G31679YU	CHEBI:149205
G31686QZ	CHEBI:149206
G31692TJ	CHEBI:149207
G31703US	CHEBI:149208
G31709QL	CHEBI:61636
G31713XX	CHEBI:149209
G31716EV	CHEBI:149210
G31720WP	CHEBI:149211
G31734OS	CHEBI:233966
G31734OS	CHEBI:63242
G31736BK	CHEBI:61190
G31740OZ	CHEBI:149212
G31761VE	CHEBI:145603
G31761VE	CHEBI:2856
G31773JI	CHEBI:149213
G31776ML	CHEBI:149214
G31806MI	CHEBI:149215
G31814VP	CHEBI:149216
G31816HU	CHEBI:149217
G31822CM	CHEBI:149218
G31831UH	CHEBI:149219
G31849TV	CHEBI:149220
G31865AG	CHEBI:71496
G31865PO	CHEBI:149222
G31883CF	CHEBI:149223
G31886NL	CHEBI:149224
G31943KG	CHEBI:149225
G31957VC	CHEBI:149227
G31962YX	CHEBI:149228
G31991IV	CHEBI:149229
G31993QW	CHEBI:149230
G31994GC	CHEBI:149231
G32061UE	CHEBI:149232
G32065BG	CHEBI:149233
G32079YD	CHEBI:149234
G32081WS	CHEBI:71640
G32082KI	CHEBI:149235
G32094CS	CHEBI:149236
G32112SX	CHEBI:149237
G32149KV	CHEBI:149238
G32152BH	CHEBI:149239
G32152BH	CHEBI:190510
G32156ZV	CHEBI:149240
G32165MO	CHEBI:149241
G32166DQ	CHEBI:149242
G32167RW	CHEBI:149243
G32173NW	CHEBI:149244
G32190EA	CHEBI:157271
G32201IL	CHEBI:149245
G32202OT	CHEBI:149246
G32215KN	CHEBI:149247
G32216IU	CHEBI:149248
G32218WF	CHEBI:157352
G32225VS	CHEBI:149249
G32227EH	CHEBI:149250
G32237WQ	CHEBI:149251
G32252UW	CHEBI:149252
G32253LY	CHEBI:156588
G32254QI	CHEBI:62313
G32283ZK	CHEBI:149253
G32305RZ	CHEBI:149255
G32315XS	CHEBI:149256
G32327EF	CHEBI:149257
G32357CK	CHEBI:149258
G32358YV	CHEBI:149259
G32364DF	CHEBI:149260
G32371XG	CHEBI:149261
G32377GZ	CHEBI:149262
G32386AG	CHEBI:149263
G32391RG	CHEBI:149264
G32397EL	CHEBI:145604
G32397EL	CHEBI:73988
G32397EL	CHEBI:74038
G32405GG	CHEBI:157171
G32417JV	CHEBI:157176
G32426JY	CHEBI:149265
G32430MQ	CHEBI:145605
G32430MQ	CHEBI:67978
G32461GF	CHEBI:149267
G32472DJ	CHEBI:149268
G32473MI	CHEBI:191207
G32473OI	CHEBI:156954
G32483HZ	CHEBI:149269
G32484KU	CHEBI:149270
G32510IZ	CHEBI:149271
G32540JJ	CHEBI:149272
G32556JI	CHEBI:149273
G32586BA	CHEBI:149274
G32588AA	CHEBI:149275
G32592IB	CHEBI:149276
G32611KT	CHEBI:149277
G32646BW	CHEBI:149278
G32648IV	CHEBI:157170
G32648VR	CHEBI:149279
G32659RY	CHEBI:149280
G32665EN	CHEBI:149281
G32679VL	CHEBI:62693
G32685CP	CHEBI:149282
G32685NO	CHEBI:149283
G32696NX	CHEBI:149284
G32698HD	CHEBI:149285
G32704TW	CHEBI:149286
G32715TG	CHEBI:149287
G32722PR	CHEBI:72545
G32723SL	CHEBI:71054
G32726WH	CHEBI:149288
G32735YJ	CHEBI:157134
G32744YO	CHEBI:149289
G32758HZ	CHEBI:149290
G32761XQ	CHEBI:149291
G32767PS	CHEBI:149292
G32773JJ	CHEBI:149293
G32776KY	CHEBI:149294
G32779JS	CHEBI:149295
G32780LD	CHEBI:149296
G32791GB	CHEBI:149297
G32796RQ	CHEBI:149298
G32801HX	CHEBI:149299
G32808NL	CHEBI:156644
G32816HT	CHEBI:149300
G32829EU	CHEBI:149301
G32851DU	CHEBI:149302
G32851KR	CHEBI:149303
G32862WC	CHEBI:156743
G32863IR	CHEBI:157369
G32883QH	CHEBI:149305
G32889SE	CHEBI:68466
G32915BP	CHEBI:149306
