GlyTouCanAccession	UniCarbDBID
G62989ND	29402
G63241SG	28984
G63377SE	29715
G63550TC	29545
G63612SE	28951
G63978FG	29942
G64164CA	29198
G64661YG	1523
G64774WV	29583
G64959IQ	28443
