GlyTouCanAccession	Resource	EntryID
G12323LI	glycosmos	G12323LI
G12323TD	glycosmos	G12323TD
G12323YM	glycosmos	G12323YM
G12324HC	glycosmos	G12324HC
G12325AL	glycosmos	G12325AL
G12326BR	glycosmos	G12326BR
G12326DF	glycosmos	G12326DF
G12326EP	glycosmos	G12326EP
G12326OS	glycosmos	G12326OS
G12326WP	glycosmos	G12326WP
G12327QH	glycosmos	G12327QH
G12327XA	glycosmos	G12327XA
G12327XV	glycosmos	G12327XV
G12328QQ	glycosmos	G12328QQ
G12329AZ	glycosmos	G12329AZ
G12329JI	glycosmos	G12329JI
G12330AR	glycosmos	G12330AR
G12330ST	glycosmos	G12330ST
G12330WA	glycosmos	G12330WA
G12331EL	glycosmos	G12331EL
G12331TD	glycosmos	G12331TD
G12332AS	glycosmos	G12332AS
G12332SI	glycosmos	G12332SI
G12333PK	glycosmos	G12333PK
G12334AD	glycosmos	G12334AD
G12334FX	glycosmos	G12334FX
G12334KX	glycosmos	G12334KX
G12335DC	glycosmos	G12335DC
G12335EJ	glycosmos	G12335EJ
G12335EL	glycosmos	G12335EL
G12335TV	glycosmos	G12335TV
G12335VF	glycosmos	G12335VF
G12336BR	glycosmos	G12336BR
G12337HT	glycosmos	G12337HT
G12337KT	glycosmos	G12337KT
G12337MH	glycosmos	G12337MH
G12337PW	glycosmos	G12337PW
G12337UX	glycosmos	G12337UX
G12338DQ	glycosmos	G12338DQ
G12338JI	glycosmos	G12338JI
G12338OK	glycosmos	G12338OK
G12338WD	glycosmos	G12338WD
G12339WZ	glycosmos	G12339WZ
G12340GZ	glycosmos	G12340GZ
G12340JM	glycosmos	G12340JM
G12340QR	glycosmos	G12340QR
G12340VN	glycosmos	G12340VN
G12341GU	glycosmos	G12341GU
G12341SH	glycosmos	G12341SH
G12343JD	glycosmos	G12343JD
G12343NQ	glycosmos	G12343NQ
G12343RI	glycosmos	G12343RI
G12343UL	glycosmos	G12343UL
G12344AO	glycosmos	G12344AO
G12344EB	glycosmos	G12344EB
G12344QQ	glycosmos	G12344QQ
G12344UQ	glycosmos	G12344UQ
G12345BK	glycosmos	G12345BK
G12345FC	glycosmos	G12345FC
G12345GZ	glycosmos	G12345GZ
G12345ZT	glycosmos	G12345ZT
G12347BG	glycosmos	G12347BG
G12347FB	glycosmos	G12347FB
G12347KR	glycosmos	G12347KR
G12347NG	glycosmos	G12347NG
G12347ZH	glycosmos	G12347ZH
G12348WV	glycosmos	G12348WV
G12349OO	glycosmos	G12349OO
G12350CH	glycosmos	G12350CH
G12350DB	glycosmos	G12350DB
G12350GP	glycosmos	G12350GP
G12350HG	glycosmos	G12350HG
G12350KD	glycosmos	G12350KD
G12351NS	glycosmos	G12351NS
G12352BP	glycosmos	G12352BP
G12352CI	glycosmos	G12352CI
G12352KP	glycosmos	G12352KP
G12352RJ	glycosmos	G12352RJ
G12352UM	glycosmos	G12352UM
G12353XR	glycosmos	G12353XR
G12354RO	glycosmos	G12354RO
G12354WG	glycosmos	G12354WG
G12355CO	glycosmos	G12355CO
G12355HR	glycosmos	G12355HR
G12355NI	glycosmos	G12355NI
G12356AB	glycosmos	G12356AB
G12357AA	glycosmos	G12357AA
G12357FR	glycosmos	G12357FR
G12357XZ	glycosmos	G12357XZ
G12357ZC	glycosmos	G12357ZC
G12357ZT	glycosmos	G12357ZT
G12358CV	glycosmos	G12358CV
G12358HV	glycosmos	G12358HV
G12358MX	glycosmos	G12358MX
G12358RR	glycosmos	G12358RR
G12358WU	glycosmos	G12358WU
G12359IX	glycosmos	G12359IX
G12359JB	glycosmos	G12359JB
G12359QQ	glycosmos	G12359QQ
G12360CK	glycosmos	G12360CK
G12360RT	glycosmos	G12360RT
G12360SD	glycosmos	G12360SD
G12362BI	glycosmos	G12362BI
G12362CU	glycosmos	G12362CU
G12362GZ	glycosmos	G12362GZ
G12362WH	glycosmos	G12362WH
G12363BG	glycosmos	G12363BG
G12363FK	glycosmos	G12363FK
G12363UF	glycosmos	G12363UF
G12364CZ	glycosmos	G12364CZ
G12364DQ	glycosmos	G12364DQ
G12364OD	glycosmos	G12364OD
G12365LP	glycosmos	G12365LP
G12365RQ	glycosmos	G12365RQ
G12365YY	glycosmos	G12365YY
G12366AF	glycosmos	G12366AF
G12366BT	glycosmos	G12366BT
G12366KR	glycosmos	G12366KR
G12366YT	glycosmos	G12366YT
G12367BZ	glycosmos	G12367BZ
G12367CT	glycosmos	G12367CT
G12367MC	glycosmos	G12367MC
G12367RQ	glycosmos	G12367RQ
G12368RQ	glycosmos	G12368RQ
G12368YH	glycosmos	G12368YH
G12370CZ	glycosmos	G12370CZ
G12370GH	glycosmos	G12370GH
G12370HR	glycosmos	G12370HR
G12370WT	glycosmos	G12370WT
G12371GV	glycosmos	G12371GV
G12371RP	glycosmos	G12371RP
G12371UH	glycosmos	G12371UH
G12371YL	glycosmos	G12371YL
G12372CW	glycosmos	G12372CW
G12372LH	glycosmos	G12372LH
G12372VH	glycosmos	G12372VH
G12373EZ	glycosmos	G12373EZ
G12373LL	glycosmos	G12373LL
G12374CU	glycosmos	G12374CU
G12374LP	glycosmos	G12374LP
G12374QA	glycosmos	G12374QA
G12375UP	glycosmos	G12375UP
G12376HI	glycosmos	G12376HI
G12376KJ	glycosmos	G12376KJ
G12376RN	glycosmos	G12376RN
G12377MX	glycosmos	G12377MX
G12377ZL	glycosmos	G12377ZL
G12378GA	glycosmos	G12378GA
G12378KS	glycosmos	G12378KS
G12379MQ	glycosmos	G12379MQ
G12379UK	glycosmos	G12379UK
G12380RC	glycosmos	G12380RC
G12381AJ	glycosmos	G12381AJ
G12381BC	glycosmos	G12381BC
G12381VF	glycosmos	G12381VF
G12382EZ	glycosmos	G12382EZ
G12382MM	glycosmos	G12382MM
G12382VW	glycosmos	G12382VW
G12382ZO	glycosmos	G12382ZO
G12384BQ	glycosmos	G12384BQ
G12384HP	glycosmos	G12384HP
G12384RD	glycosmos	G12384RD
G12385HJ	glycosmos	G12385HJ
G12385JC	glycosmos	G12385JC
G12385TN	glycosmos	G12385TN
G12386ZH	glycosmos	G12386ZH
G12387EN	glycosmos	G12387EN
G12387UP	glycosmos	G12387UP
G12388HH	glycosmos	G12388HH
G12388SI	glycosmos	G12388SI
G12389NM	glycosmos	G12389NM
G12389QF	glycosmos	G12389QF
G12390CG	glycosmos	G12390CG
G12391HM	glycosmos	G12391HM
G12391OS	glycosmos	G12391OS
G12392NT	glycosmos	G12392NT
G12392OC	glycosmos	G12392OC
G12392OS	glycosmos	G12392OS
G12392PZ	glycosmos	G12392PZ
G12392WU	glycosmos	G12392WU
G12393CD	glycosmos	G12393CD
G12393EZ	glycosmos	G12393EZ
G12393MQ	glycosmos	G12393MQ
G12393SJ	glycosmos	G12393SJ
G12394RG	glycosmos	G12394RG
G12395HL	glycosmos	G12395HL
G12395NJ	glycosmos	G12395NJ
G12395OP	glycosmos	G12395OP
G12396GB	glycosmos	G12396GB
G12396JS	glycosmos	G12396JS
G12396QP	glycosmos	G12396QP
G12398HZ	glycosmos	G12398HZ
G12398RI	glycosmos	G12398RI
G12399AJ	glycosmos	G12399AJ
G12399EV	glycosmos	G12399EV
G12399KL	glycosmos	G12399KL
G12399UQ	glycosmos	G12399UQ
G12400OQ	glycosmos	G12400OQ
G12400PA	glycosmos	G12400PA
G12401BK	glycosmos	G12401BK
G12401OZ	glycosmos	G12401OZ
G12401SX	glycosmos	G12401SX
G12401SY	glycosmos	G12401SY
G12402IM	glycosmos	G12402IM
G12402PU	glycosmos	G12402PU
G12402SG	glycosmos	G12402SG
G12402ZR	glycosmos	G12402ZR
G12403TU	glycosmos	G12403TU
G12404LF	glycosmos	G12404LF
G12404PU	glycosmos	G12404PU
G12404WR	glycosmos	G12404WR
G12405FK	glycosmos	G12405FK
G12405JG	glycosmos	G12405JG
G12405TR	glycosmos	G12405TR
G12406BQ	glycosmos	G12406BQ
G12406IJ	glycosmos	G12406IJ
G12406JE	glycosmos	G12406JE
G12406MX	glycosmos	G12406MX
G12406PI	glycosmos	G12406PI
G12407EC	glycosmos	G12407EC
G12407VY	glycosmos	G12407VY
G12407XG	glycosmos	G12407XG
G12408EH	glycosmos	G12408EH
G12408OX	glycosmos	G12408OX
G12408TX	glycosmos	G12408TX
G12408XM	glycosmos	G12408XM
G12410BU	glycosmos	G12410BU
G12410QD	glycosmos	G12410QD
G12410UL	glycosmos	G12410UL
G12410WU	glycosmos	G12410WU
G12411BS	glycosmos	G12411BS
G12411RU	glycosmos	G12411RU
G12411ZT	glycosmos	G12411ZT
G12411ZY	glycosmos	G12411ZY
G12413GM	glycosmos	G12413GM
G12413VK	glycosmos	G12413VK
G12413WX	glycosmos	G12413WX
G12413YF	glycosmos	G12413YF
G12414SX	glycosmos	G12414SX
G12415ST	glycosmos	G12415ST
G12415VS	glycosmos	G12415VS
G12415WS	glycosmos	G12415WS
G12416YD	glycosmos	G12416YD
G12417OE	glycosmos	G12417OE
G12418BF	glycosmos	G12418BF
G12418OZ	glycosmos	G12418OZ
G12418QF	glycosmos	G12418QF
G12419RB	glycosmos	G12419RB
G12420LY	glycosmos	G12420LY
G12420PM	glycosmos	G12420PM
G12421PA	glycosmos	G12421PA
G12421WZ	glycosmos	G12421WZ
G12422EO	glycosmos	G12422EO
G12422FH	glycosmos	G12422FH
G12422ZG	glycosmos	G12422ZG
G12423RN	glycosmos	G12423RN
G12423WE	glycosmos	G12423WE
G12424ST	glycosmos	G12424ST
G12424TF	glycosmos	G12424TF
G12425BW	glycosmos	G12425BW
G12425GL	glycosmos	G12425GL
G12425WW	glycosmos	G12425WW
G12426DZ	glycosmos	G12426DZ
G12426NN	glycosmos	G12426NN
G12426VA	glycosmos	G12426VA
G12427AV	glycosmos	G12427AV
G12427FE	glycosmos	G12427FE
G12427LG	glycosmos	G12427LG
G12427QU	glycosmos	G12427QU
G12427QW	glycosmos	G12427QW
G12427UA	glycosmos	G12427UA
G12427XJ	glycosmos	G12427XJ
G12428MH	glycosmos	G12428MH
G12428MZ	glycosmos	G12428MZ
G12428VZ	glycosmos	G12428VZ
G12428ZQ	glycosmos	G12428ZQ
G12429CQ	glycosmos	G12429CQ
G12429DG	glycosmos	G12429DG
G12429EM	glycosmos	G12429EM
G12429JF	glycosmos	G12429JF
G12429KB	glycosmos	G12429KB
G12429PP	glycosmos	G12429PP
G12429RC	glycosmos	G12429RC
G12429VM	glycosmos	G12429VM
G12430HR	glycosmos	G12430HR
G12430JF	glycosmos	G12430JF
G12430YJ	glycosmos	G12430YJ
G12431VX	glycosmos	G12431VX
G12434PT	glycosmos	G12434PT
G12434ST	glycosmos	G12434ST
G12435UV	glycosmos	G12435UV
G12436MH	glycosmos	G12436MH
G12436NF	glycosmos	G12436NF
G12436SK	glycosmos	G12436SK
G12436UO	glycosmos	G12436UO
G12437AM	glycosmos	G12437AM
G12437HC	glycosmos	G12437HC
G12437RM	glycosmos	G12437RM
G12437XY	glycosmos	G12437XY
G12437ZR	glycosmos	G12437ZR
G12438DW	glycosmos	G12438DW
G12438IH	glycosmos	G12438IH
G12438VV	glycosmos	G12438VV
G12438YM	glycosmos	G12438YM
G12439MC	glycosmos	G12439MC
G12440GR	glycosmos	G12440GR
G12440HP	glycosmos	G12440HP
G12440KU	glycosmos	G12440KU
G12440VH	glycosmos	G12440VH
G12440ZD	glycosmos	G12440ZD
G12441AS	glycosmos	G12441AS
G12444FJ	glycosmos	G12444FJ
G12444UM	glycosmos	G12444UM
G12444ZC	glycosmos	G12444ZC
G12444ZN	glycosmos	G12444ZN
G12445GR	glycosmos	G12445GR
G12446PC	glycosmos	G12446PC
G12447LD	glycosmos	G12447LD
G12447VC	glycosmos	G12447VC
G12448KZ	glycosmos	G12448KZ
G12448PH	glycosmos	G12448PH
G12448RL	glycosmos	G12448RL
G12448TG	glycosmos	G12448TG
G12448WG	glycosmos	G12448WG
G12449EQ	glycosmos	G12449EQ
G12449WN	glycosmos	G12449WN
G12449ZC	glycosmos	G12449ZC
G12450CJ	glycosmos	G12450CJ
G12451DU	glycosmos	G12451DU
G12452IJ	glycosmos	G12452IJ
G12453GD	glycosmos	G12453GD
G12453OY	glycosmos	G12453OY
G12454JD	glycosmos	G12454JD
G12454JZ	glycosmos	G12454JZ
G12455BD	glycosmos	G12455BD
G12455XO	glycosmos	G12455XO
G12456BQ	glycosmos	G12456BQ
G12456CL	glycosmos	G12456CL
G12456EN	glycosmos	G12456EN
G12456LJ	glycosmos	G12456LJ
G12456QN	glycosmos	G12456QN
G12456TO	glycosmos	G12456TO
G12456TW	glycosmos	G12456TW
G12456ZI	glycosmos	G12456ZI
G12457EA	glycosmos	G12457EA
G12457HP	glycosmos	G12457HP
G12458EO	glycosmos	G12458EO
G12458HX	glycosmos	G12458HX
G12458SM	glycosmos	G12458SM
G12458YV	glycosmos	G12458YV
G12459IA	glycosmos	G12459IA
G12459OY	glycosmos	G12459OY
G12460AN	glycosmos	G12460AN
G12460AY	glycosmos	G12460AY
G12460CJ	glycosmos	G12460CJ
G12460DL	glycosmos	G12460DL
G12460GN	glycosmos	G12460GN
G12460NG	glycosmos	G12460NG
G12460QS	glycosmos	G12460QS
G12462LB	glycosmos	G12462LB
G12464FX	glycosmos	G12464FX
G12464PZ	glycosmos	G12464PZ
G12464SH	glycosmos	G12464SH
G12464UG	glycosmos	G12464UG
G12465UD	glycosmos	G12465UD
G12466BZ	glycosmos	G12466BZ
G12466NB	glycosmos	G12466NB
G12466SJ	glycosmos	G12466SJ
G12466UX	glycosmos	G12466UX
G12466VS	glycosmos	G12466VS
G12466ZA	glycosmos	G12466ZA
G12467RG	glycosmos	G12467RG
G12468MG	glycosmos	G12468MG
G12469CG	glycosmos	G12469CG
G12469PX	glycosmos	G12469PX
G12470RT	glycosmos	G12470RT
G12471BA	glycosmos	G12471BA
G12471CY	glycosmos	G12471CY
G12471XY	glycosmos	G12471XY
G12472CC	glycosmos	G12472CC
G12472CY	glycosmos	G12472CY
G12472DC	glycosmos	G12472DC
G12472FL	glycosmos	G12472FL
G12472UK	glycosmos	G12472UK
G12472XS	glycosmos	G12472XS
G12473CE	glycosmos	G12473CE
G12473UC	glycosmos	G12473UC
G12474LB	glycosmos	G12474LB
G12474QA	glycosmos	G12474QA
G12474WU	glycosmos	G12474WU
G12474XI	glycosmos	G12474XI
G12476EG	glycosmos	G12476EG
G12476OA	glycosmos	G12476OA
G12476VI	glycosmos	G12476VI
G12477FJ	glycosmos	G12477FJ
G12477RV	glycosmos	G12477RV
G12477VA	glycosmos	G12477VA
G12478QB	glycosmos	G12478QB
G12479JY	glycosmos	G12479JY
G12479WC	glycosmos	G12479WC
G12480BM	glycosmos	G12480BM
G12480QG	glycosmos	G12480QG
G12480VM	glycosmos	G12480VM
G12480WK	glycosmos	G12480WK
G12480ZJ	glycosmos	G12480ZJ
G12482AN	glycosmos	G12482AN
G12482CR	glycosmos	G12482CR
G12482RO	glycosmos	G12482RO
G12482RV	glycosmos	G12482RV
G12483OJ	glycosmos	G12483OJ
G12483PU	glycosmos	G12483PU
G12483SU	glycosmos	G12483SU
G12484IK	glycosmos	G12484IK
G12484VE	glycosmos	G12484VE
G12484XX	glycosmos	G12484XX
G12484ZX	glycosmos	G12484ZX
G12485CR	glycosmos	G12485CR
G12485HK	glycosmos	G12485HK
G12485QX	glycosmos	G12485QX
G12485SF	glycosmos	G12485SF
G12485TT	glycosmos	G12485TT
G12486QZ	glycosmos	G12486QZ
G12486YB	glycosmos	G12486YB
G12488MA	glycosmos	G12488MA
G12488OU	glycosmos	G12488OU
G12488UT	glycosmos	G12488UT
G12488ZG	glycosmos	G12488ZG
G12489AR	glycosmos	G12489AR
G12489IX	glycosmos	G12489IX
G12489KV	glycosmos	G12489KV
G12489NV	glycosmos	G12489NV
G12489PX	glycosmos	G12489PX
G12490ED	glycosmos	G12490ED
G12491RW	glycosmos	G12491RW
G12493KH	glycosmos	G12493KH
G12493OW	glycosmos	G12493OW
G12493OZ	glycosmos	G12493OZ
G12493UA	glycosmos	G12493UA
G12493UH	glycosmos	G12493UH
G12494BV	glycosmos	G12494BV
G12494LJ	glycosmos	G12494LJ
G12494SS	glycosmos	G12494SS
G12495FG	glycosmos	G12495FG
G12495QL	glycosmos	G12495QL
G12496SV	glycosmos	G12496SV
G12497GN	glycosmos	G12497GN
G12497JW	glycosmos	G12497JW
G12497WA	glycosmos	G12497WA
G12498DY	glycosmos	G12498DY
G12498KC	glycosmos	G12498KC
G12498MI	glycosmos	G12498MI
G12498OO	glycosmos	G12498OO
G12498QB	glycosmos	G12498QB
G12499AL	glycosmos	G12499AL
G12499RR	glycosmos	G12499RR
G12499UL	glycosmos	G12499UL
G12501DL	glycosmos	G12501DL
G12501GE	glycosmos	G12501GE
G12501KL	glycosmos	G12501KL
G12504LB	glycosmos	G12504LB
G12504XH	glycosmos	G12504XH
G12504XV	glycosmos	G12504XV
G12505EP	glycosmos	G12505EP
G12505JV	glycosmos	G12505JV
G12505LD	glycosmos	G12505LD
G12505PV	glycosmos	G12505PV
G12505QQ	glycosmos	G12505QQ
G12506XD	glycosmos	G12506XD
G12507OZ	glycosmos	G12507OZ
G12508ZM	glycosmos	G12508ZM
G12509CJ	glycosmos	G12509CJ
G12509PW	glycosmos	G12509PW
G12510ID	glycosmos	G12510ID
G12510LY	glycosmos	G12510LY
G12510VO	glycosmos	G12510VO
G12510VZ	glycosmos	G12510VZ
G12510YZ	glycosmos	G12510YZ
G12511DM	glycosmos	G12511DM
G12511VU	glycosmos	G12511VU
G12512WB	glycosmos	G12512WB
G12513BK	glycosmos	G12513BK
G12513PW	glycosmos	G12513PW
G12514GE	glycosmos	G12514GE
G12514TM	glycosmos	G12514TM
G12515BC	glycosmos	G12515BC
G12515RY	glycosmos	G12515RY
G12516DM	glycosmos	G12516DM
G12517ME	glycosmos	G12517ME
G12517MZ	glycosmos	G12517MZ
G12517PQ	glycosmos	G12517PQ
G12517TX	glycosmos	G12517TX
G12518CL	glycosmos	G12518CL
G12518FG	glycosmos	G12518FG
G12518RB	glycosmos	G12518RB
G12518WA	glycosmos	G12518WA
G12518WE	glycosmos	G12518WE
G12518WI	glycosmos	G12518WI
G12519XK	glycosmos	G12519XK
G12520SZ	glycosmos	G12520SZ
G12520VE	glycosmos	G12520VE
G12520YP	glycosmos	G12520YP
G12520ZT	glycosmos	G12520ZT
G12521ZY	glycosmos	G12521ZY
G12522GD	glycosmos	G12522GD
G12522JZ	glycosmos	G12522JZ
G12522PM	glycosmos	G12522PM
G12522RB	glycosmos	G12522RB
G12522XZ	glycosmos	G12522XZ
G12523MI	glycosmos	G12523MI
G12524BD	glycosmos	G12524BD
G12524KB	glycosmos	G12524KB
G12525CM	glycosmos	G12525CM
G12525JJ	glycosmos	G12525JJ
G12525NO	glycosmos	G12525NO
G12525TV	glycosmos	G12525TV
G12525VG	glycosmos	G12525VG
G12526AB	glycosmos	G12526AB
G12526HN	glycosmos	G12526HN
G12526MZ	glycosmos	G12526MZ
G12526PS	glycosmos	G12526PS
G12526RW	glycosmos	G12526RW
G12526XX	glycosmos	G12526XX
G12527NV	glycosmos	G12527NV
G12528QW	glycosmos	G12528QW
G12528RP	glycosmos	G12528RP
G12528SF	glycosmos	G12528SF
G12528VM	glycosmos	G12528VM
G12529KF	glycosmos	G12529KF
G12529SS	glycosmos	G12529SS
G12530CV	glycosmos	G12530CV
G12530WU	glycosmos	G12530WU
G12531EE	glycosmos	G12531EE
G12531OO	glycosmos	G12531OO
G12531XE	glycosmos	G12531XE
G12532RF	glycosmos	G12532RF
G12532SX	glycosmos	G12532SX
G12533GH	glycosmos	G12533GH
G12533YI	glycosmos	G12533YI
G12537VI	glycosmos	G12537VI
G12538IO	glycosmos	G12538IO
G12538NE	glycosmos	G12538NE
G12539ND	glycosmos	G12539ND
G12539NZ	glycosmos	G12539NZ
G12539RS	glycosmos	G12539RS
G12539TV	glycosmos	G12539TV
G12540XK	glycosmos	G12540XK
G12541EY	glycosmos	G12541EY
G12541NK	glycosmos	G12541NK
G12541UR	glycosmos	G12541UR
G12542CL	glycosmos	G12542CL
G12542HL	glycosmos	G12542HL
G12542SQ	glycosmos	G12542SQ
G12542VF	glycosmos	G12542VF
G12542XW	glycosmos	G12542XW
G12542ZJ	glycosmos	G12542ZJ
G12543JG	glycosmos	G12543JG
G12543LU	glycosmos	G12543LU
G12545BW	glycosmos	G12545BW
G12545NN	glycosmos	G12545NN
G12546DB	glycosmos	G12546DB
G12546HN	glycosmos	G12546HN
G12546MT	glycosmos	G12546MT
G12546TZ	glycosmos	G12546TZ
G12547CM	glycosmos	G12547CM
G12548KM	glycosmos	G12548KM
G12548MD	glycosmos	G12548MD
G12549ZY	glycosmos	G12549ZY
G12550XA	glycosmos	G12550XA
G12551BZ	glycosmos	G12551BZ
G12551DM	glycosmos	G12551DM
G12551JQ	glycosmos	G12551JQ
G12551SO	glycosmos	G12551SO
G12552CM	glycosmos	G12552CM
G12552JA	glycosmos	G12552JA
G12552KA	glycosmos	G12552KA
G12552PA	glycosmos	G12552PA
G12553JP	glycosmos	G12553JP
G12553SL	glycosmos	G12553SL
G12555FB	glycosmos	G12555FB
G12555FT	glycosmos	G12555FT
G12555SI	glycosmos	G12555SI
G12556PD	glycosmos	G12556PD
G12556QF	glycosmos	G12556QF
G12557JV	glycosmos	G12557JV
G12557XG	glycosmos	G12557XG
G12557XJ	glycosmos	G12557XJ
G12558HY	glycosmos	G12558HY
G12558NT	glycosmos	G12558NT
G12558TA	glycosmos	G12558TA
G12558YS	glycosmos	G12558YS
G12559NM	glycosmos	G12559NM
G12560FM	glycosmos	G12560FM
G12560JG	glycosmos	G12560JG
G12560OB	glycosmos	G12560OB
G12561OC	glycosmos	G12561OC
G12561OT	glycosmos	G12561OT
G12561VS	glycosmos	G12561VS
G12562FP	glycosmos	G12562FP
G12562GM	glycosmos	G12562GM
G12562LG	glycosmos	G12562LG
G12563JT	glycosmos	G12563JT
G12563LL	glycosmos	G12563LL
G12563MY	glycosmos	G12563MY
G12563OE	glycosmos	G12563OE
G12563XK	glycosmos	G12563XK
G12564DK	glycosmos	G12564DK
G12564PR	glycosmos	G12564PR
G12564UX	glycosmos	G12564UX
G12565PF	glycosmos	G12565PF
G12565QS	glycosmos	G12565QS
G12565RY	glycosmos	G12565RY
G12565UF	glycosmos	G12565UF
G12565XF	glycosmos	G12565XF
G12566UU	glycosmos	G12566UU
G12567DR	glycosmos	G12567DR
G12567FU	glycosmos	G12567FU
G12567KU	glycosmos	G12567KU
G12568JF	glycosmos	G12568JF
G12568MQ	glycosmos	G12568MQ
G12570GU	glycosmos	G12570GU
G12570RZ	glycosmos	G12570RZ
G12571EJ	glycosmos	G12571EJ
G12571UF	glycosmos	G12571UF
G12571VS	glycosmos	G12571VS
G12571WW	glycosmos	G12571WW
G12572NU	glycosmos	G12572NU
G12573DV	glycosmos	G12573DV
G12573LN	glycosmos	G12573LN
G12573LQ	glycosmos	G12573LQ
G12573WR	glycosmos	G12573WR
G12573WV	glycosmos	G12573WV
G12574EB	glycosmos	G12574EB
G12574GO	glycosmos	G12574GO
G12574IZ	glycosmos	G12574IZ
G12574RS	glycosmos	G12574RS
G12574VP	glycosmos	G12574VP
G12576FD	glycosmos	G12576FD
G12576KZ	glycosmos	G12576KZ
G12577AP	glycosmos	G12577AP
G12577PR	glycosmos	G12577PR
G12578CA	glycosmos	G12578CA
G12578HJ	glycosmos	G12578HJ
G12578LS	glycosmos	G12578LS
G12578NK	glycosmos	G12578NK
G12578TZ	glycosmos	G12578TZ
G12578VK	glycosmos	G12578VK
G12579EH	glycosmos	G12579EH
G12579VZ	glycosmos	G12579VZ
G12579WK	glycosmos	G12579WK
G12580LN	glycosmos	G12580LN
G12580PZ	glycosmos	G12580PZ
G12580WI	glycosmos	G12580WI
G12581DA	glycosmos	G12581DA
G12581LY	glycosmos	G12581LY
G12581YS	glycosmos	G12581YS
G12582FS	glycosmos	G12582FS
G12583PK	glycosmos	G12583PK
G12583QO	glycosmos	G12583QO
G12583ZW	glycosmos	G12583ZW
G12585GP	glycosmos	G12585GP
G12585IA	glycosmos	G12585IA
G12585JI	glycosmos	G12585JI
G12586BQ	glycosmos	G12586BQ
G12586MS	glycosmos	G12586MS
G12586PC	glycosmos	G12586PC
G12586PN	glycosmos	G12586PN
G12587MW	glycosmos	G12587MW
G12587NR	glycosmos	G12587NR
G12587UQ	glycosmos	G12587UQ
G12587XT	glycosmos	G12587XT
G12588BC	glycosmos	G12588BC
G12588DY	glycosmos	G12588DY
G12588IQ	glycosmos	G12588IQ
G12588VC	glycosmos	G12588VC
G12589GJ	glycosmos	G12589GJ
G12589KH	glycosmos	G12589KH
G12589NB	glycosmos	G12589NB
G12590TH	glycosmos	G12590TH
G12590UN	glycosmos	G12590UN
G12590ZD	glycosmos	G12590ZD
G12591TF	glycosmos	G12591TF
G12591XV	glycosmos	G12591XV
G12592CU	glycosmos	G12592CU
G12592NG	glycosmos	G12592NG
G12593BA	glycosmos	G12593BA
G12593TX	glycosmos	G12593TX
G12593VE	glycosmos	G12593VE
G12593ZN	glycosmos	G12593ZN
G12594GB	glycosmos	G12594GB
G12594VB	glycosmos	G12594VB
G12595CF	glycosmos	G12595CF
G12595QK	glycosmos	G12595QK
G12596PW	glycosmos	G12596PW
G12596SP	glycosmos	G12596SP
G12597AZ	glycosmos	G12597AZ
G12597GP	glycosmos	G12597GP
G12597HA	glycosmos	G12597HA
G12597KI	glycosmos	G12597KI
G12598BW	glycosmos	G12598BW
G12598CH	glycosmos	G12598CH
G12598PK	glycosmos	G12598PK
G12599JK	glycosmos	G12599JK
G12599RZ	glycosmos	G12599RZ
G12599SK	glycosmos	G12599SK
G12599SR	glycosmos	G12599SR
G12599TW	glycosmos	G12599TW
G12599VV	glycosmos	G12599VV
G12600MP	glycosmos	G12600MP
G12600UK	glycosmos	G12600UK
G12600XP	glycosmos	G12600XP
G12601GO	glycosmos	G12601GO
G12601LH	glycosmos	G12601LH
G12601XG	glycosmos	G12601XG
G12602CW	glycosmos	G12602CW
G12602NA	glycosmos	G12602NA
G12602QA	glycosmos	G12602QA
G12603PY	glycosmos	G12603PY
G12603TA	glycosmos	G12603TA
G12604EN	glycosmos	G12604EN
G12604EW	glycosmos	G12604EW
G12604GC	glycosmos	G12604GC
G12604MY	glycosmos	G12604MY
G12605BT	glycosmos	G12605BT
G12605ZY	glycosmos	G12605ZY
G12606LA	glycosmos	G12606LA
G12606NW	glycosmos	G12606NW
G12606SR	glycosmos	G12606SR
G12606YA	glycosmos	G12606YA
G12607QB	glycosmos	G12607QB
G12607SG	glycosmos	G12607SG
G12608PT	glycosmos	G12608PT
G12608RE	glycosmos	G12608RE
G12609EH	glycosmos	G12609EH
G12609IC	glycosmos	G12609IC
G12609JM	glycosmos	G12609JM
G12609NC	glycosmos	G12609NC
G12610QL	glycosmos	G12610QL
G12611EO	glycosmos	G12611EO
G12611FV	glycosmos	G12611FV
G12611TP	glycosmos	G12611TP
G12611YD	glycosmos	G12611YD
G12611ZS	glycosmos	G12611ZS
G12612PB	glycosmos	G12612PB
G12613FX	glycosmos	G12613FX
G12613HA	glycosmos	G12613HA
G12613SB	glycosmos	G12613SB
G12613ZH	glycosmos	G12613ZH
G12614SU	glycosmos	G12614SU
G12614YL	glycosmos	G12614YL
G12615BQ	glycosmos	G12615BQ
G12615HA	glycosmos	G12615HA
G12615JD	glycosmos	G12615JD
G12615JP	glycosmos	G12615JP
G12616PJ	glycosmos	G12616PJ
G12617AB	glycosmos	G12617AB
G12618VB	glycosmos	G12618VB
G12619BR	glycosmos	G12619BR
G12619EF	glycosmos	G12619EF
G12619FL	glycosmos	G12619FL
G12619TQ	glycosmos	G12619TQ
G12620BB	glycosmos	G12620BB
