GlyTouCanAccession	Resource	EntryID
G00053KK	glycosmos	G00053KK
G00053MO	glycosmos	G00053MO
G00053NM	glycosmos	G00053NM
G00053UV	glycosmos	G00053UV
G00054MO	glycosmos	G00054MO
G00054MV	glycosmos	G00054MV
G00054PD	glycosmos	G00054PD
G00054TF	glycosmos	G00054TF
G00055MO	glycosmos	G00055MO
G00055RM	glycosmos	G00055RM
G00056BL	glycosmos	G00056BL
G00056HH	glycosmos	G00056HH
G00056MO	glycosmos	G00056MO
G00056QW	glycosmos	G00056QW
G00056SP	glycosmos	G00056SP
G00056UI	glycosmos	G00056UI
G00057LF	glycosmos	G00057LF
G00057MO	glycosmos	G00057MO
G00057XB	glycosmos	G00057XB
G00058MO	glycosmos	G00058MO
G00058UI	glycosmos	G00058UI
G00058XR	glycosmos	G00058XR
G00058YT	glycosmos	G00058YT
G00059FD	glycosmos	G00059FD
G00059IX	glycosmos	G00059IX
G00059MO	glycosmos	G00059MO
G00060AF	glycosmos	G00060AF
G00060BT	glycosmos	G00060BT
G00060MO	glycosmos	G00060MO
G00060PV	glycosmos	G00060PV
G00060RG	glycosmos	G00060RG
G00061MO	glycosmos	G00061MO
G00062HV	glycosmos	G00062HV
G00062LT	glycosmos	G00062LT
G00062MO	glycosmos	G00062MO
G00063HA	glycosmos	G00063HA
G00063MO	glycosmos	G00063MO
G00063TX	glycosmos	G00063TX
G00064AV	glycosmos	G00064AV
G00064MF	glycosmos	G00064MF
G00064MO	glycosmos	G00064MO
G00065MO	glycosmos	G00065MO
G00065OE	glycosmos	G00065OE
G00066CT	glycosmos	G00066CT
G00066MC	glycosmos	G00066MC
G00066MO	glycosmos	G00066MO
G00066RE	glycosmos	G00066RE
G00066WY	glycosmos	G00066WY
G00066XI	glycosmos	G00066XI
G00067MO	glycosmos	G00067MO
G00068AO	glycosmos	G00068AO
G00068DI	glycosmos	G00068DI
G00068IL	glycosmos	G00068IL
G00068MO	glycosmos	G00068MO
G00068NO	glycosmos	G00068NO
G00068PG	glycosmos	G00068PG
G00068PW	glycosmos	G00068PW
G00068TA	glycosmos	G00068TA
G00068VI	glycosmos	G00068VI
G00069DT	glycosmos	G00069DT
G00069MO	glycosmos	G00069MO
G00069PK	glycosmos	G00069PK
G00069WW	glycosmos	G00069WW
G00069YC	glycosmos	G00069YC
G00070MO	glycosmos	G00070MO
G00070OX	glycosmos	G00070OX
G00071MO	glycosmos	G00071MO
G00071ZD	glycosmos	G00071ZD
G00072KF	glycosmos	G00072KF
G00072LP	glycosmos	G00072LP
G00072MO	glycosmos	G00072MO
G00072YU	glycosmos	G00072YU
G00073EQ	glycosmos	G00073EQ
G00073FK	glycosmos	G00073FK
G00073MO	glycosmos	G00073MO
G00073OM	glycosmos	G00073OM
G00073OT	glycosmos	G00073OT
G00073PI	glycosmos	G00073PI
G00073QP	glycosmos	G00073QP
G00073ZJ	glycosmos	G00073ZJ
G00074CD	glycosmos	G00074CD
G00074FR	glycosmos	G00074FR
G00076PK	glycosmos	G00076PK
G00077JZ	glycosmos	G00077JZ
G00078CA	glycosmos	G00078CA
G00078YQ	glycosmos	G00078YQ
G00079CT	glycosmos	G00079CT
G00079FZ	glycosmos	G00079FZ
G00079IK	glycosmos	G00079IK
G00079TQ	glycosmos	G00079TQ
G00080TP	glycosmos	G00080TP
G00081BL	glycosmos	G00081BL
G00081VH	glycosmos	G00081VH
G00082CQ	glycosmos	G00082CQ
G00082GU	glycosmos	G00082GU
G00082QX	glycosmos	G00082QX
G00083FE	glycosmos	G00083FE
G00084CO	glycosmos	G00084CO
G00084DM	glycosmos	G00084DM
G00084FL	glycosmos	G00084FL
G00084IF	glycosmos	G00084IF
G00085FR	glycosmos	G00085FR
G00086BL	glycosmos	G00086BL
G00086LF	glycosmos	G00086LF
G00086QS	glycosmos	G00086QS
G00086ZW	glycosmos	G00086ZW
G00087BT	glycosmos	G00087BT
G00087BY	glycosmos	G00087BY
G00087DW	glycosmos	G00087DW
G00087XV	glycosmos	G00087XV
G00087ZB	glycosmos	G00087ZB
G00088BX	glycosmos	G00088BX
G00088CJ	glycosmos	G00088CJ
G00088UC	glycosmos	G00088UC
G00089FS	glycosmos	G00089FS
G00089VH	glycosmos	G00089VH
G00089YM	glycosmos	G00089YM
G00089YO	glycosmos	G00089YO
G00090DB	glycosmos	G00090DB
G00090SL	glycosmos	G00090SL
G00090ZW	glycosmos	G00090ZW
G00091HB	glycosmos	G00091HB
G00091RT	glycosmos	G00091RT
G00091UN	glycosmos	G00091UN
G00091VW	glycosmos	G00091VW
G00092LH	glycosmos	G00092LH
G00092TB	glycosmos	G00092TB
G00093PP	glycosmos	G00093PP
G00094DT	glycosmos	G00094DT
G00094GD	glycosmos	G00094GD
G00094KR	glycosmos	G00094KR
G00094SE	glycosmos	G00094SE
G00094WA	glycosmos	G00094WA
G00094ZT	glycosmos	G00094ZT
G00096HC	glycosmos	G00096HC
G00097DN	glycosmos	G00097DN
G00098OY	glycosmos	G00098OY
G00099UL	glycosmos	G00099UL
G00100EG	glycosmos	G00100EG
G00100QF	glycosmos	G00100QF
G00101DG	glycosmos	G00101DG
G00101MU	glycosmos	G00101MU
G00101QK	glycosmos	G00101QK
G00101SX	glycosmos	G00101SX
G00102AN	glycosmos	G00102AN
G00102VM	glycosmos	G00102VM
G00103BX	glycosmos	G00103BX
G00103GN	glycosmos	G00103GN
G00104FD	glycosmos	G00104FD
G00104PH	glycosmos	G00104PH
G00105SX	glycosmos	G00105SX
G00105XF	glycosmos	G00105XF
G00106BZ	glycosmos	G00106BZ
G00106IJ	glycosmos	G00106IJ
G00106LE	glycosmos	G00106LE
G00106LK	glycosmos	G00106LK
G00107TR	glycosmos	G00107TR
G00108FS	glycosmos	G00108FS
G00108KR	glycosmos	G00108KR
G00108TW	glycosmos	G00108TW
G00108YF	glycosmos	G00108YF
G00108ZJ	glycosmos	G00108ZJ
G00109GP	glycosmos	G00109GP
G00109NL	glycosmos	G00109NL
G00109SL	glycosmos	G00109SL
G00110RO	glycosmos	G00110RO
G00110RW	glycosmos	G00110RW
G00110YK	glycosmos	G00110YK
G00112AJ	glycosmos	G00112AJ
G00112BX	glycosmos	G00112BX
G00112DD	glycosmos	G00112DD
G00112ED	glycosmos	G00112ED
G00112IO	glycosmos	G00112IO
G00113FP	glycosmos	G00113FP
G00113LU	glycosmos	G00113LU
G00113UJ	glycosmos	G00113UJ
G00114SB	glycosmos	G00114SB
G00115HS	glycosmos	G00115HS
G00115RU	glycosmos	G00115RU
G00115TH	glycosmos	G00115TH
G00115ZI	glycosmos	G00115ZI
G00116DX	glycosmos	G00116DX
G00116HQ	glycosmos	G00116HQ
G00116QX	glycosmos	G00116QX
G00116ZU	glycosmos	G00116ZU
G00117IW	glycosmos	G00117IW
G00117WU	glycosmos	G00117WU
G00118FH	glycosmos	G00118FH
G00118XY	glycosmos	G00118XY
G00119CG	glycosmos	G00119CG
G00120LC	glycosmos	G00120LC
G00120OY	glycosmos	G00120OY
G00120QS	glycosmos	G00120QS
G00121CU	glycosmos	G00121CU
G00121QU	glycosmos	G00121QU
G00121RP	glycosmos	G00121RP
G00121TI	glycosmos	G00121TI
G00122CX	glycosmos	G00122CX
G00122LE	glycosmos	G00122LE
G00122QX	glycosmos	G00122QX
G00122SS	glycosmos	G00122SS
G00123HV	glycosmos	G00123HV
G00123HY	glycosmos	G00123HY
G00123IP	glycosmos	G00123IP
G00123JF	glycosmos	G00123JF
G00123MC	glycosmos	G00123MC
G00123NG	glycosmos	G00123NG
G00123VT	glycosmos	G00123VT
G00123YD	glycosmos	G00123YD
G00124PC	glycosmos	G00124PC
G00124SJ	glycosmos	G00124SJ
G00125NJ	glycosmos	G00125NJ
G00125TX	glycosmos	G00125TX
G00126JG	glycosmos	G00126JG
G00126OG	glycosmos	G00126OG
G00127KU	glycosmos	G00127KU
G00127WD	glycosmos	G00127WD
G00127YW	glycosmos	G00127YW
G00128UB	glycosmos	G00128UB
G00128WV	glycosmos	G00128WV
G00129EM	glycosmos	G00129EM
G00130HE	glycosmos	G00130HE
G00130LK	glycosmos	G00130LK
G00131HY	glycosmos	G00131HY
G00131KO	glycosmos	G00131KO
G00131LF	glycosmos	G00131LF
G00131XG	glycosmos	G00131XG
G00132QI	glycosmos	G00132QI
G00132VB	glycosmos	G00132VB
G00133EM	glycosmos	G00133EM
G00133ST	glycosmos	G00133ST
G00133UK	glycosmos	G00133UK
G00134GJ	glycosmos	G00134GJ
G00134MT	glycosmos	G00134MT
