GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00067MO	5946	snfg	extended	svg
G00068MO	1385	snfg	extended	png
G00068MO	4242	snfg	extended	svg
G00069MO	1627	snfg	extended	png
G00069MO	7657	snfg	extended	svg
G00069YC	5878	snfg	extended	png
G00069YC	24351	snfg	extended	svg
G00070MO	1605	snfg	extended	png
G00070MO	7656	snfg	extended	svg
G00071MO	1629	snfg	extended	png
G00071MO	7656	snfg	extended	svg
G00072MO	1550	snfg	extended	png
G00072MO	7650	snfg	extended	svg
G00073FK	2771	snfg	extended	png
G00073FK	14288	snfg	extended	svg
G00076PK	1294	snfg	extended	png
G00076PK	5945	snfg	extended	svg
G00084IF	685	snfg	extended	png
G00084IF	2721	snfg	extended	svg
G00087BY	2850	snfg	extended	png
G00087BY	11187	snfg	extended	svg
G00089VH	3512	snfg	extended	png
G00089VH	17661	snfg	extended	svg
G00090SL	921	snfg	extended	png
G00090SL	3940	snfg	extended	svg
G00091RT	1947	snfg	extended	png
G00091RT	9398	snfg	extended	svg
G00091UN	3531	snfg	extended	png
G00091UN	16031	snfg	extended	svg
G00094SE	2688	snfg	extended	png
G00094SE	12529	snfg	extended	svg
G00097DN	1724	snfg	extended	png
G00097DN	4394	snfg	extended	svg
G00104PH	5495	snfg	extended	png
G00104PH	22886	snfg	extended	svg
G00105XF	3737	snfg	extended	png
G00105XF	17864	snfg	extended	svg
G00106LE	1897	snfg	extended	png
G00106LE	7984	snfg	extended	svg
G00106LK	2810	snfg	extended	png
G00106LK	11210	snfg	extended	svg
G00109SL	2294	snfg	extended	png
G00109SL	10618	snfg	extended	svg
G00112IO	2417	snfg	extended	png
G00112IO	13854	snfg	extended	svg
G00113FP	4918	snfg	extended	png
G00113FP	24423	snfg	extended	svg
G00116QX	1690	snfg	extended	png
G00116QX	7662	snfg	extended	svg
G00120OY	6080	snfg	extended	png
G00120OY	24084	snfg	extended	svg
G00120QS	1482	snfg	extended	png
G00120QS	7581	snfg	extended	svg
G00122QX	1196	snfg	extended	png
G00122QX	6009	snfg	extended	svg
G00123JF	1097	snfg	extended	png
