GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37079PY	UBERON:0000955	ZebraFish	Subsumption	GNOme	G98992TC
G37085PU	UBERON:0002048	Mouse	Subsumption	GNOme	G07433WY
G37085PU	UBERON:0000948	Mouse	Subsumption	GNOme	G91179XY
G37085PU	UBERON:0002106	Mouse	Subsumption	GNOme	G91179XY
G37107DO	UBERON:0000178	Human	Direct	PubMed	30251656
G37107DO	UBERON:0000178	Human	Direct	PubMed	30844485
G37107DO	UBERON:0000178	Human	Direct	TableMaker	GLY_001408
G37110MR	UBERON:0000948	Mouse	Subsumption	GNOme	G13661TG
G37110MR	UBERON:0002048	Mouse	Subsumption	GNOme	G13661TG
G37151JQ	UBERON:0000473	Mouse	Subsumption	GNOme	G54951OQ
G37151JQ	UBERON:0000948	Mouse	Subsumption	GNOme	G54951OQ
G37158XG	UBERON:0000178	Human	Subsumption	GNOme	G03332TP
G37158XG	UBERON:0001969	Human	Subsumption	GNOme	G03332TP
G37158XG	UBERON:0000178	Human	Subsumption	GNOme	G04103TC
G37158XG	UBERON:0000178	Human	Subsumption	GNOme	G66027ZZ
G37158XG	UBERON:0000178	Human	Subsumption	GNOme	G88439OD
G37158XG	UBERON:0001969	Human	Subsumption	GNOme	G88439OD
G37160NA	UBERON:0000323	FruitFly	Subsumption	GNOme	G64006UO
G37160NA	UBERON:0000922	FruitFly	Subsumption	GNOme	G64006UO
G37160NA	UBERON:0019248	FruitFly	Subsumption	GNOme	G64006UO
G37162GZ	UBERON:0000029	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0000948	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0001155	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0001264	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0001977	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002048	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002106	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002107	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002108	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002419	Human	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0001977	Human	Subsumption	GNOme	G48442VP
G37162GZ	UBERON:0000473	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0000948	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0000955	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0000964	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0000992	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0001155	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002048	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002106	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002107	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002108	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002113	Mouse	Subsumption	GNOme	G19747OA
G37162GZ	UBERON:0002370	Mouse	Subsumption	GNOme	G19747OA
G37164OX	UBERON:0000160	ZebraFish	Subsumption	GNOme	G10109RQ
G37164OX	UBERON:0000948	ZebraFish	Subsumption	GNOme	G10109RQ
G37164OX	UBERON:0000955	ZebraFish	Subsumption	GNOme	G10109RQ
G37164OX	UBERON:0002419	ZebraFish	Subsumption	GNOme	G10109RQ
G37164OX	UBERON:0002535	ZebraFish	Subsumption	GNOme	G10109RQ
G37181DS	UBERON:0000178	Human	Subsumption	GNOme	G89827NJ
G37186EE	UBERON:0002048	Human	Direct	PubMed	23516363
G37186EE	UBERON:0002048	Human	Direct	TableMaker	GLY_001408
G37197VG	UBERON:0000955	Mouse	Subsumption	GNOme	G27802PW
G37208JV	UBERON:0002048	Mouse	Subsumption	GNOme	G09702SG
G37208JV	UBERON:0002370	Mouse	Subsumption	GNOme	G09702SG
G37232JB	UBERON:0000029	Human	Subsumption	GNOme	G17960CK
G37232JB	UBERON:0002048	Human	Subsumption	GNOme	G17960CK
G37232JB	UBERON:0000955	Mouse	Subsumption	GNOme	G17960CK
G37232JB	UBERON:0002048	Mouse	Subsumption	GNOme	G17960CK
G37232JB	UBERON:0002106	Mouse	Subsumption	GNOme	G17960CK
G37232JB	UBERON:0002370	Mouse	Subsumption	GNOme	G17960CK
G37237NX	UBERON:0000178	Human	Direct	PubMed	33877489
G37237NX	UBERON:0000178	Human	Direct	TableMaker	GLY_001408
G37238KB	UBERON:0000955	Mouse	Subsumption	GNOme	G32954SJ
G37260VJ	UBERON:0000029	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000948	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0001155	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0001264	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002048	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002106	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002107	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002108	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002419	Human	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0001977	Human	Subsumption	GNOme	G69725KG
G37260VJ	UBERON:0001977	Human	Subsumption	GNOme	G72954XC
G37260VJ	UBERON:0000473	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000948	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000955	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000964	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000992	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002048	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002106	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0002107	Mouse	Subsumption	GNOme	G00318AV
G37260VJ	UBERON:0000955	ZebraFish	Subsumption	GNOme	G90889KG
G37272VF	UBERON:0001977	Human	Subsumption	GNOme	G93164KQ
G37282OW	UBERON:0001264	Human	Subsumption	GNOme	G08240HN
G37301BA	UBERON:0000165	Human	Subsumption	GNOme	G65666SB
G37301BA	UBERON:0000165	Human	Subsumption	GNOme	G74784VI
G37314EM	UBERON:0000323	FruitFly	Subsumption	GNOme	G04604BY
G37314EM	UBERON:0000922	FruitFly	Subsumption	GNOme	G04604BY
G37314EM	UBERON:0019248	FruitFly	Subsumption	GNOme	G04604BY
G37314EM	UBERON:0000178	Human	Subsumption	GNOme	G04604BY
