GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37753PL	UBERON:0000029	Human	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0001155	Human	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0002048	Human	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0002108	Human	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0002419	Human	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0000992	Mouse	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0001155	Mouse	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0002108	Mouse	Subsumption	GNOme	G74246AM
G37753PL	UBERON:0002370	Mouse	Subsumption	GNOme	G74246AM
G37772BP	UBERON:0000178	Human	Subsumption	GNOme	G90852NI
G37806EX	UBERON:0000955	Mouse	Subsumption	GNOme	G93934MI
