GlyTouCanAccession	GLYCOSCIENCESdeAccession
G02029PW	14573
G02029PW	14581
G02029PW	17584
G02029PW	21608
G02086TB	3374
G02126PG	4424
G02146NT	4569
G02156UW	17137
G02174FQ	15680
G02207TG	2001
G02207TG	15755
G02226PP	16737
G02278OY	1634
G02297WO	16486
G02302MM	15770
G02310VX	12846
G02310VX	24115
G02311IE	24805
G02353KU	12340
G02379AH	6888
G02386TE	683
G02410EE	13650
G02441OB	2657
G02473HY	13758
G02582JY	23066
G02600QJ	2551
G02625SJ	1914
G02646YL	5001
G02646YL	6424
G02654EL	17138
G02657AK	167
G02657AK	22441
G02657AK	25113
G02657BS	6606
G02679YX	24862
G02718AK	15675
G02763QD	23457
G02763QD	27681
G02776UX	12761
G02934UB	26111
G03003KR	5094
G03016BW	12341
G03021WA	1403
G03021WA	4210
G03024EJ	16988
G03036FD	753
G03049NB	3156
G03067VG	780
G03071KV	2319
G03075ZE	7260
G03075ZE	23894
G03106MF	1887
G03137RO	16499
G03165SD	1801
G03168RN	17108
G03216SJ	24855
G03230AX	15786
G03246MZ	2823
G03250UN	15679
G03260OU	4268
G03266UM	6665
G03272YQ	24640
G03277YI	786
G03309JT	1705
G03321AC	23462
G03345AP	15744
G03361KC	2746
G03368AU	4556
G03368AU	6522
G03385XG	24867
G03431NA	24368
G03433NI	11889
G03433NI	16005
G03445UI	23225
G03499BP	2787
G03499BP	3996
G03499BP	9678
G03499BP	12860
G03499BP	19988
G03506YN	9988
G03509EL	4186
G03520RT	19643
G03529DJ	15718
G03530HJ	2738
G03542MQ	3369
G03564IA	3727
G03564IA	22049
G03591CN	8938
G03595ET	24309
G03600YM	26746
G03605BS	13912
G03652TR	8184
G03652TR	14236
G03652TR	16016
G03652TR	21778
G03727RK	19381
G03727RK	24565
G03756VW	18548
G03796EF	6679
G03818JD	1365
G03818JD	18166
G03855TY	16236
G03921DY	1799
G03921YK	8097
G03951JJ	24432
G03987JH	15865
G04014FP	12838
G04018GO	1514
G04099VY	23847
G04099VY	6408
G04130SK	15220
G04163JP	3045
G04216GB	1520
G04216GB	12242
G04216GB	13699
G04216GB	23255
G04267XF	4946
G04267XF	5007
G04267XF	11755
G04267XF	19223
G04267XF	25483
G04273XP	26122
G04286YE	11743
G04368OY	4899
G04414GO	23467
G04448SF	7751
G04450CG	3481
G04462ZS	4568
G04472SL	1226
G04483SK	24976
G04552VX	16620
G04561MG	11746
G04576KS	13262
G04576KS	24161
G04616ST	18231
G04616ST	18232
G04616ST	18534
G04624DG	14829
G04676YO	6421
G04681PT	1318
G04681PT	5580
G04690JX	2611
G04700EY	14215
G04744XB	24974
G04775TV	1773
G04783EJ	26138
G04791QM	22969
G04855ZO	715
G04903PZ	15757
G04989WY	24743
G05096LE	15695
G05098FE	16128
G05098FE	24331
G05098FE	25043
G05108UT	8006
G05128BK	12656
G05128BK	26026
G05180BW	16626
G05184IQ	4283
G05187DJ	80
G05206VR	12352
G05212BT	2747
G05233KP	16317
G05235KE	1822
G05260RH	23318
G05297EK	21563
G05330ZQ	13307
G05344FK	1181
G05360PA	12671
G05378UG	8956
G05382JE	720
G05441GN	15778
G05552HC	14124
G05561CF	2776
G05561HT	15766
G05596LB	2544
G05600OX	26114
G05768VS	16399
G05784QE	7045
G05794RZ	23376
G05811XG	282
G05811XG	22996
G05811XG	1696
G05840XL	1371
G05840XL	4498
G05848DX	25638
G05892GB	23110
G06022SA	15714
G06036CF	16513
G06059DJ	13329
G06070KG	1780
G06097MI	2920
G06131VP	24859
G06163IO	3827
G06171TU	4409
G06209KS	2730
G06209KS	22968
G06239NA	754
G06239NA	2376
G06239NA	12302
G06239NA	14651
G06239NA	16564
G06290ZS	16103
G06290ZS	24323
G06301TU	1384
G06301TU	25285
G06341YK	1553
G06400QJ	12614
G06460LD	617
G06550JR	1375
G06550JR	2708
G06578MY	1800
G06580KR	2571
G06580KR	2855
G06580KR	4184
G06580KR	6500
G06580KR	9118
G06580KR	15435
G06624ZC	8703
G06635WE	25465
G06637ET	16619
G06658RN	1574
G06710OE	8952
G06721LM	23698
G06730AH	13187
G06804FL	15760
G06830II	2905
G06862BZ	16432
G06910HM	3683
G06969ZX	24635
G07014AW	1321
G07014AW	5582
G07061YF	19743
G07075ZE	2749
G07105MP	1347
G07105MP	2568
G07136WT	18915
G07141SK	11736
G07147QM	16261
G07164WO	5022
G07174PY	6652
G07228BR	25422
G07262RR	25670
G07265CE	2744
