GlyTouCanAccession	Relationship	RelatedAccession
G04082SK	Subsumes	G80416YI
G04083LP	Subsumes	G63377AI
G04089RG	SubsumedBy	G59325ZF
G04091CN	SubsumedBy	G64813IY
G04091CN	Subsumes	G04842IW
G04091CN	Subsumes	G90739UE
G04093XE	SubsumedBy	G45323ZF
G04093XE	SubsumedBy	G15541SE
G04093XE	Subsumes	G84224TW
G04098TO	SubsumedBy	G17882ZH
G04098TO	SubsumedBy	G79625ND
G04098TO	Subsumes	G17314MC
G04099VY	SubsumedBy	G46662LV
G04100NF	SubsumedBy	G30335ZU
G04109RU	SubsumedBy	G62477JN
G04109RU	Subsumes	G62389NM
G04114CX	SubsumedBy	G06523WI
G04114CX	SubsumedBy	G88204LN
G04116CC	SubsumedBy	G49120XR
G04116CC	Subsumes	G84228OY
G04118JZ	SubsumedBy	G06204HC
G04118JZ	Subsumes	G36537XZ
G04118JZ	Subsumes	G92008YL
G04118VH	SubsumedBy	G04400QM
G04120EG	SubsumedBy	G90613GA
G04126TZ	SubsumedBy	G20747KA
G04126TZ	Subsumes	G29619BL
G04126TZ	Subsumes	G67374LI
G04127CU	SubsumedBy	G35933VH
G04127CU	Subsumes	G16080BW
G04130SK	SubsumedBy	G14838MX
G04130SK	Subsumes	G59212FY
G04137HF	SubsumedBy	G84550DH
G04137HF	Subsumes	G11411KB
G04137HF	Subsumes	G43629KF
G04137HF	Subsumes	G73344QV
G04137HF	Subsumes	G76459ZD
G04137HF	Subsumes	G91474LB
G04139QL	SubsumedBy	G06767OR
G04139QL	Subsumes	G31380TD
G04145CV	SubsumedBy	G74122NN
G04145CV	SubsumedBy	G76081JY
G04145CV	Subsumes	G30807YB
G04146DI	SubsumedBy	G18267EU
G04146DI	Subsumes	G26600MH
G04146DI	Subsumes	G75847DX
G04147QZ	SubsumedBy	G39456KE
G04147QZ	SubsumedBy	G90989JC
G04147QZ	Subsumes	G31019WF
G04156GK	SubsumedBy	G81930ZW
G04156GK	Subsumes	G04624DG
G04163JP	SubsumedBy	G17010GS
G04163JP	SubsumedBy	G79553XF
G04165AB	SubsumedBy	G95715VQ
G04165ZA	SubsumedBy	G65214YE
G04165ZA	SubsumedBy	G97359RD
G04165ZA	Subsumes	G50886AE
G04171XX	SubsumedBy	G73572ZZ
G04171XX	Subsumes	G18609BT
G04172XD	SubsumedBy	G09495UG
G04172XD	Subsumes	G91236QX
G04179UO	SubsumedBy	G48527QM
G04179UO	Subsumes	G08373SM
G04179UO	Subsumes	G19339UM
G04179UO	Subsumes	G22311MI
G04179UO	Subsumes	G45408ZW
G04179UO	Subsumes	G62946XF
G04179UO	Subsumes	G64259ZR
G04181BY	SubsumedBy	G41636OS
G04181BY	SubsumedBy	G46988ER
G04181BY	Subsumes	G37291PT
G04181BY	Subsumes	G57607BW
G04181JW	SubsumedBy	G27961HI
G04181JW	Subsumes	G24684JH
G04181JW	Subsumes	G61003IE
G04181TH	SubsumedBy	G15776WE
G04181TH	Subsumes	G71032KF
G04187IN	SubsumedBy	G12989UM
G04189PE	SubsumedBy	G70405KO
G04190CM	Subsumes	G05287EJ
G04190CM	Subsumes	G92914YI
G04192CU	SubsumedBy	G43430GM
G04192CU	Subsumes	G72907TK
G04196SD	SubsumedBy	G63830BN
G04196SD	Subsumes	G88194BN
G04207OC	SubsumedBy	G77842WM
G04207OC	Subsumes	G23667EF
G04207OC	Subsumes	G82591UC
G04209KR	SubsumedBy	G65550TC
G04209KR	Subsumes	G75143LK
G04209KR	Subsumes	G86928UZ
G04210UW	SubsumedBy	G70649KP
G04210UW	Subsumes	G66489LJ
G04213EK	SubsumedBy	G42247WE
G04214MY	SubsumedBy	G23753FY
G04214MY	SubsumedBy	G70248YW
G04216GB	SubsumedBy	G04220HB
G04216GB	SubsumedBy	G72037LH
G04219PE	SubsumedBy	G51356RB
G04220HB	SubsumedBy	G33803XN
G04220HB	SubsumedBy	G74300EL
G04220HB	SubsumedBy	G92983WW
G04220HB	Subsumes	G04216GB
G04220HB	Subsumes	G72103RY
G04222VM	SubsumedBy	G22525FU
G04222VM	Subsumes	G49299UK
G04222VM	Subsumes	G32669GX
G04222VM	Subsumes	G63907MA
G04222VM	Subsumes	G94366XH
G04240TY	SubsumedBy	G32340MS
G04240TY	Subsumes	G17475NE
G04240TY	Subsumes	G93529IJ
G04243OB	SubsumedBy	G67607IK
G04243OB	SubsumedBy	G37766VB
G04243OB	Subsumes	G22309DL
G04243OB	Subsumes	G25521WE
G04243OB	Subsumes	G65883QD
G04243OB	Subsumes	G68146NX
G04243OB	Subsumes	G73767NK
G04243TK	SubsumedBy	G84800EW
G04243TK	Subsumes	G55067VV
G04243TK	Subsumes	G76837CW
G04245TA	SubsumedBy	G99814AM
G04246XX	SubsumedBy	G82041FY
G04246XX	Subsumes	G90054TK
G04248AK	SubsumedBy	G31544HA
G04248AK	SubsumedBy	G81452FP
G04248AK	Subsumes	G00691NS
G04248AK	Subsumes	G04794OZ
G04248AK	Subsumes	G22083UZ
G04251SC	SubsumedBy	G64780OA
G04251SC	Subsumes	G07414XZ
G04251SC	Subsumes	G10073SM
G04251SC	Subsumes	G42674AX
G04251SC	Subsumes	G45325UV
G04251SC	Subsumes	G59716UA
G04253BE	SubsumedBy	G70868XE
G04253BE	Subsumes	G41010EJ
G04256AW	SubsumedBy	G66150FA
G04256AW	Subsumes	G15736PY
G04256AW	Subsumes	G39794DJ
G04256AW	Subsumes	G82513QY
G04257YJ	SubsumedBy	G73422YD
G04257YJ	Subsumes	G85233XG
G04257YJ	Subsumes	G15402WP
G04257YJ	Subsumes	G17483QF
G04257YJ	Subsumes	G21155MW
G04257YJ	Subsumes	G27993JQ
G04257YJ	Subsumes	G47188NW
G04257YJ	Subsumes	G97434RI
G04261UG	SubsumedBy	G85116ZD
G04263GM	SubsumedBy	G57776ZU
G04263GM	Subsumes	G26500IJ
G04263GM	Subsumes	G85233XG
G04263GM	Subsumes	G17483QF
G04263GM	Subsumes	G97434RI
G04264PI	SubsumedBy	G96551LY
G04264PI	Subsumes	G16481GK
G04264PI	Subsumes	G50060IE
G04267HE	SubsumedBy	G31153XO
G04267HE	SubsumedBy	G32211XJ
G04267HE	Subsumes	G60542VK
G04267XF	SubsumedBy	G65191ST
G04269FO	SubsumedBy	G75641SG
G04269FO	Subsumes	G32953MP
G04269FO	Subsumes	G81100SW
G04269TC	SubsumedBy	G46998WZ
G04269TC	SubsumedBy	G50361JT
G04271JM	SubsumedBy	G20727IV
G04271JM	Subsumes	G22079SE
G04273XP	SubsumedBy	G06989JN
G04273XP	SubsumedBy	G38658JL
G04273XP	SubsumedBy	G47178AC
G04273XP	SubsumedBy	G58852KZ
G04274WG	SubsumedBy	G66317YW
G04274WG	Subsumes	G52056GN
G04277WT	SubsumedBy	G87573HF
G04277WT	Subsumes	G53691UV
G04277WT	Subsumes	G58039WO
G04277WT	Subsumes	G83570KL
G04281QP	SubsumedBy	G88725PI
G04281QP	Subsumes	G35435LE
G04281QP	Subsumes	G78841KJ
G04281QP	Subsumes	G94914GB
G04281RT	SubsumedBy	G00406II
G04281RT	SubsumedBy	G08551GM
G04281RT	Subsumes	G70938LN
G04281RT	Subsumes	G88356HA
G04286CT	SubsumedBy	G17756LB
G04286CT	Subsumes	G39794DJ
G04286CT	Subsumes	G23613OT
G04286CT	Subsumes	G46542GF
G04286CT	Subsumes	G84651AM
G04286YE	SubsumedBy	G29255IL
G04286YE	SubsumedBy	G46936YB
G04286YE	Subsumes	G21513QX
G04286YE	Subsumes	G56749GV
G04289KQ	SubsumedBy	G46420ZV
G04291AF	SubsumedBy	G12259JN
G04295FF	SubsumedBy	G62776SB
G04295FF	SubsumedBy	G89730XL
G04298QC	SubsumedBy	G88144YI
G04302CX	SubsumedBy	G75449PM
G04302OV	SubsumedBy	G09614AM
G04302OV	SubsumedBy	G42276OB
G04302OV	Subsumes	G19949UL
G04302OV	Subsumes	G52034SY
G04308ZN	SubsumedBy	G78475CP
G04308ZN	SubsumedBy	G89566SH
G04308ZN	Subsumes	G54616ZM
G04308ZN	Subsumes	G68622UR
G04308ZN	Subsumes	G75066OS
G04315YS	SubsumedBy	G88049IB
G04315YS	SubsumedBy	G57627PC
G04315YS	Subsumes	G14790EN
G04315YS	Subsumes	G75461SV
G04328BO	SubsumedBy	G53050ZJ
G04328BO	Subsumes	G84756CG
G04337AE	SubsumedBy	G05361BA
G04337AE	Subsumes	G00891GP
G04337AE	Subsumes	G13258AZ
G04337AE	Subsumes	G30590EC
G04339EV	SubsumedBy	G29880MM
G04339EV	SubsumedBy	G10350IX
G04339EV	Subsumes	G16568AK
G04340UO	SubsumedBy	G26169VM
G04340UO	Subsumes	G41500YD
G04340UO	Subsumes	G87961VV
G04340UO	Subsumes	G91444NO
G04348LJ	SubsumedBy	G60066HN
G04352JI	SubsumedBy	G74626LQ
G04352JI	Subsumes	G86682HG
G04352NL	SubsumedBy	G99375FM
G04352NL	SubsumedBy	G46456ZC
G04352NL	Subsumes	G17175SO
G04352NL	Subsumes	G47178KU
G04355NX	SubsumedBy	G80678MA
G04355NX	SubsumedBy	G86943FJ
G04355NX	Subsumes	G05553PQ
G04355NX	Subsumes	G87641EM
G04356FC	SubsumedBy	G18333FZ
G04356FC	Subsumes	G71611AN
G04357GL	SubsumedBy	G95577EQ
G04360LE	SubsumedBy	G84323AK
G04360LE	Subsumes	G07131KY
G04368OY	SubsumedBy	G14245HF
G04371QE	Subsumes	G75178ER
G04371QE	Subsumes	G91331SN
G04371QE	Subsumes	G83619DN
G04371QE	Subsumes	G62941WT
G04371QE	Subsumes	G63952ML
G04371QE	Subsumes	G76585PB
G04381AZ	SubsumedBy	G76163CP
G04381AZ	SubsumedBy	G57207CV
G04383CF	SubsumedBy	G22428GQ
G04383CF	SubsumedBy	G97496ZX
G04383CF	Subsumes	G96024GG
G04390TE	SubsumedBy	G93429VJ
G04390TE	SubsumedBy	G16096FI
G04390TE	Subsumes	G68411DS
G04396KT	SubsumedBy	G71950EM
G04396KT	Subsumes	G50095NW
G04400AY	SubsumedBy	G08757HG
G04400QM	SubsumedBy	G65947ME
G04400QM	SubsumedBy	G72264OD
G04400QM	Subsumes	G04118VH
G04400QM	Subsumes	G62433MP
G04407AH	SubsumedBy	G58761SA
G04407AH	Subsumes	G36856ZX
G04409WS	SubsumedBy	G88375TE
G04409WS	Subsumes	G12762FV
G04409WS	Subsumes	G36816DT
G04410EE	SubsumedBy	G69050ZN
G04410EE	Subsumes	G99472MO
G04410LH	SubsumedBy	G89467OL
G04410LH	Subsumes	G17996ZO
G04410LH	Subsumes	G95760YY
G04414GO	SubsumedBy	G48630BP
G04415RA	SubsumedBy	G47681UP
G04415RA	SubsumedBy	G21753KL
G04415RA	Subsumes	G82693YI
G04415RA	Subsumes	G43176KC
G04415RA	Subsumes	G54115JL
G04415RA	Subsumes	G74429DV
G04415RA	Subsumes	G95306KD
G04418LD	SubsumedBy	G09838QN
G04418LD	Subsumes	G44713GY
G04418LD	Subsumes	G53302OX
G04418LD	Subsumes	G62956JR
G04418LD	Subsumes	G85993FD
G04420BS	SubsumedBy	G86461LY
G04420BS	Subsumes	G32065KX
G04420BS	Subsumes	G98900RH
G04423CA	SubsumedBy	G48504ND
G04423CA	SubsumedBy	G74429YM
G04423CA	SubsumedBy	G75932ZJ
G04423CA	SubsumedBy	G16504VB
G04423CA	SubsumedBy	G30142LS
G04423CA	Subsumes	G61203OK
G04428BJ	SubsumedBy	G05402FG
G04428BJ	SubsumedBy	G43744JB
G04432FE	SubsumedBy	G85497EP
G04433GV	SubsumedBy	G16999RL
G04435PJ	SubsumedBy	G10977MU
G04435PJ	Subsumes	G56688OU
G04437UY	SubsumedBy	G45752DS
G04437UY	Subsumes	G08606CV
G04437UY	Subsumes	G24005JZ
G04437UY	Subsumes	G67393WG
G04437UY	Subsumes	G41304KE
G04437UY	Subsumes	G50278HE
G04438VY	SubsumedBy	G34240UR
G04438VY	SubsumedBy	G59279KF
G04438VY	Subsumes	G70332TM
G04445KN	SubsumedBy	G87320GN
G04445KN	SubsumedBy	G59522PY
G04445KN	SubsumedBy	G37841NF
G04445KN	Subsumes	G53168IY
G04448SF	SubsumedBy	G36802IG
G04448SK	SubsumedBy	G52524GO
G04448SK	Subsumes	G42420AV
G04448SK	Subsumes	G45498YC
G04448SK	Subsumes	G46649RP
G04448SK	Subsumes	G84753IL
G04450CG	SubsumedBy	G02042KH
G04450CG	SubsumedBy	G18930SC
G04459VF	SubsumedBy	G22986SW
G04459VF	Subsumes	G43204BV
G04459VF	Subsumes	G80719YH
G04462ZS	SubsumedBy	G84083SA
G04467BX	SubsumedBy	G06741XC
G04467BX	SubsumedBy	G65612XR
G04471LY	SubsumedBy	G42247WE
G04472SL	SubsumedBy	G49917NZ
G04472VT	SubsumedBy	G98089JQ
G04472VT	Subsumes	G93997XZ
G04472VT	Subsumes	G10743GO
G04472VT	Subsumes	G58375IA
G04472VT	Subsumes	G08712ES
G04472VT	Subsumes	G10898KH
G04472VT	Subsumes	G14038LZ
G04472VT	Subsumes	G46923KZ
G04472VT	Subsumes	G57627KK
G04472VT	Subsumes	G60887NT
G04472VT	Subsumes	G68800OF
G04472VT	Subsumes	G68969GZ
G04472VT	Subsumes	G74804UG
G04472VT	Subsumes	G78497WT
G04472VT	Subsumes	G80358ZJ
G04472VT	Subsumes	G81982UP
G04472VT	Subsumes	G82109TV
G04472VT	Subsumes	G85428ML
G04478DK	SubsumedBy	G94615OV
G04483QG	SubsumedBy	G09480OP
G04483SK	SubsumedBy	G10617MG
G04483SK	SubsumedBy	G17751ZM
G04483SK	SubsumedBy	G80637VS
G04495DJ	SubsumedBy	G40609FG
G04495DJ	SubsumedBy	G46897PS
G04495DJ	Subsumes	G88573VH
G04495DJ	Subsumes	G99629BM
G04497XO	SubsumedBy	G60492QF
G04501FH	SubsumedBy	G66876NJ
G04501IZ	SubsumedBy	G16873EX
G04503IF	SubsumedBy	G54878VH
G04503IF	Subsumes	G09153LX
G04503IF	Subsumes	G26185YJ
G04503IF	Subsumes	G69446XZ
G04508HC	SubsumedBy	G45362LV
G04508HC	Subsumes	G49369WH
G04512BK	SubsumedBy	G27930EM
G04512BK	Subsumes	G51162XR
G04512BK	Subsumes	G67405DY
G04512XN	SubsumedBy	G48815IR
G04512XN	Subsumes	G28478RU
G04522MB	SubsumedBy	G25556YB
G04522MB	Subsumes	G54795DL
G04522ZB	SubsumedBy	G92694MO
G04527KW	SubsumedBy	G06366AC
G04528DU	SubsumedBy	G15720UK
G04528DU	Subsumes	G87854BA
G04531ET	SubsumedBy	G90794QI
G04531ET	SubsumedBy	G93523MF
G04531ET	Subsumes	G36839GD
G04531ET	Subsumes	G56299XO
G04531ET	Subsumes	G49763BM
G04531ET	Subsumes	G34219XL
G04535LS	SubsumedBy	G88663JN
G04544OS	SubsumedBy	G02086EJ
G04544OS	SubsumedBy	G21393DK
G04550QS	SubsumedBy	G88426KH
G04550QS	Subsumes	G81378YR
G04552VX	SubsumedBy	G02043YW
G04552VX	Subsumes	G79646HD
G04554QW	SubsumedBy	G35346LB
G04554QW	SubsumedBy	G98199HS
G04554UL	SubsumedBy	G55706KC
G04554UL	SubsumedBy	G56256XB
G04557PM	SubsumedBy	G79308EQ
G04561MG	SubsumedBy	G07682PQ
G04561MG	Subsumes	G22898PA
G04561MG	Subsumes	G52880ZN
G04563ZO	SubsumedBy	G58568BI
G04563ZO	Subsumes	G77253PE
G04563ZO	Subsumes	G84112NY
G04564SK	SubsumedBy	G34091LH
G04576KS	SubsumedBy	G14696LD
G04576KS	SubsumedBy	G49043NO
G04576KS	SubsumedBy	G71917KP
G04576KS	SubsumedBy	G93164KQ
G04576PT	SubsumedBy	G61307IR
G04576PT	Subsumes	G02175CF
G04576PT	Subsumes	G27018TS
G04580CX	SubsumedBy	G50696OD
G04580CX	Subsumes	G46526SO
G04582LB	SubsumedBy	G28681TP
G04582LB	Subsumes	G06162AQ
G04582LB	Subsumes	G16135DK
G04582LB	Subsumes	G23855LE
G04582LB	Subsumes	G28005AF
G04582LB	Subsumes	G30399ZO
G04582LB	Subsumes	G44809JX
G04584US	SubsumedBy	G04681UD
G04584US	Subsumes	G59125FH
G04585NN	SubsumedBy	G76084UE
G04585NN	Subsumes	G45747TC
G04585NN	Subsumes	G60532CM
G04585NN	Subsumes	G61467QZ
G04585VW	SubsumedBy	G82388AD
G04585VW	Subsumes	G49386TY
G04585VW	Subsumes	G91527XZ
G04586OG	SubsumedBy	G97591GH
G04586OG	Subsumes	G13748BP
G04592TN	SubsumedBy	G68277HC
G04592TN	Subsumes	G52533SV
G04592TN	Subsumes	G77556FL
G04595LN	SubsumedBy	G75449PM
G04595LN	Subsumes	G10539LQ
G04595ZA	SubsumedBy	G45493QM
G04595ZA	SubsumedBy	G80294ZS
G04595ZA	Subsumes	G18578CO
G04598XU	SubsumedBy	G46442EF
G04602LA	SubsumedBy	G48849EN
G04602LA	SubsumedBy	G17805DC
G04604EA	SubsumedBy	G22826FC
G04604EA	Subsumes	G03897VJ
G04604EA	Subsumes	G57129SH
G04604GA	SubsumedBy	G98213XU
G04604GA	Subsumes	G77632HJ
G04604QI	SubsumedBy	G33315ON
G04604QI	Subsumes	G10743GO
G04604QI	Subsumes	G58375IA
G04604QI	Subsumes	G08712ES
G04604QI	Subsumes	G10898KH
G04604QI	Subsumes	G46923KZ
G04604QI	Subsumes	G68800OF
G04604QI	Subsumes	G68969GZ
G04604QI	Subsumes	G78497WT
G04608YG	SubsumedBy	G59068XW
G04608YG	SubsumedBy	G74049SP
G04610NG	SubsumedBy	G38552LX
G04610NG	Subsumes	G10479NG
G04614YY	SubsumedBy	G16591FM
G04614YY	Subsumes	G70478PS
G04616ST	SubsumedBy	G80981NI
G04616ST	SubsumedBy	G02320PG
G04616ST	SubsumedBy	G59594LT
G04616ST	Subsumes	G00056MO
G04616ST	Subsumes	G21469TE
G04618ND	SubsumedBy	G74102VO
G04619IA	SubsumedBy	G81777TV
G04619IA	SubsumedBy	G98897XC
G04619IA	Subsumes	G14345BP
G04619IA	Subsumes	G24616QB
G04620DQ	SubsumedBy	G12604EW
G04620DQ	SubsumedBy	G33340AE
G04620DQ	SubsumedBy	G69433EY
G04620DQ	SubsumedBy	G78261DB
G04622LK	SubsumedBy	G46448VV
G04622LK	SubsumedBy	G78944YP
G04622LK	Subsumes	G38115KZ
G04624DG	SubsumedBy	G04156GK
G04626WE	SubsumedBy	G02280OF
G04626WE	Subsumes	G34815RA
G04630LB	SubsumedBy	G68121HZ
G04630LB	Subsumes	G88743PL
G04633EB	SubsumedBy	G61053KN
G04633EB	SubsumedBy	G78862RD
G04633EB	Subsumes	G13507MS
G04633EB	Subsumes	G51580UF
G04638IX	SubsumedBy	G03468CX
G04638IX	Subsumes	G66552NS
G04640CO	SubsumedBy	G84095DY
G04640CO	Subsumes	G31674LC
G04640CO	Subsumes	G34516MK
G04640CO	Subsumes	G36370II
G04649ES	SubsumedBy	G67311RE
G04650WV	SubsumedBy	G73686WG
G04650WV	Subsumes	G07106XG
G04650WV	Subsumes	G52099OS
G04650WV	Subsumes	G94698BS
G04650WV	Subsumes	G98289OU
G04650WV	Subsumes	G07574QU
G04650WV	Subsumes	G27125PI
G04650WV	Subsumes	G28003YJ
G04650WV	Subsumes	G35487QF
G04650WV	Subsumes	G37648MM
G04650WV	Subsumes	G88040XS
G04650WV	Subsumes	G93876ZI
G04651AD	SubsumedBy	G72539HB
G04651AD	Subsumes	G02946BE
G04651AD	Subsumes	G41918DZ
G04656HH	SubsumedBy	G12750SG
G04656HH	Subsumes	G05195BC
G04657PL	SubsumedBy	G87051GH
G04657PL	Subsumes	G36202LB
G04657PL	Subsumes	G72191MQ
G04657PL	Subsumes	G19576EP
G04661PJ	SubsumedBy	G10140TR
G04661PJ	Subsumes	G72709KO
G04662JQ	SubsumedBy	G82308RC
G04662JQ	Subsumes	G72046TZ
G04670CJ	SubsumedBy	G33402AN
G04670CJ	SubsumedBy	G88224UD
G04670NE	SubsumedBy	G06728MM
G04670NE	Subsumes	G26881SV
G04671HI	SubsumedBy	G14951HH
G04671HI	SubsumedBy	G39135NO
G04671HI	Subsumes	G16976BN
G04671HI	Subsumes	G75345ZM
G04671HI	Subsumes	G86445KR
G04672PB	SubsumedBy	G57462DO
G04672PB	Subsumes	G35429JB
G04672PB	Subsumes	G44799JP
G04672PB	Subsumes	G77679NJ
G04676YO	SubsumedBy	G69255QH
G04676YO	Subsumes	G35879BG
G04676YO	Subsumes	G64189GC
G04678VQ	SubsumedBy	G12360RT
G04678VQ	Subsumes	G32364DF
G04678VQ	Subsumes	G79351ZW
G04678VQ	Subsumes	G93638BI
G04678VQ	Subsumes	G96622LK
G04679CK	Subsumes	G52253CP
G04679CK	Subsumes	G92618FA
G04681PT	SubsumedBy	G97792VM
G04681UD	Subsumes	G88312OR
G04681UD	Subsumes	G04584US
G04681UD	Subsumes	G34077LV
G04681UD	Subsumes	G55328QW
G04681UD	Subsumes	G84662CQ
G04681UD	Subsumes	G87203IU
G04689DA	SubsumedBy	G19826RH
G04689DA	SubsumedBy	G57410TH
G04689DA	Subsumes	G83161QT
G04689DA	Subsumes	G37135JQ
G04689DA	Subsumes	G63337SS
G04689ZO	SubsumedBy	G89621BX
G04689ZO	Subsumes	G71280GW
G04689ZO	Subsumes	G82648IS
G04690JX	SubsumedBy	G68835PZ
G04690JX	Subsumes	G49963IQ
G04690JX	Subsumes	G96179XD
G04699IC	SubsumedBy	G10350IX
G04699IC	Subsumes	G48949LD
G04699IC	Subsumes	G62824TL
G04699RP	SubsumedBy	G13968YX
G04699RP	SubsumedBy	G22196LK
G04699RP	Subsumes	G21586RO
G04699RP	Subsumes	G40786FB
G04700EY	SubsumedBy	G66128JY
G04700EY	Subsumes	G68179GF
G04703AJ	SubsumedBy	G62291ED
G04708ME	SubsumedBy	G56948FO
G04715AF	SubsumedBy	G90951IM
G04715AF	Subsumes	G72923FK
G04715AF	Subsumes	G82675BX
G04715AF	Subsumes	G99354MR
G04715SK	SubsumedBy	G00969CV
G04717US	SubsumedBy	G84811TT
G04717US	Subsumes	G25787HL
G04719BG	SubsumedBy	G42608BA
G04719BG	Subsumes	G81326IN
G04727QI	SubsumedBy	G82364UA
G04727QI	Subsumes	G00258QK
G04727QI	Subsumes	G87603SD
G04727QI	Subsumes	G41981NR
G04731IF	SubsumedBy	G94658OO
G04731IF	Subsumes	G08675PK
G04731IF	Subsumes	G15972DM
G04734LP	SubsumedBy	G79787PB
G04736BF	SubsumedBy	G51195XO
G04736BF	Subsumes	G41269ND
G04742OZ	Subsumes	G80708ML
G04742WT	SubsumedBy	G80223IX
G04742WT	SubsumedBy	G04010WJ
G04743RS	SubsumedBy	G23416CI
G04743RS	SubsumedBy	G51705EB
G04743RS	SubsumedBy	G34306IB
G04744XB	SubsumedBy	G52622SW
G04744XB	SubsumedBy	G68698AP
G04744XB	SubsumedBy	G80155BS
G04744XB	SubsumedBy	G92257YN
G04751OE	SubsumedBy	G61280PE
G04751OE	Subsumes	G81085EP
G04751SB	SubsumedBy	G61794OV
G04751SB	SubsumedBy	G95499ZQ
G04760HF	SubsumedBy	G17823PT
G04760HF	SubsumedBy	G63646FQ
G04760HF	Subsumes	G47701VN
G04760XP	SubsumedBy	G67825LU
G04764ON	SubsumedBy	G42929LX
G04764ON	SubsumedBy	G52441NC
G04765GH	SubsumedBy	G75586OT
G04765GH	SubsumedBy	G74473MP
G04767HS	SubsumedBy	G44887AU
G04767UR	SubsumedBy	G09221QI
G04767UR	Subsumes	G65044JI
G04774ZB	SubsumedBy	G85836ZE
G04775TV	SubsumedBy	G13713QM
G04775TV	Subsumes	G09393NL
G04776DX	SubsumedBy	G90241MQ
G04779EY	SubsumedBy	G10445TA
G04779SN	SubsumedBy	G82230HL
G04779SN	SubsumedBy	G86279FD
G04779SN	Subsumes	G16614GV
G04779SN	Subsumes	G68732HN
G04783EJ	SubsumedBy	G10625VD
G04783EJ	SubsumedBy	G60967EN
G04783EJ	SubsumedBy	G12352RJ
G04784US	SubsumedBy	G28989NC
G04784US	Subsumes	G74930DK
G04784US	Subsumes	G96234CW
G04786NB	SubsumedBy	G02433XU
G04786NB	SubsumedBy	G85145TZ
G04786NB	Subsumes	G87187SG
G04788IP	SubsumedBy	G37873KP
G04791QM	SubsumedBy	G13290KJ
G04791QM	SubsumedBy	G24585JV
G04791QM	SubsumedBy	G40245CP
G04791QM	SubsumedBy	G73139AM
G04791YX	SubsumedBy	G58235TZ
G04791YX	SubsumedBy	G69944KZ
G04792UK	SubsumedBy	G33249PE
G04792UK	SubsumedBy	G56876DF
G04792UK	SubsumedBy	G76014WR
G04792UK	SubsumedBy	G85121LW
G04794OZ	SubsumedBy	G04248AK
G04794OZ	SubsumedBy	G16603TV
G04794OZ	SubsumedBy	G49478VT
G04794OZ	SubsumedBy	G66470BN
G04794OZ	SubsumedBy	G82050CF
G04794OZ	Subsumes	G67474DW
G04801PW	SubsumedBy	G61666PA
G04801PW	Subsumes	G02753DE
G04809AM	SubsumedBy	G82364UA
G04809AM	Subsumes	G03795KZ
G04809AM	Subsumes	G98903KQ
G04811EI	SubsumedBy	G39438KB
G04811EI	Subsumes	G31515BE
G04811EI	Subsumes	G33322SU
G04811EI	Subsumes	G78813BX
G04812DZ	SubsumedBy	G16201EW
G04812DZ	SubsumedBy	G25511ES
G04812DZ	Subsumes	G49791FJ
G04813BI	SubsumedBy	G63825EI
G04813BI	Subsumes	G39155PH
G04813BI	Subsumes	G56078TF
G04813BI	Subsumes	G59569IU
G04816EV	SubsumedBy	G41631JQ
G04816EV	Subsumes	G48630BP
G04817LD	SubsumedBy	G18401II
G04817LD	SubsumedBy	G77828MY
G04817LD	Subsumes	G85766UK
G04820IN	SubsumedBy	G93138GI
G04820IN	Subsumes	G87260SO
G04820ZR	SubsumedBy	G58926NQ
G04820ZR	Subsumes	G14998UC
G04820ZR	Subsumes	G56830SM
G04820ZT	SubsumedBy	G79473WX
G04820ZT	SubsumedBy	G11619JT
G04820ZT	SubsumedBy	G24121ID
G04820ZT	SubsumedBy	G74619XO
G04820ZT	Subsumes	G32305RZ
G04823YN	SubsumedBy	G53818ZZ
G04823YN	Subsumes	G80537QW
G04823YN	Subsumes	G91905FJ
G04827VN	SubsumedBy	G31471VL
G04827VN	SubsumedBy	G74675LI
G04827VN	Subsumes	G86884BW
G04829KA	SubsumedBy	G92679KQ
G04829RO	SubsumedBy	G28593TO
G04831ED	SubsumedBy	G09585AB
G04831ED	SubsumedBy	G24027FK
G04831ED	Subsumes	G64389SF
G04833EK	SubsumedBy	G59062KT
G04833EK	Subsumes	G11402JS
G04833EK	Subsumes	G56711UY
G04833EK	Subsumes	G91257TL
G04836KE	SubsumedBy	G25009PP
G04838UQ	SubsumedBy	G71289YC
G04838UQ	Subsumes	G66685IX
G04842BY	SubsumedBy	G76104FR
G04842BY	SubsumedBy	G73700KU
G04842BY	Subsumes	G37442XF
G04842BY	Subsumes	G81239UY
G04842BY	Subsumes	G96361GW
G04842IW	SubsumedBy	G04091CN
G04842IW	SubsumedBy	G36534NK
G04846SY	SubsumedBy	G27984UW
G04846SY	Subsumes	G94490EL
G04851MY	SubsumedBy	G05387HG
G04851MY	Subsumes	G35878KK
G04852LJ	SubsumedBy	G69492TQ
G04852LJ	SubsumedBy	G99335SW
G04852LJ	Subsumes	G10463IQ
G04854NQ	SubsumedBy	G61927HW
G04854VP	Subsumes	G34090FY
G04855ZO	SubsumedBy	G31648ED
G04855ZO	Subsumes	G84153KU
G04856GF	SubsumedBy	G92120IY
G04856GF	Subsumes	G02783FI
G04856GF	Subsumes	G19432GA
G04856GF	Subsumes	G79695ME
G04857UT	SubsumedBy	G87346MV
