GlyTouCanAccession	Relationship	RelatedAccession
G00060MO	SubsumedBy	G09947IM
G00061MO	SubsumedBy	G24499XE
G00062MO	SubsumedBy	G77501VF
G00062MO	SubsumedBy	G83633HB
G00063MO	SubsumedBy	G07293JT
G00064MO	SubsumedBy	G89203PY
G00065MO	SubsumedBy	G09102AG
G00065MO	SubsumedBy	G10203DW
G00065MO	SubsumedBy	G85454WJ
G00066MO	SubsumedBy	G10902TC
G00066MO	SubsumedBy	G55958KV
G00066WY	SubsumedBy	G28681TP
G00066WY	Subsumes	G07714MB
G00066WY	Subsumes	G15591ES
G00066WY	Subsumes	G77233DH
G00066WY	Subsumes	G87139RR
G00067MO	SubsumedBy	G56807EB
G00068MO	SubsumedBy	G66086EX
G00068MO	SubsumedBy	G82749ZI
G00069MO	SubsumedBy	G97048GO
G00069MO	Subsumes	G45827GY
G00070MO	SubsumedBy	G97048GO
G00070MO	SubsumedBy	G68044QW
G00070MO	Subsumes	G48059CD
G00071MO	SubsumedBy	G07227QC
G00071MO	Subsumes	G00407UJ
G00072MO	SubsumedBy	G15216HY
G00072MO	Subsumes	G54429MF
G00076PK	SubsumedBy	G55205ZV
G00082CQ	Subsumes	G56602KR
G00087BY	SubsumedBy	G21331WE
G00087BY	Subsumes	G80452AC
G00089VH	SubsumedBy	G33365UE
G00089VH	Subsumes	G32094CS
G00090SL	SubsumedBy	G95084EB
G00091RT	SubsumedBy	G29783MB
G00094SE	SubsumedBy	G39948NU
G00105XF	SubsumedBy	G06356OH
G00105XF	SubsumedBy	G91360AG
G00105XF	Subsumes	G85136IQ
G00106LE	SubsumedBy	G93737GA
G00106LE	Subsumes	G08961VV
G00106LE	Subsumes	G32987YD
G00112IO	SubsumedBy	G93493GN
G00116QX	SubsumedBy	G62000JW
G00116QX	Subsumes	G60361PU
G00116QX	Subsumes	G74020TX
G00120QS	SubsumedBy	G86427WL
G00120QS	Subsumes	G05108UT
G00120QS	Subsumes	G61927HW
G00123JF	SubsumedBy	G04960UI
G00123JF	SubsumedBy	G20934UH
G00123JF	SubsumedBy	G55420LT
G00133UK	SubsumedBy	G26789BE
G00140XB	SubsumedBy	G15765GX
G00140XB	SubsumedBy	G75557QL
G00140XB	Subsumes	G16715AO
G00140XB	Subsumes	G52896CF
G00140YZ	SubsumedBy	G88938QF
G00140YZ	Subsumes	G26358SO
G00140YZ	Subsumes	G38812YS
G00141ZD	SubsumedBy	G03830VF
G00141ZD	Subsumes	G29777ZC
G00152LK	SubsumedBy	G64642ML
G00153LJ	SubsumedBy	G42191FI
G00155YT	SubsumedBy	G58444TO
G00155YT	SubsumedBy	G79066FM
G00155YT	SubsumedBy	G90352XZ
G00157WT	SubsumedBy	G40103VO
G00167VE	SubsumedBy	G76746DW
G00167VE	Subsumes	G56852BX
G00171RJ	SubsumedBy	G57709XI
G00175GT	SubsumedBy	G76990YK
G00175GT	SubsumedBy	G99939EJ
G00175GT	Subsumes	G61979BR
G00176HZ	SubsumedBy	G07672VG
G00176HZ	SubsumedBy	G49369WH
G00176HZ	SubsumedBy	G81338NH
G00185NL	SubsumedBy	G70619PT
G00185NL	Subsumes	G94062MN
G00186OS	SubsumedBy	G11571JL
G00186OS	SubsumedBy	G13751NN
G00186OS	SubsumedBy	G70102HC
G00186OS	Subsumes	G26949IX
G00194GV	Subsumes	G34329HY
G00194ZL	SubsumedBy	G89518IN
G00194ZL	Subsumes	G25891YZ
G00199JR	SubsumedBy	G76823GQ
G00204EX	SubsumedBy	G39446WN
G00204EX	Subsumes	G87611TK
G00207YQ	SubsumedBy	G40609FG
G00207YQ	SubsumedBy	G60742LQ
G00207YQ	Subsumes	G08187GM
G00207YQ	Subsumes	G17157SF
G00211WY	SubsumedBy	G39456KE
G00211WY	SubsumedBy	G90989JC
G00212ZT	SubsumedBy	G46861ZO
G00212ZT	Subsumes	G58887UO
G00219DO	SubsumedBy	G13782TA
G00219DO	Subsumes	G49664YG
G00219DO	Subsumes	G54764AV
G00219VH	SubsumedBy	G47318KU
G00219VH	SubsumedBy	G60564JX
G00219VH	Subsumes	G00035MO
G00221CZ	SubsumedBy	G51858NL
G00221CZ	Subsumes	G22511DQ
G00221CZ	Subsumes	G81349OI
G00221CZ	Subsumes	G95222PD
G00227RN	SubsumedBy	G00814BW
G00227RN	SubsumedBy	G19023UQ
G00227RN	SubsumedBy	G30861MI
G00227RN	Subsumes	G21459ST
G00227RN	Subsumes	G45209NR
G00227RN	Subsumes	G64789SR
G00227RN	Subsumes	G75707EC
G00227RN	Subsumes	G91413ZX
G00229TF	Subsumes	G42231PV
G00229TF	Subsumes	G69682OQ
G00229VQ	Subsumes	G35533HS
G00230CO	SubsumedBy	G30615JE
G00230CO	Subsumes	G75734VP
G00230IL	SubsumedBy	G18517UV
G00230IL	Subsumes	G13894RO
G00231IQ	SubsumedBy	G72381MO
G00231WL	SubsumedBy	G73453VT
G00231WL	Subsumes	G19469VZ
G00232ED	SubsumedBy	G33573NA
G00232ED	Subsumes	G23098ZZ
G00247JV	SubsumedBy	G49504RV
G00247JV	Subsumes	G18447KU
G00247PL	SubsumedBy	G49086NE
G00247PL	Subsumes	G42477ZH
G00249IY	SubsumedBy	G78045JW
G00249IY	Subsumes	G42962KI
G00249XR	SubsumedBy	G00695FC
G00249XR	Subsumes	G05270EP
G00249XR	Subsumes	G05422YM
G00249XR	Subsumes	G16366NK
G00249XR	Subsumes	G27809QD
G00249XR	Subsumes	G35642GA
G00249XR	Subsumes	G35687VS
G00249XR	Subsumes	G39204IU
G00249XR	Subsumes	G49401WK
G00249XR	Subsumes	G55650NN
G00249XR	Subsumes	G71129DE
G00249XR	Subsumes	G74891FV
G00249XR	Subsumes	G78626GM
G00249XR	Subsumes	G82564EX
G00249XR	Subsumes	G88325OQ
G00249XR	Subsumes	G89324AP
G00249XR	Subsumes	G89362MU
G00249XR	Subsumes	G90158QT
G00249XR	Subsumes	G92977XM
G00249XR	Subsumes	G96060LN
G00249XR	Subsumes	G96587VR
G00257UQ	SubsumedBy	G72216GM
G00257UQ	Subsumes	G35199BM
G00258QK	SubsumedBy	G04727QI
G00258QK	SubsumedBy	G45523ZL
G00258QK	Subsumes	G00383KP
G00272VU	SubsumedBy	G12526AB
G00277SO	SubsumedBy	G06194QO
G00277SO	Subsumes	G82054AK
G00279YF	SubsumedBy	G09082RG
G00279YF	SubsumedBy	G21573FN
G00279YF	SubsumedBy	G54884LT
G00279YF	Subsumes	G29434RB
G00281HB	SubsumedBy	G42262TV
G00281HB	Subsumes	G42493LZ
G00283TT	SubsumedBy	G53026JC
G00283TT	Subsumes	G58921NR
G00284SJ	SubsumedBy	G06964XX
G00284SJ	Subsumes	G03820FM
G00287UD	SubsumedBy	G80569XM
G00288QM	SubsumedBy	G38754EC
G00288QM	SubsumedBy	G66538GV
G00288QM	Subsumes	G60611WD
G00293HN	SubsumedBy	G27539FC
G00293HN	SubsumedBy	G67607IK
G00293HN	Subsumes	G53910TF
G00293HN	Subsumes	G60371GE
G00293HN	Subsumes	G65726WP
G00293HN	Subsumes	G90641NS
G00294BL	SubsumedBy	G02807LM
G00294BL	SubsumedBy	G66645QN
G00294TN	SubsumedBy	G50899UD
G00298HY	SubsumedBy	G77956CJ
G00298HY	Subsumes	G83781TR
G00304VG	SubsumedBy	G98137OB
G00304VG	Subsumes	G29391VY
G00306VT	SubsumedBy	G15033VO
G00306VT	Subsumes	G42346RJ
G00311MF	SubsumedBy	G18540UW
G00311MF	Subsumes	G15049HP
G00311MF	Subsumes	G36808OX
G00311MF	Subsumes	G47421RS
G00313OR	Subsumes	G80350AQ
G00318AV	SubsumedBy	G37260VJ
G00318AV	Subsumes	G08146BT
G00318AV	Subsumes	G22747ZM
G00320ZP	SubsumedBy	G79520GQ
G00325UK	SubsumedBy	G99202NV
G00328CG	SubsumedBy	G13710XN
G00328CG	Subsumes	G99518NJ
G00328HB	SubsumedBy	G12149HM
G00328HB	Subsumes	G03652TR
G00328HB	Subsumes	G40673VG
G00331XG	SubsumedBy	G99168JE
G00331XG	Subsumes	G14675SI
G00331XG	Subsumes	G46355PL
G00335DM	SubsumedBy	G87354OO
G00335JE	SubsumedBy	G96349IQ
G00335JE	Subsumes	G34751ZZ
G00335JE	Subsumes	G69735UM
G00336XG	SubsumedBy	G20034JD
G00336XG	SubsumedBy	G33609NS
G00336XG	Subsumes	G99287LH
G00338CG	SubsumedBy	G11169GF
G00338CG	Subsumes	G08580UN
G00338CG	Subsumes	G23136PY
G00349CA	SubsumedBy	G53664NP
G00349CA	Subsumes	G88827CD
G00361YF	SubsumedBy	G20045DK
G00361YF	Subsumes	G99927HL
G00362UY	SubsumedBy	G64998DO
G00362UY	Subsumes	G46208LD
G00370EI	SubsumedBy	G64433JO
G00371DJ	SubsumedBy	G74793LO
G00376RB	SubsumedBy	G48474NX
G00379PJ	SubsumedBy	G49520SO
G00379PJ	Subsumes	G09108HO
G00381YD	SubsumedBy	G98643XP
G00381YD	Subsumes	G09614AM
G00381YD	Subsumes	G42276OB
G00383KP	SubsumedBy	G00258QK
G00383KP	Subsumes	G34634NL
G00383YF	SubsumedBy	G06302GP
G00383YF	Subsumes	G84260SO
G00386WN	SubsumedBy	G27573AU
G00386WN	SubsumedBy	G50454XO
G00386WN	Subsumes	G46138BZ
G00390GQ	Subsumes	G28287CO
G00395FS	SubsumedBy	G06851NM
G00395FS	SubsumedBy	G33575EC
G00395TQ	SubsumedBy	G35528XC
G00395TQ	SubsumedBy	G50346FN
G00396DP	SubsumedBy	G41679WN
G00396DP	SubsumedBy	G99657QX
G00396DP	Subsumes	G06191ME
G00396DP	Subsumes	G48609TB
G00396IE	SubsumedBy	G28176UJ
G00396IE	Subsumes	G06534UH
G00396IE	Subsumes	G42264OV
G00399LG	SubsumedBy	G75442EJ
G00401IE	SubsumedBy	G97460BJ
G00401IE	Subsumes	G07476BB
G00406II	SubsumedBy	G82364UA
G00406II	Subsumes	G45523ZL
G00406II	Subsumes	G03795KZ
G00406II	Subsumes	G04281RT
G00406II	Subsumes	G11301CP
G00406II	Subsumes	G18497HF
G00406II	Subsumes	G61358CK
G00406II	Subsumes	G69681RG
G00406II	Subsumes	G88426KH
G00406II	Subsumes	G94894XC
G00406II	Subsumes	G96371MU
G00406II	Subsumes	G98213XU
G00406II	Subsumes	G98903KQ
G00407UJ	SubsumedBy	G00071MO
G00407UJ	SubsumedBy	G77186TD
G00407UJ	Subsumes	G11042HO
G00407UJ	Subsumes	G21856LC
G00412SV	SubsumedBy	G66732FU
G00412SV	Subsumes	G23795SX
G00412SV	Subsumes	G36598KD
G00412SV	Subsumes	G67411ST
G00413UF	SubsumedBy	G13631VW
G00413UF	SubsumedBy	G14572XX
G00413UF	SubsumedBy	G33174QG
G00413UF	SubsumedBy	G33841EB
G00413UF	SubsumedBy	G78757GA
G00423RQ	SubsumedBy	G30841DH
G00423RQ	SubsumedBy	G83588LS
G00423TL	SubsumedBy	G65809MG
G00428HK	SubsumedBy	G80362CW
G00430ZK	SubsumedBy	G86454PA
G00430ZK	Subsumes	G00944OL
G00432WV	SubsumedBy	G36966DH
G00432WV	SubsumedBy	G38230YO
G00432WV	SubsumedBy	G50216QG
G00432WV	Subsumes	G36523TZ
G00433KW	SubsumedBy	G15806UI
G00433KW	SubsumedBy	G97179UV
G00433KW	Subsumes	G27171ZS
G00435KX	SubsumedBy	G91698GT
G00435KX	Subsumes	G33758WJ
G00438EF	SubsumedBy	G07927YP
G00449DS	SubsumedBy	G27126ED
G00449DS	Subsumes	G41068JX
G00449DS	Subsumes	G42562GD
G00449DS	Subsumes	G55706KC
G00449DS	Subsumes	G61881PR
G00449DS	Subsumes	G74377HW
G00449DS	Subsumes	G85109FK
G00450EO	SubsumedBy	G51464JJ
G00450EO	Subsumes	G13841GG
G00450EO	Subsumes	G98164UY
G00451UT	SubsumedBy	G30743QX
G00451UT	SubsumedBy	G58170TE
G00451UT	SubsumedBy	G83009TH
G00451UT	Subsumes	G03479ZN
G00454PR	SubsumedBy	G14967ME
G00454PR	Subsumes	G27041VC
G00457KD	SubsumedBy	G52382YP
G00459BD	SubsumedBy	G19517GM
G00459BD	Subsumes	G14694NF
G00459BD	Subsumes	G26014MK
G00459BD	Subsumes	G81407FM
G00459BD	Subsumes	G97876DH
G00459HM	SubsumedBy	G22875VT
G00461RR	SubsumedBy	G45329XT
G00461RR	Subsumes	G89239EL
G00461ZN	SubsumedBy	G63977XF
G00461ZN	SubsumedBy	G82343BL
G00463XD	SubsumedBy	G68500FC
G00463XD	SubsumedBy	G68560MK
G00467QU	SubsumedBy	G46817ET
G00468KU	SubsumedBy	G18391DN
G00468KU	Subsumes	G57626SM
G00468KU	Subsumes	G80005YU
G00468KU	Subsumes	G85530IT
G00468NI	SubsumedBy	G34751ZZ
G00469BS	SubsumedBy	G05304RZ
G00469BS	Subsumes	G73136IM
G00470UO	SubsumedBy	G11275FH
G00470UO	Subsumes	G33522ME
G00480KJ	SubsumedBy	G23753FY
G00482HJ	SubsumedBy	G09040YU
G00483IX	SubsumedBy	G26634XL
G00483IX	SubsumedBy	G33402AN
G00483IX	Subsumes	G91649BT
G00487XO	SubsumedBy	G00644ZZ
G00487XO	Subsumes	G31411GR
G00487XO	Subsumes	G73896IF
G00488OU	SubsumedBy	G22270PZ
G00488OU	SubsumedBy	G83229XP
G00488OU	Subsumes	G58110AA
G00488OU	Subsumes	G86188WH
G00492CQ	SubsumedBy	G02923VP
G00492CQ	SubsumedBy	G79771YZ
G00492CQ	SubsumedBy	G80276UF
G00492CQ	Subsumes	G11994QC
G00503EE	SubsumedBy	G16883LE
G00503EE	SubsumedBy	G26030JN
G00503EE	SubsumedBy	G89905SH
G00503EE	SubsumedBy	G96510EZ
G00503EE	Subsumes	G00536FZ
G00504PK	SubsumedBy	G63701SG
G00504PK	Subsumes	G26145IL
G00504PK	Subsumes	G42832NT
G00504PZ	SubsumedBy	G22267WV
G00504PZ	SubsumedBy	G38843SX
G00504PZ	SubsumedBy	G85287WC
G00510MX	SubsumedBy	G66300WN
G00510MX	Subsumes	G17330HJ
G00511LE	SubsumedBy	G35635NQ
G00511LE	SubsumedBy	G74068KQ
G00511LE	SubsumedBy	G56952JL
G00511LE	Subsumes	G70859XP
G00514XC	SubsumedBy	G28103WK
G00514XC	SubsumedBy	G84975AL
G00520NI	SubsumedBy	G83344UL
G00520NI	Subsumes	G78333MH
G00523PT	SubsumedBy	G32286UR
G00523PT	Subsumes	G33294DV
G00523PT	Subsumes	G33318DG
G00523PT	Subsumes	G53878DC
G00523YW	SubsumedBy	G50372JE
G00523YW	SubsumedBy	G73817KF
G00527ZE	SubsumedBy	G63628AV
G00527ZE	SubsumedBy	G44703XA
G00527ZE	Subsumes	G48657QJ
G00527ZE	Subsumes	G54628BK
G00527ZE	Subsumes	G56286QY
G00527ZE	Subsumes	G80587PF
G00531DC	SubsumedBy	G19160IM
G00531DC	SubsumedBy	G89179XK
G00531DC	Subsumes	G74850GG
G00531ZU	SubsumedBy	G99663MH
G00531ZU	Subsumes	G23340ZN
G00536FZ	SubsumedBy	G00503EE
G00536FZ	SubsumedBy	G31747RS
G00536FZ	SubsumedBy	G40124HY
G00542QA	SubsumedBy	G23960RZ
G00542QA	Subsumes	G36777IJ
G00542QA	Subsumes	G85890AG
G00542QA	Subsumes	G98003WW
G00544JF	SubsumedBy	G49900EU
G00544JF	Subsumes	G34723UV
G00544JF	Subsumes	G47766VH
G00545NQ	SubsumedBy	G56675VL
G00545NQ	Subsumes	G83377MZ
G00547ZN	SubsumedBy	G20905JK
G00547ZN	SubsumedBy	G34163WN
G00551JZ	SubsumedBy	G08939IS
G00551JZ	SubsumedBy	G22972ZW
G00551JZ	Subsumes	G06656BE
G00553AN	SubsumedBy	G49917IO
G00553AN	SubsumedBy	G58076ER
G00553AN	Subsumes	G16529MG
G00553AN	Subsumes	G39810GC
G00553AN	Subsumes	G80537QW
G00553AN	Subsumes	G87489PB
G00553AN	Subsumes	G91905FJ
G00557UC	SubsumedBy	G61273QS
G00557UC	Subsumes	G50504AR
G00558IW	SubsumedBy	G60356JP
G00558IW	Subsumes	G91352BD
G00560KG	SubsumedBy	G87772NA
G00565QJ	SubsumedBy	G62922WK
G00565QJ	SubsumedBy	G69008IB
G00565QJ	Subsumes	G30915AU
G00568LN	SubsumedBy	G31994GC
G00568LN	Subsumes	G06410KH
G00582VL	SubsumedBy	G46539GP
G00586TU	SubsumedBy	G83975FN
G00586TU	Subsumes	G09513RD
G00586TU	Subsumes	G76935VY
G00588HO	SubsumedBy	G83460ZZ
G00588HO	Subsumes	G66728LX
G00591PZ	SubsumedBy	G11832MD
G00594AV	SubsumedBy	G19793MN
G00594AV	Subsumes	G26777RD
G00594CD	SubsumedBy	G77223RQ
G00594CD	SubsumedBy	G89291WX
G00598SQ	SubsumedBy	G89799OK
G00598SQ	Subsumes	G01244DB
G00598SQ	Subsumes	G19124KK
G00601UG	SubsumedBy	G51932GA
G00601UG	SubsumedBy	G85620YV
G00606LX	SubsumedBy	G89466MK
G00606LX	Subsumes	G70830AN
G00619DD	SubsumedBy	G80926OA
G00628MV	SubsumedBy	G36379GD
G00628MV	Subsumes	G01695WQ
G00628MV	Subsumes	G24410DJ
G00628MV	Subsumes	G60939UT
G00629YK	SubsumedBy	G50264UK
G00629YK	Subsumes	G34499SX
G00629YK	Subsumes	G61846BY
G00629YK	Subsumes	G80966KZ
G00629YK	Subsumes	G92684AL
G00631XZ	SubsumedBy	G89291WX
G00631XZ	Subsumes	G41752RI
G00633GI	SubsumedBy	G61431CZ
G00633GI	Subsumes	G51170QD
G00641XC	SubsumedBy	G28356JF
G00641XC	Subsumes	G54741SP
G00644ZZ	SubsumedBy	G82622JD
G00644ZZ	Subsumes	G00487XO
G00644ZZ	Subsumes	G01590HD
G00646SN	SubsumedBy	G25467PR
G00647RA	SubsumedBy	G29530DJ
G00650AC	SubsumedBy	G13039ZI
G00650AC	SubsumedBy	G76776CG
G00653TI	SubsumedBy	G64463IC
G00657YY	SubsumedBy	G24972VM
G00657YY	Subsumes	G22805IF
G00657YY	Subsumes	G69538JT
G00659GQ	SubsumedBy	G46799JK
G00662IB	SubsumedBy	G03706EO
G00662IB	SubsumedBy	G05098FE
G00662IB	SubsumedBy	G09579YO
G00662IB	SubsumedBy	G23296IL
G00662UH	SubsumedBy	G31219GT
G00666EC	SubsumedBy	G39340CD
G00667RI	SubsumedBy	G18635IL
G00670OT	SubsumedBy	G06328AN
G00670OT	SubsumedBy	G94120DZ
G00670OT	Subsumes	G33952KU
G00672PE	SubsumedBy	G77659VW
G00673KJ	SubsumedBy	G33940EI
G00674TY	SubsumedBy	G83642FZ
G00675GF	SubsumedBy	G52937XP
G00675GF	Subsumes	G87755UZ
G00682IE	Subsumes	G00031MO
G00688TE	SubsumedBy	G91902CD
G00688TE	Subsumes	G36124LL
G00688XN	SubsumedBy	G46902YN
G00688XN	SubsumedBy	G88366NM
G00691LW	SubsumedBy	G44794CK
G00691LW	SubsumedBy	G12993CD
G00691NS	SubsumedBy	G04248AK
G00691NS	Subsumes	G10615JE
G00692HC	SubsumedBy	G09802TO
G00692HC	Subsumes	G03021WA
G00692HC	Subsumes	G14838TI
G00692HC	Subsumes	G31943KG
G00695FC	SubsumedBy	G70822IO
G00695FC	Subsumes	G00249XR
G00695JO	SubsumedBy	G28698EI
G00695JO	SubsumedBy	G63462YW
G00695JO	SubsumedBy	G82878DH
G00702NP	SubsumedBy	G77426NR
G00705GA	SubsumedBy	G01747AF
G00705GA	Subsumes	G08246VM
G00705GA	Subsumes	G20873FZ
G00705XW	SubsumedBy	G29574CC
G00706AL	SubsumedBy	G25467PR
G00706QN	SubsumedBy	G37585UQ
G00706QN	Subsumes	G27188NC
G00709CF	SubsumedBy	G95210RX
G00709CF	Subsumes	G81898FC
G00709ZM	SubsumedBy	G64014BL
G00709ZM	Subsumes	G20420WT
G00709ZM	Subsumes	G50190XI
G00711NG	SubsumedBy	G86447ZX
G00711QT	SubsumedBy	G06333MO
G00711QT	SubsumedBy	G09536VZ
G00711QT	Subsumes	G79813BK
G00717KJ	SubsumedBy	G72881ZX
G00717KJ	Subsumes	G65653DJ
G00717KJ	Subsumes	G87589SW
G00728IS	SubsumedBy	G54118YF
G00728IS	Subsumes	G48746WJ
G00728IS	Subsumes	G84647GC
G00728SN	SubsumedBy	G54083SI
G00729SA	SubsumedBy	G07061YF
G00729SA	SubsumedBy	G11104AQ
G00736XN	SubsumedBy	G64642ML
G00736YF	SubsumedBy	G54039MY
G00736YF	Subsumes	G15705XB
G00741NZ	SubsumedBy	G33006JZ
G00741NZ	Subsumes	G46213JU
G00743WU	SubsumedBy	G59149SL
G00743WU	SubsumedBy	G81877PA
G00745GK	SubsumedBy	G71743JP
