GlyTouCanAccession	UniCarbKBID
G05051WF	comp_HexNAc6Hex7dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G05229BF	3475
G05243OF	comp_HexNAc3Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G05289OX	comp_HexNAc4Hex2dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G05394UY	comp_HexNAc1Hex2dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G05395FV	7562
G05460KC	comp_HexNAc2Hex1dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G05528SJ	comp_HexNAc11Hex11dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G05609XV	comp_HexNAc5Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G05645NK	comp_HexNAc1Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G05664AS	comp_HexNAc6Hex8dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G05761AI	comp_HexNAc1Hex1dHex1NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G05848DX	357
G05850WN	7750
G05926FW	comp_HexNAc9Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G05931YV	comp_HexNAc1Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA1
G05933EN	comp_HexNAc4Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G05950HG	7289
G06042JP	comp_HexNAc2Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06046KU	comp_HexNAc2Hex4dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G06048QL	comp_HexNAc2Hex2dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G06156DS	comp_HexNAc2Hex14dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06209KS	1101
G06215XQ	7433
G06231AO	comp_HexNAc3Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06242AY	comp_HexNAc6Hex8dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06247RL	G06247RL
G06247RL	comp_HexNAc5Hex6dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G06374YY	G06374YY
G06394GI	comp_HexNAc8Hex8dHex2NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G06461TM	comp_HexNAc1Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G06480RP	comp_HexNAc3Hex2dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G06583FZ	comp_HexNAc2Hex15dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06601SQ	7746
G06601SQ	G06601SQ
G06704MH	comp_HexNAc5Hex6dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G06772YH	7853
G06799HZ	G06799HZ
G06818RT	comp_HexNAc7Hex8dHex1NeuAc3NeuGc1Pent0S0P0KDN0HexA0
G06828GD	G06828GD
G06829PV	comp_HexNAc0Hex1dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G06853GH	G06853GH
G06853GH	comp_HexNAc7Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G06921UA	G06921UA
G06932DR	comp_HexNAc1Hex2dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G06938WN	comp_HexNAc6Hex6dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G07036HW	comp_HexNAc6Hex5dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G07162IJ	5348
G07219QN	comp_HexNAc3Hex3dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G07221EM	G07221EM
G07238JI	comp_HexNAc7Hex7dHex1NeuAc2NeuGc0Pent0S2P0KDN0HexA0
G07262RR	7844
G07392QY	3107
G07483YN	1487
G07483YN	7800
G07483YN	G07483YN
G07493GF	7419
G07568IR	G07568IR
G07617FP	1629
G07642FF	G07642FF
G07677VL	637
G07682PQ	7781
G07695ZT	3383
G07764QX	comp_HexNAc5Hex5dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G07799LX	comp_HexNAc4Hex5dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G07810QS	comp_HexNAc7Hex8dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G07856GX	comp_HexNAc6Hex10dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G07888KH	comp_HexNAc0Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G07937JG	comp_HexNAc4Hex5dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G07947TY	3157
G07995VK	1241
G08011QI	7493
G08011QI	7595
G08016UB	comp_HexNAc6Hex9dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G08139BP	comp_HexNAc6Hex10dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G08146BT	7491
G08146BT	7796
G08146BT	7862
G08146BT	8102
G08185DV	7424
G08185DV	G08185DV
G08188WC	comp_HexNAc0Hex1dHex0NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G08293MJ	G08293MJ
G08293MJ	comp_HexNAc4Hex5dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G08371CD	G08371CD
G08453HV	comp_HexNAc0Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G08520NM	2545
G08520NM	G08520NM
G08578KJ	comp_HexNAc9Hex9dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G08590QR	comp_HexNAc1Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G08691QG	comp_HexNAc1Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G08712ES	7847
G08805HB	comp_HexNAc3Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G08898WI	comp_HexNAc9Hex10dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G09084RP	comp_HexNAc7Hex6dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G09086VB	comp_HexNAc13Hex14dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G09118YK	5150
G09150LP	1159
G09176OA	4787
G09197ZW	comp_HexNAc4Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G09394JN	7958
G09405BO	8155
G09406IK	G09406IK
G09406IK	comp_HexNAc6Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G09482NW	1143
G09528DL	G09528DL
G09528DL	comp_HexNAc3Hex6dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G09635US	7913
G09643UC	comp_HexNAc5Hex6dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G09660PA	comp_HexNAc6Hex6dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G09693TP	comp_HexNAc1Hex3dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G09700PF	comp_HexNAc7Hex7dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G09709WX	G09709WX
G09724ZC	1295
G09775CH	7896
G09816OK	comp_HexNAc1Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G09912GB	comp_HexNAc3Hex3dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G09969JI	comp_HexNAc1Hex4dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G10033OC	comp_HexNAc5Hex6dHex1NeuAc1NeuGc2Pent0S0P0KDN0HexA0
G10136GN	comp_HexNAc1Hex3dHex0NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G10219AA	G10219AA
G10225UW	4225
G10228OD	2135
G10258MC	1725
G10300DY	7765
G10339FR	G10339FR
G10339FR	comp_HexNAc3Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G10404TD	comp_HexNAc7Hex9dHex0NeuAc0NeuGc4Pent0S0P0KDN0HexA0
G10471FG	8045
G10486CT	G10486CT
