GlyTouCanAccession	UniCarbKBID
G20779SK	1839
G20826IQ	comp_HexNAc7Hex6dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G20864QR	comp_HexNAc4Hex4dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G20899EQ	comp_HexNAc3Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G20920RO	G20920RO
G20956ZV	G20956ZV
G20956ZV	comp_HexNAc2Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G20966IA	7293
G20966TZ	G20966TZ
G20980JF	comp_HexNAc1Hex2dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA1
G20991XV	comp_HexNAc5Hex9dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G21001NA	4037
G21259PI	comp_HexNAc3Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G21290RB	3007
G21327TO	7860
G21361AZ	7920
G21415RL	4240
G21586TD	comp_HexNAc4Hex5dHex1NeuAc2NeuGc0Pent0S1P0KDN0HexA0
G21658QF	comp_HexNAc4Hex7dHex0NeuAc1NeuGc0Pent0S0P1KDN0HexA0
G21660XY	comp_HexNAc6Hex9dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G21670TV	comp_HexNAc6Hex5dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G21724OF	comp_HexNAc7Hex9dHex1NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G21726WW	comp_HexNAc2Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G21891JQ	comp_HexNAc8Hex10dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G21976AG	comp_HexNAc6Hex5dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G22137OG	7426
G22140GZ	3539
G22140GZ	7584
G22140GZ	7620
G22165DU	comp_HexNAc3Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G22172OT	comp_HexNAc3Hex2dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G22208HN	7629
G22314RO	comp_HexNAc0Hex2dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G22409SH	comp_HexNAc5Hex8dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G22452XH	comp_HexNAc7Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G22493AJ	7632
G22573RC	1049
G22589VJ	comp_HexNAc6Hex7dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G22674CI	2171
G22768VO	7530
G22768VO	G22768VO
G22784RF	comp_HexNAc7Hex9dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G22862WY	comp_HexNAc4Hex6dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G22913YS	comp_HexNAc5Hex6dHex1NeuAc0NeuGc0Pent0S2P0KDN0HexA0
G22917YC	comp_HexNAc0Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN1HexA0
G22955WV	comp_HexNAc1Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G22969WM	comp_HexNAc4Hex3dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G22990JP	comp_HexNAc8Hex8dHex0NeuAc0NeuGc5Pent0S0P0KDN0HexA0
G23007DR	comp_HexNAc4Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G23142MQ	G23142MQ
G23193VZ	comp_HexNAc4Hex5dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G23295TF	4015
G23345GE	5151
G23484GM	1165
G23505EP	G23505EP
G23505EP	comp_HexNAc6Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G23626NI	1037
G23665FB	652
G23666EW	comp_HexNAc2Hex3dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G23695IQ	7549
G23719VF	G23719VF
G23729WG	G23729WG
G23729WG	comp_HexNAc1Hex1dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G23754GO	comp_HexNAc7Hex12dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G23763WX	comp_HexNAc7Hex9dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G24005JZ	7429
G24068UY	5135
G24131KD	7411
G24132CP	7591
G24193ZC	comp_HexNAc2Hex5dHex0NeuAc0NeuGc0Pent0S0P2KDN0HexA0
G24202RA	comp_HexNAc7Hex5dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G24255JV	comp_HexNAc3Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G24267AJ	comp_HexNAc5Hex6dHex3NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G24369TK	comp_HexNAc8Hex9dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G24413TZ	comp_HexNAc14Hex15dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G24413UY	1307
G24417MN	comp_HexNAc8Hex11dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G24432GW	1773
G24440EI	3911
G24481HY	comp_HexNAc8Hex8dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G24498DI	7758
G24501HF	1937
G24511TX	5089
G24701BA	comp_HexNAc2Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G24748EV	comp_HexNAc4Hex5dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G24748QU	2539
G24768UX	comp_HexNAc3Hex3dHex0NeuAc2NeuGc0Pent0S1P0KDN0HexA0
G24954RW	7442
G24958RZ	comp_HexNAc6Hex10dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G25059MC	comp_HexNAc7Hex6dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G25067TK	7511
G25079LO	G25079LO
G25079LO	comp_HexNAc6Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G25097RR	G25097RR
G25098MR	comp_HexNAc6Hex9dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G25116JG	comp_HexNAc4Hex1dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G25180HQ	7724
G25216KM	comp_HexNAc7Hex7dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G25325JY	comp_HexNAc0Hex1dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G25350TT	1163
G25386IJ	7679
G25386IJ	7779
G25392ZR	2665
G25426PD	4342
G25469RD	comp_HexNAc4Hex5dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G25481DT	G25481DT
G25495RY	7461
G25520XG	1501
G25520XG	7449
G25520XG	7474
G25520XG	7722
G25566QA	comp_HexNAc6Hex6dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G25598BX	comp_HexNAc3Hex6dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G25679AT	comp_HexNAc7Hex4dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G25703UN	7568
G25707QU	comp_HexNAc6Hex6dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G25835MT	1113
G25837HW	1785
G25910LL	comp_HexNAc8Hex6dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G25928EE	comp_HexNAc1Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G25962JF	comp_HexNAc2Hex4dHex0NeuAc0NeuGc0Pent0S0P2KDN0HexA0
G25977RW	G25977RW
G25987BV	G25987BV
G25987BV	comp_HexNAc4Hex3dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G25989JW	comp_HexNAc5Hex7dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G26006IS	comp_HexNAc7Hex6dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G26014MK	7778
G26076FX	5092
G26101XV	comp_HexNAc4Hex5dHex2NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G26267FS	7782
G26271XI	comp_HexNAc5Hex6dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G26330YA	comp_HexNAc7Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G26335RK	4041
G26366JF	comp_HexNAc0Hex0dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G26371XR	7882
G26400XV	comp_HexNAc2Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G26414FF	comp_HexNAc4Hex3dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G26468VG	comp_HexNAc3Hex4dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G26506TX	comp_HexNAc6Hex7dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G26549SM	comp_HexNAc7Hex4dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G26777RD	4820
G26896YH	7614
G26918LL	comp_HexNAc1Hex1dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G26935KA	5176
G26942BO	comp_HexNAc8Hex11dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G27033WF	comp_HexNAc8Hex9dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G27058EU	G27058EU
G27102CT	6694
G27102FE	comp_HexNAc2Hex1dHex1NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G27125QD	comp_HexNAc6Hex7dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G27126ED	G27126ED
G27126ED	comp_HexNAc4Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G27165KO	4249
G27310MQ	7573
G27342PV	comp_HexNAc4Hex4dHex1NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G27378DU	comp_HexNAc7Hex8dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G27391WQ	G27391WQ
G27391WQ	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G27413LW	comp_HexNAc7Hex10dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G27561QX	7291
G27615DP	comp_HexNAc6Hex7dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G27622TD	G27622TD
G27622TD	comp_HexNAc3Hex5dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G27844UM	1753
G27846BH	comp_HexNAc7Hex8dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G27919IH	1493
G27947YN	G27947YN
G27947YN	comp_HexNAc5Hex6dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G27997AO	comp_HexNAc1Hex1dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G28003YJ	7799
G28077HW	comp_HexNAc9Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G28096RS	comp_HexNAc3Hex5dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G28120QK	5126
G28155JW	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA1
G28156XV	3469
G28220SO	comp_HexNAc2Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G28347RJ	3409
G28362DW	7720
G28536BG	7650
G28541PG	G28541PG
G28541PG	comp_HexNAc3Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G28584SV	comp_HexNAc4Hex5dHex3NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G28603RA	comp_HexNAc7Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G28622IK	comp_HexNAc7Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G28622XL	comp_HexNAc4Hex6dHex0NeuAc1NeuGc0Pent0S0P1KDN0HexA0
G28663KH	3135
G28681TP	G28681TP
G28681TP	comp_HexNAc2Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G28684RO	comp_HexNAc5Hex4dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G28772DI	comp_HexNAc5Hex6dHex1NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G28905MY	comp_HexNAc3Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G28911EK	G28911EK
G28937TW	comp_HexNAc5Hex5dHex1NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G28985UO	comp_HexNAc4Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA4
G28997IA	comp_HexNAc3Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29022DP	comp_HexNAc8Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G29063QY	comp_HexNAc4Hex2dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29068FM	G29068FM
G29068FM	comp_HexNAc1Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29078QN	G29078QN
G29084PT	comp_HexNAc1Hex4dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G29093PF	comp_HexNAc4Hex7dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G29131HI	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G29185AG	comp_HexNAc10Hex7dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29191MN	G29191MN
G29228MX	1879
G29231AT	352
G29239NH	G29239NH
G29258HY	comp_HexNAc7Hex6dHex0NeuAc0NeuGc4Pent0S0P0KDN0HexA0
G29276EO	comp_HexNAc5Hex4dHex0NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G29279QO	comp_HexNAc4Hex5dHex1NeuAc1NeuGc1Pent0S0P0KDN0HexA0
G29377XJ	1155
G29526EI	comp_HexNAc8Hex8dHex0NeuAc2NeuGc2Pent0S0P0KDN0HexA0
G29651HS	G29651HS
G29651HS	comp_HexNAc5Hex5dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29676WX	1309
G29721UX	7571
G29807WF	comp_HexNAc1Hex11dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G29857RC	1665
G29895JE	7526
G29898ES	comp_HexNAc5Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G29905OR	4209
G29972ZX	7566
G30048DT	7557
G30084YQ	7849
G30110UW	G30110UW
G30123TP	comp_HexNAc4Hex5dHex2NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G30159WR	1495
G30190ML	comp_HexNAc4Hex1dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G30221QT	comp_HexNAc8Hex9dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G30248BL	comp_HexNAc4Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G30260SJ	comp_HexNAc0Hex1dHex0NeuAc0NeuGc0Pent3S0P0KDN0HexA0
G30439IP	7909
G30460NZ	1973
G30589MK	comp_HexNAc7Hex6dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G30621VE	comp_HexNAc5Hex6dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G30630UO	comp_HexNAc8Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G30633FJ	3417
G30706TN	comp_HexNAc3Hex3dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G30740WO	comp_HexNAc6Hex6dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G30862UC	comp_HexNAc5Hex4dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G30871VQ	351
G30939HN	7603
G30948JK	comp_HexNAc8Hex9dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G30959AM	comp_HexNAc8Hex6dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G31016RR	comp_HexNAc3Hex7dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31028YV	comp_HexNAc9Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31118FR	7648
G31153XO	7597
G31166QV	comp_HexNAc8Hex4dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G31282CB	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G31306FN	comp_HexNAc8Hex9dHex3NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G31372JR	7838
G31408UL	comp_HexNAc9Hex10dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G31419PD	comp_HexNAc6Hex7dHex0NeuAc3NeuGc2Pent0S0P0KDN0HexA0
G31458KO	comp_HexNAc7Hex10dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31483BB	comp_HexNAc8Hex3dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31532GK	5161
G31558QR	comp_HexNAc7Hex3dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G31618AH	7816
G31632CJ	comp_HexNAc5Hex4dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31640UZ	G31640UZ
G31842GU	comp_HexNAc7Hex5dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G31852PQ	G31852PQ
G31852PQ	comp_HexNAc2Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G31944OC	comp_HexNAc3Hex7dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G31967MM	comp_HexNAc3Hex4dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G31986NC	comp_HexNAc4Hex7dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G31991IV	3153
G31996BT	comp_HexNAc6Hex10dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G32030CB	comp_HexNAc0Hex6dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G32031XK	comp_HexNAc6Hex7dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G32072NY	2893
G32072NY	G32072NY
G32118GY	comp_HexNAc11Hex7dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G32152BH	3373
G32246SI	7486
G32246SI	7828
G32377FZ	comp_HexNAc8Hex11dHex0NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G32392SM	comp_HexNAc6Hex5dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G32406CO	comp_HexNAc2Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G32577BC	comp_HexNAc7Hex5dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G32611PG	comp_HexNAc7Hex8dHex1NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G32633LC	comp_HexNAc5Hex7dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G32644MK	comp_HexNAc4Hex7dHex3NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G32659RY	1543
G32671AN	7520
G32762BU	comp_HexNAc5Hex6dHex0NeuAc1NeuGc0Pent0S2P0KDN0HexA0
G32812YZ	comp_HexNAc5Hex5dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G32854GF	1935
G32899LT	comp_HexNAc2Hex3dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G32926LW	G32926LW
G32926LW	comp_HexNAc6Hex7dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G32977PZ	G32977PZ
G32985QX	comp_HexNAc5Hex6dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G32988OD	comp_HexNAc6Hex6dHex0NeuAc0NeuGc4Pent0S0P0KDN0HexA0
G33147DG	comp_HexNAc0Hex0dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G33241WC	1533
G33269XL	7669
G33284WZ	4801
G33320JS	7953
G33350UC	517
G33444OO	comp_HexNAc1Hex1dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G33556XM	G33556XM
G33556XM	comp_HexNAc6Hex3dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G33608TH	5347
G33623LN	comp_HexNAc2Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA2
G33635AG	comp_HexNAc7Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G33671BL	4256
G33696BZ	comp_HexNAc7Hex8dHex1NeuAc5NeuGc0Pent0S0P0KDN0HexA0
G33696UB	G33696UB
G33734YD	3413
G33766VH	comp_HexNAc6Hex3dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G33785ND	7536
G33792IQ	comp_HexNAc9Hex9dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G33797QF	G33797QF
G33876UV	4257
G34029GR	comp_HexNAc7Hex4dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G34071GT	comp_HexNAc5Hex7dHex0NeuAc0NeuGc3Pent0S0P0KDN0HexA0
G34071NT	comp_HexNAc2Hex3dHex0NeuAc0NeuGc0Pent0S0P2KDN0HexA0
G34100DU	G34100DU
G34207RX	comp_HexNAc2Hex1dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G34219XL	G34219XL
G34306IB	7543
G34516JZ	comp_HexNAc3Hex3dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G34527RW	2909
G34805HG	comp_HexNAc2Hex2dHex0NeuAc0NeuGc0Pent0S3P0KDN0HexA0
G34807GY	comp_HexNAc4Hex4dHex0NeuAc0NeuGc0Pent0S7P0KDN0HexA0
G34830EE	comp_HexNAc3Hex4dHex1NeuAc1NeuGc0Pent0S1P0KDN0HexA0
G34852SB	comp_HexNAc6Hex6dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G35029YA	G35029YA
G35029YA	comp_HexNAc4Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G35061TJ	7772
G35210SH	G35210SH
G35235RT	comp_HexNAc3Hex5dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G35236NV	comp_HexNAc2Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA1
G35441RZ	comp_HexNAc7Hex5dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G35496OB	comp_HexNAc1Hex14dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G35599NO	2021
G35619UY	G35619UY
G35687VS	7691
G35726GI	comp_HexNAc1Hex2dHex3NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G35808UX	4238
G35830FV	comp_HexNAc8Hex8dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G35952BG	7621
G36003IU	comp_HexNAc10Hex7dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G36045MZ	comp_HexNAc4Hex2dHex0NeuAc4NeuGc0Pent0S0P0KDN0HexA0
G36112SH	comp_HexNAc3Hex4dHex2NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G36123IU	6
G36131WL	7529
G36131WL	7802
G36134VO	3295
G36134VO	G36134VO
G36145AL	comp_HexNAc9Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G36167NI	7649
G36171DC	G36171DC
G36191CD	1521
G36191CD	G36191CD
G36221RT	3961
G36315OE	comp_HexNAc4Hex5dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G36357CE	comp_HexNAc5Hex4dHex4NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G36366IS	comp_HexNAc4Hex7dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G36379GD	G36379GD
G36431RU	comp_HexNAc2Hex2dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G36437LH	7683
G36442WJ	comp_HexNAc4Hex8dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G36512SK	comp_HexNAc9Hex6dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G36581MF	7706
G36653TZ	comp_HexNAc4Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA3
G36666WX	comp_HexNAc6Hex5dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G36670VW	G36670VW
G36670VW	comp_HexNAc5Hex5dHex1NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G36703TD	comp_HexNAc6Hex8dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G36823XT	comp_HexNAc1Hex3dHex1NeuAc0NeuGc1Pent0S0P0KDN0HexA0
G36921VW	comp_HexNAc5Hex7dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G36923NX	comp_HexNAc4Hex3dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G36943LG	comp_HexNAc3Hex7dHex1NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G36954BU	comp_HexNAc6Hex9dHex3NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G37022BP	2027
G37092BG	comp_HexNAc1Hex2dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G37107DO	comp_HexNAc9Hex10dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G37135JQ	3869
G37166HP	2023
G37200UD	comp_HexNAc8Hex11dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G37320GX	7764
G37364RR	comp_HexNAc6Hex7dHex6NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G37399XV	G37399XV
G37399XV	comp_HexNAc3Hex5dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G37412TK	G37412TK
G37412TK	comp_HexNAc5Hex4dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G37432OF	comp_HexNAc9Hex10dHex3NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G37565XR	G37565XR
G37588ZB	7554
G37605QB	G37605QB
G37626XQ	5605
G37653KL	354
G37659EV	comp_HexNAc9Hex4dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G37738XF	1847
G37818NZ	G37818NZ
G37818NZ	comp_HexNAc6Hex7dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G37868ZX	7476
G37868ZX	7788
G37868ZX	7820
G38022PE	1529
G38025DM	comp_HexNAc1Hex2dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G38052JH	comp_HexNAc3Hex0dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA4
G38121RE	comp_HexNAc7Hex11dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G38217AM	7696
G38349VC	3969
G38398KX	comp_HexNAc9Hex1dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G38508ZL	comp_HexNAc7Hex7dHex6NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G38529AQ	comp_HexNAc1Hex2dHex1NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G38586WN	7753
G38595OH	comp_HexNAc5Hex5dHex0NeuAc0NeuGc2Pent0S0P0KDN0HexA0
G38621WW	comp_HexNAc0Hex2dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G38638KM	comp_HexNAc2Hex0dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G38680WX	comp_HexNAc7Hex7dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G38756OC	1851
G38769OU	comp_HexNAc2Hex4dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G38946SH	7682
G39172SO	2009
G39203UC	3009
G39213OD	G39213OD
G39213VZ	1623
G39213VZ	G39213VZ
G39258LN	comp_HexNAc11Hex11dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G39329TJ	comp_HexNAc0Hex2dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G39365VM	comp_HexNAc0Hex3dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
