GlyTouCanAccession	KEGGAccession
G15972DM	G11909
G16063EF	G00091
G16325IK	G04020
G16344ZG	G02674
G16370GQ	G10906
G16397GM	G03760
G16403CC	G10469
G16456ZV	G04402
G16464LC	G11413
G16503YF	G01462
G16529MG	G10978
G16590BZ	G05547
G16612QG	G03578
G16612QG	G11002
G16633VX	G04598
G16778ZK	G11869
G16809IL	G05074
G16828VN	G10881
G16873YG	G03787
G16961BB	G11922
G17029IU	G04994
G17041CW	G00979
G17077YF	G02913
G17100OM	G02820
G17105UZ	G10466
G17108EX	G00440
G17157SF	G04486
G17168RO	G10752
G17168RO	G11872
G17207FU	G03778
G17251XF	G10846
G17264LS	G01826
G17300DB	G06430
G17326TY	G04877
G17348SA	G04433
G17441MI	G00888
G17460MY	G01732
G17473NR	G11906
G17557TG	G04080
G17595XL	G04272
G17689DH	G10716
G17698NO	G05772
G17758YV	G04385
G17792PO	G00869
G17807LO	G04276
G17968CJ	G02672
G17977UE	G05146
G18011IN	G04194
G18160VJ	G11732
G18410AS	G05526
G18464VS	G01750
G18584GW	G04586
G18625KA	G00117
G18877VR	G04491
G18892PE	G00643
G18913QB	G03714
G18938DW	G11911
G18980FQ	G00636
G19017MP	G00391
G19053XS	G03785
G19106CR	G05029
G19238ZQ	G05369
G19287UY	G02721
G19336PT	G00104
G19339UM	G00749
G19429IT	G03765
G19444JC	G11873
G19520XO	G11907
G19537TS	G05328
G19541IU	G01407
G19577LJ	G10756
G19615BB	G03886
G19675BE	G02658
G19677EK	G05734
G19747OA	G00245
G19958IL	G00010
G20009FG	G00197
G20030CU	G00021
G20034RK	G10073
G20044TD	G10258
G20064NM	G11384
G20079RG	G00677
G20096RP	G03898
G20173ZW	G04989
G20174ZL	G00622
G20180GO	G00086
G20265RJ	G02660
G20352YV	G11878
G20578GS	G00075
G20624LQ	G00311
G20636FS	G03740
G20662UG	G03730
G20758LC	G02183
G20815TK	G10704
G20877ZV	G06349
G20983SP	G11852
G20993TP	G00984
G21005TQ	G01653
G21050RT	G03829
G21219OJ	G04439
G21290RB	G10640
G21293AK	G04572
G21311PN	G05311
G21319HP	G04101
G21380FF	G02750
G21438WG	G10024
G21454AE	G02299
G21459ST	G10733
G21507RO	G11054
G21627CA	G03890
G21672MV	G04298
G21729HC	G04269
G21767ND	G03885
G21856LC	G00124
G21905ZO	G01925
G21969UD	G11935
G22012EW	G07896
G22098NU	G04285
G22117NA	G02227
G22122FL	G04392
G22237ZE	G03736
G22246QW	G04053
G22311MI	G09940
G22327VZ	G06388
G22327VZ	G11708
G22546XD	G04387
G22573RC	G10643
G22587DK	G05107
G22689CV	G00040
G22768VO	G10652
G22768VO	G12157
G22787WJ	G07129
G22865RK	G03972
G22898PA	G04130
G22946YB	G12723
G22949KX	G03722
G23041XK	G00537
G23094JF	G01975
G23211XT	G01957
G23295TF	G12021
G23296IL	G05701
G23342BO	G02736
G23347CS	G00190
G23416VJ	G04009
G23463KX	G03962
G23598DU	G02181
G23616ZX	G10727
G23654OQ	G05747
G23722TU	G04431
G23799GS	G11060
G23805AC	G04996
G23817OE	G02837
G23824XF	G02968
G23897ET	G12056
G24034CH	G00376
G24065XI	G04242
G24327OK	G04185
G24336IA	G03028
G24346JZ	G04211
G24499XE	G02369
G24499XE	G10261
G24529NQ	G02020
G24552KE	G03788
G24585JV	G04416
G24599MW	G01917
G24604HV	G00281
G24620AI	G10598
G24668UI	G01659
G24693UW	G12451
G24766QM	G04040
G24769QK	G10953
G24769QK	G11941
G24797UH	G02266
G24841EW	G05048
G24994OK	G13057
G25140TA	G10849
G25146DY	G04134
G25392ZR	G04688
G25421NH	G01373
G25520XG	G10779
G25577BM	G11035
G25640AW	G04249
G25799AL	G06260
G25835YC	G05085
G25890BU	G05896
G25894QG	G00936
G25902AL	G00431
G25937FN	G07066
G26036PN	G00975
G26099QT	G01463
G26123AX	G00046
G26148PQ	G05173
G26179TW	G11998
G26182BM	G12064
G26203DP	G00122
G26215AL	G04565
G26295XE	G10665
G26394UA	G11981
G26653MA	G05407
G26730QM	G03780
G26939ZY	G04773
G27040MJ	G02710
G27048LG	G04707
G27119UQ	G09791
G27139SJ	G01372
G27139SJ	G11712
G27188NC	G05096
G27243GN	G00514
G27243WR	G12313
G27338ID	G09919
G27478HS	G00887
G27516AE	G03871
G27587OB	G11887
G27692UI	G05562
G27720WY	G01457
G27763WY	G03652
G27844UM	G11037
G27874QL	G02845
G27919IH	G10679
G27919IH	G12012
G27929ZE	G01281
G27929ZE	G12027
G28330DZ	G00484
G28459KM	G02927
G28477UY	G04979
G28550OD	G10940
G28566CQ	G10388
G28654UV	G05519
G28659UB	G01415
G28868PL	G10287
G28896CL	G11985
G28960YA	G02067
G28962GO	G02179
G29011JC	G00020
G29011JC	G12113
G29014XV	G02274
G29014XV	G11438
G29024OJ	G00400
G29130SY	G02019
G29138OW	G00469
G29159YJ	G06079
G29248WR	G03912
G29461HI	G02690
G29489PN	G06456
G29617QF	G05341
G29676WX	G11933
G29695SR	G04001
G29764SO	G05693
G29799SM	G05904
G29849JL	G02979
G29850BY	G11865
G29857RC	G10703
G29857RC	G12104
G29884LW	G03958
G29905OR	G10807
G29965VW	G02934
G30062BR	G06330
G30109UP	G04280
G30115SP	G02202
G30131YB	G10990
G30159WR	G10687
G30207PZ	G00317
G30255XL	G06606
G30284BK	G04411
G30295SC	G00495
G30416OM	G05511
G30447NS	G04089
G30460NZ	G00204
G30529FG	G01822
G30542PN	G03903
G30618VC	G03840
G30797DS	G04169
G30857WQ	G02714
G30901GC	G10951
G30915AU	G01679
G31032XG	G09479
G31119YY	G10649
G31186LT	G04024
G31265VL	G00595
G31416KB	G05477
G31423NL	G05363
G31516NT	G04138
G31540AF	G03828
G31540HC	G04072
G31559RO	G03851
G31606TH	G06346
G31627MW	G11883
G31713XX	G01820
G31822CM	G03796
G31865AG	G04555
G31993QW	G02215
G32081WS	G01165
G32094CS	G04067
G32152BH	G10871
G32156ZV	G12154
G32237WQ	G04178
G32252UW	G00889
G32254QI	G00098
G32364DF	G02890
G32437SG	G06986
G32510IZ	G01696
G32588AA	G01996
G32592IB	G04382
G32611KT	G01552
G32685NO	G02682
G32779JS	G10087
G32801HX	G01439
G32816HT	G11934
G33070IY	G04662
G33150PJ	G04263
G33177YW	G10222
G33188UJ	G00621
G33241WC	G10766
G33364OS	G02816
G33370EK	G11886
G33373MR	G06470
G33439FJ	G05754
G33522ME	G04457
G33593EQ	G01006
G33617JJ	G01141
G33685ZQ	G03892
G33740YL	G02684
G33972SX	G00473
G33981FE	G04084
G34018EC	G03889
G34252AT	G05098
G34383AG	G04697
G34442SS	G12176
G34499SX	G10811
G34582DB	G12044
G34585DT	G03750
G34595KJ	G04658
G34754UR	G05325
G34853GU	G05795
G34863TS	G02947
G34931KK	G04008
G34946TH	G11930
G35257SQ	G10526
G35283JZ	G02185
G35350DS	G05586
G35362TE	G05915
G35402TO	G03682
G35409SK	G00563
G35429JB	G05309
G35438GZ	G06311
G35484EX	G03887
G35528XC	G00385
G35528XC	G11709
G35565NM	G04112
G35619UY	G11051
G35679TE	G00874
G35722YG	G02676
G35734AU	G03726
G35749GB	G00764
G35798GO	G04427
G35815VK	G07373
G35827XH	G05229
G35960LO	G10430
G36046VV	G05014
G36123IU	G00035
G36171JA	G03817
G36191CD	G00199
G36211GH	G03671
G36293DS	G10355
G36359GN	G05316
G36404TW	G02961
G36523TZ	G10717
G36693BM	G02260
G36855WW	G10981
G36859SD	G00487
G36881GV	G05238
G36983SB	G02946
G37022BP	G10961
G37135JQ	G10681
G37166HP	G03893
G37184KW	G00115
G37216UM	G10239
G37260FV	G02182
G37276TY	G04213
G37304XT	G04434
G37306TB	G02651
G37453ZD	G05882
G37481QP	G01110
G37552GO	G04372
G37591JC	G00837
G37597VQ	G05737
G37619KE	G02165
G37809PL	G00861
G37827FY	G04974
G37830TX	G00474
G37974GN	G01843
G37986HU	G01066
G38022PE	G10890
G38267IW	G03732
G38297TU	G01101
G38373BD	G11994
G38549YL	G11496
G38625SV	G03909
