GlyTouCanAccession	KEGGAccession
G70194YY	G04010
G70444FA	G00378
G70076VV	G04588
G70308HL	G01104
G70213NR	G00992
G70023SA	G04120
G70382WT	G03987
G70647TI	G00064
G70881GL	G04696
G70874WW	G00066
G70927FR	G03723
G70593HA	G10982
G70903NP	G10674
G70590VH	G04842
G70800WO	G04129
G70851FQ	G04326
G70859XP	G05009
G70507DZ	G01437
G70681VG	G02194
G70494TJ	G03719
G70511VE	G10960
G70958LU	G04198
G71063DT	G06344
G71125UE	G04019
G71409LF	G01900
G71013KY	G10778
G71360BB	G01882
G71394EM	G05805
G71153ZE	G11944
G71025DD	G04324
G71320DE	G01809
G70947EQ	G05703
G71094TJ	G05391
G71338QU	G03094
G71121NN	G00234
G71085CJ	G02835
G71602GO	G05119
G71485PH	G00043
G71782CJ	G01645
G71714EQ	G05388
G71832QJ	G00641
G71451NN	G02771
G72060BE	G00631
G72260GO	G11445
G72108VJ	G00696
G72103RY	G10596
G72079JG	G00008
G72348PK	G02789
G72002FC	G00060
G72353NN	G02235
G72131JM	G00327
G72304KR	G01944
G72580QS	G01932
G72356JA	G02188
G72369ZI	G04484
G72460OS	G02753
G72395MI	G00791
G72718TT	G10820
G72526IR	G05412
G72406BE	G02692
G72356VO	G06009
G72576LG	G01391
G73367DT	G04143
G73381RY	G00540
G72758WN	G12922
G73076FS	G08280
G72905QH	G03957
G72954XC	G00321
G72821WX	G10776
G73271AZ	G04777
G72748AQ	G00734
G72914LC	G03254
G73308YY	G04201
G72952WX	G06341
G73866ZM	G00251
G73836ED	G06355
G73582RP	G01982
G73971ME	G03456
G73825BL	G11953
G73517CY	G03857
G73991ZU	G00640
G73708UL	G12478
G73578JC	G06573
G73578JC	G10628
G73578JC	G12246
G73439VG	G03716
G73683LQ	G01830
G74121RX	G00169
G74325TG	G00310
G74120DW	G10834
G74290AC	G00857
G74369SL	G02656
G74111MH	G02241
G74716XL	G02715
G75097MF	G02846
G74823CH	G02704
G75082OS	G01794
G74910NC	G04850
G74531CR	G00616
G75120WS	G10721
G75318VB	G04026
G75277CR	G05572
G75488YU	G04180
G75547TX	G04620
G75586OT	G12280
G75584LU	G00776
G75599HG	G01173
G75824WJ	G06331
G75734VP	G02735
G75789AR	G00258
G75789AR	G13014
G75687SF	G06429
G75850OP	G10692
G75850OP	G11972
G76245RV	G05851
G76548SO	G10268
G76136FD	G11009
G76478FT	G10708
G76431SN	G02021
G76489QB	G04597
G76389HC	G04606
G76389HC	G04896
G76104SB	G05545
G76355TG	G00034
G76481US	G01958
G76200OU	G12262
G76467YN	G06788
G76036GS	G00569
G76241TN	G00490
G76439VL	G00089
G76931AL	G05692
G76680HJ	G00438
G76680HJ	G11713
G76924RW	G01665
G77026KL	G06027
G76945TE	G03991
G76823GQ	G00629
G76705RJ	G05495
G77451BX	G02939
G77503IE	G06605
G77632HJ	G00981
G77479VH	G00954
G77208XM	G01197
G77285LE	G00069
G77553BJ	G04334
G77339RV	G03843
G77608VQ	G03862
G77207RR	G11858
G77593JU	G00052
G77426UJ	G04448
G77252PU	G10702
G77653XA	G11697
G77653XA	G12125
G78074HX	G00403
G77824XV	G00405
G77915WT	G11519
G78030KJ	G01420
G78011OA	G04670
G78059CC	G00017
G78059CC	G11970
G78003VE	G02180
G78108ZM	G00902
G78205EV	G02819
G78436BB	G10607
G78276SQ	G10712
G78098IA	G00155
G78260AJ	G00406
G78342SP	G05306
G78391CU	G04127
G78173WX	G03902
G79198HM	G02232
G78956IC	G10957
G79172UW	G06039
G78818SP	G00120
G78681QL	G00620
G79368CP	G11946
G79646HD	G03852
G79536OW	G00047
G79333MY	G12484
G79298QI	G04157
G79499QH	G05897
G79404OF	G11987
G79351ZW	G05327
G79249GP	G05728
G79518SC	G11320
G79920MY	G00930
G79996DQ	G04373
G79702QE	G03834
G79809MM	G10757
G79776GW	G03708
G79973CM	G11855
G79915IB	G05257
G80085KS	G04366
G80098ET	G11920
G79924QN	G04294
G79954CG	G04444
G79950YS	G04941
G79810PX	G12722
G80062GG	G00095
G80147HT	G00355
G80298HR	G03718
G80200DN	G05226
G80393PG	G10831
G80163ME	G04203
G80498RN	G00864
G80176YK	G04840
G80193TN	G10437
G80268ZC	G03742
G80513FH	G00471
G80161SF	G00496
G80858MF	G00016
G81096RM	G11847
G80966KZ	G10676
G80966KZ	G12066
G80966KZ	G12080
G81013EK	G00454
G81121OC	G00789
G80654ZK	G05457
G80829RZ	G00794
G81114MS	G06338
G80637VS	G04659
G81328BD	G00200
G81408RV	G02859
G81294ZY	G03782
G81315DD	G10891
G81466NG	G06546
G81229DT	G00986
G81430ON	G04248
G81793BO	G01433
G81982NW	G04888
G81983KG	G00126
G81873QA	G01802
G81561UL	G06339
G82038RE	G00326
G81915YU	G02722
G82207VX	G01329
G82529OA	G05038
G82348BZ	G10661
G82252QI	G10707
G82202JN	G04508
G82405LP	G12206
G82106UN	G01153
G82393PY	G11751
G82195FD	G03698
G82169SQ	G04952
G82746VF	G03047
G82868SO	G03948
G82779CI	G00946
G82845MH	G03772
G82761BO	G02201
G82801WV	G06345
G82724NW	G02688
G82942ZJ	G11070
G82858KU	G00042
G82864KM	G04652
G82829MF	G05122
G82725FS	G03405
G82945RR	G05062
G82572FN	G03891
G82730QA	G05699
G82695BC	G02827
G82664ZC	G02217
G83089UA	G04148
G83106XM	G01333
G83001FQ	G05486
G83161QT	G00232
G83161QT	G12043
G83161QT	G12082
G83425EJ	G04438
G83312UD	G02905
G83078TI	G06374
G82950HY	G00306
G83600PQ	G00949
G83455QZ	G01337
G83644CC	G02739
G83737UD	G00611
G83916HL	G00557
G83916HL	G12243
G83916HL	G12795
G83540SE	G06089
G83582BK	G11014
G83513YI	G00061
G83633HB	G00736
G83712UA	G04903
G83717YJ	G13029
G84167AV	G03907
G84287MH	G02720
G83958MI	G00605
G83948CA	G05844
G84186YN	G06353
G84153KU	G02691
G84376FR	G10745
G84034JH	G00067
G84329MX	G03908
G84260SO	G04496
G84350SH	G01670
G84712FX	G03684
G84674JQ	G02742
G84852GW	G10742
G84808RB	G04704
G84501YL	G05566
G84467IZ	G10700
G84467IZ	G11904
G84891DZ	G00453
G84753IL	G02716
G85101OA	G04596
G85545IG	G01090
G85302NF	G05557
G84996EP	G05496
G85542KD	G11000
G85284LO	G04917
G84908OR	G03657
G85714GY	G00543
G85607DC	G00364
G85652EW	G04017
G85721WE	G03034
G85767HW	G10777
G85767HW	G11961
G85856KC	G13026
G85838ZJ	G04199
G85895SP	G05032
G85608AG	G00208
G86487TG	G05139
G86388AX	G01408
G86357DX	G10803
G86110YJ	G00878
G86123DJ	G00417
G86385RC	G00272
G86053IC	G00432
G86143FV	G00987
G86386QT	G00412
G86199GK	G00592
G86504RY	G02756
G86781KH	G03874
G86495BQ	G04669
G86522OD	G00451
G86792SU	G01426
G86750HK	G01404
G86801QH	G04076
G86700TF	G05712
G86851RC	G10626
G87063FS	G00717
G87377KZ	G02652
G87308QC	G06401
G86928UZ	G04307
G87164WU	G00079
G87107PF	G02711
G87124HX	G06336
G87273JO	G04253
G86912FM	G11336
G87564QI	G03984
G87860OU	G00333
G87877ES	G00156
G87908HE	G04155
G87867IZ	G00737
G87777GG	G02251
G87784HD	G11910
G87773EB	G02855
G87854BA	G03964
G87695KR	G00774
G88009HX	G11988
G88382QE	G01238
G88242BL	G02708
G88393MK	G00285
G88380UG	G13030
G88313DY	G10799
G88321DT	G04122
G88122ZQ	G03738
G88421PE	G04528
G88334IC	G10810
G88171EW	G05916
G88227QI	G01735
G88068QT	G11954
G88573VH	G04567
G88784SV	G05476
G88749TS	G03795
G88500SX	G03702
G89034YM	G02876
G88675ZE	G00850
G88495BI	G00207
G89027OP	G04277
G89008DB	G05319
G88884NJ	G04937
G88734GE	G02666
G88876JQ	G00388
G88727SH	G11380
G88469YE	G00309
G89364NG	G04303
G89532GI	G04790
G89058HG	G05565
G89398MH	G01930
G89058RF	G04195
G89325VN	G03794
G89143RS	G07166
G89393WA	G04377
G89498BT	G06321
G89261EQ	G03026
G90033AN	G03956
G89659QV	G00056
G89864BN	G10695
G89993FE	G11052
G89736UW	G04869
G89941FZ	G11453
G89877QI	G10726
G89877QI	G11877
G90142YY	G00549
G90107JW	G00977
G90146ME	G08438
G90825UM	G10699
G90784AP	G04369
G90348RI	G10719
G90672BM	G03916
G90725ZC	G02741
G90387AM	G00242
G90562PB	G00123
G90723FE	G12019
G91237TK	G00108
G91023GB	G10789
G90889KG	G00206
G91073KG	G05639
G91404LJ	G00068
G91388QD	G05335
G91312MX	G03926
G91247WI	G01341
G91365ZQ	G11408
G91365ZQ	G11952
G91599FN	G05312
G91413ZX	G10732
G91704UR	G10819
G92117KA	G04386
G91591ER	G04629
G92175CL	G00168
G91905FJ	G10962
G91560NT	G00090
G91532KA	G00166
G92575UZ	G00445
G92574YO	G10974
G92296LB	G04800
G92358PV	G05452
G92612ZM	G01005
G92594VG	G00875
G92237PN	G10907
G92241FG	G03931
G92429IK	G02705
G92257YN	G05420
G92536LD	G00296
G92567CF	G10933
G92219PK	G04664
G93164KQ	G12054
G92848QA	G02263
G93279TH	G02211
G93029JO	G10262
G93446UA	G02673
G93148GC	G05512
G92786VA	G03265
G93470LV	G04827
G93839ET	G04579
G93624ZP	G11730
G93520MA	G01444
G93520MA	G11437
G93758YP	G06333
G93575MM	G01831
G93646CO	G05541
G93583AH	G00705
G93516TF	G10346
G93694YU	G00539
G93746CY	G02829
G93686CT	G00531
G93500PH	G10684
G93638BI	G00394
G93788SW	G00447
G93922AL	G11895
G94156YI	G02957
G93899AU	G03954
G94019IV	G06362
G93861MS	G12217
G93871LV	G05348
G93869JB	G00475
G94241OT	G11875
G94106MV	G10659
G94407CM	G04064
G94116NC	G04319
G93906VI	G04338
G94423NC	G04025
G94278FQ	G04624
G94013XT	G00718
G94498MI	G10271
G94531EZ	G10969
G94733WZ	G03844
G94626GC	G10650
G94566ZN	G02813
G94705OR	G01662
G94610QX	G03821
G94809SW	G11901
G94626AX	G03906
G94435QH	G11128
G95336MK	G01855
G94926TV	G02718
G94946LG	G04690
G95227SJ	G01829
G95333ZG	G05696
G95109CV	G04592
G95440SV	G06350
G95014LS	G02912
G95223JW	G00525
G95420RF	G02869
G95186HE	G02891
G95151JF	G04140
G95334YI	G01801
G94923PG	G00144
G94923PG	G00145
G94923PG	G11174
G94923PG	G12396
G94923PG	G12803
G95222PD	G04215
G95639RD	G02662
G95617FJ	G11915
G95490LA	G03658
G95786NX	G12116
G95910WJ	G03704
G95589FK	G02026
G96175KT	G12014
G96349RY	G01902
G96283OE	G00314
G96091LW	G01814
G96081GH	G06317
G95952ST	G03790
G95994EE	G03850
G96122UB	G04235
G95956WE	G11011
G96010OZ	G03988
G96004HC	G03981
G96214EI	G04154
G96794ZC	G03701
G96852FA	G01915
G96881BQ	G12557
G96881BQ	G13052
G96401FK	G00063
G96596OC	G10289
G96538JO	G00054
G96834JC	G01167
G96463EY	G00566
G96709CX	G01145
G96823NW	G02427
G97109LT	G02764
G97423PY	G10874
G97130PD	G02207
G97455PT	G01813
G97352VJ	G02193
G97212ZE	G04259
G96921ZU	G01403
G97452SL	G04568
G97023FS	G00606
G96916QO	G01685
G97051EO	G00465
G97083VO	G11527
G97185IQ	G04584
G96932XT	G04066
G98207CW	G03733
G98140IX	G10762
G97953NC	G00335
G97523ON	G11860
G97575FW	G02203
G97975GF	G04569
G97894OW	G01687
G98073MH	G03937
G97569KL	G00839
G98559XP	G11135
G98559XP	G12106
G98223HN	G01642
G98712QJ	G00545
G98544DH	G00113
G98726UE	G00078
G98615GD	G04003
G98465JN	G00099
G98292JT	G05026
G98335IX	G01974
G98855LF	G04739
G98878RR	G12474
G98900YM	G04561
G98906LL	G04901
G99078IR	G02195
G98894JN	G06357
G99053DY	G00097
G98790NR	G05698
G99403QU	G03728
G99182WQ	G03963
G99269VI	G02589
G99306JE	G02990
G99580PT	G02896
G99622IJ	G00773
G99524KA	G00121
G99503MW	G04487
G99507PM	G12317
G99510WI	G06443
G99315PE	G00224
G99603GB	G13056
G99568AR	G02683
G99502WP	G03970
G99796NW	G04030
G99753FF	G01291
G99753FF	G11049
G99858XP	G01862
G99629BM	G04625
G99927HL	G04882
