IUPAC	Subsumption
Man	Hex
Gal	Hex
Glc	Hex
Xyl	Pent
Fuc	dHex
ManNAc	HexNAc
GlcNAc	HexNAc
GalNAc	HexNAc
NeuAc	Sia
NeuGc	Sia
Hex	-
HexNAc	-
dHex	-
Pent	-
Kdn	Sia
Sia	-
GlcA	HexA
GalA	HexA
IdoA	HexA
ManA	HexA
HexA	-
GlcN	HexN
GalN	HexN
ManN	HexN
HexN	-
Xxx	-
S	-
P	-
Me	-
aldi	-
X	-
