GlyTouCanAccession	PDB
G05026ZL	1tk3
G05026ZL	1tkr
G05026ZL	1u8c
G05026ZL	1u8e
G05026ZL	1umi
G05026ZL	1ur8
G05026ZL	1v3c
G05026ZL	1v3d
G05026ZL	1x70
G05026ZL	1xfd
G05026ZL	1xmn
G05026ZL	1z7k
G05026ZL	2a74
G05026ZL	2ac1
G05026ZL	2bf1
G05026ZL	2bua
G05026ZL	2buc
G05026ZL	2fjp
G05026ZL	2fk0
G05026ZL	2hha
G05026ZL	2i37
G05026ZL	2iit
G05026ZL	2iiv
G05026ZL	2nqd
G05026ZL	2oph
G05026ZL	2p8s
G05026ZL	2psy
G05026ZL	2qjr
G05026ZL	2qt9
G05026ZL	2qtb
G05026ZL	2win
G05026ZL	2xqr
G05026ZL	3a79
G05026ZL	3abg
G05026ZL	3b2v
G05026ZL	3bpo
G05026ZL	3c0p
G05026ZL	3c43
G05026ZL	3c45
G05026ZL	3cig
G05026ZL	3ciy
G05026ZL	3d4l
G05026ZL	3fus
G05026ZL	3gck
G05026ZL	3i2t
G05026ZL	3iyu
G05026ZL	3ke0
G05026ZL	3l5h
G05026ZL	3lii
G05026ZL	3lyj
G05026ZL	3n8v
G05026ZL	3nif
G05026ZL	3o95
G05026ZL	3q2w
G05026ZL	3rar
G05026ZL	3rki
G05026ZL	3ztj
G05026ZL	4gip
G05026ZL	4hsi
G05026ZL	7api
G05026ZL	8api
G05026ZL	9api
G05484KA	3ry6
G05674CR	2b6d
G05674CR	2g5j
G05674CR	2g93
G05674CR	3hwv
G05674CR	3hwy
G05674CR	3iaz
G05674CR	3ib0
G05704WW	1j0i
G06171TF	1q8q
G06171TF	1qpa
G06206UV	1dwa
G06206UV	1dwf
G06206UV	1dwg
G06206UV	1dwh
G06206UV	1dwi
G06206UV	1dwj
G06206UV	1e4m
G06206UV	1e6q
G06206UV	1e6s
G06206UV	1e6x
G06206UV	1e70
G06206UV	1e71
G06206UV	1e72
G06206UV	1e73
G06206UV	1myr
G06206UV	1w9b
G06206UV	1w9d
G06206UV	1x38
G06206UV	1x39
G06206UV	2wxd
G06206UV	3s5y
G06239NA	4ee5
G06374RJ	1hya
G06419VB	1syt
G06419VB	1xfd
G06419VB	2ifg
G06580KR	2xrs
G06873PC	3zwe
G06996VN	1ur0
G06996VN	2ccr
G06996VN	2gft
G06996VN	2j74
G06996VN	2xom
G06996VN	2xon
G07375KG	1aiv
G07375KG	1d9k
G07375KG	1diy
G07375KG	1dlh
G07375KG	1e03
G07375KG	1fe2
G07375KG	1fl7
G07375KG	1fy1
G07375KG	1fzd
G07375KG	1gpk
G07375KG	1h15
G07375KG	1h4p
G07375KG	1hfu
G07375KG	1hjw
G07375KG	1igx
G07375KG	1igz
G07375KG	1ive
G07375KG	1ivy
G07375KG	1j8h
G07375KG	1jpy
G07375KG	1ju2
G07375KG	1jv2
G07375KG	1k4y
G07375KG	1kkt
G07375KG	1kre
G07375KG	1krf
G07375KG	1kt2
G07375KG	1l5g
G07375KG	1m1x
G07375KG	1mx1
G07375KG	1mx5
G07375KG	1nam
G07375KG	1o7d
G07375KG	1pum
G07375KG	1q4g
G07375KG	1qfu
G07375KG	1qos
G07375KG	1qub
G07375KG	1s4n
G07375KG	1s4o
G07375KG	1sdx
G07375KG	1u65
G07375KG	1u67
G07375KG	1u8c
G07375KG	1wbl
G07375KG	1x70
G07375KG	1y4w
G07375KG	1y9g
G07375KG	1ykb
G07375KG	1ypz
G07375KG	1z7z
G07375KG	1z8l
G07375KG	1zu9
G07375KG	2a0o
G07375KG	2a0z
G07375KG	2aez
G07375KG	2ayl
G07375KG	2bua
G07375KG	2buc
G07375KG	2dt2
G07375KG	2fdm
G07375KG	2fjp
G07375KG	2g5b
G07375KG	2h43
G07375KG	2hha
G07375KG	2hlo
G07375KG	2id5
G07375KG	2ifg
G07375KG	2iit
G07375KG	2iiv
G07375KG	2ips
G07375KG	2oph
G07375KG	2oye
G07375KG	2p8s
G07375KG	2qoe
G07375KG	2qpm
G07375KG	2qt9
G07375KG	2qtb
G07375KG	2ri9
G07375KG	2viu
G07375KG	2zxe
G07375KG	3bt6
G07375KG	3c0p
G07375KG	3c43
G07375KG	3c45
G07375KG	3cig
G07375KG	3ciy
G07375KG	3d12
G07375KG	3d4l
G07375KG	3d7w
G07375KG	3dgv
G07375KG	3di3
G07375KG	3ejj
G07375KG	3eri
G07375KG	3hab
G07375KG	3hac
G07375KG	3hs6
G07375KG	3htt
G07375KG	3i5d
G07375KG	3krq
G07375KG	3l4v
G07375KG	3l4z
G07375KG	3n40
G07375KG	3n41
G07375KG	3n42
G07375KG	3n43
G07375KG	3n8v
G07375KG	3n8w
G07375KG	3n8y
G07375KG	3njs
G07375KG	3olt
G07375KG	3olu
G07375KG	3q7d
G07375KG	3qh0
G07375KG	3rr3
G07375KG	3tzi
G07375KG	4gip
G07445YJ	3czn
G07505DF	1o7d
G07617FP	1juh
G07617FP	4f9v
G07617FP	4g1m
G07670VS	1e6n
G07670VS	1hjw
G07670VS	1kqy
G07670VS	1sfb
G07670VS	2war
G07670VS	3a4w
G07670VS	3t1z
G07670VS	3t21
G07670VS	4hjy
G07670VS	4hjz
G07675NG	2rdg
G07675NG	3pvd
G07675NG	4dxg
G07696MJ	2ef6
G07860ZO	1q4g
G07860ZO	2ayl
G08748CW	1ow0
G08748CW	3cfw
G08748CW	4dke
G08748CW	4dkf
G08771DC	1sr0
G08806VI	1ur4
G08806VI	2ccr
G08806VI	2j74
G08806VI	2xfe
G08918EL	1xfd
G08918EL	2gjm
G08918EL	2o51
G08918EL	2p1s
G08918EL	3erh
G08918EL	3faq
G08918EL	3se6
G09137ZU	1h4p
G09376MR	2rfu
G09376MR	3ube
G09389FE	1dpj
G09397NL	3vmo
G09416DG	3ogv
G09454VW	1fbw
G09454VW	1l2a
G09454VW	2ej1
G09454VW	4b4f
G09454VW	4fer
G09454VW	7cel
G09468GF	4a5g
G09507TI	2pys
G09507TI	3fjw
G09507TI	4ad4
G09546QO	1axz
G09546QO	1djr
G09546QO	1eef
G09546QO	1f9k
G09546QO	1fay
G09546QO	1jac
G09546QO	1jz5
G09546QO	1kwk
G09546QO	1l7k
G09546QO	1ns0
G09546QO	1ns2
G09546QO	1ns8
G09546QO	1nsm
G09546QO	1nsu
G09546QO	1pie
G09546QO	1r47
G09546QO	1s4e
G09546QO	1toq
G09546QO	1tp8
G09546QO	1uas
G09546QO	1wbl
G09546QO	1wuu
G09546QO	1z4n
G09546QO	1z4o
G09546QO	2aj4
G09546QO	2dei
G09546QO	2dej
G09546QO	2du0
G09546QO	2dvg
G09546QO	2wyf
G09546QO	2xn2
G09546QO	2yfo
G09546QO	2z49
G09546QO	3ca1
G09546QO	3ca5
G09546QO	3gxp
G09546QO	3h55
G09546QO	3hg5
G09546QO	3hn1
G09546QO	3i0g
G09546QO	3i3b
G09546QO	3lxa
G09546QO	3mv0
G09546QO	3n36
G09546QO	3r4z
G09546QO	3s5z
G09546QO	3t09
G09546QO	3t0d
G09546QO	3t2q
G09546QO	3to4
G09546QO	3tty
G09546QO	3ubx
G09546QO	3v2u
G09546QO	3vdb
G09546QO	4al9
G09546QO	4ddn
G09546QO	4f7e
G09546QO	5abp
G09546QO	8abp
