GlyTouCanAccession	PDB
G21290RB	3q76
G21290RB	3q77
G21290RB	3qux
G21290RB	3quy
G21290RB	3quz
G21290RB	3s2k
G21290RB	3t8x
G21290RB	3ta3
G21290RB	3thm
G21290RB	3tvm
G21290RB	3uji
G21290RB	3up1
G21290RB	4do4
G21290RB	4do6
G21290RB	4ey4
G21290RB	4ey5
G21290RB	4ey6
G21290RB	4ey7
G21290RB	4f12
G21290RB	4fs0
G21290RB	4gdi
G21290RB	4gwn
G21290RB	4gzw
G21290RB	4gzx
G21381MC	1ook
G21381MC	1qon
G21381MC	2o9o
G21381MC	2oxe
G21381MC	3pmh
G21381MC	4a5s
G21469TE	1y2u
G21477HL	4dvk
G21477HL	4dw7
G22026YZ	1iau
G22573RC	1cvi
G22573RC	1gqh
G22573RC	1h1m
G22573RC	1j86
G22573RC	1j88
G22573RC	1juh
G22573RC	1lya
G22573RC	1lyb
G22573RC	1m4w
G22573RC	1rj6
G22573RC	1ukc
G22573RC	2hrg
G22573RC	2id5
G22573RC	2ih8
G22573RC	2r7e
G22573RC	2xwt
G22573RC	2xyb
G22573RC	3dkh
G22573RC	3fby
G22573RC	3fu7
G22573RC	3fu8
G22573RC	3fus
G22573RC	3gdn
G22573RC	3gdp
G22573RC	3i26
G22573RC	3k41
G22573RC	3k71
G22573RC	3liz
G22573RC	3sdy
G22573RC	3sng
G22573RC	3u7b
G22573RC	3ulu
G22573RC	3ulv
G22573RC	3vun
G22573RC	4fnk
G22573RC	4fqr
G22573RC	4g1e
G22573RC	4gt7
G22573RC	4gz8
G22573RC	4hf5
G22573RC	4i0k
G22631IE	2wne
G22639EF	4aqb
G22768VO	1ckl
G22768VO	1e04
G22768VO	1eth
G22768VO	1f6a
G22768VO	1g6i
G22768VO	1inw
G22768VO	1inx
G22768VO	1j87
G22768VO	1q25
G22768VO	1qfx
G22768VO	1r46
G22768VO	1r47
G22768VO	1r55
G22768VO	1tb6
G22768VO	1v2i
G22768VO	1zhs
G22768VO	2aai
G22768VO	2bf1
G22768VO	2d80
G22768VO	2e33
G22768VO	2gaz
G22768VO	2ih8
G22768VO	2pgz
G22768VO	2q7y
G22768VO	2ri8
G22768VO	2vc2
G22768VO	2vco
G22768VO	2vdk
G22768VO	2vdl
G22768VO	2vdm
G22768VO	2vdn
G22768VO	2vdp
G22768VO	2vdq
G22768VO	2vdr
G22768VO	2wn9
G22768VO	2wqr
G22768VO	2x72
G22768VO	3csy
G22768VO	3cy4
G22768VO	3evj
G22768VO	3fby
G22768VO	3fcu
G22768VO	3h53
G22768VO	3h54
G22768VO	3h55
G22768VO	3h9y
G22768VO	3h9z
G22768VO	3ha0
G22768VO	3hg4
G22768VO	3hmx
G22768VO	3i26
G22768VO	3iai
G22768VO	3igu
G22768VO	3ije
G22768VO	3k72
G22768VO	3kq4
G22768VO	3lpo
G22768VO	3lzg
G22768VO	3mdj
G22768VO	3muu
G22768VO	3ngb
G22768VO	3nid
G22768VO	3okw
G22768VO	3qem
G22768VO	3t3m
G22768VO	3t3p
G22768VO	4adf
G22768VO	4b56
G22768VO	4dag
G22768VO	4dbm
G22768VO	4dj4
G22768VO	4dl1
G22768VO	4do4
G22768VO	4do5
G22768VO	4do6
G22768VO	4dvn
G22768VO	4fnk
G22768VO	4fom
G22768VO	4g1m
G22768VO	4gms
G22768VO	4gos
G22768VO	4gt7
G22768VO	4gxx
G22768VO	4gzo
G22768VO	4gzp
G22768VO	4gzq
G22768VO	4gzs
G22768VO	4gzw
G22768VO	4gzx
G23046QV	3s5x
G23046QV	4fbv
G23140KG	3ciy
G23450YU	3w3d
G23553FE	1txv
G23553FE	1ty3
G23553FE	1ty5
G23553FE	1ty6
G23553FE	1ty7
G23553FE	2vdo
G23770JR	1l6x
G23782GU	2dsu
G23905VO	2doj
G24199JF	1dx4
G24199JF	1tye
G24199RH	4dwc
G24285GM	2hg0
G24285GM	3iyw
G24432YB	1hql
G24432YB	2dvd
G24752UA	3og2
G25481SL	3t91
G25481SL	3t9q
G25708EF	1gwm
G25708EF	1oh3
G25708EF	1w8t
G25833JG	1lfi
G25833JG	3p0y
G26238GL	2rqz
G26269WV	1jdn
G26295XE	1ax0
G26295XE	1ax1
G26295XE	1ax2
G26295XE	1axy
G26295XE	1axz
G26295XE	1dwa
G26295XE	1dwf
G26295XE	1dwg
G26295XE	1dwh
G26295XE	1dwi
G26295XE	1dwj
G26295XE	1e6q
G26295XE	1e6s
G26295XE	1fx5
G26295XE	1lte
G26295XE	1myr
G26295XE	1w9b
G26295XE	1w9d
G26295XE	2wxd
G26295XE	3ca0
G26295XE	3s5y
G26295XE	3s5z
G26320VF	2bvt
G26320VF	3aof
G26551VB	4aqs
G26644CA	2ayl
G26644CA	3qnf
G26644CA	4dke
G26756OQ	1a9t
G26756OQ	1gqt
G26756OQ	1rk2
G26756OQ	1rkd
G26756OQ	1rks
G26756OQ	1rxc
G26756OQ	1tgy
G26756OQ	1yoe
G26756OQ	3bje
G26756OQ	3fb1
G26756OQ	3go6
G26756OQ	3go7
G26756OQ	3qpb
G26835MN	1qzo
G26897XI	1p8j
G27171ZS	3ogs
G27243WR	1n7d
G27243WR	2bf1
G27560AI	1d9u
G27752QD	1abe
G27752QD	1bap
G27752QD	2arc
G27752QD	2e1s
G27752QD	3a22
G27752QD	3das
G27752QD	6abp
G27919IH	1hzh
G27919IH	2rgs
G27919IH	3vun
G28052FT	3nv3
G28403NS	1abf
G28403NS	1apb
G28403NS	1mmx
G28403NS	3n31
G28403NS	7abp
G28454KX	1fzj
G28454KX	1fzk
G28454KX	1fzm
G28454KX	1maa
G28454KX	1qfk
G28454KX	1qpa
G28454KX	1w1i
G28454KX	1xlu
G28454KX	1xlv
G28454KX	1xlw
G28454KX	2bgn
G28454KX	2bgr
G28454KX	2c11
G28454KX	2ch9
G28454KX	2i69
G28454KX	2o26
G28454KX	2wid
G28454KX	2wif
G28454KX	2wig
G28454KX	2wij
G28454KX	2wik
G28454KX	2wsl
G28454KX	2xmb
G28454KX	2xmc
G28454KX	2xmd
G28454KX	2xmg
G28454KX	2xqf
G28454KX	2xqg
G28454KX	2xqj
G28454KX	2ypg
G28454KX	2z62
G28454KX	2z63
G28454KX	3ala
G28454KX	3cig
G28454KX	3ciy
G28454KX	3djy
G28454KX	3dkk
G28454KX	3k7n
G28454KX	4aqd
G28454KX	4axb
G28454KX	4b0o
G28454KX	4b0p
G28454KX	4bbz
G28454KX	4gez
G28466RE	3r4l
G28663KH	2vol
G28663KH	2vuo
G28736DK	3hdl
G28868ZC	2ds0
G28868ZC	3s6y
G28868ZC	4en8
G29070AW	3sgk
G29074HW	1iis
G29074HW	1iix
G29301NP	1log
G29316WB	1n1m
G29316WB	1tb6
G29316WB	1tk3
G29316WB	1tkr
G29316WB	1u8e
G29316WB	1ypz
G29481IZ	1qo9
G29616NS	3gmr
G30159WR	2dw2
G30207PZ	1jsh
G30207PZ	1mqm
G30207PZ	1uxa
G30207PZ	1uxb
G30207PZ	2jhd
G30207PZ	2w9l
G30207PZ	2wbv
G30207PZ	4fmh
G30207PZ	4fmi
G30207PZ	4fmj
G30207PZ	4gu4
G30207PZ	4gzw
G30207PZ	4h53
G30233OG	1diy
G30233OG	1fe2
G30233OG	1igx
G30233OG	1igz
G30285SX	3k0v
G30862PA	3sgk
G31175IC	1fzd
G31224UP	1xzw
G31616YD	1h3u
G31616YD	2bf1
G31616YD	3fus
G31883CF	1lwu
G31883CF	3huj
G31886NL	1dzh
G31886NL	1hzx
G31886NL	1l9h
G31886NL	1p9a
G31886NL	1u19
G31886NL	2aez
G31886NL	2g87
G31886NL	2hpy
G31886NL	2or4
G31886NL	2ped
G31886NL	3b2u
G31886NL	3cap
G31886NL	3es6
G31886NL	3kg2
G31886NL	3ltf
G31886NL	4afg
G31886NL	4f7c
G31886NL	4fww
G32149KV	3ogr
G32152BH	1ah1
G32152BH	1f6a
G32152BH	1mox
G32152BH	1tcr
G32152BH	1uvq
G32152BH	2dw1
G32152BH	2erj
G32152BH	2hr7
G32152BH	2q7n
G32152BH	2q86
G32152BH	2xxl
G32152BH	2xy9
G32152BH	2xyd
G32152BH	3h53
G32152BH	3h54
G32152BH	3h55
G32152BH	3n85
G32152BH	3nxq
G32152BH	3sdy
G32152BH	3zs1
G32152BH	4amt
G32152BH	4elm
G32152BH	4ey8
G32152BH	4f0a
G32152BH	4fn0
G32152BH	4fqp
G32215KN	2e7t
G32357CK	1fzd
G32484KU	1szn
G32767PS	1xfd
G33244HE	1e4k
G33244HE	1igt
G33244HE	2ql1
G33244HE	3c2s
G33244HE	3do3
G33271XM	1h3y
G33412CK	3hwz
G33412CK	3ib1
G33476GF	3f6j
G33519UO	1apv
G33519UO	1apw
G33575JR	4a5g
G33695HX	1vb9
G33889GK	4ee3
G34059IB	1gw0
G34059IB	1o0v
G34220DL	3ije
G34442SS	1cvi
G34442SS	2iq7
G34442SS	3h9y
G34442SS	4adf
G34467NW	2bf1
G34467NW	3e0g
G34646VD	1m5m
G34725OX	1dl2
G34725OX	1g6i
G34725OX	1o7v
G34751SB	2e9b
G34771DU	2djg
G35170ES	3gal
G35186RY	1m5j
G35435HL	1f8q
G35446HX	4aha
G35461GE	1kkt
G35461GE	1kre
G35461GE	1krf
G35461GE	2ri9
G35461GE	3ghg
G35461GE	4aqb
G35569ZW	2win
G35619UY	2dw0
G35871RW	1xzw
G35893LO	3rjd
G35926TG	1flc
G35926TG	1ow0
G35926TG	1ozn
G35926TG	1u8e
G35926TG	1zl1
G35926TG	1zu7
G35926TG	2a09
G35926TG	2dt0
G35926TG	2dt1
G35926TG	2g41
G35926TG	2ifg
G35926TG	2px1
G35926TG	2vsd
G35926TG	3i2t
G35926TG	3n8w
G35932AR	2iuf
G36191CD	1hd4
G36191CD	1hzh
G36414FS	1hjw
G36414FS	1nh6
G36414FS	1sfg
G36414FS	2pi8
G36414FS	3b9a
G36414FS	3d3d
G36781FI	2j73
G36782MK	1deo
G36782MK	1dex
G36855WW	3ghm
G36855WW	3ghn
G36855WW	3t5o
G36855WW	3vn4
G36855WW	4hql
G36855WW	4hqn
G36855WW	4hqo
G37135JQ	3b2d
G37135JQ	3t6q
G37135JQ	4gwm
G37957OL	3zw2
G38085DZ	3f9p
G38475OD	2dvc
G38475OD	2dwa
G38475OD	2dwi
G38475OD	2dyx
G38475OD	2h4i
G38475OD	2hca
G38601ZL	3gdp
G38963PP	3q3a
G38999IM	2e0s
G38999IM	2jxa
G38999IM	2zux
G38999IM	2zx2
G38999IM	3cg9
G38999IM	3nno
G38999IM	3w5n
G38999IM	4gji
G39023AU	1w8h
G39023AU	3asr
G39023AU	3uet
G39213VZ	1zag
G39213VZ	2dts
G39213VZ	2vuz
G39213VZ	3zyr
G39246IG	1iev
G39448BE	1pmh
G39569XI	3tgx
G39767HX	1zls
G39767HX	1zlv
G39767HX	3gxz
G40696TO	3zw2
G40702WU	2b8h
G40702WU	3gxz
G40702WU	3hn3
G40702WU	3tyg
G40894EI	1q4g
G40894EI	1u67
G40894EI	2ayl
G40894EI	2e3x
G40894EI	2oye
G40894EI	2win
G40894EI	3n8y
G40894EI	4hj1
G41094GJ	3bvx
G41202OE	1gui
G41202OE	3aqx
G41202OE	3aqz
G41245OZ	1g1s
G41288IQ	1mw0
G41288IQ	2v8m
G41288IQ	2xd3
G41288IQ	3rt1
G41288IQ	4fch
G41288IQ	4fe9
G41327HW	1eom
G41327HW	1lof
G41327HW	1sla
G41327HW	1slb
G41327HW	1slc
G41724ZD	1rq5
G41724ZD	3azt
G41724ZD	3h3k
G41724ZD	4tf4
G41806QY	1g9f
G41943OZ	1lx5
G42003FG	1fcv
G42227JK	1agm
G42227JK	1cf3
G42227JK	1dog
G42227JK	1gah
G42227JK	1gai
G42227JK	1gal
G42227JK	1glm
G42227JK	1gpe
G42227JK	1gw0
G42227JK	2hl6
G42227JK	2q9o
G42227JK	3fcs
G42227JK	3gly
G42227JK	3gml
G42227JK	3gmm
G42227JK	3gmn
G42227JK	3gmo
G42227JK	3gmp
G42227JK	3gmq
G42227JK	3pps
G42227JK	3qvp
G42227JK	3qvr
G42227JK	3u7b
G42466VF	1igr
G42466VF	2q7n
G42466VF	3mj7
G42466VF	4fmk
G42466VF	4fqp
G42666HT	1a0h
G42666HT	1a7s
G42666HT	1ac5
G42666HT	1ak0
G42666HT	1ao5
G42666HT	1aq0
G42666HT	1arp
G42666HT	1aru
G42666HT	1arv
G42666HT	1arw
G42666HT	1arx
G42666HT	1ary
G42666HT	1avb
G42666HT	1ayo
G42666HT	1b37
G42666HT	1b3j
G42666HT	1b5q
G42666HT	1bmo
G42666HT	1c39
G42666HT	1c8i
G42666HT	1cds
G42666HT	1cfb
G42666HT	1ck6
G42666HT	1ckl
G42666HT	1cle
G42666HT	1cpo
G42666HT	1cqd
G42666HT	1cqe
G42666HT	1crl
G42666HT	1cvu
G42666HT	1dcx
G42666HT	1dd0
G42666HT	1ddx
G42666HT	1dfv
G42666HT	1dhk
G42666HT	1diy
G42666HT	1djj
G42666HT	1dnk
G42666HT	1dp4
G42666HT	1dwa
G42666HT	1dwf
G42666HT	1dwg
G42666HT	1dwh
G42666HT	1dwi
G42666HT	1dwj
G42666HT	1dx6
G42666HT	1dzg
G42666HT	1dzh
G42666HT	1e04
G42666HT	1e05
G42666HT	1e4m
G42666HT	1e6q
G42666HT	1e6s
G42666HT	1e6z
G42666HT	1e70
G42666HT	1e71
G42666HT	1e72
G42666HT	1e73
G42666HT	1e8t
G42666HT	1ebv
G42666HT	1eo8
G42666HT	1eqg
G42666HT	1eqh
G42666HT	1eve
G42666HT	1f88
G42666HT	1f8c
G42666HT	1f8d
G42666HT	1f8e
G42666HT	1f8u
G42666HT	1fay
G42666HT	1fe2
G42666HT	1fjr
G42666HT	1fl7
G42666HT	1fmx
G42666HT	1fsu
G42666HT	1fy3
G42666HT	1fzc
G42666HT	1fzd
G42666HT	1fzg
G42666HT	1g5g
G42666HT	1g9f
G42666HT	1gpe
G42666HT	1gqg
G42666HT	1gqh
G42666HT	1gw0
G42666HT	1gyc
G42666HT	1gz7
G42666HT	1gza
G42666HT	1gzb
G42666HT	1h1i
G42666HT	1h1m
G42666HT	1h3j
G42666HT	1h81
G42666HT	1h82
G42666HT	1h83
G42666HT	1h84
G42666HT	1h86
G42666HT	1hbj
G42666HT	1hg8
G42666HT	1hjx
G42666HT	1hlg
G42666HT	1hql
G42666HT	1hrp
G42666HT	1hsr
G42666HT	1ht5
G42666HT	1ht8
G42666HT	1hwn
G42666HT	1hzx
G42666HT	1i3r
G42666HT	1i8l
G42666HT	1ic1
G42666HT	1igx
G42666HT	1igz
G42666HT	1ing
G42666HT	1inh
G42666HT	1isf
G42666HT	1isg
G42666HT	1ish
G42666HT	1isi
G42666HT	1isj
G42666HT	1ism
G42666HT	1ivc
G42666HT	1ivd
G42666HT	1ive
G42666HT	1ivf
G42666HT	1ivg
G42666HT	1ivo
G42666HT	1ivy
G42666HT	1j86
G42666HT	1j87
G42666HT	1j88
G42666HT	1j89
G42666HT	1j8v
G42666HT	1jdp
G42666HT	1jma
G42666HT	1jpy
G42666HT	1js8
G42666HT	1jsd
G42666HT	1jsh
G42666HT	1jsi
G42666HT	1jsm
G42666HT	1jsn
G42666HT	1jso
G42666HT	1ju2
G42666HT	1juh
G42666HT	1jv2
G42666HT	1k21
G42666HT	1k22
G42666HT	1k7u
G42666HT	1ktb
G42666HT	1ktc
G42666HT	1l5g
G42666HT	1l7f
G42666HT	1l7g
G42666HT	1l7h
G42666HT	1l8j
G42666HT	1l9h
G42666HT	1lbs
G42666HT	1lbt
G42666HT	1lcs
G42666HT	1lfg
G42666HT	1lg1
G42666HT	1lk9
G42666HT	1llf
G42666HT	1llp
G42666HT	1lmo
G42666HT	1lpm
G42666HT	1lpn
G42666HT	1lpo
G42666HT	1lpp
G42666HT	1lps
G42666HT	1lq8
G42666HT	1lzs
G42666HT	1m1x
G42666HT	1m2t
G42666HT	1m4u
G42666HT	1m6b
G42666HT	1mn1
G42666HT	1mn2
G42666HT	1mnp
G42666HT	1mom
G42666HT	1mox
G42666HT	1mq8
G42666HT	1mqm
G42666HT	1mqn
G42666HT	1mwa
G42666HT	1mwe
G42666HT	1myp
G42666HT	1myr
G42666HT	1n1m
G42666HT	1n26
G42666HT	1n2k
G42666HT	1n2l
G42666HT	1n8y
G42666HT	1n9e
G42666HT	1ncb
G42666HT	1ncd
G42666HT	1nl1
G42666HT	1nl2
G42666HT	1nn2
G42666HT	1nn6
G42666HT	1nou
G42666HT	1now
G42666HT	1np0
G42666HT	1nq9
G42666HT	1nql
G42666HT	1nub
G42666HT	1nwr
G42666HT	1nws
G42666HT	1nwt
G42666HT	1nwu
G42666HT	1o70
G42666HT	1o7a
G42666HT	1o7d
G42666HT	1ogq
G42666HT	1ogs
G42666HT	1onq
G42666HT	1oql
G42666HT	1orv
G42666HT	1orw
G42666HT	1ot5
G42666HT	1oyh
G42666HT	1pc8
G42666HT	1pge
G42666HT	1pgf
G42666HT	1pgg
G42666HT	1pl3
G42666HT	1pth
G42666HT	1pu4
G42666HT	1pum
G42666HT	1puu
G42666HT	1q25
G42666HT	1q9h
G42666HT	1qhw
G42666HT	1qmu
G42666HT	1qos
G42666HT	1r46
G42666HT	1r47
G42666HT	1r54
G42666HT	1r64
G42666HT	1r9m
G42666HT	1r9n
G42666HT	1re3
G42666HT	1rer
G42666HT	1rj5
G42666HT	1rj6
G42666HT	1rpq
G42666HT	1s4p
G42666HT	1s78
G42666HT	1sf4
G42666HT	1sgf
G42666HT	1shx
G42666HT	1sqy
G42666HT	1st8
G42666HT	1sv8
G42666HT	1sz0
G42666HT	1szn
G42666HT	1t0o
G42666HT	1t1f
G42666HT	1t31
G42666HT	1t34
G42666HT	1t7v
G42666HT	1t7w
G42666HT	1t7x
G42666HT	1t7y
G42666HT	1t7z
G42666HT	1t80
G42666HT	1tca
G42666HT	1tcb
G42666HT	1tcc
G42666HT	1tcr
G42666HT	1tfm
G42666HT	1tfv
G42666HT	1tg7
G42666HT	1thg
G42666HT	1tk3
G42666HT	1tkr
G42666HT	1tw5
G42666HT	1u19
G42666HT	1u8c
G42666HT	1u8e
G42666HT	1uhg
G42666HT	1ukc
G42666HT	1ur8
G42666HT	1us1
G42666HT	1usw
G42666HT	1ute
G42666HT	1uwy
G42666HT	1v2i
G42666HT	1v3b
G42666HT	1v3c
G42666HT	1v3d
G42666HT	1v3e
G42666HT	1vit
G42666HT	1viw
G42666HT	1vxr
G42666HT	1w1i
G42666HT	1w1o
G42666HT	1w1q
G42666HT	1w1r
G42666HT	1w1s
G42666HT	1w4l
G42666HT	1w9b
G42666HT	1w9d
G42666HT	1wbl
G42666HT	1wcy
G42666HT	1wd3
G42666HT	1wd4
G42666HT	1wwl
G42666HT	1x70
G42666HT	1xc6
G42666HT	1xec
G42666HT	1xfd
G42666HT	1xhg
G42666HT	1xlu
G42666HT	1xlv
G42666HT	1xrv
G42666HT	1xwd
G42666HT	1xzw
G42666HT	1y1f
G42666HT	1y1g
G42666HT	1y1h
G42666HT	1y1i
G42666HT	1y1j
G42666HT	1y4j
G42666HT	1y7v
G42666HT	1y9m
G42666HT	1yf8
G42666HT	1yg9
G42666HT	1yk0
G42666HT	1yk1
G42666HT	1ykb
G42666HT	1yo8
G42666HT	1ywh
G42666HT	1yy9
G42666HT	1yyd
G42666HT	1yyg
G42666HT	1yzp
G42666HT	1yzr
G42666HT	1z4v
G42666HT	1z4w
G42666HT	1z4x
G42666HT	1z4y
G42666HT	1z4z
G42666HT	1z50
G42666HT	1z5l
G42666HT	1z68
G42666HT	1z70
G42666HT	1z8l
G42666HT	1zag
G42666HT	1zb5
G42666HT	1zbc
G42666HT	1zbv
G42666HT	1ziw
G42666HT	1zu0
G42666HT	1zxq
G42666HT	2a0z
G42666HT	2a73
G42666HT	2a74
G42666HT	2a91
G42666HT	2ach
G42666HT	2add
G42666HT	2ade
G42666HT	2aey
G42666HT	2aft
G42666HT	2afy
G42666HT	2agj
G42666HT	2aii
G42666HT	2aij
G42666HT	2aik
G42666HT	2aj8
G42666HT	2ajb
G42666HT	2ajc
G42666HT	2ajd
G42666HT	2akr
G42666HT	2aw2
G42666HT	2b5i
G42666HT	2b5t
G42666HT	2b65
G42666HT	2b6d
G42666HT	2b8h
G42666HT	2bgn
G42666HT	2bgr
G42666HT	2boa
G42666HT	2bs7
G42666HT	2bua
G42666HT	2buc
G42666HT	2c11
G42666HT	2c3a
G42666HT	2c4l
G42666HT	2c5d
G42666HT	2c6c
G42666HT	2c6f
G42666HT	2c6g
G42666HT	2c6n
G42666HT	2c6p
G42666HT	2cek
G42666HT	2cij
G42666HT	2cix
G42666HT	2ciy
G42666HT	2ciz
G42666HT	2cj0
G42666HT	2cj1
G42666HT	2cj2
G42666HT	2cpo
G42666HT	2d43
G42666HT	2d44
G42666HT	2d7i
G42666HT	2d7r
G42666HT	2d9q
G42666HT	2dfp
G42666HT	2doj
G42666HT	2dqv
G42666HT	2dtw
G42666HT	2du1
G42666HT	2dvc
G42666HT	2dwa
G42666HT	2dwh
G42666HT	2dwi
G42666HT	2dxr
G42666HT	2dyx
G42666HT	2e0s
G42666HT	2e1s
G42666HT	2e26
G42666HT	2e39
G42666HT	2e3a
G42666HT	2e3b
G42666HT	2e3x
G42666HT	2e47
G42666HT	2e51
G42666HT	2e53
G42666HT	2e7q
G42666HT	2e7t
G42666HT	2e9e
G42666HT	2efb
G42666HT	2eha
G42666HT	2erj
G42666HT	2ero
G42666HT	2erp
G42666HT	2erq
G42666HT	2f61
G42666HT	2fbj
G42666HT	2fd6
G42666HT	2fik
G42666HT	2fjp
G42666HT	2fk0
G42666HT	2g5j
G42666HT	2g87
G42666HT	2g93
G42666HT	2gd4
G42666HT	2gj1
G42666HT	2gjm
G42666HT	2gjx
G42666HT	2gy7
G42666HT	2h43
G42666HT	2h4i
G42666HT	2h7c
G42666HT	2hca
G42666HT	2hha
G42666HT	2hi8
G42666HT	2hib
G42666HT	2hij
G42666HT	2hlo
G42666HT	2hpa
G42666HT	2hpy
G42666HT	2hr7
G42666HT	2hrg
G42666HT	2hrh
G42666HT	2i35
G42666HT	2i36
G42666HT	2i37
G42666HT	2i6s
G42666HT	2ice
G42666HT	2id4
G42666HT	2id5
G42666HT	2ih8
G42666HT	2ih9
G42666HT	2iit
G42666HT	2iiv
G42666HT	2ikc
G42666HT	2ips
G42666HT	2iq7
G42666HT	2j0h
G42666HT	2j18
G42666HT	2j19
G42666HT	2j1g
G42666HT	2j5m
G42666HT	2j6j
G42666HT	2jbj
G42666HT	2jbk
G42666HT	2jfe
G42666HT	2nqx
G42666HT	2nr6
G42666HT	2o1l
G42666HT	2o51
G42666HT	2o5n
G42666HT	2o86
G42666HT	2ojv
G42666HT	2ok5
G42666HT	2onc
G42666HT	2oot
G42666HT	2oph
G42666HT	2or4
G42666HT	2oye
G42666HT	2oyu
G42666HT	2p7s
G42666HT	2p8s
G42666HT	2pe4
G42666HT	2ped
G42666HT	2pm8
G42666HT	2pmv
G42666HT	2pn5
G42666HT	2psx
G42666HT	2pt3
G42666HT	2pum
G42666HT	2pvv
G42666HT	2pvw
G42666HT	2px1
G42666HT	2q7n
G42666HT	2q7y
G42666HT	2q8j
G42666HT	2q9i
G42666HT	2q9o
G42666HT	2qej
G42666HT	2qjr
G42666HT	2qki
G42666HT	2qkn
G42666HT	2qly
G42666HT	2qmj
G42666HT	2qoe
G42666HT	2qpk
G42666HT	2qpm
G42666HT	2qqm
G42666HT	2qqt
G42666HT	2qqu
G42666HT	2qqv
G42666HT	2qqw
G42666HT	2qrb
G42666HT	2qt6
G42666HT	2qt9
G42666HT	2qtb
G42666HT	2qwa
G42666HT	2qwb
G42666HT	2qwc
G42666HT	2qwd
G42666HT	2qwe
G42666HT	2qwf
G42666HT	2qwg
G42666HT	2qwh
G42666HT	2qwj
G42666HT	2qwk
G42666HT	2qz1
G42666HT	2r2k
G42666HT	2r5l
G42666HT	2r71
G42666HT	2r7e
G42666HT	2r9j
G42666HT	2rft
G42666HT	2rfu
G42666HT	2rhp
G42666HT	2ri8
G42666HT	2ri9
G42666HT	2rip
G42666HT	2rjq
G42666HT	2v53
G42666HT	2v5m
G42666HT	2v5s
G42666HT	2vds
G42666HT	2vdz
G42666HT	2ve0
G42666HT	2vn4
G42666HT	2vn7
G42666HT	2vtc
G42666HT	2w6c
G42666HT	2w9i
G42666HT	2wfo
G42666HT	2wfz
G42666HT	2wg0
G42666HT	2wg2
G42666HT	2wkl
G42666HT	2wm0
G42666HT	2wo3
G42666HT	2wuc
G42666HT	2wxd
G42666HT	2x1w
G42666HT	2x8b
G42666HT	2xdt
G42666HT	2xef
G42666HT	2xeg
G42666HT	2xei
G42666HT	2xej
G42666HT	2xll
G42666HT	2xqy
G42666HT	2xsp
G42666HT	2xwb
G42666HT	2xwt
G42666HT	2xyb
G42666HT	2xyd
G42666HT	2y38
G42666HT	2y73
G42666HT	2y74
G42666HT	2yd0
G42666HT	2yg1
G42666HT	2yp2
G42666HT	2yp3
G42666HT	2yp5
G42666HT	2yp7
G42666HT	2yp8
G42666HT	2yp9
G42666HT	2ypg
G42666HT	2z4e
G42666HT	2z5z
G42666HT	2z62
G42666HT	2z63
G42666HT	2z64
G42666HT	2z66
G42666HT	2z82
G42666HT	2zb6
G42666HT	2zmb
G42666HT	2zmk
G42666HT	2zmn
G42666HT	2znh
G42666HT	3a3k
G42666HT	3a5v
G42666HT	3a79
G42666HT	3a7b
G42666HT	3a7c
G42666HT	3a7q
G42666HT	3abg
G42666HT	3afc
G42666HT	3al4
G42666HT	3al8
G42666HT	3ala
G42666HT	3arf
G42666HT	3b2d
G42666HT	3b2u
G42666HT	3b2v
G42666HT	3b3q
G42666HT	3bhx
G42666HT	3bi0
G42666HT	3bi1
G42666HT	3biw
G42666HT	3bn3
G42666HT	3bpl
G42666HT	3bt2
G42666HT	3bt6
G42666HT	3bw7
G42666HT	3bxi
G42666HT	3bxm
G42666HT	3c0p
G42666HT	3c43
G42666HT	3c45
G42666HT	3c9z
G42666HT	3ca0
G42666HT	3ca1
G42666HT	3ca3
G42666HT	3ca5
G42666HT	3cap
G42666HT	3ccb
G42666HT	3ccc
G42666HT	3cdz
G42666HT	3cef
G42666HT	3cfl
G42666HT	3ci8
G42666HT	3cig
G42666HT	3cjc
G42666HT	3cl4
G42666HT	3cl5
G42666HT	3crb
G42666HT	3csy
G42666HT	3cu7
G42666HT	3d11
G42666HT	3d3z
G42666HT	3d4l
G42666HT	3d7d
G42666HT	3d7f
G42666HT	3d7g
G42666HT	3d7h
G42666HT	3dgv
G42666HT	3di3
G42666HT	3div
G42666HT	3dkh
G42666HT	3dmk
G42666HT	3dq0
G42666HT	3dqb
G42666HT	3e0g
G42666HT	3e6p
G42666HT	3e9x
G42666HT	3eio
G42666HT	3erh
G42666HT	3eri
G42666HT	3evj
G42666HT	3f6k
G42666HT	3f8s
G42666HT	3faq
G42666HT	3fbx
G42666HT	3fcs
G42666HT	3fec
G42666HT	3fed
G42666HT	3fee
G42666HT	3ff3
G42666HT	3fgr
G42666HT	3fgt
G42666HT	3fku
G42666HT	3fkx
G42666HT	3fnl
G42666HT	3fpx
G42666HT	3fu7
G42666HT	3fu8
G42666HT	3fu9
G42666HT	3fub
G42666HT	3fxi
G42666HT	3g08
G42666HT	3g0b
G42666HT	3g0c
G42666HT	3g0d
G42666HT	3g0g
G42666HT	3gbm
G42666HT	3gc1
G42666HT	3gc6
G42666HT	3gcj
G42666HT	3gck
G42666HT	3gcl
G42666HT	3gh3
G42666HT	3ghh
G42666HT	3ghm
G42666HT	3ghn
G42666HT	3gkh
G42666HT	3gki
G42666HT	3gkj
G42666HT	3gmr
