GlyTouCanAccession	MatrixDBAccession
G03536SO	GAG_7
G16235VG	GAG_9
G19059PI	GAG_4
G26097PL	GAG_17
G29057GU	GAG_18
G34992DF	GAG_5
G35277LL	GAG_10
G46732TY	GAG_6
G69038UV	GAG_14
G97423JA	GAG_15
G98814RL	GAG_16
