GlyTouCanAccession	NativeFormula	PermethylatedFormula
G00159IZ	C117H191N9O83	C167H291N9O83
G00159OX	C36H55N3O51S7	C50H83N3O51S7
G00164QP	C62H102N4O43	C87H152N4O43
G00167FD	C71H116N4O53	C103H180N4O53
G00167VE	C84H138N6O59	C119H208N6O59
G00168JC	C78H128N6O56S	C108H188N6O56S
G00173GD	C24H36N2O35S5	C33H54N2O35S5
G00175DU	C72H118N6O49	C101H176N6O49
G00175GT	C28H46N2O20	C40H70N2O20
G00175UH	C79H129N5O58	C114H199N5O58
G00176HZ	C72H118N6O49	C101H176N6O49
G00183XS	C76H125N5O54	C108H189N5O54
G00185NL	C74H122N4O53	C105H184N4O53
G00186HV	C38H57N3O46S5	C53H87N3O46S5
G00186OS	C74H122N4O54	C106H186N4O54
G00188VT	C48H79N3O36S	C66H115N3O36S
G00194GV	C14H23NO9	C19H33NO9
G00194ZL	C11H16O13S	C15H24O13S
G00196CO	C76H125N5O53	C107H187N5O53
G00199AH	C46H76N2O33	C65H114N2O33
G00199JR	C32H53NO25	C47H83NO25
G00199PM	C62H102N4O43	C87H152N4O43
G00201AB	C83H135N7O58	C118H205N7O58
G00203KS	C32H53NO25	C47H83NO25
G00204EX	C54H89N3O40	C78H137N3O40
G00207YQ	C68H112N4O50	C98H172N4O50
G00208WQ	C54H89N3O38	C76H133N3O38
G00209ZX	C37H60N2O29	C55H96N2O29
G00210FR	C47H76N4O32	C66H114N4O32
G00210ZX	C101H165N7O72	C144H251N7O72
G00211WY	C85H139N5O62	C122H213N5O62
G00212RH	C100H165N5O74	C144H253N5O74
G00212ZT	C50H83NO40	C74H131NO40
G00217CL	C87H142N6O64	C126H220N6O64
G00219DO	C70H115N5O49	C99H173N5O49
G00219VH	C16H26N2O10	C22H38N2O10
G00221CZ	C84H138N6O60	C120H210N6O60
G00222MO	C70H115N5O48	C98H171N5O48
G00225DC	C18H30O15	C27H48O15
G00227RN	C115H186N8O83	C165H286N8O83
G00227ZY	C18H30O15	C27H48O15
G00229QC	C68H113NO55	C101H179NO55
G00229TF	C34H58N2O24	C49H88N2O24
G00229VQ	C36H61N3O25	C52H93N3O25
G00230CO	C72H118N6O55S2	C99H172N6O55S2
G00230IL	C66H111N3O46	C93H165N3O46
G00231IQ	C87H142N6O62	C124H216N6O62
G00231WL	C129H209N9O96S	C184H319N9O96S
G00232ED	C75H122N6O56S	C106H184N6O56S
G00232UX	C134H216N10O96	C192H332N10O96
G00234GG	C30H49N3O23S	C41H71N3O23S
G00234MX	C25H40N2O21S	C35H60N2O21S
G00235HI	C87H142N6O63	C125H218N6O63
G00238CK	C22H36N2O18S	C30H52N2O18S
G00238FA	C12H20O10	C18H32O10
G00240EZ	C48H74N4O73S11	C65H108N4O73S11
G00241VQ	C58H93N5O41	C83H143N5O41
G00247JV	C70H116N2O55	C103H182N2O55
G00247PL	C68H112N4O49	C97H170N4O49
G00248DH	C121H198N8O87	C173H302N8O87
G00249IY	C74H122N4O53	C105H184N4O53
G00249XF	C36H59N3O28S	C50H87N3O28S
G00249XR	C82H135N5O58	C116H203N5O58
G00250DZ	C112H182N8O80	C160H278N8O80
G00252UK	C18H30O15	C27H48O15
G00254JB	C74H122N4O54	C106H186N4O54
G00257RE	C36H61N3O24	C51H91N3O24
G00257UQ	C56H92N4O43S	C80H140N4O43S
G00272VU	C54H89N3O38	C76H133N3O38
G00273SJ	C86H142N4O61	C121H212N4O61
G00274WK	C46H76N2O35	C67H118N2O35
G00277SO	C48H79N3O33	C67H117N3O33
G00279YF	C66H108N6O45	C93H162N6O45
G00281HB	C60H99N3O45	C87H153N3O45
G00282XO	C70H111N5O52	C102H175N5O52
G00283TT	C20H33NO13	C27H47NO13
G00284SJ	C46H76N2O35	C67H118N2O35
G00287UD	C58H97N5O40	C83H147N5O40
G00288QM	C40H66N2O30	C58H102N2O30
G00288RP	C46H76N2O33	C65H114N2O33
G00294BL	C26H45NO19	C38H69NO19
G00294TN	C26H43NO19	C37H65NO19
G00298HY	C22H36N2O15	C31H54N2O15
G00298LF	C72H119N3O52	C102H179N3O52
G00299NZ	C59H94N4O46	C88H152N4O46
G00301DC	C71H116N4O52	C102H178N4O52
G00301IL	C108H178N6O79	C155H272N6O79
G00304VG	C12H17NO16S2	C17H27NO16S2
G00305EF	C124H202N8O91	C179H312N8O91
G00305KL	C40H66N2O30	C58H102N2O30
G00305KO	C16H26O13	C23H40O13
G00306VT	C18H30O14	C26H46O14
G00311MF	C20H33NO15	C29H51NO15
G00313OR	C38H65NO30	C57H103NO30
G00314IZ	C55H90N4O39	C78H136N4O39
G00314SC	C61H101N5O43	C88H155N5O43
G00315CH	C88H143N5O65	C127H221N5O65
G00315MF	C20H29NO20S	C29H47NO20S
G00318AV	C90H146N6O65	C129H224N6O65
G00318OS	C30H49N3O23S	C41H71N3O23S
G00318UE	C74H123NO60	C110H195NO60
G00320ZP	C95H153N7O69	C137H237N7O69
G00321MZ	C163H267N11O117	C233H407N11O117
G00321UH	C47H76N4O33	C67H116N4O33
G00328AZ	C82H135N5O60	C118H207N5O60
G00328CG	C95H153N7O69	C137H237N7O69
G00328HB	C46H76N2O35	C67H118N2O35
G00330GX	C79H129N5O58	C114H199N5O58
G00330QO	C128H211N7O90	C180H315N7O90
G00330YN	C12H20O10	C18H32O10
G00331XG	C88H147N5O64	C127H225N5O64
G00333ZL	C18H30O15	C27H48O15
G00335DM	C52H86N2O40	C76H134N2O40
G00335JE	C39H63N3O29	C57H99N3O29
G00335TI	C42H69N3O30	C60H105N3O30
G00336XG	C54H89N3O40	C78H137N3O40
G00337GM	C130H214N8O94	C186H326N8O94
G00338CG	C25H39NO20	C36H61NO20
G00340NM	C65H106N4O48	C94H164N4O48
G00348IY	C60H99N3O45	C87H153N3O45
G00349CA	C76H125N5O55	C109H191N5O55
G00351AQ	C110H179N7O79	C157H273N7O79
G00356FQ	C20H33NO15	C29H51NO15
G00357HK	C90H148N6O63	C127H222N6O63
G00361LC	C100H165N5O71	C141H247N5O71
G00361YF	C66H108N6O45	C93H162N6O45
G00362UY	C14H23NO9	C19H33NO9
G00368HM	C93H152N6O68	C134H234N6O68
G00369RM	C104H171N7O73	C147H257N7O73
G00370EI	C43H70N2O33	C63H110N2O33
G00370ES	C20H33NO13	C27H47NO13
G00371DJ	C28H46N2O19	C39H68N2O19
G00372ZO	C30H49N3O20	C42H73N3O20
G00376RB	C60H101N3O42	C85H151N3O42
G00379PJ	C39H63N3O28	C56H97N3O28
G00381SH	C64H105N5O45	C91H159N5O45
G00381YD	C52H88N2O40	C77H138N2O40
G00383NC	C33H53N3O23	C47H81N3O23
G00383YF	C78H128N6O55	C111H194N6O55
G00386WN	C14H19NO17S2	C18H27NO17S2
G00387BU	C14H23NO10	C20H35NO10
G00390EC	C67H109N5O49	C97H169N5O49
G00390GQ	C50H80N4O36	C72H124N4O36
G00394CR	C52H86N2O38	C74H130N2O38
G00394QB	C12H20O10	C18H32O10
G00395FS	C18H30O15	C27H48O15
G00395TQ	C34H56N2O24	C48H84N2O24
G00396DP	C46H76N2O34	C66H116N2O34
G00396IE	C68H112N4O49	C97H170N4O49
G00399LG	C16H26N2O10	C22H38N2O10
G00400RI	C26H38N2O24S	C38H62N2O24S
G00401IE	C18H30O15	C27H48O15
G00402KT	C72H119N3O52	C102H179N3O52
