GlyTouCanAccession	NativeFormula	PermethylatedFormula
G25495SR	C70H115N5O52S	C98H171N5O52S
G25496PC	C40H66N2O30	C58H102N2O30
G25497SH	C70H115N5O50	C100H175N5O50
G25498AR	C32H53NO25	C47H83NO25
G25498HI	C53H86N4O37	C75H130N4O37
G25499LZ	C64H103N5O46	C92H159N5O46
G25502JE	C37H57NO34S	C54H91NO34S
G25504FH	C61H100N4O43	C86H150N4O43
G25505UF	C109H176N8O79	C157H272N8O79
G25507FN	C24H40O18	C34H60O18
G25509HT	C65H106N4O47	C93H162N4O47
G25511ES	C70H111N5O52	C102H175N5O52
G25512MC	C36H59N3O25	C51H89N3O25
G25520XG	C76H125N5O54	C108H189N5O54
G25524RD	C28H46N2O20	C40H70N2O20
G25528GX	C87H142N6O61	C123H214N6O61
G25529AF	C82H135N5O60	C118H207N5O60
G25529IY	C48H79N3O36S	C66H115N3O36S
G25529RM	C99H162N6O70	C140H244N6O70
G25530RC	C82H135N5O59	C117H205N5O59
G25531CZ	C24H36N2O32S4	C34H56N2O32S4
G25531HL	C78H128N6O55	C111H194N6O55
G25534RX	C76H126N5O57P	C109H192N5O57P
G25537CS	C36H55N3O48S6	C51H85N3O48S6
G25538MM	C48H79N3O34	C68H119N3O34
G25541GW	C42H71N3O32S	C59H105N3O32S
G25541JU	C33H53N3O23	C47H81N3O23
G25541YH	C119H195N7O85	C169H295N7O85
G25546AL	C11H16O10	C16H26O10
G25547CE	C21H35NO14	C28H49NO14
G25551XY	C60H99N3O44	C86H151N3O44
G25554YF	C74H122N4O53	C105H184N4O53
G25555JK	C82H136N2O65	C121H214N2O65
G25556YB	C50H83NO40	C74H131NO40
G25558EV	C141H229N9O102	C202H351N9O102
G25559NI	C14H23NO13S	C19H33NO13S
G25559RS	C18H30O15	C27H48O15
G25559ZN	C14H23NO10	C20H35NO10
G25562VL	C54H89N3O39	C77H135N3O39
G25564SJ	C45H75N3O33	C66H117N3O33
G25566KR	C18H30O15	C27H48O15
G25566QA	C135H219N9O96	C192H333N9O96
G25566SL	C42H71N3O39S3	C58H103N3O39S3
G25569EP	C104H169N7O75	C149H259N7O75
G25570MS	C90H146N6O65	C129H224N6O65
G25571GC	C25H39NO19	C35H59NO19
G25571LJ	C39H63N3O28	C56H97N3O28
G25571PV	C68H110N4O50	C98H170N4O50
G25573JP	C70H111N5O52	C102H175N5O52
G25573QU	C22H36N2O18S	C30H52N2O18S
G25574DU	C76H126N2O60	C112H198N2O60
G25574EG	C42H69N3O30	C60H105N3O30
G25576NO	C66H109N3O48	C94H165N3O48
G25577BM	C62H103NO50	C92H163NO50
G25577YN	C52H86N2O39	C75H132N2O39
G25579DQ	C121H196N8O87	C173H300N8O87
G25579XD	C121H198N8O87	C173H302N8O87
G25582HX	C18H30O15	C27H48O15
G25585VK	C98H159N7O70	C140H243N7O70
G25592OU	C115H186N8O86	C168H292N8O86
G25592WY	C68H114N4O48	C97H172N4O48
G25595NX	C68H113NO55	C101H179NO55
G25596GA	C78H128N6O54	C110H192N6O54
G25598BX	C82H133N5O62	C120H209N5O62
G25598SE	C28H46N2O20	C40H70N2O20
G25599RT	C25H40N2O21S	C35H60N2O21S
G25601BM	C65H106N4O48	C94H164N4O48
G25601LF	C28H46N2O20	C40H70N2O20
G25604VV	C30H47N3O21	C43H73N3O21
G25605GB	C146H236N10O105	C209H362N10O105
G25607IY	C63H103N3O46	C90H157N3O46
G25607NP	C105H172N6O75	C149H260N6O75
G25608WH	C24H39N3O15	C33H57N3O15
G25609YM	C66H111N3O49	C96H171N3O49
G25611HL	C31H50N2O23	C45H78N2O23
G25612EW	C62H102N4O43	C87H152N4O43
G25612NR	C59H96N4O43	C85H148N4O43
G25614IV	C76H123N5O58S	C107H185N5O58S
G25615CH	C14H23NO16S2	C18H31NO16S2
G25615DN	C24H40O18	C34H60O18
G25617PK	C14H21NO14S	C19H31NO14S
G25617US	C28H46N2O20	C40H70N2O20
G25618EW	C94H156N2O75	C139H246N2O75
G25622RM	C26H38N2O26S2	C36H58N2O26S2
G25626CJ	C24H36N2O38S6	C32H52N2O38S6
G25626YS	C40H66N2O28	C56H98N2O28
G25627AK	C14H19NO17S2	C18H27NO17S2
G25627PL	C22H34N2O22S2	C29H48N2O22S2
G25630IZ	C28H46N2O20	C40H70N2O20
G25632FJ	C12H20O10	C18H32O10
G25632TA	C90H146N6O65	C129H224N6O65
G25637MV	C52H86N2O39	C75H132N2O39
G25637MW	C45H75N3O35S	C64H113N3O35S
G25640AW	C82H135N5O59	C117H205N5O59
G25641KW	C39H63N3O28	C56H97N3O28
G25645CI	C18H30O15	C27H48O15
G25645LH	C134H221N7O94	C188H329N7O94
G25650KG	C105H172N6O77	C151H264N6O77
G25650TV	C36H59N3O24	C50H87N3O24
G25651KB	C74H122N4O54	C106H186N4O54
G25651TK	C26H43NO19	C37H65NO19
G25654KH	C22H36N2O15	C31H54N2O15
G25656CV	C18H30O15	C27H48O15
G25657HD	C72H118N6O50	C102H178N6O50
G25660SO	C44H75NO35	C66H119NO35
G25660ZB	C54H89N3O39	C77H135N3O39
G25662FF	C93H152N6O67	C133H232N6O67
G25672PS	C48H79N3O35	C69H121N3O35
G25673GQ	C18H30O15	C27H48O15
G25674QD	C114H187N9O79	C161H281N9O79
G25674WK	C46H74N2O39S	C66H114N2O39S
G25675RF	C18H30O15	C27H48O15
G25677NN	C12H20O10	C18H32O10
G25678BR	C158H258N10O115	C227H396N10O115
G25679AT	C126H205N9O87	C177H307N9O87
G25681JY	C6H10O5	C9H16O5
G25682YL	C67H109N5O48	C96H167N5O48
G25685IE	C34H63N3O30P2	C54H103N3O30P2
G25686XH	C46H76N2O32	C64H112N2O32
G25693CQ	C25H39NO20	C36H61NO20
G25694MT	C47H76N4O33	C67H116N4O33
G25695ME	C90H146N6O65	C129H224N6O65
G25695XW	C36H60O30	C54H96O30
G25699LZ	C40H66N2O29	C57H100N2O29
G25700AJ	C58H96N2O44	C84H148N2O44
G25701GQ	C14H23NO9	C19H33NO9
G25701LG	C12H19NO16S2	C17H29NO16S2
G25701YZ	C98H159N7O70	C140H243N7O70
G25702TK	C54H89N3O38	C76H133N3O38
G25702YU	C58H95N5O40	C82H143N5O40
G25703UN	C74H122N4O53	C105H184N4O53
G25704RQ	C134H221N7O94	C188H329N7O94
G25705KO	C31H50N2O22	C44H76N2O22
G25705LK	C68H114N4O49	C98H174N4O49
G25705WX	C39H65N3O27	C56H99N3O27
G25707QU	C106H172N8O77	C153H266N8O77
G25708EF	C36H60O30	C54H96O30
G25708TD	C58H96N2O45	C85H150N2O45
G25709GM	C25H40N2O18	C36H62N2O18
G25710JB	C52H86N2O40	C76H134N2O40
G25711HY	C64H106N2O50	C94H166N2O50
G25711ZC	C32H53NO24	C46H81NO24
G25713LT	C115H186N8O83	C165H286N8O83
G25713RA	C104H169N7O75	C149H259N7O75
G25715LK	C36H60O30	C54H96O30
G25716MV	C68H112N4O48	C96H168N4O48
G25717MU	C136H219N11O97	C195H337N11O97
G25720PN	C18H30O15	C27H48O15
G25722YM	C68H112N4O49	C97H170N4O49
G25724KD	C31H50N2O22	C44H76N2O22
G25726HS	C50H80N4O39S	C71H122N4O39S
G25727YQ	C31H50N2O22	C44H76N2O22
G25728NY	C70H111N5O52	C102H175N5O52
G25728TT	C26H38N2O24S	C38H62N2O24S
G25731WL	C134H216N10O97	C193H334N10O97
G25731ZE	C151H243N11O109	C217H375N11O109
G25733QB	C84H138N6O60	C120H210N6O60
G25736BY	C130H212N8O96	C188H328N8O96
G25738BH	C20H33NO14	C28H49NO14
G25739II	C24H36N2O38S6	C32H52N2O38S6
G25741AM	C70H115N5O52S	C98H171N5O52S
G25741CG	C118H192N8O85	C169H294N8O85
G25742LN	C82H135N5O56	C114H199N5O56
G25744PP	C54H91N3O39	C78H139N3O39
G25745LS	C39H65N3O31S	C56H99N3O31S
G25750DI	C90H146N6O67	C131H228N6O67
G25750FJ	C32H53NO24	C46H81NO24
G25750QI	C93H152N6O67	C133H232N6O67
G25757VH	C36H59N3O25	C51H89N3O25
G25757VW	C58H98N2O45	C86H154N2O45
G25757VY	C36H57N3O28	C54H93N3O28
G25758AZ	C20H33NO17S	C27H47NO17S
G25758BJ	C152H248N10O110	C218H380N10O110
G25761WW	C26H43NO19	C37H65NO19
G25762SU	C137H222N10O97	C195H338N10O97
G25764DO	C34H56N2O24	C48H84N2O24
G25764FB	C88H147N5O62	C125H221N5O62
G25766ID	C48H81N3O33	C68H121N3O33
G25768YR	C42H69N3O30	C60H105N3O30
G25770CL	C67H109N5O47	C95H165N5O47
G25776KR	C42H70O35	C63H112O35
G25776XU	C28H46N2O20	C40H70N2O20
G25778CO	C54H89N3O40	C78H137N3O40
G25778KZ	C12H20O9	C17H30O9
G25778VW	C25H40N2O21S	C35H60N2O21S
G25779YN	C28H40N2O22	C40H64N2O22
G25780GD	C90H146N6O65	C129H224N6O65
G25780HH	C33H53N3O23	C47H81N3O23
G25780XC	C36H55N3O57S9	C48H79N3O57S9
G25781GZ	C56H92N4O42S	C78H136N4O42S
G25785LX	C71H116N4O52	C102H178N4O52
G25786QG	C37H57NO31	C54H91NO31
G25787HL	C74H121N7O50	C104H181N7O50
G25789CA	C157H253N11O117	C229H397N11O117
G25793XL	C66H109N3O48	C94H165N3O48
G25795DA	C34H58N2O24	C49H88N2O24
G25795FR	C32H53NO25	C47H83NO25
G25795QP	C79H129N5O58	C114H199N5O58
G25796EC	C38H63NO29	C55H97NO29
G25799AL	C40H66N2O30	C58H102N2O30
G25803AS	C58H96N2O44	C84H148N2O44
G25804NU	C134H216N10O97	C193H334N10O97
G25804XU	C64H107N5O44	C91H161N5O44
G25807NR	C37H60N2O27	C53H92N2O27
G25807YV	C101H165N7O72	C144H251N7O72
G25810YB	C32H53NO23	C45H79NO23
G25812XU	C27H43N3O19	C39H67N3O19
G25814OJ	C125H204N10O87	C177H308N10O87
G25815IN	C77H126N4O56	C110H192N4O56
G25816KQ	C48H74N4O76S12	C64H106N4O76S12
G25817RY	C66H109N3O46	C92H161N3O46
G25821ZR	C93H152N6O67	C133H232N6O67
G25822UT	C109H178N8O76	C154H268N8O76
G25827FI	C76H126N2O60	C112H198N2O60
G25828PU	C74H123NO60	C110H195NO60
G25830EV	C115H186N8O83	C165H286N8O83
G25830YW	C28H48N2O20	C41H74N2O20
G25833JG	C22H36N2O14	C30H52N2O14
G25835MT	C75H122N6O53	C107H186N6O53
G25835YC	C58H93N5O41	C83H143N5O41
G25836KH	C90H148N6O64	C128H224N6O64
G25836SQ	C88H147N5O63	C126H223N5O63
G25837HW	C79H129N5O57	C113H197N5O57
G25839JN	C93H152N6O67	C133H232N6O67
G25844GR	C51H83N3O36	C72H125N3O36
G25845BH	C40H66N2O28	C56H98N2O28
G25845NS	C18H30O14	C26H46O14
G25846VM	C46H76N2O34	C66H116N2O34
G25848FU	C44H72N4O30	C62H108N4O30
G25848XB	C12H22N2O8	C20H38N2O8
G25849PL	C81H132N6O57	C115H200N6O57
G25853OY	C100H165N5O71	C141H247N5O71
G25857PM	C42H70O35	C63H112O35
G25857QL	C24H36N2O38S6	C32H52N2O38S6
G25859HN	C86H142N4O62	C122H214N4O62
G25863BT	C25H40N2O18	C36H62N2O18
G25864LQ	C46H76N2O35	C67H118N2O35
G25865NX	C12H20O13S	C17H30O13S
G25865TC	C47H76N4O32	C66H114N4O32
G25869EQ	C22H38N2O15	C32H58N2O15
G25869LV	C73H119N5O52	C104H181N5O52
G25869ML	C65H106N4O46	C92H160N4O46
G25870FA	C25H40N2O19	C37H64N2O19
G25873BH	C12H20O13S	C17H30O13S
G25873ET	C32H53NO24	C46H81NO24
G25874ZV	C11H18O9	C16H28O9
G25880OF	C87H142N6O63	C125H218N6O63
G25884KM	C76H126N2O60	C112H198N2O60
G25886YT	C84H136N6O61	C121H210N6O61
G25887WB	C70H115N5O50	C100H175N5O50
G25889HA	C23H37NO19	C35H61NO19
G25890BU	C128H211N7O90	C180H315N7O90
G25891YZ	C11H16O13S	C15H24O13S
G25892CT	C27H43N3O18	C38H65N3O18
G25894QG	C26H43NO20	C38H67NO20
G25895CV	C84H138N6O72S4	C116H202N6O72S4
G25895EQ	C70H111N5O52	C102H175N5O52
G25895IY	C65H108N4O48	C95H168N4O48
G25895SL	C42H69N3O30	C60H105N3O30
G25896HD	C12H20O10	C18H32O10
G25898IZ	C21H35NO14	C28H49NO14
G25900SO	C18H30O15	C27H48O15
G25900WY	C34H56N2O25	C49H86N2O25
G25902AL	C115H186N8O83	C165H286N8O83
G25902LH	C85H139N5O61	C121H211N5O61
G25902PW	C46H76N2O33	C65H114N2O33
G25906JM	C61H100N4O43	C86H150N4O43
G25906YW	C30H49N3O20	C42H73N3O20
G25909KU	C24H40O20	C36H64O20
G25910LL	C124H204N8O86	C174H304N8O86
G25916KZ	C66H108N6O45	C93H162N6O45
G25917CO	C88H145N5O64	C126H221N5O64
G25917KV	C98H159N7O71	C141H245N7O71
G25926OL	C110H181N7O80	C158H277N7O80
G25928EE	C38H63NO29	C55H97NO29
G25929QB	C115H188N8O83	C165H288N8O83
G25930FR	C25H40N2O18	C36H62N2O18
G25930WB	C115H186N8O83	C165H286N8O83
G25933EC	C143H232N10O103	C205H356N10O103
G25934VE	C42H69N3O29	C59H103N3O29
G25935VE	C74H122N4O52	C104H182N4O52
G25937FN	C34H56N2O24	C48H84N2O24
G25938VQ	C24H40O20	C36H64O20
G25939RB	C98H159N7O71	C141H245N7O71
G25940DW	C66H109N3O48	C94H165N3O48
G25942LR	C76H126N2O60	C112H198N2O60
G25943ZQ	C51H83N3O39	C75H131N3O39
G25944NG	C26H43NO20	C38H67NO20
G25946GS	C83H135N7O58	C118H205N7O58
G25952OG	C115H188N8O82	C164H286N8O82
G25953KD	C52H87N5O35	C74H131N5O35
G25955GM	C14H23NO10	C20H35NO10
G25955UH	C42H69N3O29	C59H103N3O29
G25956TV	C32H53NO25	C47H83NO25
G25956VZ	C80H132N4O58	C114H200N4O58
G25958ES	C14H19NO20S3	C17H25NO20S3
G25958WS	C36H55N3O27	C51H85N3O27
G25959ED	C98H159N7O72	C142H247N7O72
G25960MV	C118H196N8O85	C170H300N8O85
G25961NT	C102H168N6O72	C144H252N6O72
G25962JF	C40H68N2O36P2	C60H108N2O36P2
G25965IE	C95H153N7O72	C140H243N7O72
G25967ER	C116H191N7O81	C163H285N7O81
G25967GJ	C88H147N5O62	C125H221N5O62
G25977RW	C39H63N3O28	C56H97N3O28
G25984CA	C46H76N2O35	C67H118N2O35
G25984EB	C23H37NO18	C34H59NO18
G25985EA	C42H69N3O33S	C59H103N3O33S
G25986DW	C99H162N6O71	C141H246N6O71
G25987BV	C56H92N4O39	C79H138N4O39
G25989JW	C94H155N5O68	C134H235N5O68
G25993OX	C59H94N4O44	C86H148N4O44
G26006IS	C131H212N10O93	C187H324N10O93
G26014HJ	C100H165N5O74	C144H253N5O74
G26014MK	C106H172N8O75	C151H262N8O75
G26014QP	C14H23NO9	C19H33NO9
G26016BX	C46H76N2O34	C66H116N2O34
G26018HD	C84H138N6O59	C119H208N6O59
G26020AK	C69H110N6O49	C99H170N6O49
G26020CN	C31H50N2O22	C44H76N2O22
G26021BY	C36H59N3O24	C50H87N3O24
G26021TP	C46H76N2O35	C67H118N2O35
G26027SF	C64H105N5O44	C90H157N5O44
G26028RV	C96H158N6O69	C137H240N6O69
G26030HK	C59H96N4O43	C85H148N4O43
G26030JN	C84H138N6O59	C119H208N6O59
G26030RR	C47H76N4O33	C67H116N4O33
G26032DN	C34H56N2O24	C48H84N2O24
G26032JT	C62H102N4O45	C89H156N4O45
G26034OB	C110H179N7O80	C158H275N7O80
G26035PF	C56H92N4O40	C80H140N4O40
G26036PN	C65H106N4O48	C94H164N4O48
G26037HY	C14H19NO17S2	C18H27NO17S2
G26039ES	C12H22O10	C19H36O10
G26040WE	C12H20O9	C17H30O9
G26043EN	C36H59N3O25	C51H89N3O25
G26043GP	C110H179N7O81	C159H277N7O81
G26044CJ	C102H163N9O72	C146H251N9O72
G26045FS	C127H208N8O90	C180H314N8O90
G26047BG	C24H40O19	C35H62O19
G26050CD	C68H112N4O52S	C96H168N4O52S
G26053FF	C64H105N5O44	C90H157N5O44
G26054ZB	C59H96N4O42	C84H146N4O42
G26062VZ	C44H73NO35	C65H115NO35
G26062ZJ	C135H221N9O98	C195H341N9O98
G26065RX	C84H136N6O61	C121H210N6O61
G26068PU	C126H205N9O96S2	C178H309N9O96S2
G26069FK	C74H122N4O55	C107H188N4O55
G26069SU	C12H20O10	C18H32O10
G26070CR	C93H152N6O66	C132H230N6O66
G26070RB	C65H106N4O48	C94H164N4O48
G26072HQ	C118H194N8O84	C168H294N8O84
G26072QU	C24H42O18	C35H64O18
G26075CU	C68H112N4O52S	C96H168N4O52S
G26075TT	C119H193N7O90	C174H303N7O90
G26076FX	C117H189N9O83	C167H289N9O83
G26078TM	C71H116N4O52	C102H178N4O52
G26080SE	C110H181N7O79	C157H275N7O79
G26081RR	C64H106N2O50	C94H166N2O50
G26082FR	C42H69N3O30	C60H105N3O30
G26082WC	C57H93N3O42	C82H143N3O42
G26085RC	C109H176N8O79	C157H272N8O79
G26087OR	C74H122N4O55	C107H188N4O55
G26091TF	C39H63N3O28	C56H97N3O28
G26094IX	C76H126N2O60	C112H198N2O60
G26097PL	C12H19NO16S2	C17H29NO16S2
G26099QK	C50H85NO40	C75H135NO40
G26099QT	C41H66N4O28	C58H100N4O28
G26101HN	C37H60N2O28	C54H94N2O28
G26101IY	C18H30O15	C27H48O15
G26101XB	C112H182N8O82	C162H282N8O82
G26101XV	C107H173N7O77	C153H265N7O77
G26104OJ	C98H159N7O72	C142H247N7O72
G26105XA	C40H66N2O28	C56H98N2O28
G26106YB	C60H99N3O44	C86H151N3O44
G26109NE	C64H105N5O44	C90H157N5O44
G26109WC	C24H36N2O32S4	C34H56N2O32S4
G26109XZ	C18H30O15	C27H48O15
G26110BB	C113H185N7O80	C160H279N7O80
G26111VV	C84H136N6O62	C122H212N6O62
G26112UJ	C28H46N2O20	C40H70N2O20
G26114FB	C65H106N4O48	C94H164N4O48
G26114NE	C88H145N5O64	C126H221N5O64
G26121MN	C42H71N3O30	C61H109N3O30
G26121NN	C98H159N7O71	C141H245N7O71
G26122PR	C73H119N5O53	C105H183N5O53
G26123AX	C32H53NO24	C46H81NO24
G26123CC	C75H122N6O53	C107H186N6O53
G26126KO	C56H92N4O40	C80H140N4O40
G26127LR	C104H169N7O75	C149H259N7O75
G26132ZI	C76H125N5O54	C108H189N5O54
G26133AM	C27H43N3O18	C38H65N3O18
G26133ZJ	C76H125N5O54	C108H189N5O54
G26134IV	C64H105N5O48S	C90H157N5O48S
G26136SJ	C46H76N2O34	C66H116N2O34
G26137IM	C130H212N8O93	C185H322N8O93
G26138IA	C20H33NO15	C29H51NO15
G26138WC	C53H86N4O41S	C75H130N4O41S
G26141IB	C76H125N5O54	C108H189N5O54
G26141MG	C45H73N3O33	C65H113N3O33
G26142HL	C88H145N5O63	C125H219N5O63
G26143BN	C52H86N2O40	C76H134N2O40
G26143DW	C82H135N5O58	C116H203N5O58
G26144BG	C22H36N2O15	C31H54N2O15
G26144DH	C82H135N5O59	C117H205N5O59
G26145BA	C71H116N4O53	C103H180N4O53
G26145IL	C76H125N5O54	C108H189N5O54
G26148PQ	C46H76N2O34	C66H116N2O34
G26150FI	C78H128N6O54	C110H192N6O54
G26151WB	C81H128N6O60	C118H202N6O60
G26153IK	C98H159N7O71	C141H245N7O71
G26156WV	C43H70N2O32	C62H108N2O32
G26160AS	C82H135N5O59	C117H205N5O59
G26162MM	C22H36N2O15	C31H54N2O15
G26164VG	C73H119N5O53	C105H183N5O53
G26166NJ	C90H148N6O63	C127H222N6O63
G26166QH	C16H26N2O10	C22H38N2O10
G26166RF	C107H175N7O77	C153H267N7O77
G26167SN	C62H102N4O44	C88H154N4O44
G26169CH	C114H188N6O81	C161H282N6O81
G26169VM	C12H22O10	C19H36O10
G26170UK	C96H156N6O71	C139H242N6O71
G26171WT	C59H94N4O45	C87H150N4O45
G26174DM	C8H13NO8S	C10H17NO8S
G26176JA	C42H69N3O29	C59H103N3O29
G26177RQ	C20H33NO15	C29H51NO15
G26179IS	C52H88N2O40	C77H138N2O40
G26179LE	C57H93N3O42	C82H143N3O42
G26179TW	C79H129N5O57	C113H197N5O57
G26182BM	C56H92N4O39	C79H138N4O39
G26184ON	C66H110O55	C99H176O55
G26185YJ	C42H71N3O29	C60H107N3O29
G26187KC	C58H95N5O40	C82H143N5O40
G26189BB	C115H186N8O83	C165H286N8O83
G26190AS	C36H55N3O57S9	C48H79N3O57S9
G26192RP	C24H40O20	C36H64O20
G26195QL	C50H84N4O35	C72H128N4O35
G26198JI	C65H106N4O49	C95H166N4O49
G26199BG	C70H111N5O52	C102H175N5O52
G26201ET	C73H119N5O53	C105H183N5O53
G26203DP	C81H128N6O60	C118H202N6O60
G26203ST	C95H155N7O67	C135H235N7O67
G26206DX	C90H146N6O66	C130H226N6O66
G26206FJ	C68H112N4O50	C98H172N4O50
G26209TI	C36H59N3O25	C51H89N3O25
G26210ZU	C26H43NO18	C36H63NO18
G26214OI	C70H115N5O49	C99H173N5O49
G26215AL	C78H128N6O54	C110H192N6O54
G26216ZN	C44H73NO35	C65H115NO35
G26217KL	C120H195N9O85	C171H297N9O85
G26219KR	C152H246N10O110	C218H378N10O110
G26221DG	C14H23NO9	C19H33NO9
G26224UH	C73H119N5O52	C104H181N5O52
G26226JI	C24H39NO18	C34H59NO18
G26227AL	C34H56N2O25	C49H86N2O25
G26228QQ	C62H102N4O43	C87H152N4O43
G26229QI	C36H59N3O27	C54H95N3O27
G26229WS	C129H211N9O92	C184H321N9O92
G26236AU	C12H17NO16S2	C17H27NO16S2
G26237XF	C85H141N5O60	C121H213N5O60
G26237YH	C46H76N2O34	C66H116N2O34
G26238GL	C14H23NO9	C19H33NO9
G26239IW	C60H99N3O43	C85H149N3O43
G26241YH	C42H71N3O39S3	C58H103N3O39S3
G26242OS	C105H172N6O76	C150H262N6O76
G26242QL	C54H89N3O40	C78H137N3O40
G26246KG	C48H79N3O35	C69H121N3O35
G26246UB	C70H116N2O55	C103H182N2O55
G26250DB	C39H65N3O30S	C55H97N3O30S
G26250DY	C14H23NO10	C20H35NO10
G26250NA	C45H71N3O34	C66H113N3O34
G26253UC	C31H50N2O22	C44H76N2O22
G26256KF	C48H79N3O34	C68H119N3O34
G26261CD	C32H57N2O27P	C50H93N2O27P
G26262IF	C40H66N2O29	C57H100N2O29
G26262OW	C75H121N5O54	C106H183N5O54
G26263QV	C36H56N2O27	C51H86N2O27
G26264HC	C64H106N2O50	C94H166N2O50
G26264SQ	C90H146N6O65	C129H224N6O65
G26265RM	C66H108N6O48S	C92H160N6O48S
G26267FS	C96H158N6O69	C137H240N6O69
G26269KK	C26H38N2O30S3	C36H58N2O30S3
G26269WV	C34H56N2O24	C48H84N2O24
G26271XI	C100H165N5O71	C141H247N5O71
G26274XD	C76H125N5O55	C109H191N5O55
G26275JI	C72H118N6O49	C101H176N6O49
G26276HR	C68H114N4O50	C99H176N4O50
G26278ZV	C56H92N4O40	C80H140N4O40
G26283TD	C21H35NO14	C28H49NO14
G26286JV	C64H106N2O50	C94H166N2O50
G26286UI	C90H148N6O65	C129H226N6O65
G26287OA	C96H156N6O70	C138H240N6O70
G26287VH	C16H25NO12	C23H39NO12
G26288MD	C12H19NO19S3	C16H27NO19S3
G26289WH	C30H49N3O20	C42H73N3O20
G26295WX	C28H46N2O20	C40H70N2O20
G26295XE	C45H74N2O33	C64H112N2O33
G26296KU	C142H229N11O101	C203H351N11O101
G26297JK	C132H215N9O95	C189H329N9O95
G26298YO	C58H96N2O45	C85H150N2O45
G26299OO	C92H149N7O65	C131H227N7O65
G26299SM	C46H76N2O33	C65H114N2O33
G26301NP	C99H162N6O70	C140H244N6O70
G26302DI	C98H159N7O72	C142H247N7O72
G26302TI	C104H169N7O75	C149H259N7O75
G26304UF	C18H30O15	C27H48O15
G26306YO	C87H142N6O61	C123H214N6O61
G26308VO	C129H209N9O94	C186H323N9O94
G26315ZA	C68H112N4O52S	C96H168N4O52S
G26317RD	C64H105N5O48S	C90H157N5O48S
G26320VF	C18H30O15	C27H48O15
G26320VO	C68H112N4O49	C97H170N4O49
G26321KS	C58H97N5O40	C83H147N5O40
G26321UZ	C34H56N2O25	C49H86N2O25
G26322FA	C54H89N3O39	C77H135N3O39
G26324UG	C70H116N2O55	C103H182N2O55
G26325AQ	C70H117N5O48	C99H175N5O48
G26325MG	C45H73N3O33	C65H113N3O33
G26326KX	C36H57N3O26	C52H89N3O26
G26326PX	C45H73N3O35S	C63H109N3O35S
G26327GQ	C143H232N10O103	C205H356N10O103
G26328EQ	C40H66N2O29	C57H100N2O29
G26329HS	C60H99N3O45	C87H153N3O45
G26330YA	C86H141N7O60	C122H213N7O60
G26332EL	C22H36N2O18S	C30H52N2O18S
G26335RK	C64H106N2O50	C94H166N2O50
G26336BA	C154H249N11O111	C221H383N11O111
G26340RK	C18H30O14	C26H46O14
G26341AW	C54H89N3O38	C76H133N3O38
G26341TZ	C51H83N3O37	C73H127N3O37
G26341ZJ	C62H102N4O44	C88H154N4O44
G26342TR	C66H109N3O49	C95H167N3O49
G26344OO	C59H96N4O42	C84H146N4O42
G26347KH	C93H152N6O67	C133H232N6O67
G26348JZ	C71H116N4O53	C103H180N4O53
G26352EU	C79H129N5O57	C113H197N5O57
G26352KE	C56H92N4O39	C79H138N4O39
G26353VY	C71H116N4O54	C104H182N4O54
G26355UY	C31H50N2O22	C44H76N2O22
G26357WC	C96H156N6O69	C137H238N6O69
G26358SO	C34H58N2O24	C49H88N2O24
G26359PQ	C30H46N2O35S3	C44H74N2O35S3
G26361UY	C30H49N3O48S8	C40H69N3O48S8
G26362QL	C88H145N5O63	C125H219N5O63
G26364SD	C59H94N4O45	C87H150N4O45
G26364YL	C73H121N5O53	C106H187N5O53
G26365PU	C76H125N5O61S2	C107H187N5O61S2
G26366JF	C11H17NO9	C17H29NO9
G26369NQ	C20H33NO15	C29H51NO15
G26371IU	C174H284N12O125	C249H434N12O125
G26371XR	C84H138N6O58	C118H206N6O58
G26375KY	C34H54N2O26	C50H86N2O26
G26376SK	C22H36N2O15	C31H54N2O15
G26377UA	C152H250N10O109	C217H380N10O109
G26383BZ	C34H56N2O23	C47H82N2O23
G26383IS	C18H30O15	C27H48O15
G26383NG	C78H126N6O58	C114H198N6O58
G26383OK	C58H95N5O40	C82H143N5O40
G26387NM	C28H46N2O19	C39H68N2O19
G26389BT	C48H75N3O52S4	C74H127N3O52S4
G26391DZ	C39H65N3O28	C57H101N3O28
G26391HA	C70H116N2O55	C103H182N2O55
G26392IX	C50H80N4O36	C72H124N4O36
G26394UA	C80H132N4O58	C114H200N4O58
G26397JS	C76H126N2O60	C112H198N2O60
G26399DO	C75H122N6O53	C107H186N6O53
G26399ZU	C64H105N5O44	C90H157N5O44
G26400XV	C68H110N4O50	C98H170N4O50
G26402SO	C50H82N4O35	C71H124N4O35
G26403JU	C56H94N4O39	C80H142N4O39
G26403SG	C92H149N7O66	C132H229N7O66
G26404WD	C14H23NO13S	C19H33NO13S
G26405FM	C64H105N5O45	C91H159N5O45
G26407DP	C68H112N4O49	C97H170N4O49
G26413UF	C86H141N7O59	C121H211N7O59
G26414FF	C83H133N7O59	C119H205N7O59
G26414KI	C70H116N2O55	C103H182N2O55
G26421QW	C66H109N3O48	C94H165N3O48
G26424YB	C20H33NO15	C29H51NO15
G26427QF	C48H79N3O35	C69H121N3O35
G26429CZ	C48H79N3O33	C67H117N3O33
G26430ZR	C52H86N2O38	C74H130N2O38
G26436YP	C140H226N10O105	C205H356N10O105
