GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00318AV	4039	9079c02f	cfg	extended
G00320ZP	4611	0976b97b	cfg	extended
G00325UK	5879	7cd0fc60	cfg	extended
G00328CG	4213	c02757c0	cfg	extended
G00328HB	2096	85f3f863	cfg	extended
G00331XG	4530	74cc4e2f	cfg	extended
G00335DM	2035	ebc1c949	cfg	extended
G00335JE	2590	40a6e157	cfg	extended
G00336XG	2517	0047ff1c	cfg	extended
G00349CA	3708	5e344b54	cfg	extended
G00361YF	3238	98fd2bd2	cfg	extended
G00362UY	792	4bc12630	cfg	extended
G00370EI	1762	179ad623	cfg	extended
G00371DJ	1430	ddd4e3eb	cfg	extended
G00376RB	2898	864bd0a1	cfg	extended
G00379PJ	1662	b80dc436	cfg	extended
G00381YD	2317	720944c2	cfg	extended
G00383KP	2529	265eb385	cfg	extended
G00383YF	4007	a0c6342b	cfg	extended
G00386WN	939	753d1a80	cfg	extended
G00390GQ	1401	06295145	cfg	extended
G00395FS	1055	5df700c1	cfg	extended
G00395TQ	1620	f7056a64	cfg	extended
G00396DP	2129	bbac25d4	cfg	extended
G00396IE	2971	bd915e63	cfg	extended
G00399LG	594	d24221a2	cfg	extended
G00401IE	1035	d29aa589	cfg	extended
G00406II	1653	46560ede	cfg	extended
G00407UJ	1482	090804b4	cfg	extended
G00412SV	2807	0dab3125	cfg	extended
G00413UF	4832	8037ee57	cfg	extended
G00423RQ	1199	52f3eab4	cfg	extended
G00423TL	1223	7f280216	cfg	extended
G00428HK	2817	f8f7f715	cfg	extended
G00430ZK	2993	089d257b	cfg	extended
G00432WV	4726	e5b8c1fe	cfg	extended
G00433KW	3001	3f03e90f	cfg	extended
G00435KX	1502	311340e7	cfg	extended
G00438EF	5116	85caedf9	cfg	extended
G00449DS	1881	d3a36c28	cfg	extended
G00450EO	4347	97fa44c4	cfg	extended
G00451UT	7475	e89631a0	cfg	extended
G00454PR	1270	f6ffd04d	cfg	extended
G00457KD	1352	2db52f3e	cfg	extended
G00459BD	2208	3d701e6c	cfg	extended
G00459HM	1767	9271d546	cfg	extended
G00461RR	2280	4bf3e0ce	cfg	extended
G00461ZN	1122	fb6c47a2	cfg	extended
G00463XD	3717	aafdd568	cfg	extended
G00467QU	2707	db8cd24f	cfg	extended
G00468KU	2973	aa10176b	cfg	extended
G00468NI	2114	32840768	cfg	extended
G00469BS	1826	ba9e74b6	cfg	extended
G00470UO	3847	28d4cb5b	cfg	extended
G00480KJ	3964	629ecdbb	cfg	extended
G00482HJ	1615	bb68b492	cfg	extended
G00483IX	1439	f8dbfaaa	cfg	extended
G00487XO	4155	fff494e9	cfg	extended
G00488OU	5109	0e0e0c98	cfg	extended
G00492CQ	2229	1decddbe	cfg	extended
G00503EE	4465	b8598cc0	cfg	extended
G00504PK	4915	77e0448e	cfg	extended
G00504PZ	3356	00bfff72	cfg	extended
G00510MX	1835	0fd78bad	cfg	extended
G00511LE	3100	76128c96	cfg	extended
G00514XC	6857	26f9a5bb	cfg	extended
G00520NI	4203	32d872ea	cfg	extended
G00523PT	1429	42ffda85	cfg	extended
G00523YW	6355	a7924524	cfg	extended
G00527ZE	1448	6ac9ccf6	cfg	extended
G00531DC	1935	b81fe7e2	cfg	extended
G00531ZU	4203	7daf2457	cfg	extended
G00536FZ	4439	f75eb862	cfg	extended
G00542QA	2250	b8db4227	cfg	extended
G00544JF	2680	69e9805d	cfg	extended
G00545NQ	4110	baab98f5	cfg	extended
G00547ZN	1257	e7450df4	cfg	extended
G00551JZ	4399	a1aee837	cfg	extended
G00553AN	4448	9a4e5242	cfg	extended
G00557UC	1357	1ab04eaa	cfg	extended
G00558IW	1531	c8e71199	cfg	extended
G00560KG	3295	8ba89a2a	cfg	extended
G00565QJ	2848	a75e6b97	cfg	extended
G00568LN	650	35f80ccd	cfg	extended
G00582VL	3656	399f7273	cfg	extended
G00586TU	3538	250d4426	cfg	extended
