GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G04576KS	317	GlyConnectStructure
G04608YG	1420	GlyConnectStructure
G04670NE	2971	GlyConnectStructure
G04670NE	3173	GlyConnectStructure
G04672QB	305	GlyConnectComposition
G04672QB	305	GlyConnectComposition
G04689DA	88	GlyConnectStructure
G04715AF	1770	GlyConnectStructure
G04744XB	2119	GlyConnectStructure
G04764ON	352	GlyConnectStructure
G04765GH	692	GlyConnectStructure
G04791QM	938	GlyConnectStructure
G04795RQ	960	GlyConnectComposition
G04795RQ	960	GlyConnectComposition
G04823YN	1623	GlyConnectStructure
G04836KE	1885	GlyConnectStructure
G04842IW	1502	GlyConnectStructure
G04908IA	2773	GlyConnectStructure
G04909DG	1344	GlyConnectStructure
G04917SF	667	GlyConnectStructure
G04920ZE	2460	GlyConnectStructure
G04959WS	1855	GlyConnectStructure
G04976EC	680	GlyConnectStructure
G05140WY	2483	GlyConnectStructure
G05187WH	2734	GlyConnectStructure
G05229BF	711	GlyConnectStructure
G05241IE	51	GlyConnectStructure
G05260RH	753	GlyConnectStructure
G05279MG	1848	GlyConnectStructure
G05307LM	2532	GlyConnectStructure
G05331JD	3177	GlyConnectStructure
G05374TU	2688	GlyConnectStructure
G05380VG	2841	GlyConnectStructure
G05421OW	2047	GlyConnectStructure
G05610JO	248	GlyConnectStructure
G05620VJ	761	GlyConnectStructure
G05724UK	695	GlyConnectComposition
G05724UK	695	GlyConnectComposition
G05746XD	1953	GlyConnectStructure
G05746XD	7086	GlyConnectStructure
G05751AZ	5	GlyConnectStructure
G05808PZ	3192	GlyConnectStructure
G05811XG	1452	GlyConnectStructure
G05813WO	200	GlyConnectComposition
G05813WO	200	GlyConnectComposition
G05817PZ	1807	GlyConnectStructure
G05837QA	2157	GlyConnectStructure
G05848DX	3155	GlyConnectStructure
G05897GU	569	GlyConnectComposition
G05950HG	3093	GlyConnectStructure
G06010PM	1032	GlyConnectComposition
G06010PM	1032	GlyConnectComposition
G06022DR	476	GlyConnectStructure
G06038KF	2683	GlyConnectStructure
G06069CG	3363	GlyConnectStructure
G06069CG	3645	GlyConnectStructure
G06078SG	1098	GlyConnectStructure
G06100EH	538	GlyConnectStructure
G06110VR	11	GlyConnectComposition
G06110VR	11	GlyConnectComposition
G06116KH	2891	GlyConnectStructure
G06206UV	2768	GlyConnectStructure
G06209KS	2355	GlyConnectStructure
G06210XB	3313	GlyConnectStructure
G06216UH	792	GlyConnectStructure
G06279ZC	1354	GlyConnectStructure
G06285KB	2529	GlyConnectStructure
G06290IR	354	GlyConnectComposition
G06290IR	354	GlyConnectComposition
G06317RG	3022	GlyConnectStructure
G06330RB	45	GlyConnectComposition
G06330RB	45	GlyConnectComposition
G06356OH	393	GlyConnectComposition
G06356OH	393	GlyConnectComposition
G06392KM	1556	GlyConnectStructure
G06460LD	2963	GlyConnectStructure
G06557IC	1763	GlyConnectStructure
G06616KY	3569	GlyConnectStructure
G06656BE	2426	GlyConnectStructure
G06816RN	512	GlyConnectComposition
G06830JN	372	GlyConnectStructure
G06885ZB	3252	GlyConnectStructure
G06906LK	1088	GlyConnectComposition
G06906LK	1088	GlyConnectComposition
G06928XT	147	GlyConnectStructure
G06953DR	40	GlyConnectStructure
G07015TW	1412	GlyConnectStructure
G07041CT	1319	GlyConnectStructure
G07075ND	471	GlyConnectComposition
G07075ND	471	GlyConnectComposition
G07097VH	2803	GlyConnectStructure
G07133YY	136	GlyConnectComposition
G07162IJ	2283	GlyConnectStructure
G07191NE	2821	GlyConnectStructure
G07262RR	86	GlyConnectStructure
G07301IS	1684	GlyConnectStructure
G07337US	2868	GlyConnectStructure
G07392QY	269	GlyConnectStructure
G07410AW	2622	GlyConnectStructure
G07443RM	2535	GlyConnectStructure
G07483YN	678	GlyConnectStructure
G07508HQ	1793	GlyConnectStructure
G07558YH	391	GlyConnectComposition
G07575HR	3581	GlyConnectStructure
G07617FP	1964	GlyConnectStructure
G07641WS	431	GlyConnectStructure
G07646UD	1841	GlyConnectStructure
G07668UR	355	GlyConnectStructure
G07677VL	3511	GlyConnectStructure
G07692KY	442	GlyConnectStructure
G07695ZT	1811	GlyConnectStructure
G07767MC	57	GlyConnectStructure
G07802IC	2183	GlyConnectStructure
G07810SB	848	GlyConnectStructure
G07869UA	1634	GlyConnectStructure
G07920XA	3599	GlyConnectStructure
G07932PU	55	GlyConnectStructure
G07947TY	636	GlyConnectStructure
G07988QE	2792	GlyConnectStructure
G07995VK	2041	GlyConnectStructure
G08062CY	2204	GlyConnectStructure
G08076GP	1381	GlyConnectStructure
G08110WX	368	GlyConnectComposition
G08110WX	368	GlyConnectComposition
G08131WI	1307	GlyConnectStructure
G08146BT	1519	GlyConnectStructure
G08158TI	473	GlyConnectComposition
G08190JB	2987	GlyConnectStructure
G08242BT	3365	GlyConnectStructure
G08340FW	1363	GlyConnectStructure
G08371VN	2941	GlyConnectStructure
G08431YY	933	GlyConnectStructure
G08439GP	1782	GlyConnectStructure
G08463CD	2367	GlyConnectStructure
G08486KQ	408	GlyConnectComposition
G08486KQ	408	GlyConnectComposition
