GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G19397EJ	3301	GlyConnectStructure
G19399OS	701	GlyConnectComposition
G19444JC	2618	GlyConnectStructure
G19469VZ	870	GlyConnectStructure
G19490DN	1957	GlyConnectStructure
G19499ZH	186	GlyConnectStructure
G19521BV	1925	GlyConnectStructure
G19568JE	1723	GlyConnectStructure
G19588HA	1750	GlyConnectStructure
G19603RR	474	GlyConnectComposition
G19603RR	474	GlyConnectComposition
G19615BB	2029	GlyConnectStructure
G19652EM	3545	GlyConnectStructure
G19687OL	1051	GlyConnectStructure
G19726AG	916	GlyConnectStructure
G19749DC	3228	GlyConnectStructure
G19811YA	2418	GlyConnectStructure
G19813SH	3605	GlyConnectStructure
G19840AF	2399	GlyConnectStructure
G19914RN	2372	GlyConnectStructure
G19958IL	2784	GlyConnectStructure
G19972YZ	580	GlyConnectComposition
G19972YZ	580	GlyConnectComposition
G19993OB	1044	GlyConnectComposition
G19993OB	1044	GlyConnectComposition
G20014JD	661	GlyConnectComposition
G20014JD	661	GlyConnectComposition
G20030CU	944	GlyConnectStructure
G20059NZ	1798	GlyConnectStructure
G20113TH	157	GlyConnectStructure
G20165PS	1709	GlyConnectStructure
G20170YB	1153	GlyConnectStructure
G20170YB	2215	GlyConnectStructure
G20210JR	989	GlyConnectComposition
G20210JR	989	GlyConnectComposition
G20218ZS	1557	GlyConnectStructure
G20248TO	3061	GlyConnectStructure
G20305DX	1349	GlyConnectStructure
G20312EM	18	GlyConnectComposition
G20312EM	18	GlyConnectComposition
G20352YV	2946	GlyConnectStructure
G20352YV	3563	GlyConnectStructure
G20367UY	758	GlyConnectStructure
G20425TQ	240	GlyConnectComposition
G20425TQ	240	GlyConnectComposition
G20482JP	3564	GlyConnectStructure
G20512LK	2288	GlyConnectStructure
G20577LS	703	GlyConnectComposition
G20577LS	703	GlyConnectComposition
G20593DD	460	GlyConnectComposition
G20593DD	460	GlyConnectComposition
G20631AT	942	GlyConnectComposition
G20631AT	942	GlyConnectComposition
G20697MN	1086	GlyConnectStructure
G20713UI	1522	GlyConnectStructure
G20732FY	723	GlyConnectComposition
G20732FY	723	GlyConnectComposition
G20749KW	1685	GlyConnectStructure
G20751GZ	3271	GlyConnectStructure
G20757EV	1032	GlyConnectStructure
G20767LB	107	GlyConnectStructure
G20779SK	2800	GlyConnectStructure
G20815TK	781	GlyConnectStructure
G20883QG	1177	GlyConnectStructure
G20956ZK	3134	GlyConnectStructure
G20966IA	2282	GlyConnectStructure
G20966TZ	1170	GlyConnectStructure
G21001NA	474	GlyConnectStructure
G21050RT	1069	GlyConnectStructure
G21066IE	3001	GlyConnectStructure
G21070BH	1077	GlyConnectComposition
G21070BH	1077	GlyConnectComposition
G21071II	2715	GlyConnectStructure
G21112KH	2330	GlyConnectStructure
G21153FA	188	GlyConnectComposition
G21153FA	188	GlyConnectComposition
G21196UL	1087	GlyConnectStructure
G21196UL	6688	GlyConnectStructure
G21200QC	340	GlyConnectStructure
G21290RB	54	GlyConnectStructure
G21297DP	2833	GlyConnectStructure
G21311YA	1248	GlyConnectStructure
G21311YA	1709	GlyConnectStructure
G21385AQ	2526	GlyConnectStructure
G21411GO	3100	GlyConnectStructure
G21412CQ	851	GlyConnectStructure
G21415RL	2021	GlyConnectStructure
G21469TE	570	GlyConnectStructure
G21507RO	1955	GlyConnectStructure
G21561XX	294	GlyConnectStructure
G21643DJ	325	GlyConnectComposition
G21643DJ	325	GlyConnectComposition
G21672LC	521	GlyConnectStructure
G21672MV	3217	GlyConnectStructure
G21672MV	961	GlyConnectStructure
G21679ID	1318	GlyConnectStructure
G21696DT	3552	GlyConnectStructure
G21737WY	1658	GlyConnectStructure
G21737WY	6079	GlyConnectStructure
G21793RV	2486	GlyConnectStructure
G21823MR	3359	GlyConnectStructure
G21823MR	3600	GlyConnectStructure
G21845NG	1190	GlyConnectStructure
G21928TI	1628	GlyConnectStructure
G22040QI	594	GlyConnectComposition
G22040QI	594	GlyConnectComposition
G22140GZ	3471	GlyConnectStructure
G22208HN	2575	GlyConnectStructure
G22222BH	2042	GlyConnectStructure
G22274VA	968	GlyConnectComposition
G22274VA	968	GlyConnectComposition
G22276PO	971	GlyConnectComposition
G22276PO	971	GlyConnectComposition
G22310AV	448	GlyConnectComposition
G22310AV	448	GlyConnectComposition
G22340YC	3495	GlyConnectStructure
G22354SF	1212	GlyConnectStructure
G22355FZ	167	GlyConnectComposition
G22388FD	2786	GlyConnectStructure
G22420ZP	1494	GlyConnectStructure
G22420ZP	5830	GlyConnectStructure
G22516UQ	3595	GlyConnectStructure
G22537YO	3422	GlyConnectStructure
G22546XD	148	GlyConnectStructure
G22573RC	2007	GlyConnectStructure
G22625SJ	453	GlyConnectComposition
G22625SJ	453	GlyConnectComposition
G22626SX	887	GlyConnectStructure
G22632KM	1764	GlyConnectStructure
G22674CI	3071	GlyConnectStructure
G22687XW	819	GlyConnectStructure
G22721QX	2387	GlyConnectStructure
G22768VO	11	GlyConnectStructure
G22769FQ	939	GlyConnectComposition
G22769FQ	939	GlyConnectComposition
G22826KU	3016	GlyConnectStructure
G22851QT	2965	GlyConnectStructure
G22852AR	2179	GlyConnectStructure
G22898PA	1156	GlyConnectStructure
G22945AN	3140	GlyConnectStructure
G22981GY	3046	GlyConnectStructure
G23010ZW	1022	GlyConnectComposition
G23010ZW	1022	GlyConnectComposition
G23021IW	2604	GlyConnectStructure
G23066SI	2970	GlyConnectStructure
G23087XI	872	GlyConnectStructure
G23092XT	100	GlyConnectComposition
G23092XT	100	GlyConnectComposition
G23094JF	394	GlyConnectStructure
G23109YO	2959	GlyConnectStructure
G23119MJ	2284	GlyConnectStructure
G23133OF	1050	GlyConnectComposition
G23133OF	1050	GlyConnectComposition
G23154TX	3013	GlyConnectStructure
G23165GD	1008	GlyConnectComposition
G23165GD	1008	GlyConnectComposition
G23193CN	82	GlyConnectStructure
G23221TW	1000	GlyConnectComposition
G23221TW	1000	GlyConnectComposition
G23294PN	89	GlyConnectComposition
G23294PN	89	GlyConnectComposition
G23295TF	334	GlyConnectStructure
G23305TF	1593	GlyConnectStructure
G23333KI	1099	GlyConnectStructure
G23340ZN	2523	GlyConnectStructure
G23345GE	1463	GlyConnectStructure
G23432EQ	318	GlyConnectComposition
G23432EQ	318	GlyConnectComposition
G23438NR	1872	GlyConnectStructure
G23453IV	452	GlyConnectComposition
G23453IV	452	GlyConnectComposition
G23484GM	1903	GlyConnectStructure
G23494UZ	1845	GlyConnectStructure
G23512SE	1101	GlyConnectStructure
G23546LY	1904	GlyConnectStructure
G23581EK	1980	GlyConnectStructure
G23581QL	78	GlyConnectComposition
G23616ZX	1187	GlyConnectStructure
G23626NI	2611	GlyConnectStructure
G23665FB	592	GlyConnectStructure
G23721DM	81	GlyConnectStructure
G23739FM	1611	GlyConnectStructure
G23755RZ	681	GlyConnectStructure
G23799GS	354	GlyConnectStructure
G23811SR	1067	GlyConnectComposition
G23811SR	1067	GlyConnectComposition
G23824AT	3297	GlyConnectStructure
G23863VK	205	GlyConnectComposition
G23863VK	205	GlyConnectComposition
G23869AA	841	GlyConnectComposition
G23869AA	841	GlyConnectComposition
G23870PO	3037	GlyConnectStructure
G23901NY	3357	GlyConnectStructure
G23927CE	1537	GlyConnectStructure
G23975EE	530	GlyConnectStructure
G23984SE	990	GlyConnectComposition
G23984SE	990	GlyConnectComposition
G23990GP	952	GlyConnectStructure
G24068UY	1732	GlyConnectStructure
G24084IV	986	GlyConnectComposition
G24084IV	986	GlyConnectComposition
G24164CX	967	GlyConnectComposition
G24164CX	967	GlyConnectComposition
G24191XX	2113	GlyConnectStructure
G24191XX	2430	GlyConnectStructure
G24202BK	2962	GlyConnectStructure
G24271GS	227	GlyConnectComposition
G24271GS	227	GlyConnectComposition
G24293BT	3270	GlyConnectStructure
G24363HJ	3219	GlyConnectStructure
G24366RG	3240	GlyConnectStructure
G24371IA	1805	GlyConnectStructure
G24413UY	424	GlyConnectStructure
G24432GW	3091	GlyConnectStructure
G24440EI	1975	GlyConnectStructure
G24464VD	2044	GlyConnectStructure
G24485FS	2361	GlyConnectStructure
G24501HF	1225	GlyConnectStructure
G24511TX	2846	GlyConnectStructure
G24529NQ	921	GlyConnectStructure
G24600RJ	1722	GlyConnectStructure
G24637VC	2736	GlyConnectStructure
G24672GO	2978	GlyConnectStructure
G24691QN	1565	GlyConnectStructure
G24693UW	129	GlyConnectStructure
G24748QU	1857	GlyConnectStructure
G24769QK	914	GlyConnectStructure
G24830VD	2947	GlyConnectStructure
G24835MQ	170	GlyConnectComposition
G24835MQ	170	GlyConnectComposition
G24859TW	257	GlyConnectComposition
G24859TW	257	GlyConnectComposition
G24946XU	3171	GlyConnectStructure
G24954UD	125	GlyConnectComposition
G24954UD	125	GlyConnectComposition
G24970IL	3175	GlyConnectStructure
G24987TS	338	GlyConnectStructure
G25127JU	931	GlyConnectStructure
G25140TA	320	GlyConnectStructure
G25233TU	1343	GlyConnectStructure
G25278BX	337	GlyConnectComposition
G25278BX	337	GlyConnectComposition
G25297CU	3343	GlyConnectStructure
G25323VU	101	GlyConnectStructure
G25340RJ	924	GlyConnectStructure
G25350TT	361	GlyConnectStructure
G25363YF	429	GlyConnectStructure
G25379SA	300	GlyConnectComposition
G25379SA	300	GlyConnectComposition
G25381UC	1208	GlyConnectStructure
G25392ZR	3540	GlyConnectStructure
G25407RZ	175	GlyConnectStructure
G25413GH	1631	GlyConnectStructure
G25416CE	505	GlyConnectStructure
G25418HZ	433	GlyConnectComposition
G25418HZ	433	GlyConnectComposition
G25426PD	2357	GlyConnectStructure
G25432CN	2313	GlyConnectStructure
G25451PN	110	GlyConnectComposition
G25451PN	110	GlyConnectComposition
G25459WN	699	GlyConnectStructure
G25481DT	143	GlyConnectStructure
G25520XG	2933	GlyConnectStructure
G25538MM	200	GlyConnectStructure
G25541YH	1084	GlyConnectComposition
G25541YH	1084	GlyConnectComposition
G25559RS	2470	GlyConnectStructure
G25559RS	3277	GlyConnectStructure
G25577BM	3170	GlyConnectStructure
G25637MV	773	GlyConnectComposition
G25637MV	773	GlyConnectComposition
G25713RA	3315	GlyConnectStructure
G25764DO	2928	GlyConnectStructure
G25778VW	863	GlyConnectStructure
G25780HH	1214	GlyConnectStructure
G25835MT	2050	GlyConnectStructure
G25837HW	982	GlyConnectStructure
G25865TC	1427	GlyConnectStructure
G25955UH	158	GlyConnectStructure
G25965IE	245	GlyConnectStructure
G26034OB	2924	GlyConnectStructure
G26076FX	2548	GlyConnectStructure
G26080SE	10	GlyConnectStructure
G26101XB	488	GlyConnectComposition
G26101XB	488	GlyConnectComposition
G26142HL	1262	GlyConnectStructure
G26145IL	1311	GlyConnectStructure
G26166QH	2684	GlyConnectStructure
G26177RQ	527	GlyConnectStructure
G26198JI	1065	GlyConnectComposition
G26198JI	1065	GlyConnectComposition
G26217KL	2937	GlyConnectStructure
G26264SQ	1967	GlyConnectStructure
G26295XE	2112	GlyConnectStructure
G26320VO	2413	GlyConnectStructure
G26325MG	1847	GlyConnectStructure
G26335RK	3114	GlyConnectStructure
G26341TZ	2322	GlyConnectStructure
G26403SG	383	GlyConnectComposition
G26403SG	383	GlyConnectComposition
G26421QW	3266	GlyConnectStructure
G26474XX	1034	GlyConnectStructure
G26493RP	1552	GlyConnectStructure
G26497EU	2341	GlyConnectStructure
G26508HK	1325	GlyConnectStructure
G26596ON	2651	GlyConnectStructure
G26624YG	2601	GlyConnectStructure
G26644DW	675	GlyConnectStructure
G26684GN	316	GlyConnectStructure
G26690QG	1025	GlyConnectStructure
G26700PN	2339	GlyConnectStructure
G26700PN	4467	GlyConnectStructure
G26724PP	3436	GlyConnectStructure
G26759AS	438	GlyConnectComposition
G26759AS	438	GlyConnectComposition
G26775OX	831	GlyConnectStructure
G26777KI	580	GlyConnectStructure
G26777RD	2035	GlyConnectStructure
G26798CI	2569	GlyConnectStructure
G26798CI	3259	GlyConnectStructure
G26864OJ	73	GlyConnectComposition
G26864OJ	73	GlyConnectComposition
G26915XM	624	GlyConnectComposition
G26915XM	624	GlyConnectComposition
G26935KA	3327	GlyConnectStructure
G26949IX	2976	GlyConnectStructure
G27030ZC	892	GlyConnectStructure
G27102CT	2034	GlyConnectStructure
G27122CE	3567	GlyConnectStructure
G27165KO	2562	GlyConnectStructure
G27171ZS	2058	GlyConnectStructure
G27188NC	2231	GlyConnectStructure
G27188NC	3179	GlyConnectStructure
G27223CU	1784	GlyConnectStructure
G27248RA	1169	GlyConnectStructure
G27281KS	277	GlyConnectStructure
G27290LL	618	GlyConnectStructure
G27293OK	1028	GlyConnectStructure
G27322BI	1058	GlyConnectComposition
G27322BI	1058	GlyConnectComposition
G27345TX	3408	GlyConnectStructure
G27383GK	2331	GlyConnectStructure
G27389SR	2099	GlyConnectStructure
G27440CC	2302	GlyConnectStructure
G27456PF	2603	GlyConnectStructure
G27499KV	2685	GlyConnectStructure
G27516OE	397	GlyConnectComposition
G27516OE	397	GlyConnectComposition
G27523II	3089	GlyConnectStructure
G27526RV	373	GlyConnectStructure
G27561QX	2469	GlyConnectStructure
G27562KD	3387	GlyConnectStructure
G27608TI	446	GlyConnectStructure
G27696FL	863	GlyConnectComposition
G27696FL	863	GlyConnectComposition
G27716UU	2696	GlyConnectStructure
G27719XP	2740	GlyConnectStructure
G27726WH	2991	GlyConnectStructure
G27776PG	64	GlyConnectStructure
G27844UM	1075	GlyConnectStructure
G27893KR	3524	GlyConnectStructure
G27919IH	2198	GlyConnectStructure
G27945LI	51	GlyConnectComposition
G27967WE	1620	GlyConnectStructure
G27996AZ	60	GlyConnectStructure
G28052FT	1740	GlyConnectStructure
G28106CM	10787	GlyConnectStructure
G28116PK	2850	GlyConnectStructure
G28120QK	3682	GlyConnectStructure
G28135GF	1063	GlyConnectComposition
G28135GF	1063	GlyConnectComposition
G28156XV	1950	GlyConnectStructure
G28161SK	2237	GlyConnectStructure
G28209TJ	20	GlyConnectComposition
G28209TJ	20	GlyConnectComposition
G28233ME	3484	GlyConnectStructure
G28347RJ	1425	GlyConnectStructure
G28384MU	3227	GlyConnectStructure
G28439XZ	713	GlyConnectStructure
G28550OD	1704	GlyConnectStructure
G28615QI	889	GlyConnectStructure
G28651UO	1880	GlyConnectStructure
G28663KH	75	GlyConnectStructure
G28677QR	1263	GlyConnectStructure
G28723UT	114	GlyConnectStructure
G28747XN	2244	GlyConnectStructure
G28754WB	756	GlyConnectStructure
G28839WC	1359	GlyConnectStructure
G28847IN	463	GlyConnectComposition
G28847IN	463	GlyConnectComposition
G28877HV	646	GlyConnectStructure
G28916LJ	60	GlyConnectComposition
G28916LJ	60	GlyConnectComposition
G28948UC	2776	GlyConnectStructure
G28949EK	1887	GlyConnectStructure
G28975ZZ	333	GlyConnectComposition
G28975ZZ	333	GlyConnectComposition
G29011JC	2524	GlyConnectStructure
G29025YS	3611	GlyConnectStructure
G29039FY	652	GlyConnectStructure
G29056SI	988	GlyConnectStructure
G29097SS	3623	GlyConnectStructure
G29130SY	386	GlyConnectStructure
G29166US	2420	GlyConnectStructure
G29166US	588	GlyConnectStructure
G29214BB	1771	GlyConnectStructure
G29228MX	3279	GlyConnectStructure
G29230PI	67	GlyConnectStructure
G29231AT	266	GlyConnectStructure
G29290EB	115	GlyConnectStructure
G29301NP	2277	GlyConnectStructure
G29377XJ	451	GlyConnectStructure
G29393FW	3522	GlyConnectStructure
G29418HB	2668	GlyConnectStructure
G29434SO	1916	GlyConnectStructure
G29449JO	1371	GlyConnectStructure
G29483LI	976	GlyConnectStructure
G29500SJ	1479	GlyConnectStructure
G29501UT	352	GlyConnectComposition
G29501UT	352	GlyConnectComposition
G29511JR	998	GlyConnectComposition
G29511JR	998	GlyConnectComposition
G29524AT	936	GlyConnectStructure
G29568VE	2363	GlyConnectStructure
G29580VZ	640	GlyConnectStructure
G29587NV	1383	GlyConnectStructure
G29644TC	2832	GlyConnectStructure
G29676WX	66	GlyConnectStructure
G29857RC	3539	GlyConnectStructure
G29880MM	713	GlyConnectComposition
G29880MM	713	GlyConnectComposition
G29905OR	1695	GlyConnectStructure
G29931IJ	221	GlyConnectComposition
G29940LU	295	GlyConnectStructure
G29966LR	2682	GlyConnectStructure
G29972TM	282	GlyConnectComposition
G29972TM	282	GlyConnectComposition
G30159WR	3465	GlyConnectStructure
G30208WJ	825	GlyConnectComposition
G30230ON	522	GlyConnectComposition
G30268KJ	3004	GlyConnectStructure
G30293NE	1646	GlyConnectStructure
G30296PK	730	GlyConnectStructure
G30302VM	731	GlyConnectStructure
G30304IT	2406	GlyConnectStructure
G30392XP	2098	GlyConnectStructure
G30434OH	930	GlyConnectStructure
G30443NG	1184	GlyConnectStructure
G30443WG	2974	GlyConnectStructure
G30460NZ	1148	GlyConnectStructure
G30505TQ	1661	GlyConnectStructure
G30514JJ	62	GlyConnectStructure
G30633FJ	3655	GlyConnectStructure
G30704AF	3583	GlyConnectStructure
G30729YJ	22	GlyConnectStructure
G30743QX	2251	GlyConnectStructure
G30751OD	1036	GlyConnectComposition
G30751OD	1036	GlyConnectComposition
G30769VJ	539	GlyConnectComposition
G30769VJ	539	GlyConnectComposition
G30799SW	1059	GlyConnectComposition
G30799SW	1059	GlyConnectComposition
G30816RB	1174	GlyConnectStructure
G30853DH	235	GlyConnectStructure
G30871VQ	2550	GlyConnectStructure
G30901GC	1384	GlyConnectStructure
G30933VG	1285	GlyConnectStructure
G30969JI	1788	GlyConnectStructure
G30975WS	411	GlyConnectStructure
G31010RQ	260	GlyConnectStructure
G31110RD	2163	GlyConnectStructure
G31119YY	2601	GlyConnectStructure
G31119YY	484	GlyConnectStructure
G31189KC	2117	GlyConnectStructure
G31242TK	3382	GlyConnectStructure
G31294RU	1026	GlyConnectStructure
G31317XB	2973	GlyConnectStructure
G31317XB	615	GlyConnectStructure
G31335UO	1370	GlyConnectStructure
G31380TD	2653	GlyConnectStructure
G31393GR	3224	GlyConnectStructure
G31433PN	1085	GlyConnectComposition
G31433PN	1085	GlyConnectComposition
G31457FJ	397	GlyConnectStructure
G31532GK	1314	GlyConnectStructure
G31544HA	486	GlyConnectComposition
G31544HA	486	GlyConnectComposition
G31596VW	675	GlyConnectComposition
G31596VW	675	GlyConnectComposition
G31615DN	946	GlyConnectComposition
G31615DN	946	GlyConnectComposition
G31639NG	191	GlyConnectStructure
G31665QC	964	GlyConnectComposition
G31665QC	964	GlyConnectComposition
G31670BC	842	GlyConnectStructure
G31685JQ	334	GlyConnectComposition
G31747RS	268	GlyConnectStructure
G31774SW	1168	GlyConnectStructure
G31787HV	1511	GlyConnectStructure
G31838XA	956	GlyConnectStructure
G31849TV	100	GlyConnectStructure
G31894KJ	1553	GlyConnectStructure
G31916IQ	547	GlyConnectComposition
G31916IQ	547	GlyConnectComposition
G31936TA	749	GlyConnectComposition
G31936TA	749	GlyConnectComposition
G31966KA	529	GlyConnectComposition
G31966KA	529	GlyConnectComposition
G31973KL	641	GlyConnectComposition
G31973KL	641	GlyConnectComposition
G31991IV	3448	GlyConnectStructure
G32072NY	1822	GlyConnectStructure
G32104JU	2812	GlyConnectStructure
G32149KV	1610	GlyConnectStructure
G32152BH	3668	GlyConnectStructure
G32156ZV	3412	GlyConnectStructure
G32190EA	607	GlyConnectStructure
G32250QD	3547	GlyConnectStructure
G32259BI	735	GlyConnectComposition
G32259BI	735	GlyConnectComposition
G32305RZ	1952	GlyConnectStructure
G32332VU	716	GlyConnectComposition
G32332VU	716	GlyConnectComposition
G32381ON	26	GlyConnectStructure
G32405GG	1711	GlyConnectStructure
G32426JY	1113	GlyConnectStructure
G32510SF	3102	GlyConnectStructure
G32550BI	495	GlyConnectComposition
G32551IQ	907	GlyConnectStructure
G32590UP	2766	GlyConnectStructure
G32611KT	1604	GlyConnectStructure
G32648IV	2592	GlyConnectStructure
G32652KI	1120	GlyConnectStructure
G32659RY	226	GlyConnectStructure
G32660RB	1910	GlyConnectStructure
G32673DL	293	GlyConnectComposition
G32673DL	293	GlyConnectComposition
G32685CP	1284	GlyConnectStructure
G32704TW	479	GlyConnectStructure
G32711PR	74	GlyConnectStructure
G32715TG	2845	GlyConnectStructure
G32723SL	343	GlyConnectStructure
G32791GB	2478	GlyConnectStructure
G32854GF	1002	GlyConnectStructure
G32883QH	1906	GlyConnectStructure
G32898UF	2381	GlyConnectStructure
G32910OR	2455	GlyConnectStructure
G32948PW	1366	GlyConnectStructure
G33101WA	3499	GlyConnectStructure
G33138MM	3184	GlyConnectStructure
G33230CR	2672	GlyConnectStructure
G33241WC	715	GlyConnectStructure
G33262YZ	2463	GlyConnectStructure
G33264BF	1729	GlyConnectStructure
G33279YE	920	GlyConnectStructure
G33282QL	855	GlyConnectComposition
G33282QL	855	GlyConnectComposition
G33284WZ	3160	GlyConnectStructure
G33350BW	2449	GlyConnectStructure
G33350UC	1677	GlyConnectStructure
G33418YX	2952	GlyConnectStructure
G33508VK	2969	GlyConnectStructure
G33567AB	203	GlyConnectComposition
G33567AB	203	GlyConnectComposition
G33608TH	2541	GlyConnectStructure
G33609NS	506	GlyConnectComposition
G33609NS	506	GlyConnectComposition
G33627YQ	2394	GlyConnectStructure
G33671BL	2389	GlyConnectStructure
G33734YD	610	GlyConnectStructure
G33758XE	2830	GlyConnectStructure
G33780DA	432	GlyConnectStructure
G33791AF	731	GlyConnectComposition
G33791AF	731	GlyConnectComposition
G33802UM	3205	GlyConnectStructure
G33860PM	1928	GlyConnectStructure
G33876UV	173	GlyConnectStructure
G33894ZI	2825	GlyConnectStructure
G33947BV	1999	GlyConnectStructure
G34100DU	358	GlyConnectStructure
G34105RF	973	GlyConnectComposition
G34105RF	973	GlyConnectComposition
G34158QP	981	GlyConnectStructure
G34168KI	2918	GlyConnectStructure
G34381JF	53	GlyConnectStructure
G34423JR	518	GlyConnectComposition
G34423JR	518	GlyConnectComposition
G34442SS	2767	GlyConnectStructure
G34449FW	1810	GlyConnectStructure
G34499SX	1405	GlyConnectStructure
G34527RW	135	GlyConnectStructure
G34558ED	152	GlyConnectComposition
G34558ED	152	GlyConnectComposition
G34567KI	1725	GlyConnectStructure
G34617SM	567	GlyConnectComposition
G34617SM	567	GlyConnectComposition
G34634NL	2949	GlyConnectStructure
G34723UV	52	GlyConnectStructure
G34725PD	721	GlyConnectStructure
G34730YF	331	GlyConnectComposition
G34751ZZ	1777	GlyConnectStructure
G34764BK	1447	GlyConnectStructure
G34824ZD	760	GlyConnectStructure
G34838RM	10754	GlyConnectStructure
G34861PV	1112	GlyConnectStructure
G34877SN	236	GlyConnectStructure
G34914SZ	445	GlyConnectStructure
G34985XL	1902	GlyConnectStructure
G35048ZM	1158	GlyConnectStructure
G35107SO	149	GlyConnectComposition
G35107SO	149	GlyConnectComposition
G35127VU	7	GlyConnectStructure
G35226HQ	990	GlyConnectStructure
G35231LE	979	GlyConnectStructure
G35291GU	56	GlyConnectStructure
G35294LF	256	GlyConnectComposition
G35294LF	256	GlyConnectComposition
G35305EF	435	GlyConnectComposition
G35305EF	435	GlyConnectComposition
G35324SL	1245	GlyConnectStructure
G35364KM	1852	GlyConnectStructure
G35435HL	3048	GlyConnectStructure
G35437KG	2101	GlyConnectStructure
G35479XP	2268	GlyConnectStructure
G35479XP	6593	GlyConnectStructure
G35562PU	286	GlyConnectStructure
G35577EK	2136	GlyConnectStructure
G35599NO	76	GlyConnectStructure
G35609TJ	627	GlyConnectStructure
G35619UY	2695	GlyConnectStructure
G35655SC	3578	GlyConnectStructure
G35697OJ	1056	GlyConnectComposition
G35697OJ	1056	GlyConnectComposition
G35761ND	3654	GlyConnectStructure
G35787ED	3505	GlyConnectStructure
G35808UX	1978	GlyConnectStructure
G35896AC	2360	GlyConnectStructure
G35947YD	447	GlyConnectStructure
G35975NI	2700	GlyConnectStructure
G35994TW	238	GlyConnectComposition
G35994TW	238	GlyConnectComposition
G36004BS	5388	GlyConnectStructure
G36004BS	972	GlyConnectStructure
G36013ES	1029	GlyConnectComposition
G36013ES	1029	GlyConnectComposition
G36047BO	3555	GlyConnectStructure
G36108GD	368	GlyConnectStructure
G36123IU	1682	GlyConnectStructure
G36131WL	644	GlyConnectStructure
G36134VO	3345	GlyConnectStructure
G36157OV	1891	GlyConnectStructure
G36159AI	1198	GlyConnectStructure
G36171DC	2216	GlyConnectStructure
G36172JR	3199	GlyConnectStructure
G36191CD	3233	GlyConnectStructure
G36221RT	3338	GlyConnectStructure
G36223VW	2229	GlyConnectStructure
G36258ZR	2980	GlyConnectStructure
G36324QX	1321	GlyConnectStructure
G36436SB	2721	GlyConnectStructure
G36447PT	401	GlyConnectComposition
G36447PT	401	GlyConnectComposition
G36502OW	540	GlyConnectStructure
G36519NW	3056	GlyConnectStructure
G36523TZ	2423	GlyConnectStructure
G36534NK	2457	GlyConnectStructure
G36581MF	1754	GlyConnectStructure
G36581PT	864	GlyConnectStructure
G36591UL	969	GlyConnectComposition
G36591UL	969	GlyConnectComposition
G36598FV	1094	GlyConnectStructure
G36701GV	3525	GlyConnectStructure
G36772MC	1570	GlyConnectStructure
G36836GD	1963	GlyConnectStructure
G36855WW	624	GlyConnectStructure
G36995QY	137	GlyConnectStructure
G37020YV	841	GlyConnectStructure
G37022BP	1433	GlyConnectStructure
G37070WM	2236	GlyConnectStructure
G37070WM	3561	GlyConnectStructure
G37135JQ	3265	GlyConnectStructure
G37140SO	3179	GlyConnectStructure
G37166HP	1720	GlyConnectStructure
G37190OA	93	GlyConnectStructure
G37206AU	3044	GlyConnectStructure
G37239FO	2125	GlyConnectStructure
G37246US	322	GlyConnectComposition
G37282LW	3573	GlyConnectStructure
G37284MY	3029	GlyConnectStructure
G37310RN	1269	GlyConnectStructure
G37369XO	3390	GlyConnectStructure
G37381UQ	3560	GlyConnectStructure
G37385TT	1568	GlyConnectStructure
G37476QB	3332	GlyConnectStructure
G37492KF	3076	GlyConnectStructure
G37570AP	554	GlyConnectComposition
G37570AP	554	GlyConnectComposition
G37626XQ	3612	GlyConnectStructure
G37653KL	21	GlyConnectStructure
G37664BH	37	GlyConnectStructure
G37717BK	3604	GlyConnectStructure
G37738XF	1196	GlyConnectStructure
G37773JL	581	GlyConnectComposition
G37773JL	581	GlyConnectComposition
G37834XB	456	GlyConnectComposition
G37862DQ	121	GlyConnectStructure
G37881RL	714	GlyConnectComposition
G37881RL	714	GlyConnectComposition
G37891WT	2087	GlyConnectStructure
G37969WK	1927	GlyConnectStructure
G38022PE	3523	GlyConnectStructure
G38078TR	1209	GlyConnectStructure
G38189CI	1567	GlyConnectStructure
G38238ZW	1361	GlyConnectStructure
G38277AO	1292	GlyConnectStructure
G38316MW	641	GlyConnectStructure
G38316MW	719	GlyConnectStructure
G38349VC	830	GlyConnectStructure
G38351JR	634	GlyConnectStructure
G38395YJ	2701	GlyConnectStructure
G38407UP	3508	GlyConnectStructure
G38462TG	942	GlyConnectStructure
G38466KL	565	GlyConnectStructure
G38466KL	606	GlyConnectStructure
G38468XG	2475	GlyConnectStructure
G38624RV	3393	GlyConnectStructure
G38663NM	994	GlyConnectComposition
G38663NM	994	GlyConnectComposition
G38684VZ	3042	GlyConnectStructure
G38710SX	2501	GlyConnectStructure
G38738YC	2421	GlyConnectStructure
G38756OC	744	GlyConnectStructure
G38776RF	1703	GlyConnectStructure
G38887OA	1252	GlyConnectStructure
G38887TM	1820	GlyConnectStructure
G38979OV	2056	GlyConnectStructure
G38979QD	180	GlyConnectStructure
G39011WZ	2879	GlyConnectStructure
G39018CC	10790	GlyConnectStructure
G39029JR	2289	GlyConnectStructure
G39064KU	835	GlyConnectComposition
G39064KU	835	GlyConnectComposition
G39100MY	1008	GlyConnectStructure
G39111QK	1544	GlyConnectStructure
G39135DL	194	GlyConnectStructure
G39167RG	3521	GlyConnectStructure
