GlyTouCanAccession	GlycoShapeAccession
G63074CQ	G63074CQ
G63166WT	G63166WT
G63213AP	G63213AP
G63308IH	G63308IH
G63334FZ	G63334FZ
G63337SS	G63337SS
G63348GG	G63348GG
G63411NB	G63411NB
G63443GA	G63443GA
G63547QM	G63547QM
G63699VG	G63699VG
G63717BV	G63717BV
G63831UM	G63831UM
G63889NK	G63889NK
G63992GH	G63992GH
G63993FI	G63993FI
G64125DR	G64125DR
G64301WI	G64301WI
G64321PA	G64321PA
G64379UQ	G64379UQ
G64402PV	G64402PV
G64481DJ	G64481DJ
G64489RR	G64489RR
G64491LI	G64491LI
G64506SD	G64506SD
G64527IJ	G64527IJ
G64552UU	G64552UU
G64575OQ	G64575OQ
G64669AQ	G64669AQ
G64749TE	G64749TE
G64751AL	G64751AL
G64823DD	G64823DD
G64844ET	G64844ET
G64851ON	G64851ON
G64857YA	G64857YA
G64973KT	G64973KT
G64981YW	G64981YW
G65020KU	G65020KU
G65156XZ	G65156XZ
G65372SM	G65372SM
G65447JX	G65447JX
G65507RW	G65507RW
G65518IK	G65518IK
G65562ZE	G65562ZE
G65597BI	G65597BI
G65660BL	G65660BL
G65761WK	G65761WK
G65829ZR	G65829ZR
G65832SQ	G65832SQ
G65890UA	G65890UA
G65933SR	G65933SR
G65968DD	G65968DD
G65996GC	G65996GC
G66034LU	G66034LU
G66040YD	G66040YD
G66055IE	G66055IE
G66163TI	G66163TI
G66213AR	G66213AR
G66273AJ	G66273AJ
G66281XG	G66281XG
G66348MF	G66348MF
G66361NS	G66361NS
G66367EU	G66367EU
G66391HI	G66391HI
G66421OE	G66421OE
G66427ZQ	G66427ZQ
G66480HI	G66480HI
G66481II	G66481II
G66505KY	G66505KY
G66539RG	G66539RG
G66544KA	G66544KA
G66677YT	G66677YT
G66788MF	G66788MF
G66797YK	G66797YK
G66861DF	G66861DF
G66916RU	G66916RU
G66937TJ	G66937TJ
G66957HV	G66957HV
G67045LB	G67045LB
G67093GG	G67093GG
G67098LA	G67098LA
G67163FW	G67163FW
G67189MD	G67189MD
G67284GN	G67284GN
G67357EP	G67357EP
G67405DY	G67405DY
G67646HL	G67646HL
G67698UZ	G67698UZ
G67710XV	G67710XV
G67828VR	G67828VR
G67878HD	G67878HD
G67881UE	G67881UE
G67942CH	G67942CH
G68049QL	G68049QL
G68110IF	G68110IF
G68333YB	G68333YB
G68436TJ	G68436TJ
G68442SV	G68442SV
G68515SY	G68515SY
G68544GH	G68544GH
G68588WQ	G68588WQ
G68630PD	G68630PD
G68639CF	G68639CF
G68654BA	G68654BA
G68668TB	G68668TB
G68712OQ	G68712OQ
G68712PL	G68712PL
G68733PD	G68733PD
G68783EM	G68783EM
G68806LA	G68806LA
G68915EJ	G68915EJ
G69052CM	G69052CM
G69125RN	G69125RN
G69158OT	G69158OT
G69377IA	G69377IA
G69461KL	G69461KL
G69538FB	G69538FB
G69991JV	G69991JV
G70000DB	G70000DB
G70059SD	G70059SD
G70071PB	G70071PB
G70188HX	G70188HX
G70379IZ	G70379IZ
G70394MZ	G70394MZ
G70422TE	G70422TE
G70502VR	G70502VR
G70519XK	G70519XK
G70539LS	G70539LS
G70586VP	G70586VP
G70593HA	G70593HA
G70696OG	G70696OG
G70708LW	G70708LW
G70873KK	G70873KK
G70888IU	G70888IU
G70889AX	G70889AX
G71013KY	G71013KY
G71138UO	G71138UO
G71142DF	G71142DF
G71158TZ	G71158TZ
G71185WF	G71185WF
G71222KY	G71222KY
G71252AI	G71252AI
G71252NX	G71252NX
G71270SL	G71270SL
G71272JH	G71272JH
G71286MD	G71286MD
G71304WV	G71304WV
G71400IH	G71400IH
G71405MT	G71405MT
G71485PH	G71485PH
G71503SK	G71503SK
G71549TN	G71549TN
G71613NE	G71613NE
G71688NS	G71688NS
G71695GS	G71695GS
G71813UC	G71813UC
G71814NS	G71814NS
G71865NO	G71865NO
G71956IS	G71956IS
G71969OB	G71969OB
G72008IY	G72008IY
G72064RN	G72064RN
G72079JG	G72079JG
G72103RY	G72103RY
G72138YE	G72138YE
G72264OD	G72264OD
G72446TS	G72446TS
G72529TU	G72529TU
G72618IM	G72618IM
G72718TT	G72718TT
G72761SO	G72761SO
G72764EU	G72764EU
G72974NP	G72974NP
G73077PR	G73077PR
G73197PO	G73197PO
G73209SM	G73209SM
G73271RJ	G73271RJ
G73362DN	G73362DN
G73487JY	G73487JY
G73563MZ	G73563MZ
G73578JC	G73578JC
G73615AX	G73615AX
G73661BM	G73661BM
G73708UL	G73708UL
G73910RN	G73910RN
G73932YR	G73932YR
G73941VE	G73941VE
G73946CG	G73946CG
G74066YL	G74066YL
G74090KZ	G74090KZ
G74107UT	G74107UT
G74121YH	G74121YH
G74161MJ	G74161MJ
G74290DI	G74290DI
G74303MH	G74303MH
G74317LJ	G74317LJ
G74353FF	G74353FF
G74383HC	G74383HC
G74434IR	G74434IR
G74702CZ	G74702CZ
G74767FX	G74767FX
G74837KH	G74837KH
G74840NI	G74840NI
G74864OW	G74864OW
G74907TK	G74907TK
G74975UG	G74975UG
G75027OL	G75027OL
G75032PM	G75032PM
G75101HT	G75101HT
G75113PZ	G75113PZ
G75129FO	G75129FO
G75242ZM	G75242ZM
G75311GD	G75311GD
G75319OX	G75319OX
G75381NI	G75381NI
G75472OU	G75472OU
G75491MF	G75491MF
G75500ME	G75500ME
G75567HL	G75567HL
G75592IR	G75592IR
G75615SU	G75615SU
G75628VJ	G75628VJ
G75689TY	G75689TY
G75694CL	G75694CL
G75789AR	G75789AR
G76001GO	G76001GO
G76247UK	G76247UK
G76317AM	G76317AM
G76323CE	G76323CE
G76325KO	G76325KO
G76355TG	G76355TG
G76429IR	G76429IR
G76456II	G76456II
G76478FT	G76478FT
G76571JT	G76571JT
G76602YC	G76602YC
G76666KS	G76666KS
G76685HR	G76685HR
G76867MC	G76867MC
G76882CO	G76882CO
G76969KY	G76969KY
G76974OT	G76974OT
G76986JJ	G76986JJ
G77019UJ	G77019UJ
G77070UX	G77070UX
G77095CK	G77095CK
G77194JD	G77194JD
G77199IL	G77199IL
G77252PU	G77252PU
G77409CT	G77409CT
G77593JU	G77593JU
G77632HJ	G77632HJ
G77748PL	G77748PL
G77883VQ	G77883VQ
G77937PE	G77937PE
G77938VI	G77938VI
G77945NE	G77945NE
G78059CC	G78059CC
G78074HX	G78074HX
G78174XA	G78174XA
G78249ZM	G78249ZM
G78255XL	G78255XL
G78263DG	G78263DG
G78293EI	G78293EI
G78304GJ	G78304GJ
G78318TC	G78318TC
G78341DP	G78341DP
G78379MQ	G78379MQ
G78431CN	G78431CN
G78482II	G78482II
G78501IM	G78501IM
G78509TX	G78509TX
G78596TZ	G78596TZ
G78693SJ	G78693SJ
G78706CK	G78706CK
G78803YD	G78803YD
G78818SP	G78818SP
G78929WE	G78929WE
G78945LF	G78945LF
G78961SJ	G78961SJ
G79028VB	G79028VB
G79094AA	G79094AA
G79162DD	G79162DD
G79247ZX	G79247ZX
G79301TW	G79301TW
G79333MY	G79333MY
G79389NT	G79389NT
G79477YQ	G79477YQ
G79481UP	G79481UP
G79501FW	G79501FW
G79536OW	G79536OW
G79578JB	G79578JB
G79601MV	G79601MV
G79713BZ	G79713BZ
G79761YD	G79761YD
G79788OF	G79788OF
G79809MM	G79809MM
G79878OX	G79878OX
G80022XC	G80022XC
G80126GC	G80126GC
G80393PG	G80393PG
G80393RT	G80393RT
G80494PJ	G80494PJ
G80552MJ	G80552MJ
G80578OK	G80578OK
G80587NA	G80587NA
G80643JD	G80643JD
G80722US	G80722US
G80749IR	G80749IR
G80753ZP	G80753ZP
G80829RZ	G80829RZ
G80858MF	G80858MF
G80875FK	G80875FK
G80902FY	G80902FY
G80966KZ	G80966KZ
G81016SV	G81016SV
G81253FL	G81253FL
G81497EL	G81497EL
G81516LH	G81516LH
G81686CQ	G81686CQ
G81825YE	G81825YE
G81880UQ	G81880UQ
G81980VO	G81980VO
G81983KG	G81983KG
G82080SP	G82080SP
G82127SW	G82127SW
G82156OL	G82156OL
G82190PW	G82190PW
G82236PZ	G82236PZ
G82260JC	G82260JC
G82348BZ	G82348BZ
G82365EV	G82365EV
G82393KC	G82393KC
G82621OQ	G82621OQ
G82665EP	G82665EP
G82710YP	G82710YP
G82814YC	G82814YC
G82862JX	G82862JX
G82878IM	G82878IM
G82941MZ	G82941MZ
G82942ZJ	G82942ZJ
G83062JW	G83062JW
G83092KI	G83092KI
G83097SH	G83097SH
G83133QG	G83133QG
G83161QT	G83161QT
G83261EH	G83261EH
G83434MW	G83434MW
G83522FM	G83522FM
G83524RP	G83524RP
G83546KK	G83546KK
G83582BK	G83582BK
G83666FZ	G83666FZ
G83695DI	G83695DI
G83716SQ	G83716SQ
G83878UZ	G83878UZ
G83903NJ	G83903NJ
G83974TW	G83974TW
G84034JH	G84034JH
G84168AG	G84168AG
G84224TW	G84224TW
G84273ZH	G84273ZH
G84347HP	G84347HP
G84365LE	G84365LE
G84467IZ	G84467IZ
G84571XJ	G84571XJ
G84678BK	G84678BK
G84692YW	G84692YW
G84760EJ	G84760EJ
G84851OD	G84851OD
G84891DZ	G84891DZ
G84899DL	G84899DL
G85149ZK	G85149ZK
G85155ES	G85155ES
G85207ZD	G85207ZD
G85213NF	G85213NF
G85213RR	G85213RR
G85255JJ	G85255JJ
G85291WT	G85291WT
G85383RY	G85383RY
G85460ZG	G85460ZG
G85767HW	G85767HW
G85856KC	G85856KC
G85971RS	G85971RS
G85977BN	G85977BN
G86102WJ	G86102WJ
G86143FV	G86143FV
G86182SO	G86182SO
G86264OX	G86264OX
G86357DX	G86357DX
G86471BL	G86471BL
G86490WA	G86490WA
G86517XT	G86517XT
G86566MF	G86566MF
G86670TP	G86670TP
G86678MP	G86678MP
G86766IO	G86766IO
G86784SP	G86784SP
G86851RC	G86851RC
G86853GO	G86853GO
G86874EI	G86874EI
G86912UU	G86912UU
G86969ZH	G86969ZH
G87030DQ	G87030DQ
G87044UH	G87044UH
G87044VO	G87044VO
G87205VF	G87205VF
G87247VU	G87247VU
G87249CK	G87249CK
G87309GS	G87309GS
G87411OD	G87411OD
G87430GQ	G87430GQ
G87492XO	G87492XO
G87528ZH	G87528ZH
G87558RR	G87558RR
G87566RM	G87566RM
G87649YD	G87649YD
G87743XO	G87743XO
G87819IQ	G87819IQ
G87918MK	G87918MK
G87921DA	G87921DA
G87984PA	G87984PA
G88185OE	G88185OE
G88206YY	G88206YY
G88235TO	G88235TO
G88313DY	G88313DY
G88357LX	G88357LX
G88362QR	G88362QR
G88413ZO	G88413ZO
G88437QR	G88437QR
G88646XC	G88646XC
G88800UV	G88800UV
G88815IR	G88815IR
G88817DP	G88817DP
G88963CA	G88963CA
G89038KG	G89038KG
G89085RN	G89085RN
G89090WX	G89090WX
G89117DH	G89117DH
G89637WE	G89637WE
G89659QV	G89659QV
G89712VG	G89712VG
G89803GR	G89803GR
G89851FF	G89851FF
G89864BN	G89864BN
G89993FE	G89993FE
G90011PP	G90011PP
G90099GV	G90099GV
G90267TS	G90267TS
G90333CG	G90333CG
G90342RA	G90342RA
G90348RI	G90348RI
G90412JJ	G90412JJ
G90422HW	G90422HW
G90477LS	G90477LS
G90539LD	G90539LD
G90562PB	G90562PB
G90582WZ	G90582WZ
G90685OB	G90685OB
G90698PW	G90698PW
G90725ZC	G90725ZC
G90745FS	G90745FS
G90768FC	G90768FC
G90825UM	G90825UM
G90874TM	G90874TM
G90891CR	G90891CR
G90904YL	G90904YL
G90930FF	G90930FF
G90941ZH	G90941ZH
G90950UC	G90950UC
G90986VO	G90986VO
G90996TK	G90996TK
G91096JD	G91096JD
G91121AH	G91121AH
G91219PM	G91219PM
G91237TK	G91237TK
G91344HC	G91344HC
G91532KA	G91532KA
G91563HD	G91563HD
G91590EX	G91590EX
G91704UR	G91704UR
G91732YZ	G91732YZ
G91756JQ	G91756JQ
G91775YA	G91775YA
G91789JU	G91789JU
G91851DR	G91851DR
G92042VQ	G92042VQ
G92161SR	G92161SR
G92198BU	G92198BU
G92238TK	G92238TK
G92252GS	G92252GS
G92316CH	G92316CH
G92323ZH	G92323ZH
G92400ZO	G92400ZO
G92423MT	G92423MT
G92493ZW	G92493ZW
G92632VZ	G92632VZ
G92701TY	G92701TY
G92743LI	G92743LI
G92744LV	G92744LV
G92776DG	G92776DG
G92795ML	G92795ML
G92805XC	G92805XC
G92834ME	G92834ME
G92865GI	G92865GI
G92980RJ	G92980RJ
G92983WW	G92983WW
G93018EW	G93018EW
G93038PJ	G93038PJ
G93053DY	G93053DY
G93107BF	G93107BF
G93162SU	G93162SU
G93186ED	G93186ED
G93310KW	G93310KW
G93325YD	G93325YD
G93351GM	G93351GM
G93356NT	G93356NT
G93380BT	G93380BT
G93385YJ	G93385YJ
G93507IP	G93507IP
G93525MU	G93525MU
G93582HM	G93582HM
G93755DD	G93755DD
G93779QZ	G93779QZ
G93789YX	G93789YX
G93805MV	G93805MV
G93828IC	G93828IC
G93865CD	G93865CD
G93899SO	G93899SO
G94133JU	G94133JU
G94235HZ	G94235HZ
G94416HL	G94416HL
G94435QH	G94435QH
G94437IW	G94437IW
G94468TS	G94468TS
G94531EZ	G94531EZ
G94536AJ	G94536AJ
G94654MJ	G94654MJ
G94674FP	G94674FP
G94917JX	G94917JX
G94956AW	G94956AW
G94983ZY	G94983ZY
G95003CS	G95003CS
G95014LS	G95014LS
G95081VM	G95081VM
G95116WY	G95116WY
G95142MK	G95142MK
G95196FC	G95196FC
G95238UV	G95238UV
G95440AP	G95440AP
G95487KB	G95487KB
G95490LA	G95490LA
G95595RA	G95595RA
G95724XO	G95724XO
G95742RK	G95742RK
G95889EP	G95889EP
G95894VW	G95894VW
G95901MC	G95901MC
G96017QA	G96017QA
G96057TO	G96057TO
G96066HD	G96066HD
G96189JY	G96189JY
G96216WA	G96216WA
G96279GC	G96279GC
G96344JT	G96344JT
G96504QH	G96504QH
G96568SI	G96568SI
G96586KV	G96586KV
G96629BQ	G96629BQ
G96643WB	G96643WB
G96654KS	G96654KS
G96721TP	G96721TP
G96813DH	G96813DH
G96866DI	G96866DI
G96963QG	G96963QG
G96991NM	G96991NM
G96994CJ	G96994CJ
G97041TX	G97041TX
G97054BM	G97054BM
G97088QZ	G97088QZ
G97118EJ	G97118EJ
G97159KS	G97159KS
G97191HQ	G97191HQ
G97201CX	G97201CX
G97249VB	G97249VB
G97268TD	G97268TD
G97292GW	G97292GW
G97304IA	G97304IA
G97310ZA	G97310ZA
G97345NY	G97345NY
G97475AL	G97475AL
G97494HI	G97494HI
G97501SC	G97501SC
G97599KE	G97599KE
G97743OW	G97743OW
G97763JB	G97763JB
G97793YM	G97793YM
G97834OQ	G97834OQ
G97898ZO	G97898ZO
G97906UF	G97906UF
G97920HT	G97920HT
G97921YP	G97921YP
G97994IX	G97994IX
G98043YN	G98043YN
G98120QY	G98120QY
G98212GQ	G98212GQ
G98256YA	G98256YA
G98271JN	G98271JN
G98335IX	G98335IX
G98397EB	G98397EB
G98465JN	G98465JN
G98485VQ	G98485VQ
G98544DH	G98544DH
G98647BZ	G98647BZ
G98670RK	G98670RK
G98687PM	G98687PM
G98698LY	G98698LY
G98715JA	G98715JA
G98808JL	G98808JL
G98959NM	G98959NM
G99019LG	G99019LG
G99053DY	G99053DY
G99129GB	G99129GB
G99154NV	G99154NV
G99201ZD	G99201ZD
G99229VQ	G99229VQ
G99244AI	G99244AI
G99257WS	G99257WS
G99312NX	G99312NX
G99315PE	G99315PE
G99454KR	G99454KR
G99468UC	G99468UC
G99524KA	G99524KA
G99567WP	G99567WP
G99584SF	G99584SF
G99594LR	G99594LR
G99603GB	G99603GB
G99642AY	G99642AY
G99645NK	G99645NK
G99669MJ	G99669MJ
G99675DD	G99675DD
G99684PD	G99684PD
G99692YH	G99692YH
G99745QX	G99745QX
G99770NO	G99770NO
G99777VA	G99777VA
G99801VV	G99801VV
G99849MX	G99849MX
G99858XP	G99858XP
G99993SZ	G99993SZ
