GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G15266EB	Rat	Subsumption	GNOme	G12679QG	
G15280CB	Human	Direct	GlyTouCan	G15280CB	9606
G15285JT	Mouse	Subsumption	GNOme	G61602PD	
G15301IS	Mouse	Direct	GlyTouCan	G15301IS	10090
G15302GZ	Human	Subsumption	GNOme	G85930OB	
G15315IX	Mouse	Subsumption	GNOme	G21793RV	
G15317IZ	Human	Direct	GlyTouCan	G15317IZ	9606
G15317IZ	Rat	Direct	GlyTouCan	G15317IZ	10114
G15320FW	Human	Subsumption	GNOme	G00155YT	
G15320FW	Human	Subsumption	GNOme	G15365AE	
G15320FW	Human	Subsumption	GNOme	G21986MJ	
G15320FW	Human	Subsumption	GNOme	G32246SI	
G15320FW	Human	Subsumption	GNOme	G32854GF	
G15320FW	Human	Subsumption	GNOme	G42735RP	
G15320FW	Human	Subsumption	GNOme	G44121LY	
G15320FW	Human	Subsumption	GNOme	G53280MT	
G15320FW	Human	Subsumption	GNOme	G54904QW	
G15320FW	Human	Subsumption	GNOme	G74111QE	
G15320FW	Human	Subsumption	GNOme	G77122IZ	
G15320FW	Human	Subsumption	GNOme	G77282MO	
G15320FW	Human	Subsumption	GNOme	G80920TO	
G15320FW	Human	Subsumption	GNOme	G90352XZ	
G15320FW	Mouse	Subsumption	GNOme	G58444TO	
G15320FW	Mouse	Subsumption	GNOme	G59331KK	
G15320FW	Rat	Subsumption	GNOme	G53572QC	
G15321SN	Human	Subsumption	GNOme	G45256SO	
G15321SN	Human	Subsumption	GNOme	G76583MP	
G15321SN	Human	Subsumption	GNOme	G93500PH	
G15323YQ	Human	Subsumption	GNOme	G86904UH	
G15327MX	Human	Subsumption	GNOme	G07995VK	
G15327MX	Human	Subsumption	GNOme	G45560HM	
G15343UK	Human	Subsumption	GNOme	G98726UE	
G15344SG	Mouse	Subsumption	GNOme	G90443NH	
G15347NT	Human	Subsumption	GNOme	G04791QM	
G15347NT	Human	Subsumption	GNOme	G13290KJ	
G15347NT	Human	Subsumption	GNOme	G24585JV	
G15347NT	Human	Subsumption	GNOme	G28839WC	
G15347NT	Human	Subsumption	GNOme	G34582DB	
G15347NT	Human	Subsumption	GNOme	G46107JU	
G15347NT	Human	Subsumption	GNOme	G70851FQ	
G15347NT	Human	Subsumption	GNOme	G88509SO	
G15347NT	Human	Subsumption	GNOme	G90725ZC	
G15347NT	SARS	Subsumption	GNOme	G90725ZC	
G15349PM	Human	Direct	GlyTouCan	G15349PM	9606
G15351FP	Human	Direct	GlyTouCan	G15351FP	9606
G15355KC	Human	Direct	GlyTouCan	G15355KC	9606
G15363AF	Human	Direct	GlyConnect	926	9606
G15365AE	Human	Direct	GlyTouCan	G15365AE	9606
G15365ZM	Human	Direct	GlyTouCan	G15365ZM	9606
G15367TG	Human	Subsumption	GNOme	G05184IQ	
G15367TG	Human	Subsumption	GNOme	G14645TH	
G15367TG	Rat	Subsumption	GNOme	G76330SV	
G15369VN	Human	Subsumption	GNOme	G20030CU	
G15378IJ	Mouse	Subsumption	GNOme	G25180HQ	
G15379YZ	Human	Subsumption	GNOme	G17251XF	
G15391CM	Mouse	Subsumption	GNOme	G02611WU	
G15391CM	Mouse	Subsumption	GNOme	G67303LF	
G15393WU	Human	Direct	GlyConnect	1411	9606
G15400MJ	Human	Subsumption	GNOme	G87877ES	
G15402WP	Human	Subsumption	GNOme	G03860PZ	
G15402WP	Human	Subsumption	GNOme	G10106TL	
G15402WP	Human	Subsumption	GNOme	G10881VB	
G15402WP	Human	Subsumption	GNOme	G26684GN	
G15402WP	Human	Subsumption	GNOme	G28663KH	
G15402WP	Human	Subsumption	GNOme	G39602UU	
G15402WP	Human	Subsumption	GNOme	G56269EA	
G15402WP	Human	Subsumption	GNOme	G69411IG	
G15402WP	Human	Subsumption	GNOme	G79249GP	
G15402WP	Human	Subsumption	GNOme	G86386QT	
G15402WP	Mouse	Subsumption	GNOme	G28663KH	
G15402WP	Mouse	Subsumption	GNOme	G69411IG	
G15402WP	Mouse	Subsumption	GNOme	G86386QT	
G15402WP	Rat	Subsumption	GNOme	G28663KH	
G15402WP	SARS	Subsumption	GNOme	G28663KH	
G15402YD	Human	Direct	GlyTouCan	G15402YD	9606
G15402YD	Mouse	Direct	GlyTouCan	G15402YD	10090
G15403KF	Rat	Direct	GlyTouCan	G15403KF	10114
G15407YE	Human	Direct	GlyConnect	1240	9606
G15407YE	Human	Direct	GlyTouCan	G15407YE	9606
G15407YE	Human	Direct	UniCarbKB	1775	9606
G15407YE	Rat	Direct	GlyTouCan	G15407YE	10114
G15409BP	Human	Direct	GlyTouCan	G15409BP	9606
G15410OI	Human	Subsumption	GNOme	G28659UB	
G15410OI	Human	Subsumption	GNOme	G74645FT	
G15410OI	Rat	Subsumption	GNOme	G28659UB	
G15433HJ	Human	Direct	GlyConnect	1842	9606
G15448UB	Human	Direct	GlyTouCan	G15448UB	9606
G15454NP	Human	Subsumption	GNOme	G28665FP	
G15454NP	Human	Subsumption	GNOme	G30304DE	
G15486FH	Human	Direct	UniCarbKB	comp_HexNAc3Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	9606
G15486FH	Mouse	Subsumption	GNOme	G82119TF	
G15486FH	Rat	Direct	UniCarbKB	comp_HexNAc3Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	10116
G15486FH	SARS	Direct	GLYDS000479		2697049
G15486FH	SARS	Direct	UniCarbKB	comp_HexNAc3Hex5dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	2697049
G15488CF	Mouse	Direct	GlyConnect	70	10090
G15488CF	Rat	Direct	GlyConnect	70	10116
G15488CF	SARS	Subsumption	GNOme	G04764ON	
G15493RX	Human	Subsumption	GNOme	G87867IZ	
G15497GP	Human	Subsumption	GNOme	G17300DB	
G15497GP	Human	Subsumption	GNOme	G37653KL	
G15497GP	Human	Subsumption	GNOme	G70125XL	
G15497GP	Human	Subsumption	GNOme	G75687SF	
G15503ZF	Human	Subsumption	GNOme	G54956ME	
G15508AW	Human	Direct	GlyConnect	938	9606
G15509XY	Mouse	Subsumption	GNOme	G03670RH	
G15509XY	Mouse	Subsumption	GNOme	G22516UQ	
G15514FC	Human	Subsumption	GNOme	G19447ZX	
G15514FC	Human	Subsumption	GNOme	G23295TF	
G15514FC	Human	Subsumption	GNOme	G43694RQ	
G15514FC	Human	Subsumption	GNOme	G48409OW	
G15514FC	Human	Subsumption	GNOme	G50131RA	
G15514FC	Human	Subsumption	GNOme	G54380FJ	
G15514FC	Human	Subsumption	GNOme	G71782CJ	
G15514FC	Human	Subsumption	GNOme	G75303RX	
G15514FC	Mouse	Subsumption	GNOme	G23295TF	
G15514FC	Mouse	Subsumption	GNOme	G46768QH	
G15514FC	Mouse	Subsumption	GNOme	G48489PM	
G15514FC	Mouse	Subsumption	GNOme	G68937TM	
G15514FC	Rat	Subsumption	GNOme	G23295TF	
G15514FC	Rat	Subsumption	GNOme	G63787RZ	
G15514FC	Rat	Subsumption	GNOme	G68937TM	
G15514FC	Rat	Subsumption	GNOme	G71782CJ	
G15514FC	SARS	Subsumption	GNOme	G23295TF	
G15518HO	Human	Direct	GlyTouCan	G15518HO	9606
G15518HO	Mouse	Subsumption	GNOme	G92616PG	
G15518HO	Rat	Subsumption	GNOme	G80296WD	
G15518HO	Rat	Subsumption	GNOme	G92616PG	
G15522AZ	Human	Subsumption	GNOme	G45643JS	
G15527QL	Mouse	Direct	GlyTouCan	G15527QL	10090
G15528IU	Rat	Subsumption	GNOme	G03819SO	
G15528IU	Rat	Subsumption	GNOme	G60090YA	
G15529JT	Human	Subsumption	GNOme	G18506AD	
G15531AF	Human	Direct	GlyConnect	63	9606
G15531AF	Mouse	Direct	GlyConnect	63	10090
G15531AF	Rat	Direct	GlyConnect	63	10116
G15531AF	SARS	Subsumption	GNOme	G02622IU	
G15531KO	Human	Subsumption	GNOme	G08790WV	
G15539SI	Mouse	Subsumption	GNOme	G88468EP	
G15541OH	Human	Subsumption	GNOme	G30542PN	
G15541OH	Human	Subsumption	GNOme	G46455GO	
G15541OH	Human	Subsumption	GNOme	G46945LQ	
G15541OH	Human	Subsumption	GNOme	G58268WC	
G15541OH	Human	Subsumption	GNOme	G73418FX	
G15541SE	Human	Direct	GlyTouCan	G15541SE	9606
G15555MR	Rat	Direct	GlyConnect	3405	10116
G15560LO	Human	Subsumption	GNOme	G03834RX	
G15560LO	Human	Subsumption	GNOme	G33876UV	
G15560LO	Human	Subsumption	GNOme	G53933HU	
G15560LO	Human	Subsumption	GNOme	G66669IY	
G15560LO	Human	Subsumption	GNOme	G90734RJ	
G15560LO	Mouse	Subsumption	GNOme	G33876UV	
G15560LO	SARS	Subsumption	GNOme	G33876UV	
G15560LO	SARS	Subsumption	GNOme	G90734RJ	
G15560RP	Human	Subsumption	GNOme	G12398HZ	
G15560RP	Human	Subsumption	GNOme	G61334IA	
G15560RP	Mouse	Subsumption	GNOme	G12398HZ	
G15560RP	Mouse	Subsumption	GNOme	G61334IA	
G15562AE	Human	Subsumption	GNOme	G82576YO	
G15562AE	Human	Subsumption	GNOme	G85196CF	
G15562AE	Human	Subsumption	GNOme	G96881BQ	
G15562AE	Mouse	Subsumption	GNOme	G96881BQ	
G15562AE	Rat	Subsumption	GNOme	G96881BQ	
G15567JJ	Human	Subsumption	GNOme	G05784QE	
G15567JJ	Human	Subsumption	GNOme	G09362PR	
G15567JJ	Human	Subsumption	GNOme	G16984QJ	
G15567JJ	Human	Subsumption	GNOme	G19083SI	
G15567JJ	Human	Subsumption	GNOme	G22387ST	
G15567JJ	Human	Subsumption	GNOme	G26121MN	
G15567JJ	Human	Subsumption	GNOme	G33892UJ	
G15567JJ	Human	Subsumption	GNOme	G34465ZP	
G15567JJ	Human	Subsumption	GNOme	G55037II	
G15567JJ	Human	Subsumption	GNOme	G55259BS	
G15567JJ	Human	Subsumption	GNOme	G61715VD	
G15567JJ	Human	Subsumption	GNOme	G64852XI	
G15567JJ	Human	Subsumption	GNOme	G66967KV	
G15567JJ	Human	Subsumption	GNOme	G72175XZ	
G15567JJ	Human	Subsumption	GNOme	G77481LZ	
G15569GG	Mouse	Direct	GlyConnect	313	10090
G15569GG	Rat	Direct	GlyConnect	313	10116
G15571KX	Human	Direct	GlyTouCan	G15571KX	9606
G15577DT	Human	Subsumption	GNOme	G43665PB	
G15577GZ	Human	Subsumption	GNOme	G86387VT	
G15577KP	Human	Direct	GlyTouCan	G15577KP	9606
G15579SF	Human	Subsumption	GNOme	G00279YF	
G15580BH	Human	Subsumption	GNOme	G88555GL	
G15583YJ	Human	Subsumption	GNOme	G04817LD	
G15583YJ	Human	Subsumption	GNOme	G08371VN	
G15583YJ	Human	Subsumption	GNOme	G15683CN	
G15583YJ	Human	Subsumption	GNOme	G24440EI	
G15583YJ	Human	Subsumption	GNOme	G43677XO	
G15583YJ	Human	Subsumption	GNOme	G44479SH	
G15583YJ	Human	Subsumption	GNOme	G52558CF	
G15583YJ	Human	Subsumption	GNOme	G53962WT	
G15583YJ	Human	Subsumption	GNOme	G55321QC	
G15583YJ	Human	Subsumption	GNOme	G66116BW	
G15583YJ	Human	Subsumption	GNOme	G76610HM	
G15583YJ	Human	Subsumption	GNOme	G79982IL	
G15583YJ	Human	Subsumption	GNOme	G83624CJ	
G15583YJ	Human	Subsumption	GNOme	G91558YX	
G15583YJ	Human	Subsumption	GNOme	G91591ER	
G15583YJ	Human	Subsumption	GNOme	G97575FW	
G15583YJ	Mouse	Subsumption	GNOme	G53962WT	
G15583YJ	Mouse	Subsumption	GNOme	G91558YX	
G15583YJ	Rat	Subsumption	GNOme	G53962WT	
G15583YJ	SARS	Subsumption	GNOme	G53962WT	
G15583YJ	SARS	Subsumption	GNOme	G91558YX	
G15602PX	Human	Subsumption	GNOme	G00053MO	
G15602PX	Human	Subsumption	GNOme	G00054MO	
G15602PX	Human	Subsumption	GNOme	G16258KS	
G15602PX	Human	Subsumption	GNOme	G18220BL	
G15602PX	Human	Subsumption	GNOme	G19813SH	
G15602PX	Human	Subsumption	GNOme	G19968XU	
G15602PX	Human	Subsumption	GNOme	G39294YF	
G15602PX	Human	Subsumption	GNOme	G47180UC	
G15602PX	Human	Subsumption	GNOme	G47391NN	
G15602PX	Human	Subsumption	GNOme	G50236GJ	
G15602PX	Human	Subsumption	GNOme	G53296VI	
G15602PX	Human	Subsumption	GNOme	G70593HA	
G15602PX	Human	Subsumption	GNOme	G81971FM	
G15602PX	Human	Subsumption	GNOme	G87205VF	
G15602PX	Human	Subsumption	GNOme	G90387AM	
G15602PX	Mouse	Subsumption	GNOme	G00053MO	
G15602PX	Mouse	Subsumption	GNOme	G00054MO	
G15602PX	Mouse	Subsumption	GNOme	G39294YF	
G15602PX	Mouse	Subsumption	GNOme	G47180UC	
G15602PX	Rat	Subsumption	GNOme	G00054MO	
G15611KL	Human	Subsumption	GNOme	G65447BW	
G15619OA	Human	Direct	GlyTouCan	G15619OA	9606
G15619OA	Rat	Direct	GlyTouCan	G15619OA	10114
G15622GU	Human	Subsumption	GNOme	G13728QT	
G15622GU	Human	Subsumption	GNOme	G83386PJ	
G15622GU	SARS	Subsumption	GNOme	G13728QT	
G15622GU	SARS	Subsumption	GNOme	G32633LC	
G15626ED	Human	Subsumption	GNOme	G71832QJ	
G15626ED	Human	Subsumption	GNOme	G99315PE	
G15626ED	Rat	Direct	GlyTouCan	G15626ED	10114
G15631KB	Human	Direct	GlyConnect	1423	9606
G15631YF	Human	Direct	GlyTouCan	G15631YF	9606
G15648GT	Human	Direct	GlyTouCan	G15648GT	9606
G15653JZ	Human	Subsumption	GNOme	G00492CQ	
G15653JZ	Human	Subsumption	GNOme	G01600VV	
G15653JZ	Human	Subsumption	GNOme	G07483YN	
G15653JZ	Human	Subsumption	GNOme	G11908FF	
G15653JZ	Human	Subsumption	GNOme	G11994QC	
G15653JZ	Human	Subsumption	GNOme	G14576KZ	
G15653JZ	Human	Subsumption	GNOme	G45036WQ	
G15653JZ	Human	Subsumption	GNOme	G45889JQ	
G15653JZ	Human	Subsumption	GNOme	G46720ZO	
G15653JZ	Human	Subsumption	GNOme	G49282JI	
G15653JZ	Human	Subsumption	GNOme	G61884GF	
G15653JZ	Human	Subsumption	GNOme	G69987TD	
G15653JZ	Human	Subsumption	GNOme	G82405LP	
G15653JZ	Human	Subsumption	GNOme	G95901MC	
G15653JZ	Human	Subsumption	GNOme	G97831CJ	
G15653JZ	Mouse	Subsumption	GNOme	G07483YN	
G15653JZ	Mouse	Subsumption	GNOme	G14576KZ	
G15653JZ	Mouse	Subsumption	GNOme	G45889JQ	
G15653JZ	Mouse	Subsumption	GNOme	G49282JI	
G15653JZ	Mouse	Subsumption	GNOme	G69987TD	
G15653JZ	Mouse	Subsumption	GNOme	G95901MC	
G15653JZ	Rat	Subsumption	GNOme	G07483YN	
G15653JZ	Rat	Subsumption	GNOme	G14576KZ	
G15653JZ	SARS	Subsumption	GNOme	G07483YN	
G15658UQ	Human	Subsumption	GNOme	G47863IJ	
G15658UQ	Human	Subsumption	GNOme	G50251EH	
G15664MX	Human	Subsumption	GNOme	G18011IN	
G15664MX	Human	Subsumption	GNOme	G54286RQ	
G15664MX	Human	Subsumption	GNOme	G68762AY	
G15664MX	Mouse	Subsumption	GNOme	G05979RR	
G15664MX	Mouse	Subsumption	GNOme	G28128KH	
G15664MX	Mouse	Subsumption	GNOme	G33842PB	
G15664MX	Mouse	Subsumption	GNOme	G39992DR	
G15664MX	Mouse	Subsumption	GNOme	G67342MA	
G15664MX	Mouse	Subsumption	GNOme	G70708LW	
G15664MX	Rat	Subsumption	GNOme	G05979RR	
G15664MX	Rat	Subsumption	GNOme	G60103QI	
G15666IG	Human	Subsumption	GNOme	G00060BT	
G15666IG	Human	Subsumption	GNOme	G12460DL	
G15666IG	Human	Subsumption	GNOme	G15518HO	
G15666IG	Human	Subsumption	GNOme	G17460MY	
G15666IG	Human	Subsumption	GNOme	G23695JT	
G15666IG	Human	Subsumption	GNOme	G27106AM	
G15666IG	Human	Subsumption	GNOme	G42471QL	
G15666IG	Human	Subsumption	GNOme	G46271TS	
G15666IG	Human	Subsumption	GNOme	G58387VB	
G15666IG	Human	Subsumption	GNOme	G58576QI	
G15666IG	Human	Subsumption	GNOme	G59986YN	
G15666IG	Human	Subsumption	GNOme	G70213NR	
G15666IG	Human	Subsumption	GNOme	G76823GQ	
G15666IG	Human	Subsumption	GNOme	G78418FI	
G15666IG	Human	Subsumption	GNOme	G81013EK	
G15666IG	Human	Subsumption	GNOme	G83351GP	
G15666IG	Human	Subsumption	GNOme	G99053DY	
G15666IG	Mouse	Subsumption	GNOme	G24830VD	
G15666IG	Mouse	Subsumption	GNOme	G59986YN	
G15666IG	Mouse	Subsumption	GNOme	G60645OK	
G15666IG	Mouse	Subsumption	GNOme	G92616PG	
G15666IG	Mouse	Subsumption	GNOme	G99053DY	
G15666IG	Rat	Subsumption	GNOme	G00199JR	
G15666IG	Rat	Subsumption	GNOme	G41474PO	
G15666IG	Rat	Subsumption	GNOme	G60273PS	
G15666IG	Rat	Subsumption	GNOme	G60645OK	
G15666IG	Rat	Subsumption	GNOme	G72806VZ	
G15666IG	Rat	Subsumption	GNOme	G80296WD	
G15666IG	Rat	Subsumption	GNOme	G84219QP	
G15666IG	Rat	Subsumption	GNOme	G92616PG	
G15666OL	Human	Subsumption	GNOme	G22214RN	
G15666OL	Human	Subsumption	GNOme	G28146GV	
G15667CY	Human	Direct	GlyTouCan	G15667CY	9606
G15667CY	Rat	Direct	GlyTouCan	G15667CY	10114
G15683CN	Human	Direct	GlyConnect	20	9606
G15683CN	Mouse	Subsumption	GNOme	G53962WT	
G15683CN	Rat	Subsumption	GNOme	G53962WT	
G15683CN	SARS	Subsumption	GNOme	G53962WT	
G15687DE	Human	Subsumption	GNOme	G01361CV	
G15687DE	Human	Subsumption	GNOme	G11041DA	
G15687DE	Human	Subsumption	GNOme	G33685ZQ	
G15687DE	Human	Subsumption	GNOme	G53752TA	
G15687DE	Human	Subsumption	GNOme	G62797OV	
G15687DE	Human	Subsumption	GNOme	G68175NA	
G15687DE	Human	Subsumption	GNOme	G85678WN	
G15687DE	Mouse	Subsumption	GNOme	G01361CV	
G15687DE	Mouse	Subsumption	GNOme	G53752TA	
G15687DE	Mouse	Subsumption	GNOme	G85678WN	
G15687DE	Rat	Subsumption	GNOme	G11041DA	
G15687DE	Rat	Subsumption	GNOme	G53752TA	
G15687DE	SARS	Subsumption	GNOme	G85678WN	
G15700RL	Human	Subsumption	GNOme	G72166HB	
G15700RL	Human	Subsumption	GNOme	G83945CT	
G15700RL	Rat	Subsumption	GNOme	G72166HB	
G15700RL	Rat	Subsumption	GNOme	G83945CT	
G15703MZ	Human	Direct	GlyConnect	1669	9606
G15705XB	Rat	Direct	GlyTouCan	G15705XB	10114
G15714MJ	Mouse	Direct	GlyConnect	2131	10090
G15715EV	Mouse	Subsumption	GNOme	G78205EV	
G15715XI	Human	Subsumption	GNOme	G00432WV	
G15715XI	Human	Subsumption	GNOme	G00551JZ	
G15715XI	Human	Subsumption	GNOme	G02654EL	
G15715XI	Human	Subsumption	GNOme	G02679YX	
G15715XI	Human	Subsumption	GNOme	G05279MG	
G15715XI	Human	Subsumption	GNOme	G06656BE	
G15715XI	Human	Subsumption	GNOme	G07328EF	
G15715XI	Human	Subsumption	GNOme	G08939IS	
G15715XI	Human	Subsumption	GNOme	G12920QL	
G15715XI	Human	Subsumption	GNOme	G13537KO	
G15715XI	Human	Subsumption	GNOme	G16961BB	
G15715XI	Human	Subsumption	GNOme	G20697MN	
G15715XI	Human	Subsumption	GNOme	G21112KH	
G15715XI	Human	Subsumption	GNOme	G22979QH	
G15715XI	Human	Subsumption	GNOme	G23546LY	
G15715XI	Human	Subsumption	GNOme	G26144DH	
G15715XI	Human	Subsumption	GNOme	G28948UC	
G15715XI	Human	Subsumption	GNOme	G35150SV	
G15715XI	Human	Subsumption	GNOme	G35837ET	
G15715XI	Human	Subsumption	GNOme	G35975NI	
G15715XI	Human	Subsumption	GNOme	G36523TZ	
G15715XI	Human	Subsumption	GNOme	G36960FP	
G15715XI	Human	Subsumption	GNOme	G36966DH	
G15715XI	Human	Subsumption	GNOme	G39452ZZ	
G15715XI	Human	Subsumption	GNOme	G40482NA	
G15715XI	Human	Subsumption	GNOme	G44623TX	
G15715XI	Human	Subsumption	GNOme	G45300SB	
G15715XI	Human	Subsumption	GNOme	G45359RY	
G15715XI	Human	Subsumption	GNOme	G45498YC	
G15715XI	Human	Subsumption	GNOme	G49105NA	
G15715XI	Human	Subsumption	GNOme	G50216QG	
G15715XI	Human	Subsumption	GNOme	G51519NL	
G15715XI	Human	Subsumption	GNOme	G53096UD	
G15715XI	Human	Subsumption	GNOme	G53817FJ	
G15715XI	Human	Subsumption	GNOme	G57081YJ	
G15715XI	Human	Subsumption	GNOme	G61086WG	
G15715XI	Human	Subsumption	GNOme	G61505ZR	
G15715XI	Human	Subsumption	GNOme	G64282SO	
G15715XI	Human	Subsumption	GNOme	G65186XA	
G15715XI	Human	Subsumption	GNOme	G66286WQ	
G15715XI	Human	Subsumption	GNOme	G66653BX	
G15715XI	Human	Subsumption	GNOme	G70800WO	
G15715XI	Human	Subsumption	GNOme	G72300VE	
G15715XI	Human	Subsumption	GNOme	G74286KY	
G15715XI	Human	Subsumption	GNOme	G75839SN	
G15715XI	Human	Subsumption	GNOme	G78644BR	
G15715XI	Human	Subsumption	GNOme	G80163ME	
G15715XI	Human	Subsumption	GNOme	G83737UD	
G15715XI	Human	Subsumption	GNOme	G84368MT	
G15715XI	Human	Subsumption	GNOme	G85447US	
G15715XI	Human	Subsumption	GNOme	G86357DX	
G15715XI	Human	Subsumption	GNOme	G87921DA	
G15715XI	Human	Subsumption	GNOme	G88761ZT	
G15715XI	Human	Subsumption	GNOme	G97212ZE	
G15715XI	Mouse	Subsumption	GNOme	G39452ZZ	
G15715XI	Mouse	Subsumption	GNOme	G45359RY	
G15715XI	Mouse	Subsumption	GNOme	G63208BT	
G15715XI	Mouse	Subsumption	GNOme	G67767BR	
G15715XI	Mouse	Subsumption	GNOme	G75839SN	
G15715XI	Mouse	Subsumption	GNOme	G83737UD	
G15715XI	Mouse	Subsumption	GNOme	G86357DX	
G15715XI	Mouse	Subsumption	GNOme	G87921DA	
G15715XI	Rat	Subsumption	GNOme	G00432WV	
G15715XI	Rat	Subsumption	GNOme	G09730EH	
G15715XI	Rat	Subsumption	GNOme	G19588HA	
G15715XI	Rat	Subsumption	GNOme	G28948UC	
G15715XI	Rat	Subsumption	GNOme	G39452ZZ	
G15715XI	Rat	Subsumption	GNOme	G45359RY	
G15715XI	Rat	Subsumption	GNOme	G45695EY	
G15715XI	Rat	Subsumption	GNOme	G48296OD	
G15715XI	Rat	Subsumption	GNOme	G57081YJ	
G15715XI	Rat	Subsumption	GNOme	G59897WN	
G15715XI	Rat	Subsumption	GNOme	G83737UD	
G15715XI	Rat	Subsumption	GNOme	G86357DX	
G15715XI	SARS	Subsumption	GNOme	G49105NA	
G15720UK	Rat	Subsumption	GNOme	G67942CH	
G15736PY	Human	Subsumption	GNOme	G04610NG	
G15736PY	Human	Subsumption	GNOme	G40764VP	
G15736PY	Human	Subsumption	GNOme	G41469UO	
G15736PY	Human	Subsumption	GNOme	G56516VH	
G15736PY	Human	Subsumption	GNOme	G69893KP	
G15736PY	Human	Subsumption	GNOme	G77019UJ	
G15736PY	Human	Subsumption	GNOme	G91237TK	
G15736PY	Human	Subsumption	GNOme	G93210GW	
G15736PY	Mouse	Subsumption	GNOme	G56516VH	
G15736PY	Mouse	Subsumption	GNOme	G91237TK	
G15736PY	Rat	Subsumption	GNOme	G40764VP	
G15736PY	Rat	Subsumption	GNOme	G91237TK	
G15738FM	Mouse	Subsumption	GNOme	G67665XP	
G15747DD	Human	Subsumption	GNOme	G23295TF	
G15747DD	Mouse	Subsumption	GNOme	G23295TF	
G15747DD	Mouse	Subsumption	GNOme	G48489PM	
G15747DD	Rat	Subsumption	GNOme	G23295TF	
G15747DD	Rat	Subsumption	GNOme	G63787RZ	
G15747DD	SARS	Subsumption	GNOme	G23295TF	
G15750OF	Mouse	Subsumption	GNOme	G25180HQ	
G15765EV	Human	Subsumption	GNOme	G88908BO	
G15765EV	Mouse	Subsumption	GNOme	G88908BO	
G15765EV	Rat	Subsumption	GNOme	G58240EV	
G15765EV	Rat	Subsumption	GNOme	G70528XB	
G15765EV	Rat	Subsumption	GNOme	G80690PN	
G15765EV	Rat	Subsumption	GNOme	G88908BO	
G15765EV	SARS	Subsumption	GNOme	G88908BO	
G15774QX	Human	Subsumption	GNOme	G12398HZ	
G15774QX	Human	Subsumption	GNOme	G39893KL	
G15774QX	Human	Subsumption	GNOme	G59358BQ	
G15774QX	Human	Subsumption	GNOme	G61334IA	
G15774QX	Human	Subsumption	GNOme	G61717JN	
G15774QX	Mouse	Subsumption	GNOme	G12398HZ	
G15774QX	Mouse	Subsumption	GNOme	G59358BQ	
G15774QX	Mouse	Subsumption	GNOme	G61334IA	
G15774QX	Mouse	Subsumption	GNOme	G61717JN	
G15774QX	SARS	Subsumption	GNOme	G59358BQ	
G15775PN	Mouse	Subsumption	GNOme	G29895JE	
G15775PN	Rat	Subsumption	GNOme	G17848HM	
G15775PN	Rat	Subsumption	GNOme	G67942CH	
G15775PN	Rat	Subsumption	GNOme	G71797UT	
G15775PN	Rat	Subsumption	GNOme	G80578OK	
G15777ZX	Human	Direct	GlyTouCan	G15777ZX	9606
G15791TK	Human	Subsumption	GNOme	G76478FT	
G15791TK	Human	Subsumption	GNOme	G82252QI	
G15791TK	Mouse	Direct	UniCarbKB	7402	10090
G15792GH	Mouse	Subsumption	GNOme	G19840AF	
G15807NZ	Human	Direct	GlyTouCan	G15807NZ	9606
G15807NZ	Mouse	Direct	GlyTouCan	G15807NZ	10090
G15807NZ	Rat	Subsumption	GNOme	G08371CD	
G15807NZ	Rat	Subsumption	GNOme	G36123IU	
G15810CI	Mouse	Subsumption	GNOme	G65236OQ	
G15810CI	Rat	Subsumption	GNOme	G65236OQ	
G15813JZ	Rat	Subsumption	GNOme	G71990XF	
G15813LB	Human	Subsumption	GNOme	G84263XI	
G15814MG	Human	Subsumption	GNOme	G05180BW	
G15819YF	Human	Subsumption	GNOme	G10687EF	
G15819YF	Human	Subsumption	GNOme	G77208XM	
G15819YF	Rat	Subsumption	GNOme	G23990GP	
G15819YF	Rat	Subsumption	GNOme	G31061SB	
G15819YF	Rat	Subsumption	GNOme	G68931EB	
G15819YF	Rat	Subsumption	GNOme	G96416NB	
G15821LD	Rat	Subsumption	GNOme	G30293NE	
G15821LD	Rat	Subsumption	GNOme	G80952QT	
G15821LD	Rat	Subsumption	GNOme	G85291BI	
G15821LD	SARS	Subsumption	GNOme	G85291BI	
G15824OV	Human	Subsumption	GNOme	G00051MO	
G15824OV	Human	Subsumption	GNOme	G05811XG	
G15824OV	Mouse	Subsumption	GNOme	G00051MO	
G15825TO	Human	Subsumption	GNOme	G06580KR	
G15825TO	Human	Subsumption	GNOme	G23041XK	
G15825TO	Human	Subsumption	GNOme	G92536LD	
G15825TO	Human	Subsumption	GNOme	G94798MK	
G15826FL	Human	Direct	GlyTouCan	G15826FL	9606
G15828HX	Human	Direct	GlyConnect	2802	9606
G15828HX	Human	Direct	UniCarbKB	7550	9606
G15843XU	Human	Subsumption	GNOme	G05421KO	
G15843XU	Human	Subsumption	GNOme	G09319JK	
G15843XU	Human	Subsumption	GNOme	G11453BM	
G15843XU	Human	Subsumption	GNOme	G11829TU	
G15843XU	Human	Subsumption	GNOme	G13269QI	
G15843XU	Human	Subsumption	GNOme	G14296HB	
