start	end
700.6048	720.6149
720.6148	740.6249
740.6248	760.6349
760.6348	780.6449
780.6448	800.6549
800.6548	820.6649
820.6648	840.6749
840.6748	860.6849
860.6848	880.6949
880.6948	900.7049
900.7048	920.7149
920.7148	940.7249
940.7248	960.7349
960.7348	980.7449
980.7448	1000.7549
1000.7548	1020.7649
1020.7648	1040.7749
1040.7748	1060.7849
1060.7848	1080.7949
1080.7948	1100.8049
1100.8048	1120.8149
1120.8148	1140.8249
1140.8248	1160.8349
1160.8348	1180.8449
1180.8448	1200.8549
1200.8548	1220.8649
1220.8648	1240.8749
1240.8748	1260.8849
1260.8848	1280.8949
1280.8948	1300.9049
1300.9048	1320.9149
1320.9148	1340.9249
1340.9248	1360.9349
1360.9348	1380.9449
1380.9448	1400.9549
1400.9548	1420.9649
1420.9648	1440.9749
1440.9748	1460.9849
1460.9848	1480.9949
1480.9948	1501.0049
1501.0048	1521.0149
1521.0148	1541.0249
1541.0248	1561.0349
1561.0348	1581.0449
1581.0448	1601.0549
1601.0548	1621.0649
1621.0648	1641.0749
1641.0748	1661.0849
1661.0848	1681.0949
1681.0948	1701.1049
1701.1048	1721.1149
1721.1148	1741.1249
1741.1248	1761.1349
1761.1348	1781.1449
1781.1448	1801.1549
1801.1548	1821.1649
1821.1648	1841.1749
1841.1748	1861.1849
1861.1848	1881.1949
1881.1948	1901.2049
1901.2048	1921.2149
1921.2148	1941.2249
1941.2248	1961.2349
1961.2348	1981.2449
1981.2448	2001.2549
