label	nonspec	spec	total	percent	fisherscore	
Y[pH2N2F]	43	229	272	15.81	26.19	
Y[pH6N5S2]	8	76	84	9.52	28.94	
Y[pH3N3F2]	2	42	44	4.55	29.79	
Y[pHN3F]	1	36	37	2.7	30.99	
Y[pH6N5F]	2	47	49	4.08	34.57	
Y[pH4N3S]	94	463	557	16.88	35.93	
Y[pH4N5F]	0	32	32	0.0	36.13	
Y[pH5N4F2]	0	33	33	0.0	37.26	
Y[pH5N4S2]	8	103	111	7.21	49.95	
Y[pH5N5F]	0	50	50	0.0	56.48	
Y[pH5N4FS2]	0	50	50	0.0	56.48	
Y[pH6N5FS2]	0	51	51	0.0	57.61	
Y[pH4N3FS]	8	121	129	6.2	65.17	
Y[pH6N5FS]	0	60	60	0.0	67.8	
Y[pH5N4F]	23	217	240	9.58	72.37	
Y[pH5N4FS]	4	148	152	2.63	119.5	
