GlyTouCan	MonosaccharideDB_ID
G00695JO	1
G00695JO	3
G00695JO	5
G00695JO	7
G00705XW	Some monosaccharide(s) has no ID in monosaccharide DB
G00705XW	2
G00705XW	7
G00705XW	91
G00705XW	215
G00706AL	1
G00706AL	2
G00706AL	3
G00706AL	5
G00706AL	6
G00706AL	15
G00706QN	Some monosaccharide(s) has no ID in monosaccharide DB
G00706QN	1
G00706QN	3
G00706QN	5
G00706QN	7
G00711QT	Some monosaccharide(s) has no ID in monosaccharide DB
G00743WU	1
G00743WU	3
G00743WU	5
G00743WU	6
G00743WU	7
G00743WU	12
G00797ZX	1
G00797ZX	2
G00797ZX	3
G00797ZX	5
G00797ZX	7
G00797ZX	10
G00826SV	1
G00826SV	2
G00826SV	3
G00826SV	5
G00826SV	7
G00830CM	1
G00830CM	2
G00830CM	3
G00830CM	5
G00830CM	6
G00850LT	1
G00850LT	3
G00850LT	5
G00851XQ	1
G00851XQ	2
G00851XQ	4
G00851XQ	7
G00876GU	1
G00876GU	3
G00876GU	4
G00876GU	5
G00883DO	1
G00883DO	2
G00883DO	3
G00883DO	5
G00883ZT	Some monosaccharide(s) has no ID in monosaccharide DB
G00883ZT	1
G00883ZT	3
G00883ZT	5
G00891GP	1
G00891GP	2
G00891GP	6
G00891GP	18
G00901NZ	Some monosaccharide(s) has no ID in monosaccharide DB
G00901NZ	1
G00901NZ	2
G00901NZ	7
G00909GK	1
G00909GK	3
G00909GK	5
G00910WD	1
G00910WD	2
G00910WD	3
G00910WD	5
G00910WD	6
G00910WD	7
G00910WD	15
G00966RI	Some monosaccharide(s) has no ID in monosaccharide DB
G00966RI	1
G00966RI	2
G00966RI	3
G00966RI	5
G00966RI	10
G00972DY	Some monosaccharide(s) has no ID in monosaccharide DB
G00972DY	1
G00972DY	3
G00972DY	5
G00978TF	Some monosaccharide(s) has no ID in monosaccharide DB
G00978TF	1
G00978TF	2
G00978TF	3
G00978TF	5
G00979XR	1
G00979XR	2
G00979XR	14
G00982QD	Some monosaccharide(s) has no ID in monosaccharide DB
G00982QD	1
G00982QD	2
G00982QD	3
G00982QD	5
G00986YT	1
G00986YT	2
G00986YT	3
G00986YT	5
G00995HW	Some monosaccharide(s) has no ID in monosaccharide DB
G00995HW	1
G00995HW	2
G00995HW	3
G00995HW	5
G00995HW	7
G00995HW	10
G00998NI	Some monosaccharide(s) has no ID in monosaccharide DB
G00998NI	1
G00998NI	2
G00998NI	3
G00998NI	5
G00998NI	7
G01001RL	Some monosaccharide(s) has no ID in monosaccharide DB
G01001RL	1
G01001RL	2
G01001RL	3
G01001RL	5
G01001RL	7
G01028CW	1
G01028CW	2
G01028CW	3
G01028CW	5
G01028CW	7
G01028CW	15
G01031EZ	1
G01031EZ	2
G01031EZ	3
G01031EZ	5
G01031EZ	6
G01031EZ	7
G01031EZ	15
G01034MJ	Some monosaccharide(s) has no ID in monosaccharide DB
G01034MJ	1
G01034MJ	2
G01034MJ	3
G01034MJ	5
G01034MJ	6
G01040ZV	Some monosaccharide(s) has no ID in monosaccharide DB
G01040ZV	2
G01040ZV	6
G01169EW	Some monosaccharide(s) has no ID in monosaccharide DB
G01169EW	1
G01169EW	2
G01169EW	3
G01169EW	5
G01169EW	7
G01187XC	Some monosaccharide(s) has no ID in monosaccharide DB
G01187XC	2
G01187XC	7
G01200BW	1
G01200BW	2
G01200BW	4
G01200BW	7
G01200BW	10
G01223AA	Some monosaccharide(s) has no ID in monosaccharide DB
G01223AA	1
G01223AA	2
G01223AA	3
G01223AA	5
G01223AA	7
G01260RY	Some monosaccharide(s) has no ID in monosaccharide DB
G01260RY	1
G01260RY	3
G01260RY	5
G01296LJ	1
G01296LJ	2
G01296LJ	4
G01296LJ	6
G01296LJ	7
G01299ER	Some monosaccharide(s) has no ID in monosaccharide DB
G01299ER	1
G01299ER	3
G01299ER	5
G01299ER	7
G01299ER	11
G01300OI	Some monosaccharide(s) has no ID in monosaccharide DB
G01300OI	1
G01300OI	2
G01300OI	3
G01300OI	5
G01300OI	7
G01310VF	Some monosaccharide(s) has no ID in monosaccharide DB
G01310VF	1
G01310VF	2
G01310VF	3
G01310VF	5
G01310VF	6
G01310VF	7
G01323LL	Some monosaccharide(s) has no ID in monosaccharide DB
G01323LL	1
G01323LL	2
G01323LL	3
G01323LL	5
G01323LL	7
G01323LL	10
G01323LL	12
G01329EH	Some monosaccharide(s) has no ID in monosaccharide DB
G01329EH	1
G01329EH	2
G01329EH	7
G01342FO	1
G01342FO	2
G01342FO	3
G01342FO	5
G01342FO	7
G01347XI	Some monosaccharide(s) has no ID in monosaccharide DB
G01347XI	2
G01347XI	10
G01354KL	1
G01354KL	2
G01354KL	3
G01354KL	5
G01354KL	6
G01354KL	7
G01361CV	Some monosaccharide(s) has no ID in monosaccharide DB
G01361CV	1
G01361CV	2
G01361CV	3
G01361CV	5
G01361CV	6
G01361CV	7
G01364ZC	3
G01364ZC	5
G01364ZC	15
G01406RR	Some monosaccharide(s) has no ID in monosaccharide DB
G01406RR	1
G01406RR	2
G01406RR	3
G01406RR	5
G01406RR	6
G01406RR	7
G01406RR	10
G01414CL	Some monosaccharide(s) has no ID in monosaccharide DB
G01414CL	1
G01414CL	3
G01414CL	5
G01414CL	7
G01414CL	12
G01450RG	Some monosaccharide(s) has no ID in monosaccharide DB
G01450RG	1
G01450RG	2
G01450RG	7
G01464ES	Some monosaccharide(s) has no ID in monosaccharide DB
G01464ES	1
G01464ES	2
G01465MJ	1
G01465MJ	2
G01465MJ	3
G01465MJ	5
G01465MJ	6
G01465MJ	7
G01465MJ	15
G01476WA	Some monosaccharide(s) has no ID in monosaccharide DB
G01476WA	1
G01476WA	2
G01476WA	3
G01476WA	5
G01476WA	7
G01476WA	10
G01489UZ	Some monosaccharide(s) has no ID in monosaccharide DB
G01489UZ	1
G01489UZ	2
G01489UZ	3
G01489UZ	5
G01489UZ	7
G01521YU	Some monosaccharide(s) has no ID in monosaccharide DB
G01521YU	1
G01521YU	2
G01521YU	3
G01521YU	5
G01521YU	10
G01534TU	2
G01534TU	12
G01542OM	Some monosaccharide(s) has no ID in monosaccharide DB
G01542OM	1
G01542OM	3
G01542OM	5
G01542OM	7
G01543ZX	1
G01543ZX	2
G01543ZX	3
G01543ZX	5
G01543ZX	6
G01543ZX	7
G01595SM	Some monosaccharide(s) has no ID in monosaccharide DB
G01595SM	1
G01595SM	3
G01595SM	5
G01595SM	7
G01600VV	Some monosaccharide(s) has no ID in monosaccharide DB
G01600VV	1
G01600VV	3
G01600VV	5
G01608UX	1
G01608UX	2
G01608UX	7
G01608UX	18
G01613KN	Some monosaccharide(s) has no ID in monosaccharide DB
G01613KN	1
G01613KN	2
G01613KN	3
G01613KN	5
G01613KN	7
G01614ZM	2
G01614ZM	6
G01614ZM	14
G01659NO	Some monosaccharide(s) has no ID in monosaccharide DB
G01659NO	1
G01659NO	3
G01659NO	5
G01665LU	1
G01665LU	2
G01665LU	6
G01665LU	18
G01669LU	1
G01669LU	2
G01669LU	3
G01669LU	5
G01669LU	6
G01670UQ	Some monosaccharide(s) has no ID in monosaccharide DB
G01670UQ	1
G01670UQ	2
G01670UQ	3
G01670UQ	5
G01670UQ	6
G01706RV	Some monosaccharide(s) has no ID in monosaccharide DB
G01706RV	2
G01706RV	7
G01713HS	Some monosaccharide(s) has no ID in monosaccharide DB
G01713HS	1
G01713HS	2
G01713HS	3
G01713HS	5
G01713HS	6
G01714NT	Some monosaccharide(s) has no ID in monosaccharide DB
G01714NT	2
G01714NT	7
G01714NT	14
G01727PW	1
G01727PW	2
G01727PW	3
G01727PW	5
G01727PW	6
G01747FB	1
G01747FB	2
G01747FB	7
G01747FB	18
G01748MD	1
G01748MD	2
G01748MD	7
G01760ZU	1
G01760ZU	3
G01760ZU	5
G01767JJ	1
G01767JJ	2
G01767JJ	4
G01767JJ	6
G01769FS	1
G01769FS	2
G01769FS	3
G01769FS	5
G01769FS	6
G01769FS	7
G01769FS	215
G01784XC	1
G01784XC	2
G01784XC	7
G01784XC	18
G01789AQ	1
G01789AQ	2
G01789AQ	3
G01789AQ	5
G01789AQ	6
G01789AQ	7
G01789AQ	15
G01820ZB	Some monosaccharide(s) has no ID in monosaccharide DB
G01820ZB	2
G01820ZB	7
G01820ZB	10
G01823EY	Some monosaccharide(s) has no ID in monosaccharide DB
G01823EY	1
G01823EY	7
G01856RL	1
G01856RL	2
G01856RL	3
G01856RL	5
G01856RL	367
G01935FK	1
G01935FK	2
G01935FK	3
G01935FK	5
G01935FK	7
G01999JH	1
G01999JH	3
G01999JH	5
G01999JH	16
G02000AU	1
G02000AU	3
G02000AU	5
G02000AU	7
G02020YO	2
G02020YO	7
G02020YO	14
G02020YO	18
G02021XC	1
G02021XC	3
G02021XC	5
G02021XC	15
G02025MF	1
G02025MF	2
G02025MF	3
G02025MF	5
G02025MF	7
G02025MF	10
G02029PW	1
G02029PW	3
G02029PW	5
G02029PW	7
G02029PW	11
G02086TB	Some monosaccharide(s) has no ID in monosaccharide DB
G02086TB	13
G02086TB	166
G02122FK	Some monosaccharide(s) has no ID in monosaccharide DB
G02122FK	1
G02122FK	2
G02122FK	3
G02122FK	5
G02122FK	7
G02126PG	Some monosaccharide(s) has no ID in monosaccharide DB
G02126PG	2
G02126PG	91
G02126PG	215
G02146NT	Some monosaccharide(s) has no ID in monosaccharide DB
G02146NT	1
G02146NT	2
G02146NT	4
G02146NT	6
G02152MS	Some monosaccharide(s) has no ID in monosaccharide DB
G02152MS	1
G02152MS	2
G02152MS	3
G02152MS	5
G02152MS	6
G02156UW	Some monosaccharide(s) has no ID in monosaccharide DB
G02156UW	1
G02156UW	2
G02156UW	3
G02156UW	5
G02156UW	7
G02174FQ	1
G02174FQ	2
G02174FQ	3
G02174FQ	5
G02174FQ	6
G02174FQ	7
G02174FQ	15
G02182MJ	Some monosaccharide(s) has no ID in monosaccharide DB
G02182MJ	1
G02182MJ	2
G02182MJ	3
G02182MJ	5
G02182MJ	6
G02193CV	Some monosaccharide(s) has no ID in monosaccharide DB
G02193CV	1
G02193CV	2
G02193CV	3
G02193CV	5
G02193CV	6
G02193CV	7
G02207TG	1
G02207TG	2
G02207TG	3
G02207TG	5
G02207TG	6
G02207TG	7
G02207TG	15
G02226PP	1
G02226PP	2
G02226PP	3
G02226PP	7
G02226PP	15
G02251YG	Some monosaccharide(s) has no ID in monosaccharide DB
G02251YG	1
G02251YG	2
G02251YG	3
G02251YG	5
G02251YG	6
G02278OY	Some monosaccharide(s) has no ID in monosaccharide DB
G02278OY	1
G02278OY	2
G02278OY	6
G02278OY	7
G02284UY	1
G02284UY	2
G02284UY	3
G02284UY	5
G02284UY	6
G02284UY	10
G02297WO	1
G02297WO	2
G02297WO	7
G02297WO	14
G02297WO	18
G02302MM	1
G02302MM	2
