a-dglc-HEX-1:5||(3d:1)amino	105
a-dara-HEX-1:5|2:d	106
b-dglc-HEX-1:5|6:a||(4o:1)methyl	107
a-lxyl-HEX-1:5|3:d|6:d	108
a-dman-HEX-1:5||(6o:1)acetyl	109
a-lman-HEX-1:5|6:d||(2o:1)methyl	110
a-dgal-HEX-1:5|6:a||(2d:1)n-acetyl	111
b-dglc-HEX-1:5||(2o:1)acetyl|(3o:1)acetyl|(6o:1)acetyl	112
b-dgal-HEX-1:5||(2o:1)acetyl|(3o:1)acetyl|(4o:1)acetyl|(6o:1)acetyl	113
a-lman-HEX-1:5|6:d||(2o:1)methyl|(3o:1)methyl	114
b-dgal-HEX-1:5||(6o:1)methyl	115
a-dglc-HEX-1:5||(2d:1)amino|(6d:1)amino	116
o-dglc-HEX-0:0|1:aldi||(2d:1)amino	117
b-lthr-HEX-1:5|4,5:en|4:d|6:a	118
b-lxyl-PEN-1:5	119
o-lglc-HEX-0:0|1:aldi|6:d	120
a-dman-HEX-1:5||(2d:1)n-acetyl	121
b-dgal-HEX-1:5||(2o:1)methyl	122
a-drib-HEX-1:5|3:d|6:d	123
b-dxyl-HEX-1:5|4:d	124
b-dglc-HEX-1:5||(4o:1)acetyl|(6o:1)acetyl	125
a-lara-HEX-1:5|2:d|6:d||(3o:1)methyl	126
b-dgal-HEX-1:5||(2d:1)amino	127
b-dglc-HEX-1:5||(3o:1)acetyl|(4o:1)acetyl|(6o:1)acetyl	128
b-dlyx-HEX-1:5|2:d|6:d	129
b-dglc-HEX-1:5||(3o:1)methyl|(6o:1)methyl	130
a-lman-HEX-1:5	131
b-llyx-HEX-1:5|2:d|6:d||(3o:1)methyl	132
a-dman-HEX-1:5||(4o:1)methyl	133
a-dglc-HEX-1:5|6:d	134
a-lman-HEX-1:5|6:d||(2o:1)acetyl|(4o:1)acetyl	135
b-dgal-HEX-1:5||(4o:1)methyl	136
b-dglc-HEX-1:5||(2d:1)n-acetyl|(6o:1)glycolyl	137
a-dglc-HEX-1:5|6:d||(4d:1)amino	138
b-lalt-HEX-1:5|6:d	139
a-dgal-HEX-1:5|6:d||(3d:1)n-acetyl	140
a-dido-HEX-1:5|6:a	141
b-dxyl-HEX-1:5|3:d	142
a-lgro-lman-NON-2:6|1:a|2:keto|3:d|9:d||(5d:1)n-acetyl|(7d:1)n-formyl	143
a-lman-HEX-1:5|6:d||(2o:1)acetyl|(3o:1)acetyl|(4o:1)acetyl	144
b-dxyl-PEN-1:5||(2o:1)methyl	145
b-dgal-HEX-1:5|6:d||(4o:1)acetyl	146
a-dlyx-HEX-1:5|4:d	147
a-dgal-HEX-1:5|6:d||(4d:1)n-acetyl	148
b-ltal-HEX-1:5|6:d	149
b-dglc-HEX-1:5||(2d:1)n-acetyl|(6o:1)acetyl	150
b-dara-HEX-1:5|2:d	151
a-dara-HEX-1:5|2:d|6:d	152
o-dara-PEN-0:0|1:aldi	153
b-dglc-HEX-1:5|6:d||(3o:1)methyl	154
a-lglc-HEX-1:5|6:d||(3o:1)methyl	155
b-dglc-HEX-1:5||(2o:1)acetyl	156
a-lglc-HEX-1:5|6:d||(2d:1)n-acetyl	157
b-dlyx-HEX-1:5|2:d|6:d||(3o:1)methyl	158
a-ltal-HEX-1:5|6:d	159
a-dglc-HEX-1:5||(6d:1)thio	160
a-lgul-HEX-1:5|6:a||(2d:1)n-acetyl|(3d:1)n-acetyl	161
a-lido-HEX-1:5	162
b-dgal-HEX-1:4||(2o:1)acetyl	163
a-dtal-HEX-1:5	164
b-dlyx-HEX-1:5|2:d	165
b-dgal-HEX-1:5||(2d:1)n-acetyl|(4o:1)sulfate	166
a-dgal-HEX-1:5|6:a||(2d:1)n-acetyl|(3o:1)acetyl|(6d:1)amino	167
