G16836AN	H14
G16946QN	H8N7FG5
G17015OC	HNS
G17023GV	H7N5S
G17182UH	H8N9F
G17187PH	H10N6F3S
G17204LW	H6N6FG3
G17208MA	H4N5F3
G17216OT	H3N4G2
G17250GS	H3N4F2S
G17522NT	HN5FSG5
G17605IS	H7N5F2S
G17818RC	H13N
G17863DS	H6N3FSG
G17927BF	H8N8SG4
G17961CZ	H6N4F2G2
G18227ZU	H12N12F
G18249YV	H8N8S5
G18327NI	H4N6F7S
G18442LT	H2N4S
G18518EA	H2N6FSG5
G18548AL	H9N9FS2
G18563DZ	H8N8F2S2
G18632GW	H4NF
G18647XP	H5N3F
G18731EK	H6N6FS4
G18759GP	H5N6F3S
G18903CG	H11N12F
G18999ZC	H5N4SG
G19151SU	H5N7F2
G19163FX	H6N8F4S3
G19184MC	H8N7F5S
G19210LN	H8N7S3G
G19252ER	H11N4
G19452UI	H6N7F5
G19538CN	H4N7FG2
G19605AD	H2N12
G19622PD	H4N6F2S2
G19973ZD	H4N6FS
G20014SC	H10N10F3S
G20159XY	H2FS
G20296IN	HN5F6S2
G20528HD	H5N6FS
G20579QQ	H5N2F2
G20706XG	H3N6F2S
G20991XV	H9N5S2
G21100WO	HN2FS
G21169OD	H10N9FS
G21300FY	H5N6F3G
G21349JZ	H2N2F3
G21402OQ	H9N8F3S4
G21509ZP	H7N14
G21639LK	H3N4FG5
G21649MY	H5N7F2S3
G21670TV	H5N6S2G
G21891JQ	H10N8S
G22165DU	H3N3S2
G22190UJ	H2N6FSG6
G22233OJ	H2N6S7
G22314RO	H2SG
G22328UA	H8N7F4G3
G22409SH	H8N5G
G22502DC	H8N6F2G5
G22572EH	H3N3F2
G22729NQ	H7N8F
G22784RF	H9N7G3
G22859FS	H9N8FS2
G22974QT	H4N7F2
G22990JP	H8N8G5
G23006JL	N7
G23125GY	H8N6F3
G23194RE	H5N4FG3
G23461QN	HN3FS
G23461SQ	H9N8F4S3
G23486ST	H9N7F3S4
G23505EP	H4N6S
G23505FB	H3N2F2S
G23666EZ	H9N8FS3
G23719VF	H3N4F
G23729WG	HNS2
G23753MK	H8N9FS3
G23754GO	H12N7S
G23763WX	H9N7S
G23767EE	H3N4F2G
G23774UY	H8N6FS2G3
G23809IE	H10N8F2
G23961FC	HN4FS3G5
G24357WI	H4N2F3
G24413TZ	H15N14
G24528MX	H3N7F
G24544VW	H8N7F2S3
G24609DH	H8N8F4G3
G24701BA	H4N2G
G24748EV	H5N4G2
G25054JU	H7N7FSG2
G25059MC	H6N7G
G25079LO	H4N6
G25275QJ	H6N7F4
G25318MG	HN4F6S
G25424VO	H9N8FSG2
G25469RD	H5N4G
G25558EV	H8N6F2S3
G25561IO	H13N12F2S
