G86795LJ	9606	GlyConnect	564
G53985AY	9606	GlyConnect	3181
G46422KL	9606	GlyConnect	86
G07262RR	9606	GlyConnect	86
G21672LC	9606	GlyConnect	521
G18618EA	9606	GlyConnect	521
G63334FZ	9606	GlyConnect	346
G57321FI	9606	GlyConnect	2305
G70783BY	9606	GlyConnect	272
G74621DY	9606	GlyConnect	2105
G07133YY	9606	GlyConnect	136
G33418YX	9606	GlyConnect	2952
G00035MO	9606	GlyConnect	2294
G71838YU	9606	GlyConnect	541
G78106KK	9606	GlyConnect	3587
G18938DW	9606	GlyConnect	443
G80700YJ	9606	GlyConnect	3146
G51140AE	9606	GlyConnect	1462
G00065MO	9606	GlyConnect	2804
G52126RR	9606	GlyConnect	3216
G52934AK	9606	GlyConnect	427
G52527GH	9606	GlyConnect	427
G15173TI	9606	GlyConnect	1362
G59986YN	9606	GlyConnect	705
G11647UD	9606	GlyConnect	705
G40737EA	9606	GlyConnect	1825
G10508JF	9606	GlyConnect	504
G33138MM	9606	GlyConnect	3184
G72291OX	9606	GlyConnect	32
G50619VO	9606	GlyConnect	1247
G56682BC	9606	GlyConnect	3490
G61582HZ	9606	GlyConnect	743
G53962WT	9606	GlyConnect	345
G00406II	9606	GlyConnect	345
G27893KR	9606	GlyConnect	3524
G47012YE	9606	GlyConnect	113
G17689DH	9606	GlyConnect	1077
G21070BH	9606	GlyConnect	1077
G22310AV	9606	GlyConnect	448
G79809MM	9606	GlyConnect	3268
G66504LK	9606	GlyConnect	903
G16546ZZ	9606	GlyConnect	228
G03340FG	9606	GlyConnect	305
G04672QB	9606	GlyConnect	305
G75120WS	9606	GlyConnect	185
G69237TO	9606	GlyConnect	1057
G49889OJ	9606	GlyConnect	1057
G23453IV	9606	GlyConnect	452
G82811EP	9606	GlyConnect	1746
G09285QR	9606	GlyConnect	31
G81272FZ	9606	GlyConnect	31
G69411IG	9606	GlyConnect	3030
G21845NG	9606	GlyConnect	1190
G15945ON	9606	GlyConnect	746
G20218ZS	9606	GlyConnect	1557
G75727PF	9606	GlyConnect	2902
G00031MO	9606	GlyConnect	1947
G75256KV	9606	GlyConnect	1031
G01304XG	9606	GlyConnect	1031
G47573PO	9606	GlyConnect	773
G25637MV	9606	GlyConnect	773
G60230HH	9606	GlyConnect	2472
G81533KY	9606	GlyConnect	2807
G36995QY	9606	GlyConnect	137
G31639NG	9606	GlyConnect	191
G68873DS	9606	GlyConnect	191
G10924UK	9606	GlyConnect	2658
G73028DK	9606	GlyConnect	472
G19075PM	9606	GlyConnect	472
G44444MB	9606	GlyConnect	404
G87015RU	9606	GlyConnect	404
G12398HZ	9606	GlyConnect	910
G28439XZ	9606	GlyConnect	713
G29880MM	9606	GlyConnect	713
G26935KA	9606	GlyConnect	3327
G94788LD	9606	GlyConnect	527
G59471TH	9606	GlyConnect	2818
G31936TA	9606	GlyConnect	749
G09095HL	9606	GlyConnect	749
G80966KZ	9606	GlyConnect	2039
G95898GD	9606	GlyConnect	2552
G70375MX	9606	GlyConnect	209
G64160PL	9606	GlyConnect	361
G25350TT	9606	GlyConnect	361
G93683YO	9606	GlyConnect	206
G81282CC	9606	GlyConnect	2069
G97765TT	9606	GlyConnect	2874
G70822IO	9606	GlyConnect	639
G14998UC	9606	GlyConnect	902
G26403SG	9606	GlyConnect	383
G25381UC	9606	GlyConnect	1208
G46748BU	9606	GlyConnect	2586
G26145IL	9606	GlyConnect	1311
G55220VL	9606	GlyConnect	1443
G91152KU	9606	GlyConnect	440
G25835MT	9606	GlyConnect	2050
G10082ZS	9606	GlyConnect	170
G24835MQ	9606	GlyConnect	170
G58481XO	9606	GlyConnect	1017
G72667IM	9606	GlyConnect	489
G84783XD	9606	GlyConnect	3453
G00039MO	9606	GlyConnect	500
G44276EF	9606	GlyConnect	1201
G89993FE	9606	GlyConnect	419
G08371VN	9606	GlyConnect	2941
G31838XA	9606	GlyConnect	956
G53752TA	9606	GlyConnect	2537
G45560HM	9606	GlyConnect	2177
G76763LN	9606	GlyConnect	1415
G22355FZ	9606	GlyConnect	167
G88908BO	9606	GlyConnect	167
G39213VZ	9606	GlyConnect	3258
G14127XU	9606	GlyConnect	2433
G91473PK	9606	GlyConnect	678
G07483YN	9606	GlyConnect	678
G34499SX	9606	GlyConnect	1405
G37022BP	9606	GlyConnect	1433
G06330RB	9606	GlyConnect	45
G25559RS	9606	GlyConnect	3277
G99375FM	9606	GlyConnect	234
G41321IO	9606	GlyConnect	1799
G33758XE	9606	GlyConnect	2830
G07191NE	9606	GlyConnect	2821
G65832JS	9606	GlyConnect	1302
G90093AU	9606	GlyConnect	377
G30159WR	9606	GlyConnect	3465
G88509SO	9606	GlyConnect	2785
G31916IQ	9606	GlyConnect	547
G59358BQ	9606	GlyConnect	547
G45359RY	9606	GlyConnect	2263
G49108TO	9606	GlyConnect	8849
G13238MZ	9606	GlyConnect	269
G07392QY	9606	GlyConnect	269
G40490KT	9606	GlyConnect	164
G92073XL	9606	GlyConnect	606
G01600VV	9606	GlyConnect	2873
G92570PJ	9606	GlyConnect	1823
G88139CF	9606	GlyConnect	582
G25233TU	9606	GlyConnect	1343
G52706RS	9606	GlyConnect	2870
G67030CA	9606	GlyConnect	1607
G99897FQ	9606	GlyConnect	2760
G40671AG	9606	GlyConnect	630
G58229BR	9606	GlyConnect	630
G97271OF	9606	GlyConnect	3556
G00986YT	9606	GlyConnect	3303
G49105NA	9606	GlyConnect	110
G25451PN	9606	GlyConnect	110
G77447DK	9606	GlyConnect	237
G79167DN	9606	GlyConnect	615
G93656SY	9606	GlyConnect	615
G05813WO	9606	GlyConnect	200
G25538MM	9606	GlyConnect	200
G38710SX	9606	GlyConnect	2501
G37834XB	9606	GlyConnect	456
G52956BX	9606	GlyConnect	2730
G07995VK	9606	GlyConnect	2041
G27499KV	9606	GlyConnect	2685
G40027VO	9606	GlyConnect	2093
G44533KV	9606	GlyConnect	2247
G84596RP	9606	GlyConnect	718
G96416FQ	9606	GlyConnect	718
G60439QY	9606	GlyConnect	2298
G66088HZ	9606	GlyConnect	40
G88382QE	9606	GlyConnect	111
G09546QO	9606	GlyConnect	1492
G58580BP	9606	GlyConnect	1141
G03304QB	9606	GlyConnect	34
G25780HH	9606	GlyConnect	1214
G43664YB	9606	GlyConnect	3678
G31433PN	9606	GlyConnect	1085
G84853WN	9606	GlyConnect	1085
G07668UR	9606	GlyConnect	355
G48381WH	9606	GlyConnect	2306
G13863XN	9606	GlyConnect	3481
G46524LG	9606	GlyConnect	685
G08520NM	9606	GlyConnect	3141
G33609NS	9606	GlyConnect	506
G98481KT	9606	GlyConnect	1576
G46665ZP	9606	GlyConnect	643
G83885CD	9606	GlyConnect	2227
G86071XD	9606	GlyConnect	3631
G38887TM	9606	GlyConnect	1820
G14050KB	9606	GlyConnect	1398
G80537QW	9606	GlyConnect	2899
G11629QQ	9606	GlyConnect	127
G11346GZ	9606	GlyConnect	127
G38684VZ	9606	GlyConnect	3042
G85678WN	9606	GlyConnect	1053
G39368QD	9606	GlyConnect	1053
G22721QX	9606	GlyConnect	2387
G97213ID	9606	GlyConnect	351
G15021LG	9606	GlyConnect	8851
G52361CE	9606	GlyConnect	3304
G40291QP	9606	GlyConnect	80
G72718TT	9606	GlyConnect	1268
G23432EQ	9606	GlyConnect	318
G25837HW	9606	GlyConnect	982
G60461BM	9606	GlyConnect	808
G70418MS	9606	GlyConnect	37
G14047PA	9606	GlyConnect	1277
G21385AQ	9606	GlyConnect	2526
G82053YT	9606	GlyConnect	380
G82348BZ	9606	GlyConnect	3247
G74724QE	9606	GlyConnect	740
G64581RP	9606	GlyConnect	8848
G03900NK	9606	GlyConnect	3110
G26335RK	9606	GlyConnect	3114
G64527OM	9606	GlyConnect	691
G19749DC	9606	GlyConnect	3228
G29377XJ	9606	GlyConnect	451
G99039KB	9606	GlyConnect	3586
G64162JC	9606	GlyConnect	141
G78768PN	9606	GlyConnect	1532
G30743QX	9606	GlyConnect	2251
G69834CE	9606	GlyConnect	271
G15703MZ	9606	GlyConnect	1669
G69982RY	9606	GlyConnect	3618
G79568CQ	9606	GlyConnect	277
G67303LF	9606	GlyConnect	965
G14996IQ	9606	GlyConnect	965
G58272ZE	9606	GlyConnect	3131
G20014JD	9606	GlyConnect	661
G44411RJ	9606	GlyConnect	661
G92062TF	9606	GlyConnect	987
G75896PD	9606	GlyConnect	987
G70115XG	9606	GlyConnect	666
G92654OJ	9606	GlyConnect	666
G47832TO	9606	GlyConnect	78
G23581QL	9606	GlyConnect	78
G62619LG	9606	GlyConnect	2207
G16208YZ	9606	GlyConnect	301
G91313DF	9606	GlyConnect	301
G52428MJ	9606	GlyConnect	2465
G69893KP	9606	GlyConnect	1517
G09921WG	9606	GlyConnect	255
G17756LB	9606	GlyConnect	255
G63889NK	9606	GlyConnect	658
G10374FO	9606	GlyConnect	1714
G22826KU	9606	GlyConnect	3016
G14296HB	9606	GlyConnect	1744
G18589KA	9606	GlyConnect	1081
G47058MH	9606	GlyConnect	1081
G96170OK	9606	GlyConnect	197
G57081YJ	9606	GlyConnect	197
G63065KG	9606	GlyConnect	2031
G86234IN	9606	GlyConnect	338
G42665KV	9606	GlyConnect	1142
G27919IH	9606	GlyConnect	2198
G71013KY	9606	GlyConnect	3676
G90206GU	9606	GlyConnect	1476
G07075ND	9606	GlyConnect	471
G09811YI	9606	GlyConnect	471
G10219AA	9606	GlyConnect	2075
G26493RP	9606	GlyConnect	1552
G97720QM	9606	GlyConnect	2273
G88027AL	9606	GlyConnect	151
G42039DE	9606	GlyConnect	3409
G94531EZ	9606	GlyConnect	1944
G73394KQ	9606	GlyConnect	1393
G28754WB	9606	GlyConnect	756
G89241QS	9606	GlyConnect	2202
G74587YW	9606	GlyConnect	2652
G85194VU	9606	GlyConnect	3546
G40852TV	9606	GlyConnect	2088
G60145BJ	9606	GlyConnect	574
G91331SN	9606	GlyConnect	545
G48712ZJ	9606	GlyConnect	1539
G80123ZU	9606	GlyConnect	2560
G69723CB	9606	GlyConnect	218
G18639PA	9606	GlyConnect	218
G54896JZ	9606	GlyConnect	1281
G36123IU	9606	GlyConnect	1682
G19399OS	9606	GlyConnect	701
G11457RF	9606	GlyConnect	2376
G60067UC	9606	GlyConnect	696
G25426PD	9606	GlyConnect	2357
G11870QZ	9606	GlyConnect	286
G35562PU	9606	GlyConnect	286
G87618BG	9606	GlyConnect	2070
G60227QI	9606	GlyConnect	2210
G24413UY	9606	GlyConnect	424
G80961YY	9606	GlyConnect	424
G71051TA	9606	GlyConnect	1004
G53206FD	9606	GlyConnect	1004
G39943KJ	9606	GlyConnect	3276
G33508VK	9606	GlyConnect	2969
G52080WL	9606	GlyConnect	1649
G17050CK	9606	GlyConnect	2016
G40142JY	9606	GlyConnect	244
G66282NU	9606	GlyConnect	244
G59821FL	9606	GlyConnect	365
G95977AE	9606	GlyConnect	466
G92089QC	9606	GlyConnect	466
G95658PH	9606	GlyConnect	3109
G54740VA	9606	GlyConnect	336
G97823BP	9606	GlyConnect	3474
G41304KE	9606	GlyConnect	826
G19958IL	9606	GlyConnect	2784
G96503EZ	9606	GlyConnect	653
G28839WC	9606	GlyConnect	1359
G00776MW	9606	GlyConnect	559
G59125FH	9606	GlyConnect	559
G11911BT	9606	GlyConnect	253
G96921ZU	9606	GlyConnect	253
G53933HU	9606	GlyConnect	2221
G28550OD	9606	GlyConnect	1704
G11254FL	9606	GlyConnect	2710
G31189KC	9606	GlyConnect	2117
G40194MN	9606	GlyConnect	91
G17893UF	9606	GlyConnect	3503
G89098OM	9606	GlyConnect	250
G44306ED	9606	GlyConnect	679
G21112KH	9606	GlyConnect	2330
G36157OV	9606	GlyConnect	1891
G92974UU	9606	GlyConnect	433
G25418HZ	9606	GlyConnect	433
G80218BM	9606	GlyConnect	199
G56516VH	9606	GlyConnect	2467
G52880ZN	9606	GlyConnect	1655
G97227KS	9606	GlyConnect	2188
G14380OJ	9606	GlyConnect	778
G13156PQ	9606	GlyConnect	823
G77252PU	9606	GlyConnect	1641
G50888WV	9606	GlyConnect	1884
G86500WE	9606	GlyConnect	118
G00728SN	9606	GlyConnect	118
G64061QG	9606	GlyConnect	2045
G56501FP	9606	GlyConnect	528
G57581QG	9606	GlyConnect	372
G06830JN	9606	GlyConnect	372
G75927AR	9606	GlyConnect	3132
G94372TX	9606	GlyConnect	327
G96588SJ	9606	GlyConnect	327
G74645FT	9606	GlyConnect	2278
G78790NZ	9606	GlyConnect	10
G85447US	9606	GlyConnect	3628
G37653KL	9606	GlyConnect	21
G71306LD	9606	GlyConnect	1199
G78315FS	9606	GlyConnect	1893
G57141NR	9606	GlyConnect	1122
G77477NL	9606	GlyConnect	859
G41170ZW	9606	GlyConnect	859
G29011JC	9606	GlyConnect	2524
G21412CQ	9606	GlyConnect	851
G72956NR	9606	GlyConnect	99
G66116BW	9606	GlyConnect	2488
G32723SL	9606	GlyConnect	343
G96399PG	9606	GlyConnect	3012
G97345NY	9606	GlyConnect	1431
G48390IG	9606	GlyConnect	2729
G74910CR	9606	GlyConnect	263
G84330VA	9606	GlyConnect	2132
G24271GS	9606	GlyConnect	227
G94225QI	9606	GlyConnect	227
G98366ZJ	9606	GlyConnect	1197
G47518TP	9606	GlyConnect	330
G50783JY	9606	GlyConnect	969
G36591UL	9606	GlyConnect	969
G45209NR	9606	GlyConnect	3501
G15169WU	9606	GlyConnect	627
G35609TJ	9606	GlyConnect	627
G57565TQ	9606	GlyConnect	3608
G47760VS	9606	GlyConnect	485
G99025FY	9606	GlyConnect	485
G00978GW	9606	GlyConnect	3358
G45333LE	9606	GlyConnect	2055
G77149EE	9606	GlyConnect	3421
G32426JY	9606	GlyConnect	1113
G01629KW	9606	GlyConnect	848
G90352XZ	9606	GlyConnect	3571
G81263BG	9606	GlyConnect	395
G59951KW	9606	GlyConnect	2690
G76136FD	9606	GlyConnect	1470
G56284ZY	9606	GlyConnect	367
G68391RZ	9606	GlyConnect	367
G45711GR	9606	GlyConnect	774
G70894RY	9606	GlyConnect	196
G87535DG	9606	GlyConnect	605
G80223IX	9606	GlyConnect	304
G90684PC	9606	GlyConnect	2576
G29230PI	9606	GlyConnect	67
G62274IX	9606	GlyConnect	3128
G89664KV	9606	GlyConnect	3352
G95861KV	9606	GlyConnect	326
G67381VP	9606	GlyConnect	1324
G24464VD	9606	GlyConnect	2044
G07575HR	9606	GlyConnect	3581
G03146JP	9606	GlyConnect	3647
G96881BQ	9606	GlyConnect	1898
G82350PP	9606	GlyConnect	597
G47452EQ	9606	GlyConnect	1833
G72735IY	9606	GlyConnect	558
G43993DD	9606	GlyConnect	2613
G85121LW	9606	GlyConnect	283
G23438NR	9606	GlyConnect	1872
G93141AZ	9606	GlyConnect	2260
G66937TJ	9606	GlyConnect	3610
G49447IS	9606	GlyConnect	1203
G19275UG	9606	GlyConnect	184
G71066WE	9606	GlyConnect	184
G93019KS	9606	GlyConnect	2934
G70323CJ	9606	GlyConnect	8850
G97007IY	9606	GlyConnect	2092
G90717TP	9606	GlyConnect	3602
G23975EE	9606	GlyConnect	530
G34558ED	9606	GlyConnect	152
G64706DG	9606	GlyConnect	1485
G08110WX	9606	GlyConnect	368
G52064IJ	9606	GlyConnect	2091
G84756CG	9606	GlyConnect	1958
G19972YZ	9606	GlyConnect	580
G26777KI	9606	GlyConnect	580
G81397LO	9606	GlyConnect	2218
G21066IE	9606	GlyConnect	3001
G40943ZI	9606	GlyConnect	115
G32551IQ	9606	GlyConnect	907
G12793SR	9606	GlyConnect	155
G36581MF	9606	GlyConnect	1754
G68758PE	9606	GlyConnect	2847
G28723UT	9606	GlyConnect	114
G75132WH	9606	GlyConnect	114
G74518AV	9606	GlyConnect	688
G82592ZH	9606	GlyConnect	688
G97763JB	9606	GlyConnect	1504
G64132UH	9606	GlyConnect	3111
G11528MV	9606	GlyConnect	1588
G15016TE	9606	GlyConnect	1932
G82894XV	9606	GlyConnect	1830
G83487DQ	9606	GlyConnect	56
G35291GU	9606	GlyConnect	56
G92574YO	9606	GlyConnect	3256
G45127HA	9606	GlyConnect	3104
G77122IZ	9606	GlyConnect	1103
G13441ZL	9606	GlyConnect	55
G07932PU	9606	GlyConnect	55
G82252QI	9606	GlyConnect	2415
G44215PV	9606	GlyConnect	353
G61053JL	9606	GlyConnect	634
G38351JR	9606	GlyConnect	634
G28156XV	9606	GlyConnect	1950
G20779SK	9606	GlyConnect	2800
G57955DP	9606	GlyConnect	3009
G02561FC	9606	GlyConnect	1870
G65835SY	9606	GlyConnect	1529
G29905OR	9606	GlyConnect	1695
G44342ZF	9606	GlyConnect	2176
G16739XD	9606	GlyConnect	3403
G47448YK	9606	GlyConnect	751
G24293BT	9606	GlyConnect	3270
G26341TZ	9606	GlyConnect	2322
G88779RV	9606	GlyConnect	332
G76014WR	9606	GlyConnect	2349
G22625SJ	9606	GlyConnect	453
G53868KU	9606	GlyConnect	1219
G12733WO	9606	GlyConnect	732
G66418NO	9606	GlyConnect	732
G89186VO	9606	GlyConnect	1762
G94941PK	9606	GlyConnect	1716
G53959KE	9606	GlyConnect	933
G08431YY	9606	GlyConnect	933
G73372SB	9606	GlyConnect	684
G50006QM	9606	GlyConnect	934
G39952PY	9606	GlyConnect	934
G91023GB	9606	GlyConnect	1428
G02030ZB	9606	GlyConnect	439
G68283NG	9606	GlyConnect	1803
G66163OV	9606	GlyConnect	94
G85196QC	9606	GlyConnect	2270
G10258MC	9606	GlyConnect	3158
G15021LG	9606	GlyConnect	534
G54612UD	9606	GlyConnect	534
G89877QI	9606	GlyConnect	1934
G83643ND	9606	GlyConnect	3512
G93941QH	9606	GlyConnect	543
G70593HA	9606	GlyConnect	2676
G01187XC	9606	GlyConnect	3238
G60963AS	9606	GlyConnect	3167
G52358QA	9606	GlyConnect	348
G46503KK	9606	GlyConnect	3190
G46283XF	9606	GlyConnect	362
G40702WU	9606	GlyConnect	362
G59068XW	9606	GlyConnect	2859
G86750HK	9606	GlyConnect	3015
G90205AB	9606	GlyConnect	17
G49277CJ	9606	GlyConnect	786
G61465OY	9606	GlyConnect	341
G58399HX	9606	GlyConnect	1650
G56271TF	9606	GlyConnect	1844
G39523KI	9606	GlyConnect	342
G22340YC	9606	GlyConnect	3495
G13260JU	9606	GlyConnect	1102
G44346CQ	9606	GlyConnect	3414
G44490NG	9606	GlyConnect	767
G62946XF	9606	GlyConnect	189
G85542EC	9606	GlyConnect	659
G69073PY	9606	GlyConnect	659
G17168RO	9606	GlyConnect	1482
G23119MJ	9606	GlyConnect	2284
G06392KM	9606	GlyConnect	1556
G74130BZ	9606	GlyConnect	3378
G03027LH	9606	GlyConnect	620
G53957WR	9606	GlyConnect	620
G49743VF	9606	GlyConnect	3081
G57196QI	9606	GlyConnect	246
G27844UM	9606	GlyConnect	1075
G91028VZ	9606	GlyConnect	2686
G62015ZM	9606	GlyConnect	1128
G62461SM	9606	GlyConnect	288
G10973QG	9606	GlyConnect	288
G12313PD	9606	GlyConnect	708
G77937PE	9606	GlyConnect	2343
G68686HN	9606	GlyConnect	450
G64327YL	9606	GlyConnect	450
G50636SI	9606	GlyConnect	2547
G48854JY	9606	GlyConnect	3116
G39540XG	9606	GlyConnect	3447
G83951ZY	9606	GlyConnect	763
G88696BY	9606	GlyConnect	3284
G57789QC	9606	GlyConnect	3477
G77653XA	9606	GlyConnect	273
G64394MX	9606	GlyConnect	273
G16265MV	9606	GlyConnect	2395
G08709JB	9606	GlyConnect	1609
G56245IE	9606	GlyConnect	3551
G30460NZ	9606	GlyConnect	1148
G68892PJ	9606	GlyConnect	2201
G37891WT	9606	GlyConnect	2087
G61884GF	9606	GlyConnect	1515
G69233PF	9606	GlyConnect	733
G36855WW	9606	GlyConnect	624
G26915XM	9606	GlyConnect	624
G16107MY	9606	GlyConnect	1726
G41860WU	9606	GlyConnect	1426
G88417ED	9606	GlyConnect	794
G78374AB	9606	GlyConnect	650
G85542KD	9606	GlyConnect	3117
G91123TW	9606	GlyConnect	2496
G60723UL	9606	GlyConnect	607
G28877HV	9606	GlyConnect	646
G95336MK	9606	GlyConnect	2012
G00420UH	9606	GlyConnect	931
G25127JU	9606	GlyConnect	931
G27726WH	9606	GlyConnect	2991
G57449OF	9606	GlyConnect	1795
G97674NY	9606	GlyConnect	2480
G93239VC	9606	GlyConnect	2692
G05380VG	9606	GlyConnect	2841
G25297CU	9606	GlyConnect	3343
G46935AJ	9606	GlyConnect	2285
G14669DU	9606	GlyConnect	507
G32948PW	9606	GlyConnect	1366
G10225UW	9606	GlyConnect	1651
G66991YE	9606	GlyConnect	1165
G63404EE	9606	GlyConnect	498
G50457PU	9606	GlyConnect	498
G93450DV	9606	GlyConnect	176
G12678YV	9606	GlyConnect	176
G58804QW	9606	GlyConnect	1086
G20697MN	9606	GlyConnect	1086
G96063MG	9606	GlyConnect	2525
G64931FF	9606	GlyConnect	1528
G54567CI	9606	GlyConnect	66
G29676WX	9606	GlyConnect	66
G27188NC	9606	GlyConnect	2231
G63337SS	9606	GlyConnect	1334
G93500PH	9606	GlyConnect	1480
G98140IX	9606	GlyConnect	3348
G62081IR	9606	GlyConnect	1625
G26684GN	9606	GlyConnect	316
G07677VL	9606	GlyConnect	3511
G56318NV	9606	GlyConnect	2795
G55282VK	9606	GlyConnect	3246
G85839YN	9606	GlyConnect	1059
G30799SW	9606	GlyConnect	1059
G17752YB	9606	GlyConnect	319
G15938BX	9606	GlyConnect	1317
G40765JD	9606	GlyConnect	2893
