"gtc"	"ch"
"https://glytoucan.org/Structures/Glycans/G06572VM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65620"
"https://glytoucan.org/Structures/Glycans/G06572VM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65624"
"https://glytoucan.org/Structures/Glycans/G06572VM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65626"
"https://glytoucan.org/Structures/Glycans/G01588OU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65680"
"https://glytoucan.org/Structures/Glycans/G07583QU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65716"
"https://glytoucan.org/Structures/Glycans/G07652DS"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65787"
"https://glytoucan.org/Structures/Glycans/G04656ZJ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65826"
"https://glytoucan.org/Structures/Glycans/G10747KE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65839"
"https://glytoucan.org/Structures/Glycans/G06930CH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65892"
"https://glytoucan.org/Structures/Glycans/G10831LZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65911"
"https://glytoucan.org/Structures/Glycans/G01876GP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65914"
"https://glytoucan.org/Structures/Glycans/G04011GM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65988"
"https://glytoucan.org/Structures/Glycans/G09754RK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65993"
"https://glytoucan.org/Structures/Glycans/G07335NI"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66018"
"https://glytoucan.org/Structures/Glycans/G02004RQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66031"
"https://glytoucan.org/Structures/Glycans/G10501SD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66060"
"https://glytoucan.org/Structures/Glycans/G07427JA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66137"
"https://glytoucan.org/Structures/Glycans/G08989HV"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66190"
"https://glytoucan.org/Structures/Glycans/G07977IT"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66201"
"https://glytoucan.org/Structures/Glycans/G00180UA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66221"
"https://glytoucan.org/Structures/Glycans/G04114OY"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66243"
"https://glytoucan.org/Structures/Glycans/G09805LY"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66246"
"https://glytoucan.org/Structures/Glycans/G05578FG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66314"
"https://glytoucan.org/Structures/Glycans/G08658HR"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66427"
"https://glytoucan.org/Structures/Glycans/G05344PS"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6647"
"https://glytoucan.org/Structures/Glycans/G03933IQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66483"
"https://glytoucan.org/Structures/Glycans/G03442PK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66489"
"https://glytoucan.org/Structures/Glycans/G05285CG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66490"
"https://glytoucan.org/Structures/Glycans/G00685ES"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66511"
"https://glytoucan.org/Structures/Glycans/G06173ND"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66564"
"https://glytoucan.org/Structures/Glycans/G04729YM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66576"
"https://glytoucan.org/Structures/Glycans/G02043VU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66706"
"https://glytoucan.org/Structures/Glycans/G04202NB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66777"
"https://glytoucan.org/Structures/Glycans/G09927QC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66784"
"https://glytoucan.org/Structures/Glycans/G06847SM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6701"
"https://glytoucan.org/Structures/Glycans/G07060NV"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67134"
"https://glytoucan.org/Structures/Glycans/G07060NV"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67178"
"https://glytoucan.org/Structures/Glycans/G04203PZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67243"
"https://glytoucan.org/Structures/Glycans/G11075NK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67261"
"https://glytoucan.org/Structures/Glycans/G08573LW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67423"
"https://glytoucan.org/Structures/Glycans/G00654VN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67436"
"https://glytoucan.org/Structures/Glycans/G06671EB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67444"
"https://glytoucan.org/Structures/Glycans/G01098GN"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67466"
"https://glytoucan.org/Structures/Glycans/G09980OQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67555"
"https://glytoucan.org/Structures/Glycans/G06699YB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67595"
"https://glytoucan.org/Structures/Glycans/G04517XE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67608"
"https://glytoucan.org/Structures/Glycans/G10883HM"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67615"
"https://glytoucan.org/Structures/Glycans/G10510CT"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67618"
"https://glytoucan.org/Structures/Glycans/G09345ER"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67639"
"https://glytoucan.org/Structures/Glycans/G10519PX"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67641"
"https://glytoucan.org/Structures/Glycans/G08102CU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67735"
"https://glytoucan.org/Structures/Glycans/G01760UE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67772"
"https://glytoucan.org/Structures/Glycans/G11381KO"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67813"
"https://glytoucan.org/Structures/Glycans/G04966NA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67815"
"https://glytoucan.org/Structures/Glycans/G08360QA"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67827"
"https://glytoucan.org/Structures/Glycans/G00686TU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67857"
"https://glytoucan.org/Structures/Glycans/G09192JY"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67860"
"https://glytoucan.org/Structures/Glycans/G01101WI"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67861"
"https://glytoucan.org/Structures/Glycans/G07897GU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67867"
"https://glytoucan.org/Structures/Glycans/G02394PC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67884"
"https://glytoucan.org/Structures/Glycans/G04981ET"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67973"
"https://glytoucan.org/Structures/Glycans/G02442SJ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67974"
"https://glytoucan.org/Structures/Glycans/G07912CK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:67980"
"https://glytoucan.org/Structures/Glycans/G01325LK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68018"
"https://glytoucan.org/Structures/Glycans/G06564DD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68030"
"https://glytoucan.org/Structures/Glycans/G10564BU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68122"
"https://glytoucan.org/Structures/Glycans/G02774EZ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68132"
"https://glytoucan.org/Structures/Glycans/G09458JY"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68144"
"https://glytoucan.org/Structures/Glycans/G04236RQ"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:681569"
"https://glytoucan.org/Structures/Glycans/G01673CB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68201"
"https://glytoucan.org/Structures/Glycans/G01695RP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68235"
"https://glytoucan.org/Structures/Glycans/G01810QF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:68328"
