SID,REGID,CID
405038242,G97613KO,146015626
405038243,G74249LE,146015627
405038244,G51749PV,146015628
405038245,G23453UY,146015629
405038246,G37551WX,146015630
405038247,G57281JE,146015631
405038248,G69061ZR,146015632
405038249,G40028EN,146015633
405038250,G98371UI,146015634
405038251,G41493NA,146015636
405038252,G16999RL,146015637
405038253,G67972MN,146015638
405038254,G66204OA,146015639
405038255,G28817XM,146015640
405038256,G08214IK,440518
405038257,G50915BG,146015641
405038258,G97792RJ,146015642
405038259,G49817RV,146015643
405038260,G38924CE,146015644
405038261,G76451MK,146015645
405038262,G52681GI,146015646
405038263,G88184ND,146015647
405038264,G82012QD,146015648
405038265,G81225OR,146015649
405038266,G35270GN,93481369
405038267,G06408QU,146015650
405038268,G25037DU,146015651
405038269,G89467PI,146015652
405038270,G17558MC,146015653
405038271,G42058RF,146015654
405038272,G89375LQ,146015655
405038273,G48081BC,146015656
405038274,G17475KI,146015657
405038275,G66324UC,146015659
405038276,G22277CS,10418489
405038277,G94159TO,146015660
405038278,G35405IQ,146015661
405038279,G09921EA,146015662
405038280,G04312AL,146015663
405038281,G20249DD,146015664
405038282,G41037PQ,146015665
405038283,G32417JV,146015666
405038284,G56239ZP,146015667
405038285,G00934CN,146015668
405038286,G38048SB,146015669
405038287,G92345EN,146015670
405038288,G85312PC,146015671
405038289,G86307NN,146015672
405038290,G61259YF,146015673
405038291,G61519TG,146015674
405038292,G76526VW,146015675
405038293,G13954HJ,146015676
405038294,G25430RB,146015677
405038295,G92140UZ,146015678
405038296,G13943TJ,146015679
405038297,G26251YW,146015680
405038298,G57259VG,146015681
405038299,G02749IM,146015682
405038300,G73956HX,146015683
405038301,G83566WQ,146015684
405038302,G08061QE,146015685
405038303,G00653TI,146015686
405038304,G76500NB,146015687
405038305,G16440EL,146015688
405038306,G92013NR,146015689
405038307,G85566ZI,131708318
405038308,G39123FZ,131708317
405038309,G07479EG,146015690
405038310,G41321IO,146015691
405038311,G39540XG,146015692
405038312,G68758PE,146015693
405038313,G23824AT,146015694
405038314,G99808VS,146015695
405038315,G03091JW,146015696
405038316,G13156PQ,146015697
405038317,G33734YD,146015698
405038318,G27561QX,146015699
405038319,G71503SK,146015700
405038320,G99402IB,146015701
405038321,G84251UA,146015702
405038322,G77958VJ,146015703
405038323,G22163EB,146015704
405038324,G57142PA,146015705
405038325,G51987NK,146015706
405038326,G03505EQ,146015707
405038327,G04917SF,146015708
405038328,G54634UE,146015709
405038329,G59125FH,146015710
405038330,G52194RZ,146015711
405038331,G02873KW,146015712
405038332,G48818KL,146015713
405038333,G22130CJ,146015714
405038334,G20694NR,146015715
405038335,G14259XA,146015716
405038336,G06531JK,146015717
405038337,G65020KU,146015718
405038338,G55693GF,146015719
405038339,G78097CL,146015720
405038340,G13305DT,146015721
405038341,G07802IC,146015722
405038342,G77289XS,146015723
405038343,G20512LK,146015724
405038344,G20814DD,146015725
405038345,G05307LM,146015726
405038346,G00219VH,146015727
405038347,G49386TY,146015728
405038348,G60852WC,146015729
405038349,G53419ZP,146015730
405038350,G04908IA,146015731
405038351,G27708WM,146015732
405038352,G25206BU,146015733
405038353,G88707IJ,146015734
405038354,G48854JY,146015735
405038355,G89354EL,146015736
405038356,G31449YY,146015737
405038357,G51774AT,146015738
405038358,G44504WW,146015739
405038359,G77792ZA,146015740
405038360,G42028WD,146015741
405038361,G83643ND,146015742
405038362,G21696DT,146015743
405038363,G57331KL,49864585
405038364,G23491CM,146015744
405038365,G51340HW,146015745
405038366,G47975BB,146015746
405038367,G43521WO,44610898
405038368,G61441IE,146015747
405038369,G45086UC,146015748
405038370,G34219DS,146015749
405038371,G04935WJ,146015750
405038372,G89433ZM,146015751
405038373,G26220JQ,146015752
405038374,G14330QD,146015753
405038375,G91633ZK,146015754
405038376,G82744OJ,146015755
405038377,G16914MP,146015756
405038378,G02937DK,146015757
405038379,G40613QE,146015758
405038380,G18228RP,146015759
405038381,G01647KA,146015760
405038382,G00112BX,146015761
405038383,G75080ZA,146015762
405038384,G75811PV,146015763
405038385,G24638PB,146015764
405038386,G67383AR,146015765
405038387,G94195LE,146015766
405038388,G51930CG,146015767
405038389,G76945QM,146015768
405038390,G88265BT,146015769
405038391,G33637CY,146015770
405038392,G21462HM,146015771
405038393,G18855WX,146015772
405038394,G74317LJ,146015773
405038395,G79531AD,146015774
405038396,G92617LF,146015775
405038397,G89082SI,146015776
405038398,G04550QS,146015777
405038399,G05248MY,146015778
405038400,G22361XJ,146015779
405038401,G18577SW,146015780
405038402,G44129WJ,146015781
405038403,G50784KX,146015782
405038404,G54291LI,146015783
405038405,G38565XH,146015784
405038406,G55512MQ,146015785
405038407,G76388OJ,146015786
405038408,G36241SW,146015787
405038409,G21761EL,146015788
405038410,G89899RZ,146015789
405038411,G05712GH,146015790
405038412,G10304VT,146015791
405038413,G52892OT,146015792
405038414,G96093AA,146015793
405038415,G61243QS,146015794
405038416,G01744DO,146015795
405038417,G13744OG,146015796
405038418,G71070FL,146015797
405038419,G12847XI,146015798
405038420,G25694OK,146015799
405038421,G68682OB,146015800
405038422,G44187DL,146015801
405038423,G61346RB,146015802
405038424,G18605QW,146015803
405038425,G54430QW,146015804
405038426,G99645NK,146015805
405038427,G30524IG,146015806
405038428,G24856YP,146015807
405038429,G10708EQ,146015808
405038430,G26920WX,23586108
405038431,G62838IP,131708311
405038432,G64712UU,146015809
405038433,G25127JU,146015810
405038434,G33418YX,146015811
405038435,G80102MT,146015812
405038436,G42686NQ,146015813
405038437,G43702IX,146015814
405038438,G82955EQ,146015815
405038439,G11671GQ,146015816
405038440,G23340ZN,146015817
405038441,G22063DR,146015818
405038442,G16679DU,146015819
405038443,G94591GB,146015820
405038444,G26202VU,131953072
405038445,G62162CC,146015821
405038446,G06794FO,146015822
405038447,G13285YS,129205738
405038448,G02750BJ,146015823
405038449,G52428TM,146015824
405038450,G77293NH,146015825
405038451,G95196FC,11083386
405038452,G88752GW,146015826
405038453,G28754WB,146015827
405038454,G97160DA,146015828
405038455,G77365PQ,146015829
405038456,G39514MZ,146015830
405038457,G81272FZ,146015831
405038458,G42537PG,146015832
405038459,G91809FZ,146015833
405038460,G84718FH,146015834
405038461,G94578AN,146015835
405038462,G65728QH,146015836
405038463,G26177RQ,146015837
405038464,G61582HZ,146015838
405038465,G99081OG,146015839
405038466,G42477ZH,146015840
405038467,G88505QR,146015841
405038468,G91641GY,146015842
405038469,G16341ZC,146015843
405038470,G14068WV,146015844
405038471,G29587NV,146015845
405038472,G62462YZ,146015846
405038473,G00468NI,146015847
405038474,G37385TT,146015848
405038475,G24315OK,146015849
405038476,G62881NU,146015850
405038477,G39242ZL,146015851
405038478,G63459ER,146015852
405038479,G52293LN,146015853
405038480,G53505IN,146015854
405038481,G39761CO,146015855
405038482,G81036PA,146015856
405038483,G78669NF,146015857
405038484,G21582IP,146015858
405038485,G16283SD,146015859
405038486,G81295HW,146015860
405038487,G90065BD,146015861
405038488,G39366MW,146015862
405038489,G26668VH,146015863
405038490,G82881HF,146015864
405038491,G74807KC,146015865
405038492,G09441VY,146015866
405038493,G02752WS,146015867
405038494,G88529RB,146015868
405038495,G48980RC,146015869
405038496,G01979BM,146015870
405038497,G99356PZ,146015871
405038498,G34213WZ,146015872
405038499,G27562KD,146015873
405038500,G20482JP,146015874
405038501,G42557DY,146015875
405038502,G49437KN,146015876
405038503,G55129DT,146015877
405038504,G01237HZ,146015878
405038505,G26471XA,146015879
405038506,G74632FV,146015880
405038507,G11288UE,146015881
405038508,G76572KX,146015882
405038509,G99398HC,146015883
405038510,G80281PU,146015884
405038511,G18560YM,146015885
405038512,G38765BW,146015886
405038513,G25847EZ,146015887
405038514,G29536KL,146015888
405038515,G41988UR,146015889
405038516,G83950GJ,146015890
405038517,G31729AH,146015891
405038518,G19381GQ,146015892
405038519,G05460IT,146015893
405038520,G67811ZC,146015894
405038521,G21304JK,146015895
405038522,G27033NI,146015896
405038523,G29097DF,146015897
405038524,G40703FW,146015898
405038525,G05108SX,146015899
405038526,G15405CH,146015900
405038527,G61607JF,146015901
405038528,G94150SJ,146015902
405038529,G29036ZZ,146015903
405038530,G08674MH,146015904
405038531,G18064MR,146015905
405038532,G98182DZ,146015906
405038533,G59637CR,146015907
405038534,G25522KU,146015908
405038535,G36416DN,146015909
405038536,G19804SF,146015910
405038537,G65112QB,146015911
405038538,G59187NN,146015912
405038539,G12281PV,146015913
405038540,G29790GI,146015914
405038541,G20477YQ,146015915
405038542,G98112AX,146015916
405038543,G57756ZS,146015917
405038544,G29046MX,146015918
405038545,G31061AG,146015919
405038546,G46929FK,146015920
405038547,G22926VS,146015921
405038548,G69423HN,146015922
405038549,G14121NG,146015923
405038550,G66497CV,146015924
405038551,G47269OM,146015925
405038552,G54079WP,146015926
405038553,G15813LB,146015927
405038554,G27915NO,146015928
405038555,G88974AK,146015929
405038556,G84102VI,146015931
405038557,G63963TT,146015932
405038558,G08354GM,146015933
405038559,G86630CJ,14819054
405038560,G25012SX,146015934
405038561,G47833CT,146015935
405038562,G84539CQ,146015936
405038563,G39829HV,146015937
405038564,G17780OR,146015938
405038565,G87245HS,146015939
405038566,G89798IM,146015940
405038567,G25744PP,146015941
405038568,G37511RU,146015942
405038569,G57511DS,146015943
405038570,G55015QS,146015944
405038571,G42249KM,146015945
405038572,G89387LJ,146015946
405038573,G79799SR,146015947
405038574,G35674VF,146015948
405038575,G11165BC,146015949
405038576,G67002QN,146015950
405038577,G26666YK,146015951
405038578,G93685DA,146015952
405038579,G76355AD,146015953
405038580,G24924JG,146015954
405038581,G36540TU,146015955
405038582,G44092XR,146015956
405038583,G97545UW,146015957
405038584,G89637EU,146015958
405038585,G76925AY,131708332
405038586,G92598CL,131708329
405038587,G12157FB,131708309
405038588,G92399AI,146015959
405038589,G51678TA,146015960
405038590,G87444MS,146015961
405038591,G13824WQ,146015962
405038592,G49446SO,146015963
405038593,G35599NO,146015964
405038594,G58056YT,146015965
405038595,G12222NC,146015966
405038596,G67173FM,146015967
405038597,G82140BL,146015968
405038598,G07947TY,146015969
405038599,G59121IT,146015970
405038600,G71257IB,146015971
405038601,G38323OC,146015972
405038602,G43681ZA,146015973
405038603,G93412BO,146015974
405038604,G66354QN,146015975
405038605,G16028TR,146015976
405038606,G06898ZN,146015977
405038607,G64996BH,146015978
405038608,G80615ZF,146015979
405038609,G39135DL,146015980
405038610,G65365ZJ,146015981
405038611,G89315II,146015982
405038612,G21672LC,146015983
405038613,G85943BT,146015984
405038614,G26777KI,146015985
405038615,G83432YR,146015986
405038616,G30265AO,146015987
405038617,G25340RJ,146015988
405038618,G16816XV,146015989
405038619,G53948QE,146015990
405038620,G33002KZ,146015991
405038621,G11712ZQ,146015992
405038622,G51851RG,146015993
405038623,G29434SO,146015994
405038624,G61887VA,146015995
405038625,G09130SS,146015996
405038626,G81299MQ,146015997
405038627,G40033UH,146015998
405038628,G43848AQ,146015999
405038629,G49228QV,146016000
405038630,G34634NL,146016001
405038631,G98945HT,146016002
405038632,G89748NG,146016003
405038633,G41286JH,146016004
405038634,G80960YD,146016005
405038635,G74675FC,146016006
405038636,G32880LW,146016007
405038637,G40193LX,146016008
405038638,G92375UQ,146016009
405038639,G97515HE,146016010
405038640,G17442PQ,146016011
405038641,G36682PS,146016012
405038642,G96715CG,146016013
405038643,G35761ND,146016014
405038644,G65774LN,146016015
405038645,G27676IJ,146016016
405038646,G92423MT,101153197
405038647,G99435JQ,146016017
405038648,G95492XR,146016018
405038649,G57604VY,146016019
405038650,G33718UW,146016020
405038651,G64789TL,146016021
405038652,G55325QT,146016022
405038653,G48659BO,146016023
405038654,G40449BM,146016024
405038655,G35967GK,146016026
405038656,G51771LF,146016027
405038657,G79137JV,146016028
405038658,G05897CQ,146016029
405038659,G34066QQ,146016030
405038660,G81270ZG,146016031
405038661,G93517ZO,146016032
405038662,G53741ZA,146016033
405038663,G74650AS,146016035
405038664,G89129SX,146016036
405038665,G07967EK,146016037
405038666,G03324QY,146016038
405038667,G11516EC,146016039
405038668,G12574GO,146016040
405038669,G99002ML,146016041
405038670,G97126KC,146016042
405038671,G38225ZW,146016043
405038672,G50023EN,146016044
405038673,G42784QY,146016045
405038674,G83938PH,146016046
405038675,G91607IU,146016047
405038676,G62414VY,146016048
405038677,G85431OK,146016049
405038678,G69288VJ,146016050
405038679,G34336BJ,146016051
405038680,G82278QG,146016052
405038681,G34393GC,146016053
405038682,G08857YA,146016054
405038683,G91883RB,146016055
405038684,G90559FG,146016056
405038685,G61915NR,146016057
405038686,G29084BO,146016058
405038687,G09106ES,146016059
405038688,G20330MZ,146016060
405038689,G48816ZL,146016061
405038690,G93664OI,146016062
405038691,G81787XH,146016063
405038692,G55286YY,146016064
405038693,G82061CN,146016065
405038694,G29065KQ,146016066
405038695,G05979UI,146016067
405038696,G06378CG,146016068
405038697,G25871JE,146016069
405038698,G93696JX,146016070
405038699,G69524MO,146016071
405038700,G66542WL,146016072
405038701,G02401HG,146016073
405038702,G78399VY,146016074
405038703,G93423SY,146016075
405038704,G74280QW,146016076
405038705,G84174KV,146016077
405038706,G34826IV,146016078
405038707,G68466ND,146016079
405038708,G75366RT,146016080
405038709,G05283ZZ,146016081
405038710,G16280WO,146016082
405038711,G22831MQ,146016083
405038712,G47513TC,146016080
405038713,G55952LV,146016084
405038714,G77994OH,146016085
405038715,G40926SB,146016086
405038716,G32804DN,146016087
405038717,G13070RH,146016088
405038718,G45568AA,146016089
405038719,G68282NE,146016081
405038720,G99041WC,146016090
405038721,G33817TY,146016091
405038722,G03286CY,90659856
405038723,G72929XF,146016092
405038724,G09983QQ,146016093
405038725,G32825LD,146016094
405038726,G14047PE,146016095
405038727,G43989OI,146016096
405038728,G53009NG,146016097
405038729,G41656BN,146016098
405038730,G01364UC,146016099
405038731,G22009DO,146016100
405038732,G93561QS,146016101
405038733,G17280VQ,146016102
405038734,G80279XY,146016103
405038735,G24402OX,146016104
405038736,G79563KH,146016105
405038737,G21226BT,146016106
405038738,G08839RX,146016107
405038739,G97777ZK,146016108
405038740,G61501FW,146016109
405038741,G22282SV,146016110
405038742,G87808DX,146016111
405038743,G84853WN,146016112
405038744,G49390AT,146016113
405038745,G98906WL,146016114
405038746,G68317EO,10283251
405038747,G98236VK,146016115
405038748,G96925LL,146016116
405038749,G09118YK,146016117
405038750,G54018RP,146016118
405038751,G44623TX,146016119
405038752,G84330VA,146016120
405038753,G58537BJ,146016121
405038754,G27293OK,146016122
405038755,G82790IO,146016123
405038756,G54020TT,146016124
405038757,G45478MQ,146016125
405038758,G22272DS,146016126
405038759,G99708PE,146016127
405038760,G68956SE,146016128
405038761,G07281YE,146016129
405038762,G27957OQ,146016130
405038763,G54284GR,146016131
405038764,G04686LD,146016132
405038765,G05234QD,71298196
405038766,G67685UX,146016133
405038767,G49961MS,146016134
405038768,G71058WA,146016135
405038769,G59870QB,146016136
405038770,G37516LK,146016137
405038771,G18117YG,146016138
405038772,G56498WI,146016139
405038773,G58486ZT,146016140
405038774,G00133UK,146016141
405038775,G04893EC,146016142
405038776,G29039FY,146016143
405038777,G52042BP,146016144
