SID,REGID,CID
405038778,G26167JA,146016145
405038779,G28615QI,146016146
405038780,G64029DP,146016147
405038781,G44528IE,146016148
405038782,G85141ZP,146016149
405038783,G14932YZ,146016150
405038784,G07015TW,146016151
405038785,G50608CI,146016152
405038786,G81699GL,146016153
405038787,G84461UO,146016154
405038788,G54499HR,146016155
405038789,G40119MV,146016156
405038790,G21960YO,146016157
405038791,G19811YA,146016158
405038792,G78791QP,146016159
405038793,G41015OA,146016160
405038794,G72239TK,146016161
405038795,G53522BA,146016162
405038796,G82257AX,146016163
405038797,G06449AP,146016164
405038798,G62274IX,146016165
405038799,G24946XU,146016166
405038800,G54750GO,146016167
405038801,G77199IL,146016168
405038802,G74130BZ,146016169
405038803,G83371GE,146016170
405038804,G29393FW,146016171
405038805,G11578PH,146016172
405038806,G11055AU,146016173
405038807,G65269GN,146016174
405038808,G51131QP,146016175
405038809,G31152NK,146016176
405038810,G36200ZL,146016177
405038811,G23936WL,146016178
405038812,G77176DW,146016179
405038813,G30694RX,146016180
405038814,G97473TX,146016181
405038815,G92140GK,146016182
405038816,G18988VX,146016183
405038817,G06775XE,146016184
405038818,G88426LC,146016185
405038819,G15018QK,146016186
405038820,G82055JY,146016187
405038821,G90278QK,146016188
405038822,G89107VR,146016189
405038823,G38205HA,146016190
405038824,G45457BZ,146016191
405038825,G90813CG,146016192
405038826,G18216LF,146016193
405038827,G33981PS,146016194
405038828,G53883RV,146016195
405038829,G20010ZR,146016196
405038830,G58541TH,146016197
405038831,G19051EV,146016198
405038832,G21471VV,146016199
405038833,G91785YS,146016200
405038834,G57966NT,146016201
405038835,G01316PY,146016202
405038836,G94092TX,146016203
405038837,G82819AI,146016204
405038838,G57437DO,146016205
405038839,G45042AB,146016206
405038840,G42471EN,146016207
405038841,G47405NT,146016208
405038842,G24563UY,146016209
405038843,G02553FD,146016210
405038844,G25426CZ,146016211
405038845,G19003AA,146016212
405038846,G66634RI,146016213
405038847,G98830AY,146016214
405038848,G24132PG,146016215
405038849,G71176ZY,146016216
405038850,G55490FJ,146016217
405038851,G27141MM,146016218
405038852,G44738VD,146016219
405038853,G69860DL,146016220
405038854,G02595UE,146016221
405038855,G20934UH,993
405038856,G62044ND,146016222
405038857,G12997IV,146016223
405038858,G32243EL,146016224
405038859,G43814TV,146016225
405038860,G51258AO,146016226
405038861,G53231FE,146016227
405038862,G90204HK,146016228
405038863,G61885YO,146016085
405038864,G48357SY,146016229
405038865,G14878LL,146016230
405038866,G95676DI,146016231
405038867,G53593TS,146016232
405038868,G43946YD,146016233
405038869,G72892PR,146016234
405038870,G99417FA,146016235
405038871,G60971LU,146016236
405038872,G41632BR,146016237
405038873,G18792TM,146016238
405038874,G24858KZ,146016239
405038875,G25742LN,146016240
405038876,G39448FX,146016241
405038877,G46804HY,146016242
405038878,G59309LY,146016243
405038879,G61514UE,146016079
405038880,G72827TZ,146016244
405038881,G97309CM,146016084
405038882,G99475XL,146016078
405038883,G59078UZ,146016088
405038884,G20861AN,146016240
405038885,G90374CF,146016245
405038886,G90587ZW,146016246
405038887,G92553HS,146016247
405038888,G89920YU,146016248
405038889,G70479DP,146016249
405038890,G77977RG,146016250
405038891,G32395UL,146016251
405038892,G36539SO,146016252
405038893,G19587RI,146016253
405038894,G45129XR,146016254
405038895,G68321IF,146016255
405038896,G48591BA,146016256
405038897,G98987UE,146016257
405038898,G06602AQ,146016258
405038899,G61970XW,146016259
405038900,G59757EL,146016260
405038901,G70461ZU,146016261
405038902,G12594VB,146016262
405038903,G31112KR,146016263
405038904,G42238QQ,146016264
405038905,G25374YZ,146016265
405038906,G01923XE,146016266
405038907,G59877NF,146016267
405038908,G99411XJ,146016268
405038909,G22733YM,146016269
405038910,G09846IP,131708306
405038911,G13420YS,131708331
405038912,G81013HU,146016270
405038913,G64305XQ,146016271
405038914,G23021IW,146016272
405038915,G10325PN,146016273
405038916,G89719WD,146016274
405038917,G00157WT,146016275
405038918,G35808UX,146016276
405038919,G03275SD,146016277
405038920,G52676LZ,146016278
405038921,G79565XA,146016279
405038922,G67561OD,146016280
405038923,G85012LW,146016281
405038924,G66041VE,146016282
405038925,G26080SE,146016283
405038926,G32648IV,146016284
405038927,G32981ZX,146016285
405038928,G23100XN,146016286
405038929,G42545LJ,146016287
405038930,G97263AV,146016288
405038931,G59032HI,146016289
405038932,G74019NS,146016290
405038933,G61550QE,146016291
405038934,G28963AV,146016292
405038935,G59575FI,146016293
405038936,G32526RV,146016294
405038937,G28153DH,146016295
405038938,G49767OI,146016296
405038939,G06904HW,146016297
405038940,G42175IR,146016298
405038941,G01954ZH,146016299
405038942,G79600DE,146016300
405038943,G75311QH,146016301
405038944,G57832UA,146016302
405038945,G70568SB,146016303
405038946,G01877VI,146016304
405038947,G91302JJ,146016305
405038948,G65715DK,146016306
405038949,G03005MJ,146016307
405038950,G02393LQ,146016308
405038951,G41820ZZ,146016309
405038952,G18516QW,146016310
405038953,G82793FY,146016311
405038954,G72760QR,146016312
405038955,G17658XE,146016313
405038956,G82862JX,146016314
405038957,G10174LI,146016315
405038958,G80156FT,146016316
405038959,G85568CK,146016317
405038960,G19594GQ,146016318
405038961,G92822ZJ,146016319
405038962,G99229AR,146016320
405038963,G59838BT,146016321
405038964,G37505EY,146016322
405038965,G26150GW,146016323
405038966,G37875NQ,146016324
405038967,G04410UE,146016325
405038968,G66990EM,146016326
405038969,G83459UI,146016327
405038970,G50926VT,146016328
405038971,G43952SS,146016329
405038972,G87495OO,146016330
405038973,G45050LT,146016331
405038974,G00665QG,146016332
405038975,G81589UA,146016333
405038976,G66759HW,146016334
405038977,G81475RB,146016335
405038978,G93134EL,146016336
405038979,G30494NO,146016337
405038980,G82546ZE,146016338
405038981,G85779MY,146016339
405038982,G93536PN,146016340
405038983,G17486WU,146016341
405038984,G57396IT,146016342
405038985,G82152YZ,146016343
405038986,G98145EU,146016344
405038987,G97636SB,146016345
405038988,G69445ZX,146016346
405038989,G54439SD,146016347
405038990,G05324VU,146016348
405038991,G89603EU,146016349
405038992,G43957HJ,146016350
405038993,G79075HH,146016351
405038994,G65460ES,25062510
405038995,G22171KQ,146016352
405038996,G57490YN,146016353
405038997,G99560EQ,146016354
405038998,G93805MV,146016355
405038999,G75552OL,146016356
405039000,G13961FM,146016357
405039001,G89561DW,146016358
405039002,G20745AF,146016359
405039003,G59887RM,146016360
405039004,G11787AF,146016361
405039005,G52790WV,146016362
405039006,G85852IT,146016363
405039007,G34775LS,146016364
405039008,G79756XR,146016365
405039009,G73670AS,146016366
405039010,G46111XT,146016367
405039011,G15522IE,146016368
405039012,G92195EH,146016369
405039013,G83212YI,146016370
405039014,G72494BI,146016371
405039015,G24516WB,146016372
405039016,G54881QT,146016373
405039017,G62989ND,146016374
405039018,G49096WS,146016375
405039019,G09455EL,146016376
405039020,G24796HF,146016377
405039021,G43911MT,146016378
405039022,G06357PG,146016379
405039023,G29797VX,146016380
405039024,G94429ZS,146016381
405039025,G64520EK,146016382
405039026,G14535LP,146016383
405039027,G01354GF,146016384
405039028,G51056RX,146016385
405039029,G28094VW,146016386
405039030,G24536EZ,146016387
405039031,G12110NN,146016388
405039032,G64813JD,146016389
405039033,G61718TK,146016390
405039034,G30588SI,146016391
405039035,G95081VM,146016392
405039036,G51098WE,146016393
405039037,G09678FF,146016394
405039038,G51020FB,146016395
405039039,G38418FR,146016396
405039040,G17433EW,146016397
405039041,G51098AA,146016398
405039042,G82894XV,146016399
405039043,G65832JS,146016400
405039044,G46199JU,146016401
405039045,G55724HD,146016402
405039046,G50753QY,146016403
405039047,G07988QE,146016404
405039048,G00754TS,146016405
405039049,G18630FL,146016406
405039050,G25614IV,146016407
405039051,G75945YW,146016408
405039052,G57293OE,146016409
405039053,G56289WX,146016410
405039054,G61684ET,146016411
405039055,G00199RL,146016412
405039056,G51787QU,146016413
405039057,G12232DG,146016414
405039058,G25865TC,146016415
405039059,G23739FM,146016416
405039060,G83130ER,146016417
405039061,G15315QP,146016418
405039062,G63366CP,146016419
405039063,G78262KC,146016420
405039064,G17650QU,146016421
405039065,G99370TQ,146016422
405039066,G13122AV,146016423
405039067,G58605OI,146016424
405039068,G24326HG,146016425
405039069,G18122DM,146016426
405039070,G23259JO,146016427
405039071,G45606ON,146016428
405039072,G49307MQ,146016429
405039073,G53498KG,146016430
405039074,G10750RR,146016431
405039075,G98084YF,146016432
405039076,G94854QH,146016433
405039077,G22708NH,146016434
405039078,G10388YZ,146016435
405039079,G16557SL,146016436
405039080,G91227VL,146016437
405039081,G88094DN,146016438
405039082,G59122OR,146016439
405039083,G95706CX,146016440
405039084,G26843VT,146016441
405039085,G93942HK,146016442
405039086,G52586DI,146016443
405039087,G99839IH,146016444
405039088,G67249JC,146016445
405039089,G67514UP,146016446
405039090,G11294AF,146016447
405039091,G97614JH,146016448
405039092,G12322AG,146016449
405039093,G68765UF,146016450
405039094,G25771RB,146016451
405039095,G90318OY,146016452
405039096,G26209PG,146016453
405039097,G73036NN,146016454
405039098,G00826FI,146016455
405039099,G19816UN,146016456
405039100,G63935LM,146016457
405039101,G32669VA,146016458
405039102,G20486MN,146016459
405039103,G61184LF,146016460
405039104,G36568LW,146016461
405039105,G85237WB,146016462
405039106,G98750DB,146016463
405039107,G76496FO,146016464
405039108,G30259PW,146016465
405039109,G20565EE,146016466
405039110,G11503GF,146016467
405039111,G88969XL,146016468
405039112,G21287VY,146016469
405039113,G40658FQ,146016470
405039114,G71502UI,146016471
405039115,G14030GZ,146016472
405039116,G68858RF,146016473
405039117,G21617JG,146016474
405039118,G34046KM,146016475
405039119,G79449PH,146016476
405039120,G14901GT,146016477
405039121,G77056RK,146016478
405039122,G28114SX,146016479
405039123,G41323BT,146016480
405039124,G44854SQ,146016481
405039125,G59819BB,146016482
405039126,G00552RX,146016483
405039127,G60939FS,146016484
405039128,G70107KU,146016485
405039129,G94855OA,146016486
405039130,G55193JF,146016487
405039131,G45336XP,146016488
405039132,G98949DH,146016489
405039133,G36673GG,146016490
405039134,G81086UC,146016491
405039135,G76359NE,146016492
405039136,G15164ZG,146016493
405039137,G02032CC,146016494
405039138,G37467FA,146016495
405039139,G47594QI,11636776
405039140,G99886UF,146016496
405039141,G04500MR,146016497
405039142,G34421AJ,146016498
405039143,G34807PD,146016242
405039144,G38034XB,146016499
405039145,G54675NM,146016244
405039146,G56244BI,146016245
405039147,G80324IX,146016500
405039148,G09489ZH,146016501
405039149,G10078JE,146016502
405039150,G32553MK,146016503
405039151,G39582YY,146016243
405039152,G59405GS,146016504
405039153,G61297GZ,146016505
405039154,G69308MU,146016506
405039155,G80410YU,146016507
405039156,G05637SS,146016502
405039157,G11617NC,146016241
405039158,G17563EJ,146016084
405039159,G19243MH,146016508
405039160,G20436KH,146016241
405039161,G34555XH,146016502
405039162,G53133ZY,146016087
405039163,G58472BZ,146016509
405039164,G70280CS,146016510
405039165,G71841IJ,146016511
405039166,G13933DE,146016080
405039167,G44228UY,146016512
405039168,G83435EK,146016513
405039169,G85909QW,146016085
405039170,G29270AZ,146016238
405039171,G81104AY,146016514
405039172,G74132QK,146016499
405039173,G78759ZW,146016515
405039174,G33224VN,146016516
405039175,G65669BM,146016517
405039176,G00771VQ,146016518
405039177,G24650WZ,146016519
405039178,G26229QI,146016520
405039179,G37603KW,146016521
405039180,G98115LU,146016522
405039181,G56663KK,146016523
405039182,G26051BM,146016524
405039183,G04534BE,146016525
405039184,G26934ZC,146016526
405039185,G38926VH,146016527
405039186,G12242HT,146016528
405039187,G64802KJ,146016529
405039188,G09835WI,146016530
405039189,G81389IU,146016531
405039190,G20480TV,146016532
405039191,G25755NG,146016533
405039192,G25028EG,146016534
405039193,G19676IW,146016535
405039194,G44202NB,146016536
405039195,G04743RS,146016537
405039196,G29026MS,146016538
405039197,G17725EP,146016539
405039198,G03770XP,146016540
405039199,G33886DT,146016541
405039200,G04564SK,146016542
405039201,G70805NP,131953075
405039202,G40967YY,131708364
405039203,G97015NM,131708319
405039204,G27251IC,131708315
405039205,G05785JJ,146016543
405039206,G66405LD,146016544
405039207,G44880NI,146016545
405039208,G04289KQ,146016546
405039209,G56913CG,146016547
405039210,G59277TZ,146016548
405039211,G07191NE,146016549
405039212,G74286KY,146016550
405039213,G38624RV,146016551
405039214,G47007PV,146016552
405039215,G53322JT,146016553
405039216,G45036WQ,146016554
405039217,G50937YB,146016555
405039218,G13278PC,146016556
405039219,G99244WU,146016557
405039220,G57243PQ,146016558
405039221,G18306LO,146016559
405039222,G65684NB,146016560
405039223,G41071MS,146016561
405039224,G85282JA,146016562
405039225,G52055VI,146016563
405039226,G12525VG,146016564
405039227,G40431QL,146016565
